naics22_code,hs_commodity,naics22_2023,naics17_2022,overlap_type
315120,6115969020,315120,315110,both_years
315120,6115294000,315120,315110,both_years
315120,6505009076,315120,315190,both_years
315120,6505001525,315120,315190,both_years
315120,6115966010,315120,315110,both_years
315120,6117102010,315120,315190,both_years
315120,6505009089,315120,315190,both_years
315120,6115966020,315120,315110,both_years
315120,6505001540,315120,315190,both_years
315120,6117808710,315120,315190,both_years
315120,6117101000,315120,315190,both_years
315120,6117102030,315120,315190,both_years
315120,6117808720,315120,315190,both_years
315120,6115309010,315120,315110,both_years
315120,6117803090,315120,315190,both_years
315120,6505003090,315120,315190,both_years
315120,6115959000,315120,315110,both_years
315120,6505001560,315120,315190,both_years
315120,6111305050,315120,315110,both_years
315120,6115298010,315120,315110,both_years
315120,6505006040,315120,315190,both_years
315120,6117106010,315120,315190,both_years
315120,6117808730,315120,315190,both_years
315120,6505006045,315120,315190,both_years
315120,6115298020,315120,315110,both_years
315120,6117106020,315120,315190,both_years
315120,6115309030,315120,315110,both_years
315120,6115991910,315120,315110,both_years
315120,6115991920,315120,315110,both_years
315120,6115969010,315120,315110,both_years
315120,6115991410,315120,315110,both_years
315120,6117808500,315120,315190,both_years
315120,6505005045,315120,315190,both_years
315120,6115298040,315120,315110,both_years
315120,6115991420,315120,315110,both_years
315250,6208299010,315250,315240,both_years
315250,6203392010,315250,315220,both_years
315250,6203392020,315250,315220,both_years
315250,6208299030,315250,315240,both_years
315250,6104531000,315250,315240,both_years
315250,6102909005,315250,315240,both_years
315250,6102909010,315250,315240,both_years
315250,6102909015,315250,315240,both_years
315250,6102909030,315250,315240,both_years
315250,6206202010,315250,315240,both_years
315250,6206202020,315250,315240,both_years
315250,6201401510,315250,315220,both_years
315250,6104441000,315250,315240,both_years
315250,6201401520,315250,315220,both_years
315250,6208291000,315250,315240,both_years
315250,6203490505,315250,315220,both_years
315250,6203490515,315250,315220,both_years
315250,6203490520,315250,315220,both_years
315250,6203490530,315250,315220,both_years
315250,6202401000,315250,315240,both_years
315250,6211207400,315250,315240,both_years
315250,6104310000,315250,315240,both_years
315250,6203490545,315250,315220,both_years
315250,6203490550,315250,315220,both_years
315250,6111904000,315250,315240,both_years
315250,6203490560,315250,315220,both_years
315250,6102901000,315250,315240,both_years
315250,6205301000,315250,315220,both_years
315250,6107210010,315250,315220,both_years
315250,6107210020,315250,315220,both_years
315250,6204531000,315250,315240,both_years
315250,6110110015,315250,315220,both_years
315250,6204637510,315250,315240,both_years
315250,6110110025,315250,315220,both_years
315250,6104392010,315250,315240,both_years
315250,6110110030,315250,315240,both_years
315250,6104392020,315250,315240,both_years
315250,6211420503,315250,315240,both_years
315250,6110110040,315250,315240,both_years
315250,6203122010,315250,315220,both_years
315250,6211420507,315250,315240,both_years
315250,6104392030,315250,315240,both_years
315250,6211420510,315250,315240,both_years
315250,6107292000,315250,315220,both_years
315250,6110110050,315250,315220,both_years
315250,6203122020,315250,315220,both_years
315250,6104392040,315250,315240,both_years
315250,6209905000,315250,315240,both_years
315250,6104220010,315250,315240,both_years
315250,6211420520,315250,315240,both_years
315250,6110110060,315250,315240,both_years
315250,6211420525,315250,315240,both_years
315250,6104392050,315250,315240,both_years
315250,6211420530,315250,315240,both_years
315250,6110110070,315250,315220,both_years
315250,6211420540,315250,315240,both_years
315250,6104220030,315250,315240,both_years
315250,6110110080,315250,315240,both_years
315250,6104220040,315250,315240,both_years
315250,6211420554,315250,315240,both_years
315250,6107120010,315250,315220,both_years
315250,6211420556,315250,315240,both_years
315250,6211420560,315250,315240,both_years
315250,6104220050,315250,315240,both_years
315250,6107120020,315250,315220,both_years
315250,6204637590,315250,315240,both_years
315250,6203490710,315250,315220,both_years
315250,6104392090,315250,315240,both_years
315250,6211420570,315250,315240,both_years
315250,6104220060,315250,315240,both_years
315250,6211420575,315250,315240,both_years
315250,6203490720,315250,315220,both_years
315250,6211420581,315250,315240,both_years
315250,6203490730,315250,315220,both_years
315250,6211396010,315250,315220,both_years
315250,6104220080,315250,315240,both_years
315250,6108398000,315250,315240,both_years
315250,6211396020,315250,315220,both_years
315250,6104220090,315250,315240,both_years
315250,6211396030,315250,315220,both_years
315250,6103491010,315250,315220,both_years
315250,6211396040,315250,315220,both_years
315250,6103491020,315250,315220,both_years
315250,6211396050,315250,315220,both_years
315250,6103106010,315250,315220,both_years
315250,6211396060,315250,315220,both_years
315250,6103106015,315250,315220,both_years
315250,6211396070,315250,315220,both_years
315250,6103106030,315250,315220,both_years
315250,6103491060,315250,315220,both_years
315250,6211396090,315250,315220,both_years
315250,6203499010,315250,315220,both_years
315250,6203499020,315250,315220,both_years
