NIPA_Line,Description,Direct,Indirect,Total
289,Internet access,0.0,0.0020374085291568543,0.0020374085291568543
86,Fresh milk,0.001123859732957688,0.0009015048670852903,0.0020253646000429784
84,Fish and seafood,0.0014873025122367582,0.00043045999913720565,0.0019177625113739637
292,Proprietary and public higher education,0.0,0.0018371411312533203,0.0018371411312533203
175,Dental services,0.0,0.001827531270856269,0.001827531270856269
171,Natural gas,0.0,0.0018252538951257376,0.0018252538951257376
136,Miscellaneous household products,0.0017222594404922049,9.795580598856406e-05,0.0018202152464807688
256,Other depository institutions and regulated investment companies,0.0,0.0016345297197061066,0.0016345297197061066
89,Fats and oils,0.0008941885733699559,0.000717273986553104,0.0016114625599230597
97,"Coffee, tea, and other beverage materials",0.0009542735980038399,0.0006375554241444499,0.0015918290221482898
306,Funeral and burial services,0.0010353590888262387,0.0005328226633398463,0.001568181752166085
61,Musical instruments,0.0014904537966901668,6.256797434279858e-05,0.0015530217710329655
268,Portfolio management and investment advice services,0.0,0.001537466463736552,0.001537466463736552
13,Used autos,0.0,0.0014895262260670714,0.0014895262260670714
211,Membership clubs and participant sports centers,0.0,0.0014553511006259229,0.0014553511006259229
310,Miscellaneous personal care services,0.0,0.0014362215084355217,0.0014362215084355217
168,Garbage and trash collection,0.0,0.0013843632535399835,0.0013843632535399835
228,Lotteries,0.0,0.0013803565237513556,0.0013803565237513556
181,All other professional medical services,0.0,0.0013658051623185502,0.0013658051623185502
116,Lubricants and fluids,0.00023188550281319766,0.001120584953753021,0.0013524704565662186
309,Hairdressing salons and personal grooming establishments,0.0,0.0013208883568149165,0.0013208883568149165
316,Child care,0.0,0.0012955171151756623,0.0012955171151756623
293,Nonprofit private higher education services to households,0.0,0.0012396230322624527,0.0012396230322624527
188,Nonprofit nursing homes' services to households,0.0,0.0011212642696426592,0.0011212642696426592
231,Veterinary and other services for pets,4.345913566649235e-05,0.00104258439183155,0.0010860435274980425
47,Photographic equipment,0.0009768663062996224,4.1283815017706e-05,0.0010181501213173286
332,Other household services,0.0,0.0010015465135218035,0.0010015465135218035
255,Commercial banks,0.0,0.0009807885352803923,0.0009807885352803923
178,Medical laboratories,0.0,0.0009714172809089437,0.0009714172809089437
88,Eggs,0.0005614887992965235,0.00038659512300152443,0.0009480839222980479
50,Computer software and accessories,0.0,0.0009092716962677127,0.0009092716962677127
198,Parking fees and tolls,0.0,0.0009057817332139284,0.0009057817332139284
297,Commercial and vocational schools,0.0,0.0008700140208425301,0.0008700140208425301
156,Tenant-occupied stationary homes and landlord durables,0.0,0.0007771833912494031,0.0007771833912494031
223,Video and audio streaming and rental,0.0,0.0007495509740904393,0.0007495509740904393
257,Pension funds,0.0,0.0007287271946000739,0.0007287271946000739
259,Financial service charges and fees,0.0,0.0007197644005775648,0.0007197644005775648
276,Medical care and hospitalization,0.0,0.0007173268298378193,0.0007173268298378193
143,Newspapers and periodicals,0.0,0.0006947744238729713,0.0006947744238729713
119,Other fuels,0.0003985259962905386,0.00029104382354099224,0.0006895698198315308
55,Bicycles and accessories,0.0005243442020234143,0.00016348206953209192,0.0006878262715555062
251,Housing at schools,0.0,0.0006872884355819306,0.0006872884355819306
240,Higher education school lunches,0.0,0.0006188927218823717,0.0006188927218823717
295,Elementary and secondary schools,0.0,0.0005716212751059984,0.0005716212751059984
110,Clothing materials,0.0004987056601002872,6.507653440372188e-05,0.0005637821945040091
283,"Land-line telephone services, local charges",0.0,0.0005517501459454044,0.0005517501459454044
205,Intracity mass transit,0.0,0.0005291614487882425,0.0005291614487882425
299,Legal services,0.0,0.0005165488355873632,0.0005165488355873632
125,Other medical products,0.00042964761874792043,5.058112676196828e-05,0.0004802287455098887
328,Domestic services,0.0,0.0004623325248608531,0.0004623325248608531
318,Homes for the elderly,0.0,0.00045793851791836685,0.00045793851791836685
206,Other road transportation service,0.0,0.00044865343478826754,0.00044865343478826754
271,Life insurance,0.0,0.0004154524272340288,0.0004154524272340288
