NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
100,Spirits,12,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Alcoholic beverages purchased for off-premises consumption,Spirits,,,,,,59
101,Wine,12,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Alcoholic beverages purchased for off-premises consumption,Wine,,,,,,60
102,Beer,12,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Alcoholic beverages purchased for off-premises consumption,Beer,,,,,,61
103,Food produced and consumed on farms,8,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food produced and consumed on farms,,,,,,,62
106,Women's and girls' clothing,12,Goods,Nondurable goods,Clothing and footwear,Garments,Women's and girls' clothing,,,,,,63
107,Men's and boys' clothing,12,Goods,Nondurable goods,Clothing and footwear,Garments,Men's and boys' clothing,,,,,,64
108,Children's and infants' clothing,12,Goods,Nondurable goods,Clothing and footwear,Garments,Children's and infants' clothing,,,,,,65
110,Clothing materials,12,Goods,Nondurable goods,Clothing and footwear,Other clothing materials and footwear,Clothing materials,,,,,,66
111,Standard clothing issued to military personnel,12,Goods,Nondurable goods,Clothing and footwear,Other clothing materials and footwear,Standard clothing issued to military personnel,,,,,,67
112,Shoes and other footwear,12,Goods,Nondurable goods,Clothing and footwear,Other clothing materials and footwear,Shoes and other footwear,,,,,,68
115,Gasoline and other motor fuel,12,Goods,Nondurable goods,Gasoline and other energy goods,"Motor vehicle fuels, lubricants, and fluids",Gasoline and other motor fuel,,,,,,69
116,Lubricants and fluids,12,Goods,Nondurable goods,Gasoline and other energy goods,"Motor vehicle fuels, lubricants, and fluids",Lubricants and fluids,,,,,,70
118,Fuel oil,12,Goods,Nondurable goods,Gasoline and other energy goods,Fuel oil and other fuels,Fuel oil,,,,,,71
119,Other fuels,12,Goods,Nondurable goods,Gasoline and other energy goods,Fuel oil and other fuels,Other fuels,,,,,,72
122,Pharmaceutical products,12,Goods,Nondurable goods,Other nondurable goods,Pharmaceutical and other medical products,Pharmaceutical products,,,,,,73
125,Other medical products,12,Goods,Nondurable goods,Other nondurable goods,Pharmaceutical and other medical products,Other medical products,,,,,,74
127,"Games, toys, and hobbies",12,Goods,Nondurable goods,Other nondurable goods,Recreational items,"Games, toys, and hobbies",,,,,,75
128,Pets and related products,12,Goods,Nondurable goods,Other nondurable goods,Recreational items,Pets and related products,,,,,,76
129,"Flowers, seeds, and potted plants",12,Goods,Nondurable goods,Other nondurable goods,Recreational items,"Flowers, seeds, and potted plants",,,,,,77
130,Film and photographic supplies,12,Goods,Nondurable goods,Other nondurable goods,Recreational items,Film and photographic supplies,,,,,,78
132,Household cleaning products,12,Goods,Nondurable goods,Other nondurable goods,Household supplies,Household cleaning products,,,,,,79
133,Household paper products,12,Goods,Nondurable goods,Other nondurable goods,Household supplies,Household paper products,,,,,,80
134,Household linens,12,Goods,Nondurable goods,Other nondurable goods,Household supplies,Household linens,,,,,,81
135,Sewing items,12,Goods,Nondurable goods,Other nondurable goods,Household supplies,Sewing items,,,,,,82
136,Miscellaneous household products,12,Goods,Nondurable goods,Other nondurable goods,Household supplies,Miscellaneous household products,,,,,,83
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",12,Goods,Nondurable goods,Other nondurable goods,Personal care products,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",,,,,,84
139,Cosmetic / perfumes / bath / nail preparations and implements,12,Goods,Nondurable goods,Other nondurable goods,Personal care products,Cosmetic / perfumes / bath / nail preparations and implements,,,,,,85
140,Electric appliances for personal care,12,Goods,Nondurable goods,Other nondurable goods,Personal care products,Electric appliances for personal care,,,,,,86
141,Tobacco,8,Goods,Nondurable goods,Other nondurable goods,Tobacco,,,,,,,87
143,Newspapers and periodicals,12,Goods,Nondurable goods,Other nondurable goods,"Magazines, newspapers, and stationery",Newspapers and periodicals,,,,,,88
144,Stationery and miscellaneous printed materials,12,Goods,Nondurable goods,Other nondurable goods,"Magazines, newspapers, and stationery",Stationery and miscellaneous printed materials,,,,,,89
147,Government employees' expenditures abroad,14,Goods,Nondurable goods,Other nondurable goods,Net expenditures abroad by U.S. residents,Expenditures abroad by U.S. residents,Government employees' expenditures abroad,,,,,90
148,Private employees' expenditures abroad,14,Goods,Nondurable goods,Other nondurable goods,Net expenditures abroad by U.S. residents,Expenditures abroad by U.S. residents,Private employees' expenditures abroad,,,,,91
149,Less: Personal remittances in kind to nonresidents,12,Goods,Nondurable goods,Other nondurable goods,Net expenditures abroad by U.S. residents,Less: Personal remittances in kind to nonresidents,,,,,,92
155,Tenant-occupied mobile homes,14,Services,Household consumption expenditures (for services),Housing and utilities,Housing,Rental of tenant-occupied nonfarm housing,Tenant-occupied mobile homes,,,,,93
156,Tenant-occupied stationary homes and landlord durables,14,Services,Household consumption expenditures (for services),Housing and utilities,Housing,Rental of tenant-occupied nonfarm housing,Tenant-occupied stationary homes and landlord durables,,,,,94
161,Owner-occupied mobile homes,14,Services,Household consumption expenditures (for services),Housing and utilities,Housing,Imputed rental of owner-occupied nonfarm housing,Owner-occupied mobile homes,,,,,95
162,Owner-occupied stationary homes,14,Services,Household consumption expenditures (for services),Housing and utilities,Housing,Imputed rental of owner-occupied nonfarm housing,Owner-occupied stationary homes,,,,,96
163,Rental value of farm dwellings,12,Services,Household consumption expenditures (for services),Housing and utilities,Housing,Rental value of farm dwellings,,,,,,97
164,Group housing,12,Services,Household consumption expenditures (for services),Housing and utilities,Housing,Group housing,,,,,,98
167,Water supply and sewage maintenance,14,Services,Household consumption expenditures (for services),Housing and utilities,Household utilities,Water supply and sanitation,Water supply and sewage maintenance,,,,,99
168,Garbage and trash collection,14,Services,Household consumption expenditures (for services),Housing and utilities,Household utilities,Water supply and sanitation,Garbage and trash collection,,,,,100
170,Electricity,14,Services,Household consumption expenditures (for services),Housing and utilities,Household utilities,Electricity and gas,Electricity,,,,,101
171,Natural gas,14,Services,Household consumption expenditures (for services),Housing and utilities,Household utilities,Electricity and gas,Natural gas,,,,,102
174,Physician services,12,Services,Household consumption expenditures (for services),Health care,Outpatient services,Physician services,,,,,,103
175,Dental services,12,Services,Household consumption expenditures (for services),Health care,Outpatient services,Dental services,,,,,,104
177,Home health care,14,Services,Household consumption expenditures (for services),Health care,Outpatient services,Paramedical services,Home health care,,,,,105
178,Medical laboratories,14,Services,Household consumption expenditures (for services),Health care,Outpatient services,Paramedical services,Medical laboratories,,,,,106
180,Specialty outpatient care facilities and health and allied services,16,Services,Household consumption expenditures (for services),Health care,Outpatient services,Paramedical services,Other professional medical services,Specialty outpatient care facilities and health and allied services,,,,107
181,All other professional medical services,16,Services,Household consumption expenditures (for services),Health care,Outpatient services,Paramedical services,Other professional medical services,All other professional medical services,,,,108
184,Nonprofit hospitals' services to households,14,Services,Household consumption expenditures (for services),Health care,Hospital and nursing home services,Hospitals,Nonprofit hospitals' services to households,,,,,109
