Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Germany,46054.0,7228703041,72,7228703041,331110,331110,direct_2022
Germany,431576.0,7228703081,72,7228703081,331110,331110,direct_2022
Italy,22190.0,7228703081,72,7228703081,331110,331110,direct_2022
Germany,762331.0,7228706000,72,7228706000,331110,331110,direct_2022
Italy,3438795.0,7228706000,72,7228706000,331110,331110,direct_2022
Italy,228550.0,7228800000,72,7228800000,331110,331110,direct_2022
Germany,149211.0,7229200010,72,7229200010,331222,331222,direct_2022
Italy,17527320.0,7229200010,72,7229200010,331222,331222,direct_2022
Germany,27014.0,7229200015,72,7229200015,331222,331222,direct_2022
Italy,10759.0,7229200015,72,7229200015,331222,331222,direct_2022
Germany,17011.0,7229200090,72,7229200090,331222,331222,direct_2022
Italy,48098.0,7229200090,72,7229200090,331222,331222,direct_2022
France,430653.0,7229900500,72,7229900500,331222,331222,direct_2022
Germany,1289987.0,7229901000,72,7229901000,331222,331222,direct_2022
Germany,404699.0,7229905006,72,7229905006,331222,331222,direct_2022
Italy,16707.0,7229905006,72,7229905006,331222,331222,direct_2022
Germany,51680.0,7229905008,72,7229905008,331222,331222,direct_2022
France,38585.0,7229905016,72,7229905016,331222,331222,direct_2022
Germany,86275.0,7229905016,72,7229905016,331222,331222,direct_2022
Italy,409863.0,7229905016,72,7229905016,331222,331222,direct_2022
France,61540.0,7229905031,72,7229905031,331222,331222,direct_2022
Germany,427341.0,7229905031,72,7229905031,331222,331222,direct_2022
Italy,113115.0,7229905031,72,7229905031,331222,331222,direct_2022
France,3955178.0,7229905051,72,7229905051,331222,331222,direct_2022
Germany,6016401.0,7229905051,72,7229905051,331222,331222,direct_2022
Italy,960904.0,7229905051,72,7229905051,331222,331222,direct_2022
France,3465980.0,7229909000,72,7229909000,331222,331222,direct_2022
Germany,3648808.0,7229909000,72,7229909000,331222,331222,direct_2022
Italy,2116210.0,7229909000,72,7229909000,331222,331222,direct_2022
Germany,78937.0,7301100000,73,7301100000,331110,331110,direct_2022
France,439648.0,7301201000,73,7301201000,331110,331110,direct_2022
Germany,301655.0,7301201000,73,7301201000,331110,331110,direct_2022
Greece,5668.0,7301201000,73,7301201000,331110,331110,direct_2022
Italy,176244.0,7301201000,73,7301201000,331110,331110,direct_2022
France,173247.0,7301205000,73,7301205000,331110,331110,direct_2022
Germany,85425.0,7301205000,73,7301205000,331110,331110,direct_2022
Ireland,3840.0,7301205000,73,7301205000,331110,331110,direct_2022
Italy,134575.0,7301205000,73,7301205000,331110,331110,direct_2022
Italy,2295844.0,7302101010,73,7302101010,331110,331110,direct_2022
Italy,366800.0,7302101015,73,7302101015,331110,331110,direct_2022
Germany,82461.0,7302101025,73,7302101025,331110,331110,direct_2022
Italy,19988.0,7302101025,73,7302101025,331110,331110,direct_2022
Italy,19328.0,7302101035,73,7302101035,331110,331110,direct_2022
Germany,8852.0,7302101065,73,7302101065,331110,331110,direct_2022
Germany,13861.0,7302101075,73,7302101075,331110,331110,direct_2022
France,2424242.0,7302105020,73,7302105020,331110,331110,direct_2022
Germany,398504.0,7302105020,73,7302105020,331110,331110,direct_2022
Italy,3576.0,7302105020,73,7302105020,331110,331110,direct_2022
France,8452.0,7302105060,73,7302105060,331110,331110,direct_2022
Germany,40439.0,7302105060,73,7302105060,331110,331110,direct_2022
France,1009851.0,7302300000,73,7302300000,332999,332999,direct_2022
Germany,263169.0,7302300000,73,7302300000,332999,332999,direct_2022
Germany,8228.0,7302400000,73,7302400000,332999,332999,direct_2022
France,38112.0,7302909000,73,7302909000,332999,332999,direct_2022
Germany,110173.0,7302909000,73,7302909000,332999,332999,direct_2022
Italy,24244.0,7302909000,73,7302909000,332999,332999,direct_2022
Germany,39972.0,7303000030,73,7303000030,331511,331511,direct_2022
Germany,523016.0,7303000060,73,7303000060,331511,331511,direct_2022
France,124740.0,7303000090,73,7303000090,331511,331511,direct_2022
Germany,1588381.0,7303000090,73,7303000090,331511,331511,direct_2022
Hungary,11872.0,7303000090,73,7303000090,331511,331511,direct_2022
Italy,47947.0,7303000090,73,7303000090,331511,331511,direct_2022
France,375034.0,7304110020,73,7304110020,331210,331110,direct_2022
Germany,582241.0,7304110020,73,7304110020,331210,331110,direct_2022
Italy,3783392.0,7304110020,73,7304110020,331210,331110,direct_2022
France,386185.0,7304110050,73,7304110050,331210,331110,direct_2022
Germany,40342.0,7304110050,73,7304110050,331210,331110,direct_2022
Italy,189916.0,7304110050,73,7304110050,331210,331110,direct_2022
France,16200.0,7304110080,73,7304110080,331210,331110,direct_2022
Germany,171973.0,7304110080,73,7304110080,331210,331110,direct_2022
Italy,115712.0,7304110080,73,7304110080,331210,331110,direct_2022
France,90472.0,7304191020,73,7304191020,331110,331110,direct_2022
Germany,106058.0,7304191020,73,7304191020,331110,331110,direct_2022
Italy,467135.0,7304191020,73,7304191020,331110,331110,direct_2022
France,13813.0,7304191030,73,7304191030,331110,331110,direct_2022
