Country,iso3,HS_Section,detail_code,impVal,bea_total,weight
Albania,ALB,6,3259A0,3767096.0,3767096.0,1.0
Albania,ALB,7,326110,195919.0,195919.0,1.0
Albania,ALB,7,326120,3976.0,3976.0,1.0
Albania,ALB,7,326190,667530.0,674233.0,0.9900583329501819
Albania,ALB,20,326190,6703.0,674233.0,0.00994166704981809
Albania,ALB,7,326220,107325.0,107325.0,1.0
Albania,ALB,7,326290,10619.0,10619.0,1.0
Albania,ALB,13,327100,20281.0,20281.0,1.0
Albania,ALB,13,327200,73211.0,73211.0,1.0
Albania,ALB,13,327991,11025.0,11025.0,1.0
Albania,ALB,6,327999,2077.0,5277.0,0.39359484555618723
Albania,ALB,13,327999,3200.0,5277.0,0.6064051544438128
Albania,ALB,15,331110,64719108.0,64719108.0,1.0
Albania,ALB,15,33131B,106710.0,106710.0,1.0
Albania,ALB,15,331490,6450.0,6450.0,1.0
Albania,ALB,16,331510,2200.0,2200.0,1.0
Albania,ALB,15,332200,11006.0,11006.0,1.0
Albania,ALB,15,332310,811655.0,893116.0,0.9087901235673753
Albania,ALB,20,332310,81461.0,893116.0,0.09120987643262465
Albania,ALB,15,332320,4921554.0,4921554.0,1.0
Albania,ALB,15,332500,14517.0,14517.0,1.0
Albania,ALB,15,332600,200385.0,200385.0,1.0
Albania,ALB,16,33291A,18883.0,18883.0,1.0
Albania,ALB,15,332999,306142.0,308183.0,0.9933773115324337
Albania,ALB,16,332999,2041.0,308183.0,0.006622688467566348
Albania,ALB,17,333111,41504.0,41504.0,1.0
Albania,ALB,16,333120,28670.0,50139.0,0.5718103671792417
Albania,ALB,17,333120,21469.0,50139.0,0.4281896328207583
Albania,ALB,16,333130,20410.0,20410.0,1.0
Albania,ALB,16,333242,2701.0,2701.0,1.0
Albania,ALB,16,33329A,62477.0,62477.0,1.0
Albania,ALB,18,333316,2910.0,2910.0,1.0
Albania,ALB,16,333413,28462.0,28462.0,1.0
Albania,ALB,16,333415,9300.0,9300.0,1.0
