Country,iso3,HS2,detail_code,impVal,bea_total,weight
Albania,ALB,76,33131B,106710.0,106710.0,1.0
Albania,ALB,81,331490,6450.0,6450.0,1.0
Albania,ALB,84,331510,2200.0,2200.0,1.0
Albania,ALB,73,332200,8019.0,11006.0,0.728602580410685
Albania,ALB,76,332200,2987.0,11006.0,0.2713974195893149
Albania,ALB,73,332310,135747.0,893116.0,0.1519925743128552
Albania,ALB,76,332310,675908.0,893116.0,0.7567975492545201
Albania,ALB,94,332310,81461.0,893116.0,0.09120987643262465
Albania,ALB,73,332320,128329.0,4921554.0,0.026074894230562137
Albania,ALB,76,332320,4793225.0,4921554.0,0.9739251057694379
Albania,ALB,83,332500,14517.0,14517.0,1.0
Albania,ALB,73,332600,200385.0,200385.0,1.0
Albania,ALB,84,33291A,18883.0,18883.0,1.0
Albania,ALB,73,332999,294099.0,308183.0,0.9542998802659459
Albania,ALB,76,332999,9954.0,308183.0,0.03229899118380962
Albania,ALB,79,332999,2089.0,308183.0,0.006778440082678149
Albania,ALB,84,332999,2041.0,308183.0,0.006622688467566348
Albania,ALB,87,333111,41504.0,41504.0,1.0
Albania,ALB,84,333120,28670.0,50139.0,0.5718103671792417
Albania,ALB,87,333120,21469.0,50139.0,0.4281896328207583
Albania,ALB,84,333130,20410.0,20410.0,1.0
Albania,ALB,84,333242,2701.0,2701.0,1.0
Albania,ALB,84,33329A,62477.0,62477.0,1.0
Albania,ALB,90,333316,2910.0,2910.0,1.0
Albania,ALB,84,333413,28462.0,28462.0,1.0
Albania,ALB,84,333415,9300.0,9300.0,1.0
Albania,ALB,84,333618,8201.0,8201.0,1.0
Albania,ALB,84,333914,11620.0,11620.0,1.0
Albania,ALB,84,33399A,2238.0,2238.0,1.0
Albania,ALB,84,33399B,8577.0,8577.0,1.0
Albania,ALB,84,334118,3936.0,3936.0,1.0
Albania,ALB,85,334210,30335.0,30335.0,1.0
Albania,ALB,85,334220,44658.0,44658.0,1.0
Albania,ALB,85,334290,10954.0,10954.0,1.0
Albania,ALB,85,334413,89391.0,89391.0,1.0
Albania,ALB,90,334510,10098.0,10098.0,1.0
Albania,ALB,85,334511,17095.0,17095.0,1.0
Albania,ALB,90,33451A,3226.0,3226.0,1.0
Albania,ALB,85,335210,247544.0,247544.0,1.0
Albania,ALB,85,335220,3469.0,3469.0,1.0
Albania,ALB,85,335312,37870.0,37870.0,1.0
Albania,ALB,85,335313,42934.0,42934.0,1.0
Albania,ALB,85,335911,81435.0,81435.0,1.0
Albania,ALB,85,335920,841465.0,841465.0,1.0
Albania,ALB,85,335999,97703.0,97703.0,1.0
Albania,ALB,84,336310,3219.0,3219.0,1.0
Albania,ALB,85,336320,29906.0,29906.0,1.0
Albania,ALB,94,336360,352882.0,352882.0,1.0
Albania,ALB,87,336390,402004.0,402004.0,1.0
Albania,ALB,87,3363A0,267516.0,267516.0,1.0
Albania,ALB,89,336611,3718.0,3718.0,1.0
Albania,ALB,89,336612,480000.0,480000.0,1.0
Albania,ALB,94,337110,114513.0,114513.0,1.0
Albania,ALB,94,337121,379963.0,379963.0,1.0
Albania,ALB,94,337122,197552.0,197552.0,1.0
Albania,ALB,94,337127,767499.0,767499.0,1.0
Albania,ALB,94,33712N,366305.0,366305.0,1.0
Albania,ALB,94,337215,155227.0,155227.0,1.0
Albania,ALB,94,33721A,25111.0,25111.0,1.0
Albania,ALB,94,337900,679843.0,679843.0,1.0
Albania,ALB,90,339112,28287.0,28287.0,1.0
Albania,ALB,71,339910,99859.0,99859.0,1.0
Albania,ALB,40,339990,20867.0,139451.0,0.14963678998357846
Albania,ALB,66,339990,35794.0,139451.0,0.25667797290804656
Albania,ALB,83,339990,2331.0,139451.0,0.0167155488307721
Albania,ALB,96,339990,80459.0,139451.0,0.5769696882776029
Albania,ALB,63,S00300,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,71,S00300,91393.0,1871498.0,0.04883414248906491
Albania,ALB,87,S00300,32500.0,1871498.0,0.017365767957005566
Albania,ALB,97,S00300,215678.0,1871498.0,0.11524351081326296
Albania,ALB,98,S00300,469414.0,1871498.0,0.25082260306984033
Albania,ALB,99,S00300,1061030.0,1871498.0,0.5669415623206651
Algeria,DZA,8,111300,14469997.0,14469997.0,1.0
Algeria,DZA,12,111900,10830.0,10830.0,1.0
Algeria,DZA,27,211000,334188539.0,334188539.0,1.0
Algeria,DZA,11,311210,2923.0,2923.0,1.0
Algeria,DZA,15,311224,178260.0,178260.0,1.0
Algeria,DZA,15,311225,20918.0,20918.0,1.0
Algeria,DZA,19,311230,10719.0,10719.0,1.0
Algeria,DZA,18,311300,12984.0,15193.0,0.8546040939906536
Algeria,DZA,20,311300,2209.0,15193.0,0.1453959060093464
Algeria,DZA,20,311420,163741.0,163741.0,1.0
Algeria,DZA,16,311700,41080.0,41080.0,1.0
Algeria,DZA,19,311810,44933.0,44933.0,1.0
Algeria,DZA,19,3118A0,6019.0,6019.0,1.0
Algeria,DZA,12,311920,3192.0,20426.0,0.1562714187799863
Algeria,DZA,9,311920,17234.0,20426.0,0.8437285812200137
Algeria,DZA,21,311930,3456.0,3456.0,1.0
Algeria,DZA,21,311940,12400.0,20119.0,0.6163328197226502
Algeria,DZA,9,311940,7719.0,20119.0,0.38366718027734975
Algeria,DZA,21,311990,3180.0,3180.0,1.0
Algeria,DZA,22,312110,125042.0,125042.0,1.0
Algeria,DZA,63,314120,418.0,418.0,1.0
Algeria,DZA,42,315000,10887.0,13743.0,0.7921851124208688
Algeria,DZA,61,315000,1265.0,13743.0,0.09204686021974824
Algeria,DZA,62,315000,1591.0,13743.0,0.11576802735938296
Algeria,DZA,48,322210,2178.0,2178.0,1.0
Algeria,DZA,95,322299,8107.0,8107.0,1.0
Algeria,DZA,49,323110,9839.0,9839.0,1.0
Algeria,DZA,27,324110,1679957473.0,1679957473.0,1.0
Algeria,DZA,28,325120,21594574.0,21594574.0,1.0
Algeria,DZA,28,325180,32316.0,32316.0,1.0
Algeria,DZA,38,325190,2533.0,2533.0,1.0
Algeria,DZA,28,325310,43314917.0,213149977.0,0.20321333180345594
Algeria,DZA,31,325310,169835060.0,213149977.0,0.7967866681965441
Algeria,DZA,33,325620,3194.0,3194.0,1.0
Algeria,DZA,39,326190,18326.0,18326.0,1.0
Algeria,DZA,40,326210,1975934.0,1975934.0,1.0
Algeria,DZA,40,326220,979.0,979.0,1.0
Algeria,DZA,69,327100,14958.0,14958.0,1.0
Algeria,DZA,70,327200,1148915.0,1148915.0,1.0
Algeria,DZA,25,327310,84201419.0,84201419.0,1.0
Algeria,DZA,72,331110,76758622.0,76758622.0,1.0
Algeria,DZA,82,332200,8189.0,8189.0,1.0
Algeria,DZA,84,332410,15101.0,15101.0,1.0
Algeria,DZA,83,332500,7671.0,7671.0,1.0
Algeria,DZA,84,332991,2078.0,2078.0,1.0
Algeria,DZA,84,333413,103133.0,103133.0,1.0
Algeria,DZA,82,333514,15129.0,15129.0,1.0
Algeria,DZA,84,333914,47330.0,47330.0,1.0
Algeria,DZA,84,33399A,46447.0,46447.0,1.0
Algeria,DZA,85,334300,11428.0,11428.0,1.0
Algeria,DZA,85,33441A,435178.0,435178.0,1.0
Algeria,DZA,90,334510,46438.0,46438.0,1.0
Algeria,DZA,85,334511,2103.0,2103.0,1.0
Algeria,DZA,90,334513,15377.0,15377.0,1.0
Algeria,DZA,90,334515,27491.0,27491.0,1.0
Algeria,DZA,90,334516,6183.0,6183.0,1.0
Algeria,DZA,94,335120,9432.0,9432.0,1.0
Algeria,DZA,85,335312,55366.0,55366.0,1.0
Algeria,DZA,85,335920,6278.0,6278.0,1.0
Algeria,DZA,85,335930,14120.0,14120.0,1.0
Algeria,DZA,84,336310,2194.0,2194.0,1.0
Algeria,DZA,84,336412,62900.0,62900.0,1.0
Algeria,DZA,88,33641A,18429.0,18429.0,1.0
Algeria,DZA,40,339990,803.0,803.0,1.0
Algeria,DZA,49,S00300,39000.0,32433464.0,0.0012024617536998206
Algeria,DZA,71,S00300,6002770.0,32433464.0,0.1850795215706839
Algeria,DZA,97,S00300,391593.0,32433464.0,0.012073733474783946
Algeria,DZA,98,S00300,25716264.0,32433464.0,0.7928929207191683
Algeria,DZA,99,S00300,283837.0,32433464.0,0.008751362481664
Andorra,AND,19,311810,2912.0,2912.0,1.0
Andorra,AND,59,313200,511.0,511.0,1.0
Andorra,AND,49,323110,123903.0,123903.0,1.0
Andorra,AND,39,325211,584.0,584.0,1.0
Andorra,AND,39,326190,18254.0,19679.0,0.9275877839321104
Andorra,AND,42,326190,1425.0,19679.0,0.07241221606788963
Andorra,AND,71,331490,11165.0,11165.0,1.0
Andorra,AND,83,332500,3976.0,3976.0,1.0
Andorra,AND,84,332991,17086.0,17086.0,1.0
Andorra,AND,73,332999,176469.0,176469.0,1.0
Andorra,AND,87,333111,3723.0,3723.0,1.0
Andorra,AND,90,333314,7506.0,7506.0,1.0
Andorra,AND,82,333514,4500.0,4500.0,1.0
Andorra,AND,84,333517,6838.0,6838.0,1.0
Andorra,AND,84,33351B,2488.0,2488.0,1.0
Andorra,AND,84,333920,3171.0,3171.0,1.0
Andorra,AND,85,334220,16798.0,16798.0,1.0
Andorra,AND,85,334413,1452814.0,1452814.0,1.0
Andorra,AND,85,33441A,27791.0,27791.0,1.0
Andorra,AND,85,334511,2500.0,2500.0,1.0
Andorra,AND,90,334513,20000.0,20000.0,1.0
Andorra,AND,90,334515,6000.0,6000.0,1.0
Andorra,AND,90,334516,4879.0,4879.0,1.0
Andorra,AND,91,33451A,17450.0,17450.0,1.0
Andorra,AND,85,335912,27334.0,27334.0,1.0
Andorra,AND,84,336412,8506.0,8506.0,1.0
Andorra,AND,87,336991,16489.0,16489.0,1.0
Andorra,AND,94,337127,30176.0,30176.0,1.0
Andorra,AND,90,339112,94460.0,94460.0,1.0
Andorra,AND,90,339116,44301.0,44301.0,1.0
Andorra,AND,71,339910,115500.0,131796.0,0.8763543658381134
Andorra,AND,91,339910,16296.0,131796.0,0.12364563416188655
Andorra,AND,95,339930,312946.0,312946.0,1.0
Andorra,AND,39,339990,832.0,333724.0,0.002493078112452206
Andorra,AND,67,339990,2925.0,333724.0,0.008764727739089788
Andorra,AND,92,339990,231786.0,333724.0,0.6945439944385181
Andorra,AND,95,339990,98181.0,333724.0,0.29419819970993993
Andorra,AND,49,S00300,101100.0,436774.0,0.23146982192163454
Andorra,AND,97,S00300,237187.0,436774.0,0.5430428551150023
Andorra,AND,98,S00300,61938.0,436774.0,0.1418078914953729
Andorra,AND,99,S00300,36549.0,436774.0,0.08367943146799031
Angola,AGO,9,111300,69550.0,69550.0,1.0
Angola,AGO,16,114000,55849.0,55849.0,1.0
Angola,AGO,27,211000,1689780168.0,1689780168.0,1.0
Angola,AGO,16,311700,4500.0,4500.0,1.0
Angola,AGO,62,315000,900.0,900.0,1.0
Angola,AGO,44,321100,203279.0,203279.0,1.0
Angola,AGO,49,323110,3619.0,3619.0,1.0
Angola,AGO,27,324110,59121164.0,59121164.0,1.0
Angola,AGO,68,327991,38522.0,38522.0,1.0
Angola,AGO,72,331110,11612661.0,11612661.0,1.0
Angola,AGO,73,331200,3402592.0,3402592.0,1.0
Angola,AGO,28,331410,4151880.0,4151880.0,1.0
Angola,AGO,73,332999,32576.0,32576.0,1.0
Angola,AGO,87,333120,34130.0,34130.0,1.0
Angola,AGO,87,3363A0,48419.0,48419.0,1.0
Angola,AGO,71,339910,100679357.0,100679357.0,1.0
Anguilla,AIA,22,312130,235930.0,235930.0,1.0
Anguilla,AIA,63,314120,2056.0,2056.0,1.0
Anguilla,AIA,61,315000,535.0,535.0,1.0
Anguilla,AIA,42,316000,1154.0,164637.0,0.007009359985908392
Anguilla,AIA,64,316000,163483.0,164637.0,0.9929906400140917
Anguilla,AIA,33,325620,53405.0,53405.0,1.0
Anguilla,AIA,39,326190,68858.0,68858.0,1.0
Anguilla,AIA,69,327100,27030.0,27030.0,1.0
Anguilla,AIA,68,327999,28298.0,28298.0,1.0
Anguilla,AIA,84,33399A,3666.0,3666.0,1.0
Anguilla,AIA,94,335120,2000.0,2000.0,1.0
Anguilla,AIA,85,335312,2505.0,2505.0,1.0
Anguilla,AIA,85,335911,19824.0,19824.0,1.0
Anguilla,AIA,84,336412,108000.0,108000.0,1.0
Anguilla,AIA,94,337122,13340.0,13340.0,1.0
Anguilla,AIA,71,S00300,86640.0,460514.0,0.1881376027656054
Anguilla,AIA,72,S00300,5598.0,460514.0,0.012155982228553313
Anguilla,AIA,74,S00300,46830.0,460514.0,0.10169071950038436
Anguilla,AIA,76,S00300,8734.0,460514.0,0.018965764341583535
Anguilla,AIA,85,S00300,33715.0,460514.0,0.07321167217500445
Anguilla,AIA,97,S00300,8077.0,460514.0,0.017539097617010557
Anguilla,AIA,98,S00300,207023.0,460514.0,0.44954767933222445
Anguilla,AIA,99,S00300,63897.0,460514.0,0.13875148203963397
Antigua and Barbuda,ATG,25,2123A0,54800.0,54800.0,1.0
Antigua and Barbuda,ATG,21,311990,65600.0,65600.0,1.0
Antigua and Barbuda,ATG,22,312130,93175.0,93175.0,1.0
Antigua and Barbuda,ATG,22,312140,75438.0,75438.0,1.0
Antigua and Barbuda,ATG,63,314900,65143.0,65143.0,1.0
Antigua and Barbuda,ATG,42,315000,1850.0,5230.0,0.35372848948374763
Antigua and Barbuda,ATG,62,315000,3380.0,5230.0,0.6462715105162524
Antigua and Barbuda,ATG,42,316000,2070.0,2070.0,1.0
Antigua and Barbuda,ATG,49,323110,205042.0,205042.0,1.0
Antigua and Barbuda,ATG,27,324110,1393295.0,1393295.0,1.0
Antigua and Barbuda,ATG,28,325120,3581.0,3581.0,1.0
Antigua and Barbuda,ATG,39,326220,289.0,289.0,1.0
Antigua and Barbuda,ATG,69,327100,9216.0,9216.0,1.0
Antigua and Barbuda,ATG,68,327999,4241.0,4241.0,1.0
Antigua and Barbuda,ATG,76,331313,1395289.0,1395289.0,1.0
Antigua and Barbuda,ATG,73,332999,5243.0,5243.0,1.0
Antigua and Barbuda,ATG,84,333618,54766.0,54766.0,1.0
Antigua and Barbuda,ATG,84,333914,3000.0,3000.0,1.0
Antigua and Barbuda,ATG,84,33399A,7741.0,7741.0,1.0
Antigua and Barbuda,ATG,84,334111,5690.0,5690.0,1.0
Antigua and Barbuda,ATG,85,334220,12000.0,12000.0,1.0
Antigua and Barbuda,ATG,90,334515,3754.0,3754.0,1.0
Antigua and Barbuda,ATG,90,334516,226261.0,226261.0,1.0
Antigua and Barbuda,ATG,85,335210,10000.0,10000.0,1.0
Antigua and Barbuda,ATG,85,335314,4871.0,4871.0,1.0
Antigua and Barbuda,ATG,87,336390,9049.0,9049.0,1.0
Antigua and Barbuda,ATG,71,339910,22477.0,22477.0,1.0
Antigua and Barbuda,ATG,95,339930,32292.0,32292.0,1.0
Antigua and Barbuda,ATG,39,339990,5672.0,26372.0,0.21507659639011073
Antigua and Barbuda,ATG,84,339990,3700.0,26372.0,0.14030031851964203
Antigua and Barbuda,ATG,95,339990,17000.0,26372.0,0.6446230850902472
Antigua and Barbuda,ATG,49,S00300,10300.0,19955625.0,0.0005161451971561903
Antigua and Barbuda,ATG,71,S00300,338389.0,19955625.0,0.01695707350684331
Antigua and Barbuda,ATG,72,S00300,7805.0,19955625.0,0.00039111779260233643
Antigua and Barbuda,ATG,74,S00300,1087735.0,19955625.0,0.05450768893482414
Antigua and Barbuda,ATG,76,S00300,159227.0,19955625.0,0.007979053525008613
Antigua and Barbuda,ATG,85,S00300,44707.0,19955625.0,0.0022403207115788155
Antigua and Barbuda,ATG,97,S00300,11182577.0,19955625.0,0.5603721757649786
Antigua and Barbuda,ATG,98,S00300,6923869.0,19955625.0,0.3469632747658868
Antigua and Barbuda,ATG,99,S00300,201016.0,19955625.0,0.010073149801121237
Argentina,ARG,12,1111A0,91375019.0,91375019.0,1.0
Argentina,ARG,10,1111B0,34963577.0,43352267.0,0.8064993925231176
Argentina,ARG,7,1111B0,8388690.0,43352267.0,0.19350060747688236
Argentina,ARG,12,111200,7706840.0,44972153.0,0.17136915815438056
Argentina,ARG,7,111200,37265313.0,44972153.0,0.8286308418456194
Argentina,ARG,7,111300,2920557.0,172721351.0,0.01690906759987073
Argentina,ARG,8,111300,169780642.0,172721351.0,0.9829742589264485
Argentina,ARG,9,111300,20152.0,172721351.0,0.00011667347368073794
Argentina,ARG,12,111400,746775.0,967757.0,0.7716554878962384
Argentina,ARG,6,111400,150817.0,967757.0,0.15584180739586487
Argentina,ARG,7,111400,70165.0,967757.0,0.07250270470789671
Argentina,ARG,12,111900,1048326.0,14146737.0,0.0741037314823906
Argentina,ARG,24,111900,13098411.0,14146737.0,0.9258962685176094
Argentina,ARG,1,112A00,9337993.0,159877283.0,0.058407253518312545
Argentina,ARG,3,112A00,17494837.0,159877283.0,0.10942665944604525
