country,CTY_CODE,ISO3,HS2,2024_tariff,2025_tariff_increase,2025_tariff,2024_imports,2024_duty,HS_Section,sector_description
European Union,0.0,EU,76,4.79953422688182,21.1347250557388,25.934259282620623,2406989919.0,115524305.0,15,Base Metals
European Union,0.0,EU,78,2.5204899015477134,10.0,12.520489901547712,15085480.0,380228.0,15,Base Metals
European Union,0.0,EU,79,1.3587824959622126,7.472316945529016,8.83109944149123,106112568.0,1441839.0,15,Base Metals
European Union,0.0,EU,80,0.4373124567074629,3.1508469137869928,3.5881593704944557,79431993.0,347366.0,15,Base Metals
European Union,0.0,EU,81,2.898798015436821,9.312735651057077,12.211533666493898,747767174.0,21676260.0,15,Base Metals
European Union,0.0,EU,82,3.1942416835776486,10.0,13.194241683577648,2348533531.0,75017837.0,15,Base Metals
European Union,0.0,EU,83,2.746861900716382,26.406339520632805,29.153201421349188,1455631606.0,39984190.0,15,Base Metals
European Union,0.0,EU,84,0.8781228133071486,12.6606887559661,13.53881156927325,88197609066.0,774483326.0,16,Mach. & Elec. Equipment
European Union,0.0,EU,85,1.2719984417926804,12.080393194447504,13.352391636240185,37480167926.0,476747152.0,16,Mach. & Elec. Equipment
European Union,0.0,EU,86,1.25605922212973,10.0,11.25605922212973,432187902.0,5428536.0,17,Transportation Rq.
European Union,0.0,EU,87,2.363907676704853,23.34957332071214,25.71348099741699,63089395398.0,1491375061.0,17,Transportation Rq.
European Union,0.0,EU,88,0.001529963703765,12.857569454001055,12.85909941770482,14226285203.0,217657.0,17,Transportation Rq.
European Union,0.0,EU,89,1.2427984645766987,10.0,11.2427984645767,1299190131.0,16146315.0,17,Transportation Rq.
European Union,0.0,EU,90,0.2329155054516225,10.587529162620209,10.820444668071831,36870594267.0,85877331.0,18,Optics
European Union,0.0,EU,91,1.834823168107764,10.0,11.834823168107764,143051769.0,2624747.0,18,Optics
European Union,0.0,EU,92,3.538074720267894,10.0,13.538074720267893,195516617.0,6917524.0,18,Optics
European Union,0.0,EU,93,1.7897972011700831,10.0,11.789797201170083,1849959145.0,33110517.0,19,Arms & Ammun.
European Union,0.0,EU,94,0.6299693230186402,12.413345505869264,13.043314828887905,5524703621.0,34803938.0,20,Miscall. Manufactured Articles
European Union,0.0,EU,95,1.3435426728794175,20.56769078504968,21.9112334579291,1274441173.0,17122661.0,20,Miscall. Manufactured Articles
European Union,0.0,EU,96,1.917099922003385,11.447031054996982,13.364130977000368,680478250.0,13045448.0,20,Miscall. Manufactured Articles
European Union,0.0,EU,97,0.0,10.0,10.0,5443197820.0,0.0,21,Works of Art
European Union,0.0,EU,98,1.3771458515428072e-05,10.0,10.000013771458516,30134789248.0,4150.0,21,Works of Art
European Union,0.0,EU,99,0.0,10.0,10.0,4912982466.0,0.0,21,Works of Art
Austria,4330.0,AUT,2,0.4892981798993122,10.0,10.489298179899313,617835325.0,3023057.0,1,Live Animals
Austria,4330.0,AUT,6,3.381272020802259,10.0,13.381272020802259,269514193.0,9113008.0,2,Vegetable Products
Austria,4330.0,AUT,24,4.745406632130714,10.0,14.745406632130713,288744128.0,13702083.0,4,"Food, Bev. & Tobacco"
Austria,4330.0,AUT,46,9.329459002024397,10.0,19.329459002024397,14872588.0,1387532.0,9,Wood Products
Bulgaria,4870.0,BGR,2,0.4892981798993122,10.0,10.489298179899313,617835325.0,3023057.0,1,Live Animals
Bulgaria,4870.0,BGR,26,0.3043384621519097,7.28480324363152,7.5891417057834305,51813037.0,157687.0,5,Mineral Products
Bulgaria,4870.0,BGR,36,0.9475248873236818,10.0,10.947524887323683,244535635.0,2317036.0,6,Chemicals
Bulgaria,4870.0,BGR,37,1.2961914104748389,10.0,11.296191410474838,307079955.0,3980344.0,6,Chemicals
Bulgaria,4870.0,BGR,41,2.6192944035755903,10.0,12.61929440357559,201330442.0,5273437.0,8,Leather
Bulgaria,4870.0,BGR,46,9.329459002024397,10.0,19.329459002024397,14872588.0,1387532.0,9,Wood Products
Bulgaria,4870.0,BGR,47,0.0,10.0,10.0,402183218.0,0.0,10,Pulp & Paper
Bulgaria,4870.0,BGR,50,0.6440405317432613,10.0,10.644040531743261,12718920.0,81915.0,11,Textile & App.
Bulgaria,4870.0,BGR,78,2.5204899015477134,10.0,12.520489901547712,15085480.0,380228.0,15,Base Metals
Bulgaria,4870.0,BGR,80,0.4373124567074629,3.1508469137869928,3.5881593704944557,79431993.0,347366.0,15,Base Metals
Croatia,4791.0,HRV,2,0.4892981798993122,10.0,10.489298179899313,617835325.0,3023057.0,1,Live Animals
Croatia,4791.0,HRV,5,0.0826491482424976,9.97979821687742,10.062447365119917,172213511.0,142333.0,1,Live Animals
Croatia,4791.0,HRV,6,3.381272020802259,10.0,13.381272020802259,269514193.0,9113008.0,2,Vegetable Products
Croatia,4791.0,HRV,10,0.8000860281673041,10.0,10.800086028167303,159519846.0,1276296.0,2,Vegetable Products
Croatia,4791.0,HRV,13,0.5151872608217495,10.0,10.51518726082175,557878119.0,2874117.0,2,Vegetable Products
Croatia,4791.0,HRV,14,0.0246216636670678,10.0,10.024621663667068,7948285.0,1957.0,2,Vegetable Products
Croatia,4791.0,HRV,24,4.745406632130714,10.0,14.745406632130713,288744128.0,13702083.0,4,"Food, Bev. & Tobacco"
Croatia,4791.0,HRV,26,0.3043384621519097,7.28480324363152,7.5891417057834305,51813037.0,157687.0,5,Mineral Products
Croatia,4791.0,HRV,31,0.0,7.978755537716688,7.978755537716688,473308567.0,0.0,6,Chemicals
Croatia,4791.0,HRV,36,0.9475248873236818,10.0,10.947524887323683,244535635.0,2317036.0,6,Chemicals
Croatia,4791.0,HRV,37,1.2961914104748389,10.0,11.296191410474838,307079955.0,3980344.0,6,Chemicals
Croatia,4791.0,HRV,41,2.6192944035755903,10.0,12.61929440357559,201330442.0,5273437.0,8,Leather
Croatia,4791.0,HRV,45,0.0175445524933937,10.0,10.017544552493394,254734340.0,44692.0,9,Wood Products
Croatia,4791.0,HRV,47,0.0,10.0,10.0,402183218.0,0.0,10,Pulp & Paper
Croatia,4791.0,HRV,50,0.6440405317432613,10.0,10.644040531743261,12718920.0,81915.0,11,Textile & App.
Croatia,4791.0,HRV,51,9.007027272459602,10.0,19.007027272459602,79235721.0,7136783.0,11,Textile & App.
Croatia,4791.0,HRV,52,7.130234489691826,10.0,17.130234489691826,93769623.0,6685994.0,11,Textile & App.
Croatia,4791.0,HRV,53,0.4861648858606349,10.0,10.486164885860635,79249039.0,385281.0,11,Textile & App.
