NIPA Line,Indented_Description,Description
343,      Gross output of nonprofit institutions,Gross output of nonprofit institutions
344,"        Health, gross output","Health, gross output"
345,"            Outpatient services, gross output","Outpatient services, gross output"
346,"            Nonprofit hospitals, gross output","Nonprofit hospitals, gross output"
347,"            Nonprofit nursing homes, gross output","Nonprofit nursing homes, gross output"
348,"        Recreation services, gross output","Recreation services, gross output"
349,"        Education services, gross output","Education services, gross output"
350,"        Social services, gross output","Social services, gross output"
351,"        Religious organizations, gross output","Religious organizations, gross output"
352,"        Foundations and grantmaking and giving establishments, gross output","Foundations and grantmaking and giving establishments, gross output"
353,"        Social advocacy establishments, gross output","Social advocacy establishments, gross output"
354,"        Civic and social organizations, gross output","Civic and social organizations, gross output"
355,"        Professional advocacy, gross output","Professional advocacy, gross output"
356,      Less: Receipts from sales of goods and services by nonprofit institutions,Less: Receipts from sales of goods and services by nonprofit institutions
357,        Health services to households,Health services to households
358,            Outpatient services to households,Outpatient services to households
359,            Nonprofit hospitals services to households,Nonprofit hospitals services to households
360,            Nonprofit nursing homes services to households,Nonprofit nursing homes services to households
361,        Recreation services to households,Recreation services to households
362,        Education services to households,Education services to households
363,        Social services to households,Social services to households
364,        Religious organizations' services to households,Religious organizations' services to households
365,        Foundations and grantmaking and giving services to households,Foundations and grantmaking and giving services to households
366,        Services of social advocacy establishments to households,Services of social advocacy establishments to households
367,        Civic and social organizations' services to households,Civic and social organizations' services to households
368,        Professional advocacy services to households,Professional advocacy services to households
