"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
23MR,Maintenance and repair construction,1261,233,18,185,3176,2576,5691,361,3,58,28,53,33,20,32,33,313,839,544,500,1327,71,69,52,655,2,21,281,185,0,153,12,144,14,602,276,145,123,198,131,1641,212,100,115,4,1019,269,8914,1037,369,233,440,778,580,177,307,473,551,144,304,257,689,95,0,1224,943,1873,508,262,1509,393,350,503,318,2461,38,506,493,1075,924,259,811,46,76,77,51,468,1663,125,229,696,5543,1648,182,80,476,89,66832,3020,49068,858,166,74,120,1188,66,437,40,307,786,71,226,595,139,268,227,46,47,249,65,1224,570,526,164,531,4705,2475,611,671,2224,0,8105,389,680,10354,4837,18743,53339,300068,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,300172
23OC,Office and commercial structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161788,0,320,0,0,0,0,1484,0,0,0,2570,0,0,0,25196,191358,191358
23OR,Other residential construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,143,0,0,0,0,3947,6471,0,0,0,352764,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,9722,363269,369740
23OT,Other nonresidential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152682,0,0,0,0,0,0,2963,0,0,0,6562,0,0,0,56590,218797,218797
23PC,Power and communication structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132503,0,0,0,0,0,0,71,0,0,0,835,0,0,0,10816,144225,144225
23SF,Single-family residential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279962,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,481,280473,280473
23TH,Transportation structures and highways and streets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17525,0,0,0,0,0,0,1268,0,0,0,3175,0,0,0,142454,164422,164422
321,Wood products,556,27,60,0,164,304,0,0,5424,7647,5562,8737,3952,955,5785,2764,24106,191,4,442,182,0,0,0,763,0,30,54,17,217,673,0,0,0,2985,1,194,5661,350,757,60,285,8,53,0,3863,1,0,169,2,5,71,1843,829,229,432,452,1414,309,1000,370,1246,160,0,138,605,133,54,167,46,136,397,134,0,2330,0,154,0,9,14,51,124,31,5,93,140,153,467,16,833,258,222,6,0,0,0,0,14,7,8226,439,10,35,3,338,15,251,13,216,5,8,79,922,30,28,204,37,6,59,32,439,4,592,7,148,893,702,47,25,286,0,12,41,3,1873,21,400,281,114832,3516,0,0,7061,172,249,4695,-19801,0,0,0,0,0,41,0,0,0,0,0,0,-4067,110765
327,Nonmetallic mineral products,24,0,2,1032,477,1105,49,0,6460,7508,10447,20392,8049,1663,9848,7964,933,14450,1635,290,1411,200,14,290,1102,13,14,126,132,0,1699,1770,1642,386,3091,42,252,317,389,354,462,3155,0,28,0,471,1,1689,23,74,196,1257,1770,1,2,0,11,5,1,16,1,21,0,0,182,43,0,20,1,0,43,248,119,0,15,0,101,0,0,4,11,71,1,1,2,368,1023,1081,20,742,5,29,28,0,0,37,0,84,13,86,662,0,194,0,2142,668,1755,18,123,25,0,223,589,280,52,782,326,156,16,836,2161,117,432,12,127,105,1915,506,1027,180,0,62,430,0,213,666,332,3147,139413,11310,0,0,0,0,1184,7848,-27753,0,0,0,0,0,0,0,0,0,0,0,0,-7411,132002
3311IS,Iron and steel mills and manufacturing from purchased steel,58,31,0,4558,483,584,0,0,898,821,302,559,254,84,329,84,162,1482,18778,965,49701,3730,3298,1651,14030,1,141,279,224,4,4075,12,2534,152,17585,2243,2506,1720,377,1932,0,0,0,82,0,52,12,0,47,0,0,1,1286,4,3,1,0,274,0,0,0,15,2,0,1,0,0,0,0,0,1,0,0,0,349,0,0,0,0,78,0,0,6,0,6,27,50,15,10,35,259,0,0,0,0,0,0,0,0,2834,89,0,0,4,547,3,184,3,0,30,0,278,197,237,134,3,7,22,94,35,13,12,239,23,228,31,17,225,107,35,0,0,27,0,10,14,32,169,145126,571,0,0,0,0,-1306,9911,-35248,0,0,0,0,0,0,0,0,0,0,0,0,-26072,119054
