Country,impVal,hs_code,hs2_code,detail_code
Saudi Arabia,2637160.0,804104000,8,111300
United Arab Emirates,318280.0,804104000,8,111300
West Bank Administered by Israel,1309980.0,804104000,8,111300
Israel,2579202.0,804106000,8,111300
Jordan,28135.0,804106000,8,111300
Saudi Arabia,1747854.0,804106000,8,111300
United Arab Emirates,500808.0,804106000,8,111300
United Arab Emirates,91832.0,804108000,8,111300
United Arab Emirates,41805.0,804204000,8,111300
United Arab Emirates,4200.0,804206000,8,111300
United Arab Emirates,103032.0,804208000,8,111300
Israel,2971.0,804508010,8,311420
United Arab Emirates,33972.0,804508010,8,311420
Israel,48804.0,805210010,8,111300
Israel,15136815.0,805210090,8,111300
Israel,2951334.0,805408000,8,111300
United Arab Emirates,48825.0,805502050,8,111300
Israel,1147724.0,805900100,8,111300
Iraq,4750.0,806201090,8,311420
Israel,704660.0,810700000,8,111300
Israel,177948.0,810904610,8,111300
Israel,5235848.0,810904660,8,111300
Iraq,23491.0,813100000,8,311420
Lebanon,19121.0,813100000,8,311420
Syria,85704.0,813100000,8,311420
United Arab Emirates,21255.0,813100000,8,311420
United Arab Emirates,54447.0,813202010,8,311420
United Arab Emirates,12654.0,813202090,8,311420
United Arab Emirates,38261.0,813401500,8,311420
Israel,7308.0,813402060,8,311420
United Arab Emirates,5000.0,813403090,8,311420
United Arab Emirates,6225.0,813404000,8,311420
Israel,846399.0,813409000,8,311420
Jordan,10253.0,813409000,8,311420
Lebanon,32910.0,813409000,8,311420
United Arab Emirates,51993.0,813409000,8,311420
Oman,7000.0,813500020,8,311420
United Arab Emirates,7057.0,813500020,8,311420
Israel,10401.0,813500040,8,111300
Jordan,45904.0,813500040,8,111300
Lebanon,4870.0,813500040,8,111300
Saudi Arabia,4914.0,813500040,8,111300
Israel,3024.0,813500060,8,311420
Syria,2842.0,813500060,8,311420
Yemen,48450.0,901110015,9,111300
Saudi Arabia,66240.0,901110025,9,111300
Yemen,1932376.0,901110025,9,111300
Jordan,8285.0,901110055,9,111300
Oman,2660.0,901110055,9,111300
Saudi Arabia,12524.0,901110055,9,111300
Syria,328536.0,901110055,9,111300
United Arab Emirates,111238.0,901110055,9,111300
Yemen,192495.0,901110055,9,111300
Israel,17814.0,901210035,9,311920
Israel,931085.0,901210045,9,311920
Jordan,181208.0,901210045,9,311920
Lebanon,2137853.0,901210045,9,311920
Saudi Arabia,64586.0,901210045,9,311920
Syria,374477.0,901210045,9,311920
United Arab Emirates,257925.0,901210045,9,311920
Yemen,25792.0,901210045,9,311920
Israel,39332.0,901210065,9,311920
Jordan,3073096.0,901210065,9,311920
Lebanon,1649967.0,901210065,9,311920
Saudi Arabia,13758.0,901210065,9,311920
Syria,9720.0,901210065,9,311920
United Arab Emirates,69961.0,901210065,9,311920
Yemen,697174.0,901210065,9,311920
Jordan,3627.0,901220045,9,311920
Lebanon,18850.0,901220045,9,311920
Syria,82834.0,901220045,9,311920
United Arab Emirates,10125.0,901220045,9,311920
Jordan,5768.0,901220060,9,311920
Lebanon,2500.0,901220060,9,311920
Saudi Arabia,12726.0,901220060,9,311920
United Arab Emirates,79213.0,901220060,9,311920
Yemen,49131.0,901901000,9,S00300
Israel,30000.0,901902000,9,311920
Lebanon,15524.0,901902000,9,311920
United Arab Emirates,4499.0,902101015,9,311920
Israel,104365.0,902101050,9,311920
Jordan,6300.0,902101050,9,311920
United Arab Emirates,137948.0,902101050,9,311920
Yemen,68950.0,902101050,9,311920
Israel,10032.0,902109050,9,311920
United Arab Emirates,619300.0,902109050,9,311920
Yemen,55275.0,902109050,9,311920
Yemen,80500.0,902209015,9,311920
United Arab Emirates,199966.0,902209050,9,311920
Iraq,18310.0,902300050,9,311920
Israel,748724.0,902300050,9,311920
Jordan,123885.0,902300050,9,311920
United Arab Emirates,8302699.0,902300050,9,311920
Israel,160060.0,902300090,9,311920
Jordan,34967.0,902300090,9,311920
Saudi Arabia,31287.0,902300090,9,311920
United Arab Emirates,11805808.0,902300090,9,311920
Yemen,176691.0,902300090,9,311920
Iraq,8140.0,902400000,9,311920
Jordan,306125.0,902400000,9,311920
Lebanon,9350.0,902400000,9,311920
Oman,11800.0,902400000,9,311920
Qatar,12400.0,902400000,9,311920
United Arab Emirates,8727.0,902400000,9,311920
Yemen,381122.0,902400000,9,311920
Syria,28450.0,903000000,9,311920
Lebanon,10191.0,904110020,9,311940
United Arab Emirates,206943.0,904110020,9,311940
Jordan,4800.0,904110040,9,311940
Israel,29793.0,904120000,9,311940
Jordan,27099.0,904120000,9,311940
Lebanon,39128.0,904120000,9,311940
United Arab Emirates,84865.0,904120000,9,311940
Yemen,2435.0,904120000,9,311940
Israel,43270.0,904212000,9,311940
Lebanon,27198.0,904212000,9,311940
United Arab Emirates,11628.0,904212000,9,311940
Jordan,2424.0,904216090,9,311940
Lebanon,71534.0,904216090,9,311940
Syria,10348.0,904216090,9,311940
United Arab Emirates,35787.0,904216090,9,311940
Lebanon,35741.0,904218000,9,311940
Israel,2988214.0,904222000,9,311940
Jordan,10181.0,904222000,9,311940
Lebanon,7906.0,904222000,9,311940
United Arab Emirates,104817.0,904222000,9,311940
Israel,16974.0,904227600,9,311940
Jordan,32415.0,904227600,9,311940
Lebanon,50373.0,904227600,9,311940
Syria,3100.0,904227600,9,311940
United Arab Emirates,897765.0,904227600,9,311940
Yemen,6302.0,904227600,9,311940
Lebanon,28579.0,904228000,9,311940
Israel,46368.0,905200000,9,111300
Lebanon,16960.0,905200000,9,111300
Lebanon,52186.0,906110000,9,111900
United Arab Emirates,3170.0,906110000,9,111900
Jordan,6200.0,906190000,9,111900
Israel,2214.0,906200000,9,311940
Jordan,4996.0,906200000,9,311940
Lebanon,28110.0,906200000,9,311940
United Arab Emirates,16470.0,906200000,9,311940
Jordan,12600.0,907100000,9,311940
United Arab Emirates,105035.0,907100000,9,311940
Jordan,11400.0,907200000,9,311940
Lebanon,2900.0,907200000,9,311940
United Arab Emirates,5400.0,908110000,9,311940
Israel,2360.0,908120000,9,311940
Lebanon,5393.0,908120000,9,311940
Iraq,40648.0,908310000,9,311940
Jordan,6000.0,908310000,9,311940
Lebanon,22282.0,908310000,9,311940
United Arab Emirates,6247.0,908310000,9,311940
Jordan,4400.0,908320000,9,311940
Lebanon,26807.0,908320000,9,311940
United Arab Emirates,4141.0,908320000,9,311940
Lebanon,3459.0,909210000,9,311940
United Arab Emirates,9836.0,909210000,9,311940
Lebanon,41876.0,909220000,9,311940
United Arab Emirates,10736.0,909220000,9,311940
Lebanon,32732.0,909310000,9,311940
United Arab Emirates,555400.0,909310000,9,311940
Israel,16732.0,909320000,9,311940
Jordan,3500.0,909320000,9,311940
Lebanon,44187.0,909320000,9,311940
Syria,7803.0,909320000,9,311940
United Arab Emirates,32597.0,909320000,9,311940
