Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Thailand,THA,21,1179205.0,Asia,RoAsia,6.464747633198553e-06,6.689762713160361e-05,182405418882.0,17627007871.0
Thailand,THA,31ND,12184521176.0,Asia,RoAsia,0.013944239371798138,0.0538596443922532,873803213723.0,226227286004.0
Thailand,THA,33DG,49322988131.0,Asia,RoAsia,0.02489247392600019,0.09288499894004323,1981441791508.0,531011344069.0
Thailand,THA,Other,774973898.0,Asia,RoAsia,0.00525630313616164,0.030570932119635897,147437063260.0,25350025147.0
Timor-Leste,TLS,11,3656774.0,Asia,RoAsia,4.4425840359508965e-05,0.00030661530905336584,82311870083.0,11926260340.0
Timor-Leste,TLS,31ND,1601033.0,Asia,RoAsia,1.83225808151758e-06,7.0770994440153055e-06,873803213723.0,226227286004.0
Timor-Leste,TLS,33DG,578235.0,Asia,RoAsia,2.918253781050653e-07,1.0889315387673974e-06,1981441791508.0,531011344069.0
Timor-Leste,TLS,Other,76634.0,Asia,RoAsia,5.197743247561753e-07,3.0230344765188172e-06,147437063260.0,25350025147.0
Togo,TGO,11,6299230.0,Africa,RoWorld,7.652881648355344e-05,0.000228009316048529,82311870083.0,27627072916.0
Togo,TGO,31ND,76814423.0,Africa,RoWorld,8.790814887566958e-05,0.0014883440851127892,873803213723.0,51610661653.0
Togo,TGO,33DG,6592243.0,Africa,RoWorld,3.3269930150120103e-06,9.755412937507086e-05,1981441791508.0,67575232768.0
Togo,TGO,Other,290469.0,Africa,RoWorld,1.970121986815271e-06,3.0027784280224886e-05,147437063260.0,9673341106.0
Tokelau,TKL,33DG,3399.0,Oceania,RoAsia,1.7154175381620221e-09,6.40099319527594e-09,1981441791508.0,531011344069.0
Tokelau,TKL,Other,174186.0,Oceania,RoAsia,1.18142613633608e-06,6.8712357873386055e-06,147437063260.0,25350025147.0
Tonga,TON,11,915637.0,Oceania,RoAsia,1.1123997050203188e-05,7.677486268927113e-05,82311870083.0,11926260340.0
Tonga,TON,31ND,282888.0,Oceania,RoAsia,3.237433732873371e-07,1.2504592394526546e-06,873803213723.0,226227286004.0
Tonga,TON,33DG,1206979.0,Oceania,RoAsia,6.091417901715973e-07,2.2729815727687435e-06,1981441791508.0,531011344069.0
Tonga,TON,Other,439742.0,Oceania,RoAsia,2.982574328847901e-06,1.7346807249697754e-05,147437063260.0,25350025147.0
Trinidad and Tobago,TTO,11,13346652.0,North America,RoWorld,0.00016214735476841638,0.0004831004732416076,82311870083.0,27627072916.0
Trinidad and Tobago,TTO,21,1789436478.0,North America,RoWorld,0.009810215557014813,0.04273043175284424,182405418882.0,41877332023.0
Trinidad and Tobago,TTO,31ND,814012078.0,North America,RoWorld,0.0009315736829711935,0.01577216900401205,873803213723.0,51610661653.0
Trinidad and Tobago,TTO,33DG,633113703.0,North America,RoWorld,0.0003195217269128866,0.009369019936248132,1981441791508.0,67575232768.0
Trinidad and Tobago,TTO,Other,75969060.0,North America,RoWorld,0.0005152643325920787,0.00785344579163856,147437063260.0,9673341106.0
Tunisia,TUN,11,28479675.0,Africa,RoWorld,0.00034599718085960427,0.0010308611081091483,82311870083.0,27627072916.0
Tunisia,TUN,21,1143362.0,Africa,RoWorld,6.268245795590388e-06,2.7302646677014645e-05,182405418882.0,41877332023.0
Tunisia,TUN,31ND,695560083.0,Africa,RoWorld,0.0007960145626341173,0.013477061923300664,873803213723.0,51610661653.0
Tunisia,TUN,33DG,370836427.0,Africa,RoWorld,0.00018715484279645202,0.005487756561241299,1981441791508.0,67575232768.0
Tunisia,TUN,Other,27196065.0,Africa,RoWorld,0.00018445880838009306,0.0028114448464069287,147437063260.0,9673341106.0
Turkey,TUR,11,375043079.0,Asia,RoAsia,0.004556366883923565,0.03144682979476197,82311870083.0,11926260340.0
Turkey,TUR,21,72974810.0,Asia,RoAsia,0.0004000693096031767,0.00413994312217097,182405418882.0,17627007871.0
Turkey,TUR,31ND,6965270549.0,Asia,RoAsia,0.00797121186968766,0.030788817176000797,873803213723.0,226227286004.0
Turkey,TUR,33DG,8690199594.0,Asia,RoAsia,0.004385796055803496,0.016365374659247936,1981441791508.0,531011344069.0
Turkey,TUR,Other,642176025.0,Asia,RoAsia,0.004355594250188947,0.025332362444460813,147437063260.0,25350025147.0
Turkmenistan,TKM,31ND,10046652.0,Asia,RoAsia,1.149761392750478e-05,4.440955013632777e-05,873803213723.0,226227286004.0
Turkmenistan,TKM,33DG,407744.0,Asia,RoAsia,2.0578146769059592e-07,7.678630683773442e-07,1981441791508.0,531011344069.0
Turkmenistan,TKM,Other,4136189.0,Asia,RoAsia,2.805392964661795e-05,0.00016316311230521558,147437063260.0,25350025147.0
Turks and Caicos Islands,TCA,11,3226185.0,North America,RoWorld,3.9194650744137434e-05,0.00011677621475895047,82311870083.0,27627072916.0
Turks and Caicos Islands,TCA,31ND,136900.0,North America,RoWorld,1.566714311071394e-07,2.6525527016188203e-06,873803213723.0,51610661653.0
Turks and Caicos Islands,TCA,33DG,1205637.0,North America,RoWorld,6.084645055772421e-07,1.7841403582570047e-05,1981441791508.0,67575232768.0
Turks and Caicos Islands,TCA,Other,6414907.0,North America,RoWorld,4.350945995639875e-05,0.0006631531887179168,147437063260.0,9673341106.0
Tuvalu,TUV,31ND,3221.0,Oceania,RoAsia,3.6861846573856538e-09,1.4237893478256413e-08,873803213723.0,226227286004.0
Tuvalu,TUV,33DG,190631.0,Oceania,RoAsia,9.620822615986009e-08,3.5899609703108203e-07,1981441791508.0,531011344069.0
Tuvalu,TUV,Other,30595.0,Oceania,RoAsia,2.0751227217573379e-07,1.2069021558197825e-06,147437063260.0,25350025147.0
Uganda,UGA,11,103843644.0,Africa,RoWorld,0.0012615877138411292,0.003758763887717536,82311870083.0,27627072916.0
Uganda,UGA,21,1931507.0,Africa,RoWorld,1.0589087823369504e-05,4.612297170553205e-05,182405418882.0,41877332023.0
Uganda,UGA,31ND,22942744.0,Africa,RoWorld,2.6256190913109832e-05,0.00044453497136412695,873803213723.0,51610661653.0
Uganda,UGA,33DG,766032.0,Africa,RoWorld,3.86603332625281e-07,1.1335987589268825e-05,1981441791508.0,67575232768.0
Uganda,UGA,Other,3134212.0,Africa,RoWorld,2.1257965471497007e-05,0.00032400511526012137,147437063260.0,9673341106.0
Ukraine,UKR,11,40364208.0,Europe,Europe,0.0004903813746340394,0.007372821795947341,82311870083.0,5474729909.0
Ukraine,UKR,21,30888132.0,Europe,Europe,0.000169337798127488,0.012698980243189563,182405418882.0,2432331684.0
Ukraine,UKR,31ND,321676313.0,Europe,Europe,0.0003681335888311038,0.0010243213373853227,873803213723.0,314038477243.0
Ukraine,UKR,33DG,763495751.0,Europe,Europe,0.00038532333085542343,0.0020530237519282377,1981441791508.0,371888415944.0
Ukraine,UKR,Other,30073889.0,Europe,Europe,0.0002039778081239028,0.0005243229495961371,147437063260.0,57357567551.0
