"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
23MR,Maintenance and repair construction,1301,244,33,177,2689,2107,6980,411,3,57,26,49,31,19,32,29,308,817,461,419,1256,58,79,59,705,3,18,302,206,0,142,13,125,9,613,362,151,126,168,125,1382,160,68,87,4,905,295,9279,985,369,258,378,685,520,171,306,451,525,137,284,200,693,82,0,1383,907,1905,509,293,1348,410,287,525,227,2394,51,561,313,470,982,344,813,67,67,107,51,513,1611,162,184,369,5930,1288,205,74,385,103,71972,3792,43306,612,177,60,123,687,46,357,39,297,737,69,183,547,130,295,257,52,49,295,64,1110,581,480,138,475,4993,2010,514,557,2170,0,7733,486,540,8782,4506,17479,48322,288797,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,99,288896
23OC,Office and commercial structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143467,0,327,0,0,0,0,1421,0,0,0,2352,0,0,0,22145,169712,169712
23OR,Other residential construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,165,0,0,0,0,3526,5795,0,0,0,316845,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,8752,326271,332066
23OT,Other nonresidential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136350,0,0,0,0,0,0,2504,0,0,0,5286,0,0,0,49738,193878,193878
23PC,Power and communication structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113346,0,0,0,0,0,0,62,0,0,0,714,0,0,0,9507,123629,123629
23SF,Single-family residential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270163,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,281,270470,270470
23TH,Transportation structures and highways and streets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14795,0,0,0,0,0,0,871,0,0,0,2183,0,0,0,125205,143054,143054
321,Wood products,420,18,111,0,267,315,0,0,6395,6990,5698,9052,3679,1069,6821,2884,24715,177,8,313,155,0,0,0,816,0,32,78,24,150,429,0,0,0,3138,2,234,6450,310,818,53,191,6,46,0,4708,2,0,163,1,3,40,1131,633,188,363,354,1505,238,787,233,1034,118,0,134,497,112,44,153,40,118,267,112,0,2051,0,142,0,2,18,53,89,43,6,51,126,119,457,13,655,80,101,3,0,0,0,0,20,11,6191,342,7,17,2,293,10,210,10,262,4,4,38,1057,20,26,200,22,3,44,28,291,2,596,6,167,478,604,53,15,317,0,16,55,4,1605,21,371,239,112512,3143,0,0,6305,513,191,5692,-21273,0,0,0,0,0,16,0,0,0,0,0,0,-5413,107099
327,Nonmetallic mineral products,33,0,4,506,440,980,60,1,6049,7527,9267,18402,7589,1563,9677,7316,646,14120,1621,307,1300,254,21,466,1435,23,10,170,157,0,1522,1480,1174,198,2807,102,297,332,439,410,526,2742,0,31,0,502,1,1652,24,72,223,1340,1670,1,2,0,33,11,1,17,2,26,0,0,208,49,1,20,2,1,47,197,127,0,13,0,167,0,0,8,16,66,1,2,1,370,1147,1398,21,600,3,56,31,0,0,16,0,119,22,100,529,0,211,0,1780,468,1155,26,186,57,0,188,756,226,97,788,352,199,22,897,1962,157,366,10,148,116,1903,507,531,218,0,111,562,0,188,498,287,2559,130450,11570,0,0,0,0,526,8215,-25788,0,0,0,0,0,0,0,0,0,0,0,0,-5477,124973
3311IS,Iron and steel mills and manufacturing from purchased steel,52,23,0,2638,495,486,0,0,782,763,253,504,231,79,321,76,106,1307,16238,972,45763,2975,3143,1554,14494,2,106,278,252,13,3746,10,1896,85,17370,3874,2523,1665,386,1606,0,0,0,77,0,53,14,0,47,0,0,1,1368,3,2,1,0,246,0,0,0,13,2,0,2,0,0,0,0,0,1,0,0,0,199,0,0,0,0,132,0,0,10,0,3,29,44,19,9,26,98,0,0,0,0,0,0,0,0,2417,62,0,0,3,407,3,152,4,0,27,0,226,190,264,140,4,7,23,98,39,10,13,216,20,244,28,15,219,98,32,0,0,29,0,9,13,31,153,134662,674,0,0,0,0,1065,12252,-37436,0,0,0,0,0,0,0,0,0,0,0,0,-23445,111217
3313NF,Nonferrous metal production and processing and foundries,0,0,0,0,10,0,4,0,46,400,17,244,75,342,199,54,101,83,4812,38527,21958,309,277,537,13745,22,334,2814,1554,17,10437,29,2600,101,18101,1469,3240,1573,1174,1685,189,1804,2,0,0,866,0,14,0,0,0,8,395,5,0,0,0,147,0,0,0,0,20,0,0,0,0,0,0,0,12,1,3,0,436,0,0,0,0,107,0,0,10,0,3,33,227,34,32,59,104,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,194,0,0,12,0,40,18,65,0,0,0,0,0,0,8,0,15,0,70,1,85,386,0,13,0,132,451,0,0,0,0,379,133752,73,0,0,0,0,825,17096,-42604,0,0,0,0,0,0,0,0,0,0,0,0,-24610,109142
332,Fabricated metal products,312,1318,97,4686,924,1059,88,694,6443,10300,13756,15247,11406,6554,9114,9298,2556,1655,1305,2762,36220,1343,1261,2103,20885,348,1141,1249,4954,35,8735,532,2045,686,20363,9968,4569,4224,2482,1935,6258,6165,2248,391,25,5875,912,1210,1610,882,115,6452,7532,37,239,51,1034,315,54,198,52,181,35,0,387,171,101,66,78,119,74,170,831,211,400,2271,1745,338,1544,286,268,766,458,622,23,2781,3368,3664,185,951,326,281,121,0,0,0,31,22,1,1600,1241,23,2457,14,2679,143,1580,67,195,544,54,803,1229,3137,422,109,43,9,73,69,1167,21,1985,15,453,1141,2661,4050,239,723,0,5060,1172,205,372,547,2592,5049,333126,16629,13001,0,0,0,1465,29801,-65307,0,553,0,0,0,1356,0,0,0,268,0,0,-2234,330892
33311,Agricultural implement manufacturing,1040,535,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,0,322,0,0,0,0,0,63,0,0,5,0,37,6,184,0,0,0,0,0,0,0,0,0,15,0,0,0,117,0,0,0,0,0,0,367,0,273,558,4877,760,29628,0,0,0,127,6110,-9573,0,0,0,0,0,55,0,0,0,99,0,0,27206,32083
33312,Construction machinery manufacturing,0,0,0,332,1402,1173,0,0,10,187,10,1236,58,56,309,14,0,0,0,0,0,4,177,1,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,36,0,0,1,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6035,0,23158,0,0,0,793,7527,-15206,0,356,0,0,0,1,0,0,0,9409,0,0,26038,32073
33313,Mining and oil and gas field machinery manufacturing,0,0,0,1197,870,1261,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,20,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3752,0,12838,0,0,0,-172,2402,-1872,0,0,0,0,0,0,0,0,0,0,0,0,13196,16948
3332OM,Other machinery,28,6,39,2815,1159,2987,1280,39,4471,3368,5447,5475,8444,383,3805,1283,327,76,384,978,5215,946,2354,1058,26114,1,12,183,220,1,1507,1810,6384,3995,13402,2206,2226,74,534,388,1360,1854,24,17,2,728,1336,50,1135,320,2,2383,1609,12,120,119,458,208,28,270,45,290,35,0,243,136,147,92,26,97,253,52,65,1,34,59,509,60,56,2981,24,1486,67,41,41,647,110,409,15,176,339,8,45,0,479,0,0,6,1,108,325,29,1857,96,891,106,529,45,173,225,3,1888,605,2851,2046,265,13,39,73,259,658,170,144,12,164,41,617,5748,403,278,0,655,176,106,1241,638,1255,1281,158547,8113,159728,0,0,0,2656,83403,-132336,0,1618,0,0,0,466,0,0,0,2915,0,0,126563,285110
3341,Computer and peripheral equipment manufacturing,59,0,0,0,12,46,10,0,215,38,3,56,19,8,46,26,24,34,2,22,60,0,1,2,77,1679,161,296,2148,0,0,94,652,41,9,4,6,16,9,8,54,1,0,2,0,24,261,41,0,0,2,0,118,0,0,0,0,0,12,0,0,0,0,0,249,207,367,76,74,151,73,161,105,0,0,0,122,1,4,91,0,74,174,0,11,12,271,440,58,256,224,358,656,0,0,3,664,0,0,716,22,683,525,312,446,881,172,351,760,1404,367,777,645,178,211,151,0,80,0,205,6,41,352,19,98,119,78,18,43,233,0,321,262,0,783,235,219,67,23060,31966,44856,0,0,0,-181,12050,-100562,0,1846,0,0,0,1484,0,0,0,5827,0,0,-2714,20346
3342,Communications equipment manufacturing,1,0,0,0,1,22,3,0,1044,246,62,517,126,13,42,1033,0,0,0,0,0,0,0,0,173,11,2774,204,2969,0,8,0,0,0,41,7655,0,0,0,0,1,0,0,0,0,1,10,15,0,0,0,0,11,3,180,241,0,195,314,0,121,129,0,0,29,46,82,4,6,11,4,23,5,0,57,0,78,1,1,1,0,49,570,0,24,229,2821,3217,606,2311,605,141,77,0,30,0,707,0,1,54,70,330,137,146,63,106,55,44,89,3462,1476,377,690,92,56,473,0,29,0,10,39,0,115,4,18,1,1,585,0,169,0,4188,303,0,186,0,0,1,43271,11332,61741,0,0,0,1258,12718,-108969,0,6095,0,0,0,4801,0,0,0,3555,0,0,-7469,35802
3344,Semiconductor and other electronic component manufacturing,0,0,0,0,0,3,0,0,7,7,1,24,2,0,41,45,826,471,390,630,3454,349,248,385,4323,805,1876,9646,5657,78,2679,88,1007,85,7285,1054,403,811,633,844,243,2090,87,245,17,807,512,220,506,341,12,1641,1437,540,81,836,419,765,26941,0,6,509,182,0,193,0,4,8,126,0,1,1,10,3,0,1,3,0,1,3,0,0,7,1763,2,2,3776,1501,359,1619,1,126,73,0,0,0,0,0,0,0,9,1,3821,48,153,2,926,0,75,0,0,0,281,2,635,0,0,0,0,1,72,44,0,0,0,0,0,4208,0,0,0,946,489,0,99,4,287,9,104289,166,0,0,0,0,2083,34296,-46570,0,0,0,0,0,4,0,0,0,17,0,0,-10004,94285
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0,3,1,34,16,118,85,22,882,331,507,923,77,1,143,79,30,9,0,0,1132,0,3,5,720,6,341,393,5663,0,533,227,688,164,23,6636,2340,0,381,2,2,0,0,0,0,19,82,16,1033,386,1,7,335,0,0,0,19,25,0,21,3,5,102,0,264,49,13,13,5,52,0,24,0,1,0,0,8,0,0,1,0,0,37,24,8,0,38,76,6,33,71,0,0,0,0,0,0,1,0,0,18,90,681,66,1870,18,240,13,469,12,13,48,270,511,81,4017,351,55,655,1017,421,37,119,0,0,1,54,211,93,48,0,10525,1127,0,23,58,77,1631,50218,8628,79572,0,0,0,-58,33900,-44794,0,15498,0,0,0,2897,0,0,0,1428,0,0,97071,147289
334X,Other computer and electronic product manufacturing,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,14,13,22,28,268,0,197,1571,37,8,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,2,2,1,1,4,2,3,4,3,0,0,106,46,1,20,31,50,2,26,2,0,0,0,0,0,0,16,0,9,1,38,460,10,17,12,2,3,0,42,19,0,0,0,0,0,0,1,0,96,19,63,21,57,10,59,289,10,6,37,230,1,73,29,8,1,0,2,5,2,0,0,1,192,15,10,1,25,0,8,260,0,35,0,9,26,4731,20743,4014,0,197,0,-141,2652,-29703,0,0,0,0,0,0,0,0,0,2527,0,0,289,5020
