hs_commodity,hs_description,naics_2023,naics_2022,overlap_type
2615100000,Zirconium Ores And Concentrates (kg),212290.0,212299.0,both_years
2602000040,Manganese Ores & Concentrates Lt 47% Dry Wt Mn (kg),212290.0,212299.0,both_years
2602000060,Manganese Ores & Concentrates Gt=47% Dry Wt Mn (kg),212290.0,212299.0,both_years
2610000020,"Chromium Ores & Concentrates, Lt=40% Chromic Oxide (t)",212290.0,212299.0,both_years
2610000040,"Chrom Ores, Gt 40% But Lt 46% Chromic Oxide (t)",212290.0,212299.0,both_years
2610000060,"Chromium Ores & Concentrates, Gt=46% Chromic Oxide (t)",212290.0,212299.0,both_years
2615903000,Synthetic Tantalum-niobium Concentrates (kg),212290.0,212299.0,both_years
2615906030,Niobium (columbium) Ores And Concentrates (kg),212290.0,212299.0,both_years
2615906060,Tantalum Ores And Concentrates (kg),212290.0,212299.0,both_years
2617100000,Antimony Ores And Concentrates (kg),212290.0,212299.0,both_years
2617900030,No description available,212290.0,212299.0,both_years
2617900060,Ores And Concentrates Nesoi (kg),212290.0,212299.0,both_years
2507000000,"Kaolin And Other Kaolinic Clays, Wh/not Calcined (t)",212323.0,212324.0,both_years
2529300010,Nepheline Syenite (t),212323.0,212325.0,both_years
2529300050,Leucite; Nepheline Excpt Nepheline Syenite (t),212323.0,212325.0,both_years
2508600000,Mullite (t),212323.0,212325.0,both_years
2519100000,Natural Magnesium Carbonate (magnesite) (t),212323.0,212325.0,both_years
2508100000,"Bentonite, Whether Or Not Calcined (t)",212323.0,212325.0,both_years
2508500000,"Andalucite, Kyanite And Sillimanite (t)",212323.0,212325.0,both_years
2529100000,Feldspar (t),212323.0,212325.0,both_years
2508400110,Common Blue Clay And Other Ball Clays (t),212323.0,212325.0,both_years
2508400120,Decolorizing Earths And Fuller's Earth Incl Calcnd (t),212323.0,212325.0,both_years
2508400150,"Clays, Nesoi (t)",212323.0,212325.0,both_years
2508300000,"Fire Clay, Whether Or Not Calcined (t)",212323.0,212325.0,both_years
2508700000,Chamotte Or Dinas Earth (t),212323.0,212325.0,both_years
2528000005,Natural Sodium Borates & Concentrates Thereof (kg),212390.0,212391.0,both_years
2528000010,Natural Calcium Borates (kg),212390.0,212391.0,both_years
2528000050,"Natural Borates & Natural Boric Acid, Nesoi (kg)",212390.0,212391.0,both_years
2530201000,Kieserite (kg),212390.0,212391.0,both_years
2530202000,Epsom Salts (kg),212390.0,212391.0,both_years
2510200000,"Natural Ca/al Ca Phsphts & Phsphtc Chalk, Ground (t)",212390.0,212392.0,both_years
2510100000,"Natural Ca/al Ca Phsphts & Phsphtc Chalk, Unground (t)",212390.0,212392.0,both_years
2501000000,"Salt, Pure Sodium Chloride; Sea Water (t)",212390.0,212393.0,both_years
2511105000,Natural Barium Sulfate (barytes) Except Ground (t),212390.0,212393.0,both_years
2530908010,Celestite (kg),212390.0,212393.0,both_years
2530908015,Earth Colors (kg),212390.0,212393.0,both_years
2529210000,Fluorspar Contng By Wt Lt=97% Calcium Fluoride (t),212390.0,212393.0,both_years
2503000010,Crde/unrefind Sulfur Nt Sublimed/preciptd/colloidl (t),212390.0,212393.0,both_years
2529220000,Fluorspar Contng By Wt Gt 97% Calcium Fluoride (t),212390.0,212393.0,both_years
2502000000,Unroasted Iron Pyrites (t),212390.0,212393.0,both_years
2511200000,Natural Barium Carbonate (witherite) (kg),212390.0,212393.0,both_years
2512000000,"Siliceous Fossil Mls& Earths,specific Gravity Lt=1 (t)",212390.0,212399.0,both_years
2714900000,"Bitumen & Asphalt, Asphaltites And Asphaltic Rocks (t)",212390.0,212399.0,both_years
2530100000,"Vermiculite, Perlite And Chlorites, Unexpanded (kg)",212390.0,212399.0,both_years
2513201000,"Emery, Nat Corundum/other Abrsvs,crude/irreg Piecs (kg)",212390.0,212399.0,both_years
2530901000,Natural Cryolite; Natural Chiolite (t),212390.0,212399.0,both_years
