"Exports & Imports by NAICS Commodities"
"Current date: 07/21/2025 10:42 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Import Value (Gen) ($US)",
"334416 Capacitors, Resistors, Coils, Trnsfors,&oth Induct","Europe","2023","835,243,052"
"334416 Capacitors, Resistors, Coils, Trnsfors,&oth Induct","Europe","2024","955,770,882"
"334417 Electronic Connectors, Including Parts","World Total","2023","2,560,938,930"
"334417 Electronic Connectors, Including Parts","World Total","2024","2,826,428,441"
"334417 Electronic Connectors, Including Parts","Canada","2023","42,081,668"
"334417 Electronic Connectors, Including Parts","Canada","2024","34,586,657"
"334417 Electronic Connectors, Including Parts","China","2023","376,279,781"
"334417 Electronic Connectors, Including Parts","China","2024","410,158,070"
"334417 Electronic Connectors, Including Parts","Japan","2023","198,752,852"
"334417 Electronic Connectors, Including Parts","Japan","2024","227,975,445"
"334417 Electronic Connectors, Including Parts","Mexico","2023","823,690,130"
"334417 Electronic Connectors, Including Parts","Mexico","2024","867,202,901"
"334417 Electronic Connectors, Including Parts","Europe","2023","464,935,431"
"334417 Electronic Connectors, Including Parts","Europe","2024","477,118,996"
"334418 Printed Circuit Assemblies (electronic Assemblies)","World Total","2023","29,853,237,717"
"334418 Printed Circuit Assemblies (electronic Assemblies)","World Total","2024","51,255,917,068"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Canada","2023","324,213,352"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Canada","2024","336,369,218"
"334418 Printed Circuit Assemblies (electronic Assemblies)","China","2023","4,712,336,602"
"334418 Printed Circuit Assemblies (electronic Assemblies)","China","2024","4,518,464,649"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Japan","2023","125,530,173"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Japan","2024","102,066,774"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Mexico","2023","1,505,942,951"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Mexico","2024","2,161,166,545"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Europe","2023","710,698,564"
"334418 Printed Circuit Assemblies (electronic Assemblies)","Europe","2024","689,290,430"
"334419 Other Electronic Components","World Total","2023","14,566,251,569"
"334419 Other Electronic Components","World Total","2024","11,060,094,296"
"334419 Other Electronic Components","Canada","2023","228,399,519"
"334419 Other Electronic Components","Canada","2024","203,170,682"
"334419 Other Electronic Components","China","2023","2,378,561,472"
"334419 Other Electronic Components","China","2024","1,990,435,484"
"334419 Other Electronic Components","Japan","2023","1,381,994,575"
"334419 Other Electronic Components","Japan","2024","997,156,360"
"334419 Other Electronic Components","Mexico","2023","2,237,986,616"
"334419 Other Electronic Components","Mexico","2024","1,907,034,452"
"334419 Other Electronic Components","Europe","2023","2,861,015,800"
