usummary_code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,total_imports
3341,0,0,0,0,0,0,0,0,4,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,3,48,2,4,9,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,5,1,1,3,1,4,2,0,0,0,2,0,0,1,0,1,2,0,0,0,2,5,1,5,7,3,14,0,0,0,8,0,0,5,1,7,6,3,7,10,2,5,9,23,4,17,10,3,6,1,0,1,0,4,0,1,5,0,3,2,2,0,0,5,0,3,2,0,14,3,3,1,1082,1086,0,0,0,-8,0,0,0,3,0,0,0,2,0,0,0,154,0,0,2650
3342,0,0,0,0,0,0,0,0,80,9,1,20,3,0,2,94,0,0,0,0,0,0,0,0,2,1,42,4,32,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,2,0,0,9,82,45,20,12,10,8,5,0,2,0,3,0,0,0,2,8,1,3,0,1,1,0,3,142,3,3,15,0,1,7,0,0,0,0,3,0,1,0,0,0,0,7,0,1,0,104,7,0,4,0,0,0,29,1084,0,0,0,-12,0,0,0,68,0,0,0,8,0,0,0,18,0,0,2178
3344,0,0,0,0,0,0,0,0,2,3,1,11,1,0,17,15,24,7,2,15,57,21,30,8,168,13,38,343,163,4,99,4,94,3,874,42,5,12,3,10,58,53,23,5,0,-19,9,10,10,7,0,26,20,18,-4,6,31,19,2365,0,0,21,0,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,122,0,0,120,150,16,212,2,15,10,0,0,0,0,0,0,0,1,0,316,4,17,1,212,0,3,0,0,0,22,1,26,0,0,0,0,0,13,5,0,0,0,0,0,308,0,0,0,21,204,0,8,0,14,3,28,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6612
3345,0,0,0,6,1,16,2,0,41,10,30,33,3,0,6,1,1,2,0,0,345,0,0,1,157,4,157,126,1403,0,58,10,69,11,2,230,143,0,39,0,0,0,0,0,0,1,12,0,88,12,0,1,54,0,0,0,3,1,0,1,0,0,327,0,80,5,2,1,1,6,0,2,0,0,0,0,0,0,0,0,0,0,3,4,2,0,3,3,1,6,44,0,0,0,0,0,0,0,0,0,7,2,84,8,742,3,23,2,65,0,1,9,50,59,23,323,92,11,44,323,115,3,9,0,0,0,4,184,28,156,0,193,365,0,3,4,1,143,5698,13851,0,0,0,3,0,0,0,505,0,0,0,55,0,0,0,99,0,0,26860
334X,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,32,0,15,273,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,3,6,9,0,7,0,0,0,0,0,0,0,1,0,0,0,4,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,1,3,19,2,0,2,10,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,6,0,0,1,1017,55,0,4,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1696
335,320,133,4,5,3,39,1,1,392,814,409,610,253,88,371,95,41,23,201,41,338,49,99,24,2145,9,43,51,184,2,1423,5,141,15,466,98,135,18,96,26,206,97,0,11,1,99,20,25,58,49,1,49,78,0,0,0,0,2,0,2,0,0,0,0,63,9,17,4,0,9,1,11,13,0,13,0,9,28,0,3,0,13,0,1,0,0,50,297,15,14,0,12,8,0,0,9,0,0,0,53,22,0,211,29,296,13,55,0,258,3,2,51,110,77,-2,1,0,0,0,0,48,33,26,2,21,29,55,258,35,6,0,338,735,5,85,38,28,268,3792,4297,0,255,0,-16,0,0,0,73,0,0,0,5,0,0,0,40,0,0,22143
336111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2652,6054,0,0,0,1115,0,0,0,2922,0,0,0,2936,0,0,0,7376,0,0,23055
336112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14857,16221,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31877
33612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,770,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,350,0,0,1206
3362BP,27,14,4,62,33,14,1,0,0,123,0,1,0,0,0,0,115,29,39,14,64,161,204,18,130,1,17,4,13,1,62,501,6168,481,2192,229,149,24,17,23,139,104,7,4,0,66,9,8,11,13,1,47,38,11,6,24,59,146,3,133,20,68,23,0,137,98,18,59,50,13,6,174,24,0,2,0,418,40,0,4,0,78,5,2,6,61,5,6,0,2,30,10,2,0,0,0,0,0,0,0,231,0,7,0,33,24,72,18,28,35,8,615,113,85,39,6,4,1,3,27,98,9,156,3,11,12,103,815,44,84,0,491,9,227,225,19,269,87,1168,213,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18701
