hs_code,matched_bea_detail,match_level,mapping_strength,modal_count,total_matches,impVal
707004050,111200,hs8,1.0,1,1,30997172.0
9401694011,337122,hs8,0.5,1,2,29420768.0
7306305031,331110,hs8,1.0,11,11,28207432.0
7306305033,331110,hs8,1.0,11,11,27454401.0
3004909238,325412,hs8,1.0,25,25,27410270.0
3004909256,325412,hs8,1.0,25,25,27406826.0
3004909237,325412,hs8,1.0,25,25,27370733.0
702002002,111400,hs6,0.5,6,12,27054089.0
3004909208,325412,hs8,1.0,25,25,26868043.0
7306305041,331110,hs8,1.0,11,11,26336751.0
808304045,111300,hs6,1.0,2,2,26114919.0
707005026,111400,hs8,1.0,1,1,25163146.0
702002006,111400,hs6,0.5,6,12,25093196.0
707002045,111200,hs6,1.0,3,3,24682245.0
3004909217,325412,hs8,1.0,25,25,24533535.0
3004909263,325412,hs8,1.0,25,25,24135554.0
3004200045,325412,hs8,1.0,4,4,23104793.0
3004909266,325412,hs8,1.0,25,25,22404591.0
4802571085,322120,hs8,1.0,3,3,21558856.0
703104070,111200,hs6,1.0,4,4,20504432.0
702002043,111400,hs8,0.5,1,2,20417118.0
3004909219,325412,hs8,1.0,25,25,20340243.0
3004909225,325412,hs8,1.0,25,25,19480833.0
707002080,111200,hs6,1.0,3,3,19370603.0
707005024,111400,hs8,1.0,1,1,19187469.0
707005022,111400,hs8,1.0,1,1,18793486.0
807113020,111200,hs6,1.0,2,2,18334897.0
2812190090,325180,hs8,1.0,1,1,17571529.0
3004909227,325412,hs8,1.0,25,25,17355762.0
707004080,111200,hs6,1.0,3,3,17021210.0
3004909204,325412,hs8,1.0,25,25,15600165.0
810104020,111300,hs6,1.0,2,2,15521765.0
2931490055,325190,hs8,1.0,3,3,14941201.0
707006013,111400,hs8,1.0,1,1,13114195.0
707005005,111400,hs6,0.6666666666666666,4,6,12725856.0
707006017,111400,hs8,1.0,1,1,12462775.0
8542390020,334413,hs8,1.0,1,1,12428739.0
707002040,111200,hs6,1.0,3,3,12142284.0
702006008,111400,hs6,0.5,6,12,12071307.0
805100050,111300,hs6,1.0,2,2,11933741.0
2931590060,325190,hs8,1.0,1,1,11454336.0
702004006,111400,hs6,0.5,6,12,11426563.0
702006033,111200,hs8,0.6666666666666666,2,3,11238338.0
811908090,311410,hs8,1.0,1,1,10567192.0
7306305026,331110,hs8,1.0,11,11,10465475.0
707004045,111200,hs6,1.0,3,3,10258940.0
707004040,111200,hs6,1.0,3,3,10126118.0
702006002,111400,hs6,0.5,6,12,9610627.0
807114020,111200,hs6,1.0,2,2,9466184.0
707006021,111400,hs8,1.0,3,3,9462366.0
707004037,111200,hs8,1.0,1,1,9402242.0
810102080,111300,hs6,1.0,2,2,8062795.0
9401694031,337122,hs8,0.5,1,2,7900213.0
702004002,111400,hs6,0.5,6,12,7795850.0
8542310065,334413,hs8,1.0,1,1,7650762.0
2939800050,325190,hs8,1.0,1,1,7247101.0
3002490010,325414,hs8,1.0,1,1,7100469.0
702006006,111400,hs6,0.5,6,12,7097767.0
707002037,111200,hs8,1.0,1,1,7093436.0
7306305027,331110,hs8,1.0,11,11,6728034.0
807113060,111200,hs6,1.0,2,2,6293771.0
702002004,111400,hs6,0.5,6,12,6154990.0
9401694015,337122,hs8,0.5,1,2,6093392.0
702002044,111400,hs8,0.5,1,2,6084890.0
9401612011,337121,hs8,0.5,1,2,6075865.0
2007996525,311420,hs8,1.0,2,2,6042006.0
702004008,111400,hs6,0.5,6,12,5730231.0
807114040,111200,hs6,1.0,2,2,4821219.0
7306305043,331110,hs8,1.0,11,11,4555234.0
702002050,111200,hs8,1.0,1,1,4465974.0
808302035,111300,hs6,1.0,2,2,4318140.0
702004004,111400,hs6,0.5,6,12,4116026.0
2931590080,325190,hs8,1.0,1,1,3974866.0
810102060,111300,hs6,1.0,2,2,3451861.0
9401694035,337122,hs8,0.5,1,2,3262147.0
9401612015,337121,hs8,0.5,1,2,3047167.0
807113040,111200,hs6,1.0,2,2,2783821.0
9401612031,337121,hs8,0.5,1,2,2499783.0
702006034,111200,hs8,0.6666666666666666,2,3,2390488.0
810102020,111300,hs6,1.0,2,2,2012946.0
702006004,111400,hs6,0.5,6,12,2003771.0
9401612035,337121,hs8,0.5,1,2,1945572.0
702002048,111400,hs8,0.5,1,2,1870948.0
702006038,111200,hs8,0.6666666666666666,2,3,965426.0
2931590010,325190,hs8,1.0,1,1,662726.0
702006037,111200,hs8,0.6666666666666666,2,3,495858.0
2931909040,325190,hs8,1.0,5,5,430280.0
810102040,111300,hs6,1.0,2,2,355592.0
2915901810,325190,hs8,1.0,1,1,254005.0
3004909223,325412,hs8,1.0,25,25,158433.0
704904028,111200,hs8,1.0,4,4,114424.0
2931909035,325190,hs8,1.0,5,5,111000.0
707006005,111400,hs6,0.5714285714285714,4,7,68493.0
2931490008,325190,hs8,1.0,3,3,50021.0
2933396120,325190,hs8,1.0,2,2,48200.0
2812190010,325180,hs8,1.0,1,1,28078.0
2930909222,325190,hs8,0.875,7,8,17100.0
2929905018,325190,hs8,1.0,3,3,15431.0
2931490005,325190,hs8,1.0,3,3,3750.0
2931490025,325190,hs8,1.0,3,3,2390.0
2929905015,325190,hs8,1.0,3,3,2250.0
2921196140,325190,hs8,1.0,2,2,2070.0
