ISO3,HS_Section,2024_imports,2024_duty,2024_tariff,2025_tariff
ARG,16,156159339.0,1329716.0,0.8515123133301685,13.156751931435878
ARG,17,21982998.0,497125.0,2.261406747159782,22.049816863013863
ARG,18,8487062.0,13706.0,0.16149286997078613,12.25987744640018
ARG,19,2752652.0,71369.0,2.592736023296806,12.592736023296808
ARG,20,7016828.0,45600.0,0.6498662928605347,22.449943193705188
ARG,21,288971483.0,125.0,4.3256863515490904e-05,10.000043256863515
ARM,1,2081240.0,136893.0,6.577473044915531,16.577473044915532
ARM,2,1062217.0,35537.0,3.345549920590614,13.345549920590614
ARM,3,23051.0,0.0,0.0,10.0
ARM,4,15775273.0,305004.0,1.9334308826224433,11.933430882622444
ARM,5,89580.0,128.0,0.14288903773163653,10.142889037731637
ARM,6,1125047.0,21331.0,1.8960096778179045,11.492044332370112
ARM,7,291854.0,6115.0,2.0952256950393005,12.095225695039298
ARM,8,214576.0,14124.0,6.582283200357915,16.582283200357914
ARM,9,387341.0,5950.0,1.5361141732994958,11.536114173299495
ARM,10,95860.0,0.0,0.0,10.0
ARM,11,7918275.0,724051.0,9.144049682538178,19.144049682538174
ARM,12,75344.0,5876.0,7.798895731577829,17.79889573157783
ARM,13,77984.0,2101.0,2.6941423881821915,12.694142388182192
ARM,14,89482332.0,21850.0,0.024418228170450453,10.02441822817045
ARM,15,2253658.0,104151.0,4.62141993150691,6.412831938120158
ARM,16,790847.0,4897.0,0.6192095310470925,10.597081357076654
ARM,17,14647.0,0.0,0.0,10.0
ARM,18,2035851.0,4450.0,0.2185818117337664,10.218581811733765
ARM,19,0.0,0.0,0.0,0.0
ARM,20,1040035.0,22697.0,2.182330402342229,12.18233040234223
ARM,21,3190636.0,0.0,0.0,10.0
ATG,1,0.0,0.0,0.0,0.0
ATG,2,0.0,0.0,0.0,0.0
ATG,3,0.0,0.0,0.0,0.0
ATG,4,234213.0,4899.0,2.0916857732064402,12.091685773206441
ATG,5,1448095.0,0.0,0.0,10.0
ATG,6,3581.0,132.0,3.6861211951968724,13.686121195196872
ATG,7,5961.0,9.0,0.1509813789632612,10.15098137896326
ATG,8,3920.0,108.0,2.7551020408163267,12.755102040816327
ATG,9,0.0,0.0,0.0,0.0
ATG,10,215342.0,0.0,0.0,10.0
ATG,11,68523.0,128.0,0.18679859317309516,10.186798593173096
ATG,12,0.0,0.0,0.0,0.0
ATG,13,13457.0,783.0,5.818533105446979,15.81853310544698
ATG,14,360866.0,1168.0,0.32366584826500694,10.323665848265009
ATG,15,1260010.0,152.0,0.01206339632225141,9.977897000817453
ATG,16,130465.0,851.0,0.6522822212854021,11.66971984823516
ATG,17,9049.0,227.0,2.5085644822632336,20.3807050502818
ATG,18,233666.0,0.0,0.0,10.0
ATG,19,0.0,0.0,0.0,0.0
ATG,20,49292.0,0.0,0.0,10.0
ATG,21,18186244.0,0.0,0.0,10.0
AUS,1,4273312972.0,324992.0,0.007605153241277736,10.003043769572981
AUS,2,313688000.0,100187.0,0.03193842289153554,10.031938422891535
AUS,3,282610390.0,55087.0,0.019492206213649825,10.01949220621365
AUS,4,554199869.0,5666214.0,1.0224134499028545,11.022413449902855
AUS,5,643788798.0,66446.0,0.010321086698995343,2.934916242515919
AUS,6,1882098296.0,1096379.0,0.05825301485741317,9.37957224525323
AUS,7,111081734.0,1319738.0,1.1880783207795442,11.015343710785071
AUS,8,2115757.0,84042.0,3.972195294639224,13.972195294639224
AUS,9,8981400.0,45620.0,0.5079386287215801,6.249929855033737
AUS,10,82566189.0,0.0,0.0,9.976376528653878
AUS,11,51521480.0,2756246.0,5.349702687112249,15.349702687112249
AUS,12,9939574.0,55758.0,0.5609697156035057,10.560969715603505
AUS,13,45570145.0,709996.0,1.558028836642938,20.263313184542206
AUS,14,3226552267.0,617340.0,0.01913311637049641,10.019133116370496
AUS,15,1145129051.0,724655.0,0.06328151393654582,11.153604538149125
AUS,16,1070455381.0,4169076.0,0.38946751765639454,14.506254903865068
AUS,17,581613091.0,831361.0,0.14294055839950137,21.91221141203646
AUS,18,1007634044.0,205686.0,0.020412768030691905,10.352485604386745
AUS,19,40382707.0,827.0,0.0020479062981092373,10.00204790629811
AUS,20,81895756.0,433817.0,0.5297185363305029,13.70928861075536
AUS,21,1265447806.0,0.0,0.0,10.0
AUT,1,628323715.0,3961917.0,0.6305534719471794,10.630553471947177
AUT,2,285745301.0,9400503.0,3.28981892864093,13.289818928640932
AUT,3,5546119.0,365956.0,6.598415937342852,16.598415937342853
AUT,4,631849740.0,19996717.0,3.1647899388231133,13.164789938823112
AUT,5,6843588.0,79482.0,1.161408313884471,8.764250565638958
AUT,6,3954283875.0,10440297.0,0.2640249746864721,10.095611511958026
AUT,7,372684344.0,17942316.0,4.814346588167921,14.625318242507122
AUT,8,5959692.0,458498.0,7.69331703718917,17.69331703718917
AUT,9,184075403.0,3109605.0,1.6893104398092778,9.271479144880644
AUT,10,120773339.0,0.0,0.0,9.992985455175665
AUT,11,111646101.0,6160927.0,5.518264359272161,15.51826435927216
AUT,12,22213864.0,1419308.0,6.389289139431123,16.421110708159553
AUT,13,155015869.0,2287235.0,1.4754844228238335,11.479607549082603
AUT,14,123899614.0,129625.0,0.10462098776191506,10.104620987761916
AUT,15,1443411283.0,44469981.0,3.0808946503156855,21.67704320557123
AUT,16,5347367961.0,58695137.0,1.0976453729775415,12.247044653114344
AUT,17,3498489778.0,72200084.0,2.0637500344870237,24.400301472025625
AUT,18,728402534.0,3784618.0,0.5195778190414697,10.857425607198671
AUT,19,285909175.0,9155261.0,3.2021571186024373,13.202157118602438
AUT,20,179214153.0,2149955.0,1.199656926649091,22.160179140539203
AUT,21,462579275.0,0.0,0.0,10.0
AZE,1,1842025.0,3557.0,0.19310269947476283,10.19310269947476
AZE,2,154193.0,117.0,0.07587893095017284,10.075878930950173
AZE,3,395296.0,1606.0,0.40627782724844164,10.406277827248442
AZE,4,1269764.0,1827.0,0.14388500540257876,10.143885005402579
AZE,5,5015.0,0.0,0.0,10.0
AZE,6,2030893.0,0.0,0.0,10.0
AZE,7,110437.0,4388.0,3.973306047791954,13.973306047791954
AZE,8,0.0,0.0,0.0,0.0
AZE,9,926509.0,39245.0,4.235792636660842,14.235792636660843
AZE,10,471530.0,0.0,0.0,10.0
AZE,11,67077.0,4880.0,7.275221014654799,17.2752210146548
AZE,12,0.0,0.0,0.0,0.0
AZE,13,215055.0,11712.0,5.44604868522006,15.44604868522006
AZE,14,2278691.0,0.0,0.0,10.0
AZE,15,67211317.0,7978557.0,11.870853534978343,23.265137774342385
AZE,16,5603032.0,1330.0,0.02373714802985241,17.893281708903327
AZE,17,570425.0,0.0,0.0,10.0
AZE,18,10050.0,0.0,0.0,10.0
AZE,19,8054766.0,0.0,0.0,10.0
AZE,20,535413.0,58.0,0.010832759010334078,10.010832759010334
