U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE
332,2,22,0,44,0,0,0,6,116,86,131,199,81,39,125,85,36,2,6,1,80,1,6,2,41,0,3,1,2,0,6,1,6,1,19,12,16,6,2,2,40,10,7,0,0,16,0,1,8,3,0,23,17,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,32,17,8,0,4,6,1,0,0,0,0,0,0,0,7,4,0,24,0,43,0,11,0,0,1,0,6,7,15,3,0,0,0,0,0,11,0,35,0,5,6,30,18,0,8,0,79,12,0,3,5,11,32
33311,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,8
33312,0,0,0,9,6,2,0,0,0,3,0,29,1,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33313,0,0,0,22,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3332OM,0,0,0,210,8,44,4,0,144,7,113,20,143,1,5,6,2,1,2,4,90,12,35,38,683,0,1,1,3,0,47,10,123,68,319,17,7,1,0,8,4,8,0,0,0,10,28,1,5,2,0,27,14,0,0,0,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,5,0,12,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,44,0,19,0,8,0,9,1,0,17,2,25,3,6,0,0,1,4,3,0,0,0,1,0,2,47,6,1,0,23,69,-2,20,2,25,46
3341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,2,1,4,0,0,0,2,0,0,2,0,2,2,1,2,3,1,2,3,6,1,5,3,1,2,0,0,0,0,1,0,0,2,0,1,1,1,0,0,1,0,1,1,0,4,1,1,0
3342,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,22,2,17,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,24,29,6,3,2,2,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,39,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,59,3,0,2,0,0,0
3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,10,6,19,78,7,6,9,62,11,18,200,46,1,39,4,96,3,164,35,7,16,7,17,3,52,0,7,0,-11,12,5,9,7,0,32,23,24,-1,11,14,29,1126,0,0,22,2,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,116,91,15,56,0,7,5,0,0,0,0,0,0,0,1,0,80,1,4,0,35,0,3,0,0,0,12,0,4,0,0,0,0,0,4,2,0,0,0,0,0,136,0,0,0,1,12,0,1,0,2,0
3345,0,0,0,0,0,0,1,0,7,3,5,11,1,0,2,0,0,0,0,0,8,0,0,0,13,0,12,10,50,0,-204,0,0,0,0,12,7,0,2,0,0,0,0,0,0,0,1,0,11,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,1,5,1,38,0,4,0,5,0,0,0,3,15,1,284,19,1,33,13,15,3,0,0,0,0,0,1,1,-1,0,11,179,0,0,-1,0,56
334X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
