iso3,HS_Section,impVal
CHN,8,3012242781.0
CHN,9,2111054286.0
CHN,10,4897798786.0
CHN,11,28291461890.0
CHN,12,13335314239.0
CHN,13,5776088487.0
CHN,14,1736685019.0
CHN,15,25136396638.0
CHN,16,205975024354.0
CHN,17,18134970733.0
CHN,18,12859412019.0
CHN,19,175361993.0
CHN,20,53317231784.0
CHN,21,11537149586.0
CIV,1,100385.0
CIV,2,55987474.0
CIV,3,2453.0
CIV,4,760072284.0
CIV,6,3687153.0
CIV,7,175562947.0
CIV,8,13565.0
CIV,9,6282376.0
CIV,10,5577.0
CIV,11,105196.0
CIV,12,3602.0
CIV,13,17443.0
CIV,14,394983.0
CIV,15,74593.0
CIV,16,2328009.0
CIV,17,1800573.0
CIV,18,131363.0
CIV,20,116415.0
CIV,21,7990020.0
CMR,1,35521.0
CMR,2,534113.0
CMR,3,456772.0
CMR,4,59500362.0
CMR,5,132564558.0
CMR,6,432791.0
CMR,7,7098047.0
CMR,8,48575.0
CMR,9,34318197.0
CMR,10,32514.0
CMR,11,114991.0
CMR,12,124116.0
CMR,13,27275.0
CMR,14,118574.0
CMR,15,267089.0
CMR,16,2513659.0
CMR,17,392259.0
CMR,18,207544.0
CMR,20,3257168.0
CMR,21,6761155.0
COD,1,282188.0
COD,2,1327317.0
COD,3,36327.0
COD,4,10625600.0
COD,5,5500.0
COD,6,25809.0
COD,7,951237.0
COD,8,500.0
COD,9,5818160.0
COD,10,7650.0
COD,11,3950.0
COD,12,1700.0
COD,13,67798.0
COD,14,4270646.0
COD,15,296260076.0
COD,16,371739.0
COD,17,43756.0
COD,18,21799.0
COD,20,13025.0
COD,21,2965362.0
COG,1,51924.0
COG,2,736794.0
COG,6,3587.0
COG,7,5400.0
COG,8,4306.0
COG,9,22426527.0
COG,10,9983.0
COG,11,23390.0
COG,14,47482.0
COG,15,12912908.0
COG,16,196714.0
COG,18,187482.0
COG,21,3594324.0
COK,7,800.0
COK,10,8808.0
COK,11,15739.0
COK,13,2655.0
COK,14,18257.0
COK,15,3002.0
COK,16,85380.0
COK,18,45933.0
COK,21,711545.0
COL,1,161929847.0
COL,2,3458846651.0
COL,3,79413796.0
COL,4,684571008.0
COL,5,7538985375.0
COL,6,368004112.0
COL,7,299194041.0
COL,8,19023004.0
COL,9,11260619.0
COL,10,99696384.0
COL,11,318721902.0
COL,12,14948260.0
COL,13,123364743.0
COL,14,2171625436.0
COL,15,878372836.0
COL,16,510137495.0
COL,17,31048425.0
COL,18,19270032.0
COL,20,125043737.0
COL,21,776891260.0
COM,2,1384530.0
COM,6,355183.0
COM,7,2308.0
COM,11,72976.0
COM,13,7728.0
COM,15,5034.0
COM,20,8400.0
COM,21,12232.0
CPV,1,2052.0
CPV,2,36747.0
CPV,4,3034787.0
CPV,7,5094.0
CPV,9,15782.0
CPV,11,432.0
CPV,12,280.0
CPV,13,9316.0
CPV,15,32873.0
CPV,16,959500.0
CPV,18,5192.0
CPV,20,54797.0
CPV,21,326147.0
CRI,1,128107868.0
CRI,2,1712244286.0
CRI,3,139259.0
CRI,4,357689677.0
CRI,5,6031740.0
CRI,6,87569981.0
CRI,7,366985505.0
CRI,8,12889363.0
CRI,9,3077722.0
CRI,10,12592046.0
CRI,11,43624152.0
CRI,12,194777.0
CRI,13,28200888.0
CRI,14,120652016.0
CRI,15,84566895.0
CRI,16,1756083520.0
CRI,17,38258703.0
CRI,18,5772789336.0
CRI,19,6762.0
CRI,20,68224012.0
CRI,21,1034976823.0
CUB,7,9095.0
CUB,21,4860777.0
CUW,4,194080.0
CUW,5,9548021.0
CUW,6,135816.0
CUW,7,39994.0
CUW,14,3750021.0
CUW,15,1182591.0
CUW,16,5813753.0
CUW,17,23024.0
CUW,18,637504.0
CUW,20,3500.0
CUW,21,10607641.0
CXR,1,19835.0
CXR,10,10461.0
CXR,11,5317.0
CXR,12,1287.0
CXR,15,196903.0
CXR,16,667912.0
CXR,18,156652.0
CXR,20,615561.0
CXR,21,73314.0
CYM,2,121500.0
CYM,4,344431.0
CYM,5,7888.0
CYM,6,23600.0
CYM,7,7176.0
CYM,8,7326.0
CYM,9,2284.0
CYM,10,61489.0
CYM,11,5750.0
CYM,13,3500.0
CYM,14,697277.0
CYM,15,2583962.0
CYM,16,32040059.0
CYM,17,13802.0
CYM,18,750406.0
CYM,20,32283.0
CYM,21,12696817.0
CYP,1,11808014.0
CYP,2,993992.0
CYP,3,901044.0
CYP,4,3444593.0
CYP,5,2143916.0
CYP,6,1262006.0
CYP,7,712355.0
CYP,8,14670.0
CYP,10,304712.0
CYP,11,40248.0
CYP,13,17439.0
CYP,14,158961.0
CYP,15,911880.0
CYP,16,26429327.0
CYP,17,335946.0
CYP,18,681880.0
CYP,19,122984.0
CYP,20,837405.0
CYP,21,7738937.0
CZE,1,4321148.0
CZE,2,19053645.0
CZE,3,3024118.0
CZE,4,54816575.0
CZE,5,19308270.0
CZE,6,430784025.0
CZE,7,571842917.0
CZE,8,1720989.0
CZE,9,46152769.0
CZE,10,51772040.0
CZE,11,93683220.0
CZE,12,10689378.0
CZE,13,112836542.0
CZE,14,6631760.0
CZE,15,458313446.0
CZE,16,4064212444.0
CZE,17,423760737.0
CZE,18,752727697.0
CZE,19,149746541.0
CZE,20,399525575.0
CZE,21,406984503.0
DEU,1,431485451.0
DEU,2,604643402.0
DEU,3,98576008.0
DEU,4,1572162423.0
DEU,5,518822424.0
DEU,6,26842470792.0
DEU,7,4797268202.0
DEU,8,73454375.0
DEU,9,754482186.0
DEU,10,1095078626.0
DEU,11,725629735.0
DEU,12,397824199.0
DEU,13,1290882609.0
DEU,14,1658809132.0
DEU,15,7622310222.0
DEU,16,45340127739.0
DEU,17,40076868229.0
DEU,18,13598056264.0
DEU,19,308642204.0
DEU,20,1302153292.0
DEU,21,11326800414.0
DJI,1,156778.0
DJI,2,868898.0
DJI,7,17147.0
DJI,8,54071.0
DJI,14,33067.0
DJI,16,493056.0
DJI,17,3218.0
DJI,18,4595.0
DJI,19,17623.0
DJI,20,2250.0
DJI,21,38460547.0
DMA,1,4973.0
DMA,2,35007.0
DMA,4,112323.0
DMA,6,288495.0
DMA,7,3744.0
DMA,9,4381.0
DMA,11,24957.0
DMA,12,350.0
DMA,13,6519.0
DMA,14,477449.0
DMA,15,28893.0
DMA,16,155026.0
DMA,18,431398.0
DMA,20,11817.0
DMA,21,720863.0
DNK,1,346126544.0
DNK,2,110606122.0
DNK,3,19731683.0
DNK,4,302881979.0
DNK,5,90501822.0
DNK,6,3779419911.0
DNK,7,167149739.0
DNK,8,4910540.0
DNK,9,11671018.0
DNK,10,31740994.0
DNK,11,40185048.0
DNK,12,2596268.0
DNK,13,26548938.0
DNK,14,3822393.0
