iso3,HS2,impVal
AUT,23,32605692.0
AUT,25,2438504.0
AUT,26,833923.0
AUT,27,3662557.0
AUT,28,98037879.0
AUT,29,93650051.0
AUT,30,3555621216.0
AUT,31,838544.0
AUT,32,14973624.0
AUT,33,15823060.0
AUT,34,9428090.0
AUT,35,24878789.0
AUT,36,2850754.0
AUT,37,1244264.0
AUT,38,107231266.0
AUT,39,380057493.0
AUT,40,21907974.0
AUT,41,3892801.0
AUT,42,2174164.0
AUT,43,43006.0
AUT,44,169331473.0
AUT,45,14337.0
AUT,47,900600.0
AUT,48,109526133.0
AUT,49,8870549.0
AUT,50,3217.0
AUT,51,104917.0
AUT,52,1974854.0
AUT,53,1593305.0
AUT,54,1625961.0
AUT,55,65267955.0
AUT,56,11298059.0
AUT,57,138960.0
AUT,58,1640545.0
AUT,59,10145736.0
AUT,60,5697539.0
AUT,61,3861612.0
AUT,62,2857673.0
AUT,63,5363498.0
AUT,64,14257308.0
AUT,65,4607428.0
AUT,66,1052109.0
AUT,67,2325651.0
AUT,68,72169898.0
AUT,69,37893136.0
AUT,70,45247160.0
AUT,71,123918459.0
AUT,72,258775536.0
AUT,73,549473809.0
AUT,74,44059563.0
AUT,75,35369209.0
AUT,76,206419020.0
AUT,78,6566.0
AUT,79,2406793.0
AUT,80,78614.0
AUT,81,55360693.0
AUT,82,121975572.0
AUT,83,174041608.0
AUT,84,4803094846.0
AUT,85,1460696760.0
AUT,86,60612899.0
AUT,87,2452027189.0
AUT,88,263228249.0
AUT,89,1290920.0
AUT,90,714901379.0
AUT,91,3412790.0
AUT,92,11642249.0
AUT,93,289016526.0
AUT,94,60890876.0
AUT,95,87995951.0
AUT,96,31157123.0
AUT,97,74808754.0
AUT,98,264815529.0
AUT,99,123094512.0
AZE,1,3000.0
AZE,5,1839025.0
AZE,8,4669.0
AZE,9,51419.0
AZE,12,98105.0
AZE,15,395296.0
AZE,16,272430.0
AZE,17,7274.0
AZE,18,16047.0
AZE,19,31463.0
AZE,20,680472.0
AZE,21,158029.0
AZE,22,118269.0
AZE,23,4560.0
AZE,25,5015.0
AZE,31,1999026.0
AZE,33,31867.0
AZE,39,80687.0
AZE,40,29750.0
AZE,44,926509.0
AZE,49,471530.0
AZE,57,38162.0
AZE,58,24884.0
AZE,61,3257.0
AZE,62,25658.0
AZE,68,4195.0
AZE,69,92551.0
AZE,70,118309.0
AZE,71,2278691.0
AZE,72,4158884.0
AZE,73,236007.0
AZE,74,18067.0
AZE,76,80106774.0
AZE,83,34270.0
AZE,84,5282684.0
AZE,85,320348.0
AZE,88,570425.0
AZE,90,10050.0
AZE,93,8054766.0
AZE,94,535413.0
AZE,97,436598.0
AZE,98,47785339.0
AZE,99,416698.0
BDI,9,3356667.0
BDI,28,3750.0
BDI,42,1104.0
BDI,49,16232.0
BDI,61,273104.0
BDI,62,64038.0
BDI,63,266.0
BDI,84,2477.0
BDI,97,3500.0
BDI,99,15546.0
BEL,1,82497178.0
BEL,3,80615.0
BEL,4,15138996.0
BEL,5,4650659.0
BEL,6,1127302.0
BEL,7,72754918.0
BEL,8,1077247.0
BEL,9,10843810.0
BEL,10,207329.0
BEL,11,45052736.0
BEL,12,2079139.0
BEL,13,926613.0
BEL,14,44941.0
BEL,15,37744163.0
BEL,16,667477.0
BEL,17,32947861.0
BEL,18,253460745.0
BEL,19,183470545.0
BEL,20,350864401.0
