hs_commodity,naics_2023,naics_2022,overlap_type
6115991920,315120,315110,both_years
6115994000,315120,315110,both_years
6115210010,315120,315110,both_years
6115210020,315120,315110,both_years
6115999000,315120,315110,both_years
6115220000,315120,315110,both_years
6111305050,315120,315110,both_years
6111206050,315120,315110,both_years
6115940000,315120,315110,both_years
6115294000,315120,315110,both_years
6117802000,315120,315190,both_years
6117803010,315120,315190,both_years
6117803090,315120,315190,both_years
6117808500,315120,315190,both_years
6117808710,315120,315190,both_years
6117808720,315120,315190,both_years
6117808730,315120,315190,both_years
6117808770,315120,315190,both_years
6505001525,315120,315190,both_years
6505001540,315120,315190,both_years
6505001560,315120,315190,both_years
6505003045,315120,315190,both_years
6505003090,315120,315190,both_years
6505005045,315120,315190,both_years
6505005090,315120,315190,both_years
6505006040,315120,315190,both_years
6505006045,315120,315190,both_years
6505006090,315120,315190,both_years
6505009050,315120,315190,both_years
6505009076,315120,315190,both_years
6505009089,315120,315190,both_years
9810009000,315120,315190,both_years
6117101000,315120,315190,both_years
6117102010,315120,315190,both_years
6117102030,315120,315190,both_years
6117104000,315120,315190,both_years
6117106010,315120,315190,both_years
6117106020,315120,315190,both_years
6206403033,315250,,only_2023
6206403035,315250,,only_2023
6206303043,315250,,only_2023
6206303045,315250,,only_2023
6203424514,315250,,only_2023
6203424518,315250,,only_2023
6211421082,315250,,only_2023
6211421088,315250,,only_2023
6211421092,315250,,only_2023
6211431059,315250,,only_2023
6211431062,315250,,only_2023
6211431082,315250,,only_2023
6211431088,315250,,only_2023
6211431092,315250,,only_2023
6203439009,315250,,only_2023
6203439011,315250,,only_2023
6204628014,315250,,only_2023
6204628018,315250,,only_2023
6204639009,315250,,only_2023
6204639011,315250,,only_2023
6205302071,315250,,only_2023
6205302073,315250,,only_2023
6211339042,315250,,only_2023
6211339044,315250,,only_2023
6205202063,315250,,only_2023
6205202067,315250,,only_2023
6103106010,315250,315220,both_years
6103106015,315250,315220,both_years
6103106030,315250,315220,both_years
6103107000,315250,315220,both_years
6211111010,315250,315220,both_years
6211111020,315250,315220,both_years
6203116000,315250,315220,both_years
6103109010,315250,315220,both_years
6103109020,315250,315220,both_years
6103109030,315250,315220,both_years
6103109040,315250,315220,both_years
6103109050,315250,315220,both_years
6103109080,315250,315220,both_years
6211114000,315250,315220,both_years
6203119000,315250,315220,both_years
6110190015,315250,315220,both_years
6110190025,315250,315220,both_years
