hs_code,mapping_type,hs_code_2021,naics_2021,hs_code_2022,naics_2022,hs_code_2023,naics_2023,hs_code_2024,naics_2024
9403893010,inconsistent_naics,9403893010,337125,9403893010,337125,9403893010,337126,9403893010,337126
9006610060,inconsistent_naics,9006610060,333316,9006610060,333316,9006610060,333310,9006610060,333310
8807100015,partial_coverage,,,8807100015,336413,8807100015,336413,8807100015,336413
6202308026,partial_coverage,,,6202308026,315240,6202308026,315250,6202308026,315250
6206403035,partial_coverage,,,,,6206403035,315250,6206403035,315250
6102100000,inconsistent_naics,6102100000,315240,6102100000,315240,6102100000,315250,6102100000,315250
8903999100,partial_coverage,,,8903999100,336611,8903999100,336611,8903999100,336612
9002204000,inconsistent_naics,9002204000,333314,9002204000,333314,9002204000,333310,9002204000,333310
9401993510,partial_coverage,,,9401993510,337215,9401993510,337215,9401993510,337215
9006530205,partial_coverage,,,9006530205,333316,9006530205,333310,9006530205,333310
6211393045,inconsistent_naics,6211393045,315220,6211393045,315220,6211393045,315250,6211393045,315250
6203230080,inconsistent_naics,6203230080,315220,6203230080,315220,6203230080,315250,6203230080,315250
6203420721,inconsistent_naics,6203420721,315220,6203420721,315220,6203420721,315250,6203420721,315250
1211909220,partial_coverage,1211909220,111998,,,,,,
0810904690,partial_coverage,0810904690,111339,0810904690,111339,,,,
6202934800,partial_coverage,6202934800,315240,,,,,,
6211495080,inconsistent_naics,6211495080,315240,6211495080,315240,6211495080,315250,6211495080,315250
0813202000,partial_coverage,0813202000,311423,,,,,,
9403901040,partial_coverage,9403901040,336360,,,,,,
9404908505,partial_coverage,9404908505,314120,,,,,,
6206100030,inconsistent_naics,6206100030,315240,6206100030,315240,6206100030,315250,6206100030,315250
9508300000,partial_coverage,,,9508300000,333318,9508300000,333310,9508300000,333310
6201307000,partial_coverage,,,6201307000,315220,6201307000,315250,6201307000,315250
4802691000,inconsistent_naics,4802691000,322122,4802691000,322122,4802691000,322120,4802691000,322120
6102302010,inconsistent_naics,6102302010,315240,6102302010,315240,6102302010,315250,6102302010,315250
0307990300,partial_coverage,,,0307990300,114112,0307990300,114112,0307990300,311710
6204594010,inconsistent_naics,6204594010,315240,6204594010,315240,6204594010,315250,6204594010,315250
6104292028,inconsistent_naics,6104292028,315240,6104292028,315240,6104292028,315250,6104292028,315250
8807909015,partial_coverage,,,8807909015,336413,8807909015,336413,8807909015,336413
8706000300,inconsistent_naics,8706000300,336112,8706000300,336112,8706000300,336110,8706000300,336110
6204331000,inconsistent_naics,6204331000,315240,6204331000,315240,6204331000,315250,6204331000,315250
8703600050,inconsistent_naics,8703600050,336112,8703600050,336112,8703600050,336110,8703600050,336110
6203431190,inconsistent_naics,6203431190,315220,6203431190,315220,6203431190,315250,6203431190,315250
3824999380,partial_coverage,,,3824999380,325411,,,,
6211390320,inconsistent_naics,6211390320,315220,6211390320,315220,6211390320,315250,6211390320,315250
8462190010,partial_coverage,,,8462190010,333517,8462190010,333517,8462190010,930000
0709406040,partial_coverage,,,,,0709406040,111219,0709406040,111219
6202131000,partial_coverage,6202131000,315240,,,,,,
6204423030,inconsistent_naics,6204423030,315240,6204423030,315240,6204423030,315250,6204423030,315250
8903120020,partial_coverage,,,8903120020,326299,8903120020,326299,8903120020,326299
4202110090,inconsistent_naics,4202110090,316998,4202110090,316998,4202110090,316990,4202110090,316990
7019723000,partial_coverage,,,7019723000,314994,7019723000,314994,7019723000,314994
6104432010,inconsistent_naics,6104432010,315240,6104432010,315240,6104432010,315250,6104432010,315250
9403908041,partial_coverage,9403908041,337215,,,,,,
0805503040,partial_coverage,,,,,0805503040,111320,0805503040,111320
9027894590,partial_coverage,,,9027894590,334516,9027894590,334516,9027894590,334516
9403907005,partial_coverage,9403907005,337215,,,,,,
3003900120,inconsistent_naics,3003900120,325412,3003900120,325412,3003900120,325412,3003900120,325411
6115220000,inconsistent_naics,6115220000,315110,6115220000,315110,6115220000,315120,6115220000,315120
8411828010,partial_coverage,,,8411828010,333611,8411828010,333611,8411828010,333611
6209302000,inconsistent_naics,6209302000,315240,6209302000,315240,6209302000,315250,6209302000,315250
4419909000,partial_coverage,4419909000,321999,,,,,,
6105202020,inconsistent_naics,6105202020,315220,6105202020,315220,6105202020,315250,6105202020,315250
3926209050,inconsistent_naics,3926209050,315280,3926209050,315280,3926209050,315250,3926209050,315250
8903100045,partial_coverage,8903100045,326299,,,,,,
6103292040,inconsistent_naics,6103292040,315220,6103292040,315220,6103292040,315250,6103292040,315250
2009896540,partial_coverage,,,,,2009896540,311421,2009896540,311421
9007208000,inconsistent_naics,9007208000,333316,9007208000,333316,9007208000,333310,9007208000,333310
1605210500,inconsistent_naics,1605210500,114112,1605210500,114112,1605210500,114112,1605210500,311710
7304244040,inconsistent_naics,7304244040,331110,7304244040,331110,7304244040,331110,7304244040,331210
4801000120,inconsistent_naics,4801000120,322122,4801000120,322122,4801000120,322120,4801000120,322120
6211421007,inconsistent_naics,6211421007,315240,6211421007,315240,6211421007,315250,6211421007,315250
4403260140,partial_coverage,,,4403260140,113310,4403260140,113310,4403260140,113310
6112310010,inconsistent_naics,6112310010,315220,6112310010,315220,6112310010,315250,6112310010,315250
6104442010,inconsistent_naics,6104442010,315240,6104442010,315240,6104442010,315250,6104442010,315250
9013101000,inconsistent_naics,9013101000,333314,9013101000,333314,9013101000,333310,9013101000,333310
8501710000,partial_coverage,,,8501710000,335312,8501710000,335312,8501710000,335312
6204690540,inconsistent_naics,6204690540,315240,6204690540,315240,6204690540,315250,6204690540,315250
9008505000,inconsistent_naics,9008505000,333316,9008505000,333316,9008505000,333310,9008505000,333310
5802109000,partial_coverage,,,5802109000,313210,5802109000,313210,5802109000,313210
8701220080,partial_coverage,,,8701220080,930000,8701220080,930000,8701220080,930000
8474800015,inconsistent_naics,8474800015,333999,8474800015,333999,8474800015,333998,8474800015,333248
7209170030,partial_coverage,7209170030,331110,,,,,,
9016004000,inconsistent_naics,9016004000,333997,9016004000,333997,9016004000,333998,9016004000,333998
2501000000,inconsistent_naics,2501000000,212393,2501000000,212393,2501000000,212390,2501000000,212390
2513201000,inconsistent_naics,2513201000,212399,2513201000,212399,2513201000,212390,2513201000,212390
6211325030,inconsistent_naics,6211325030,315220,6211325030,315220,6211325030,315250,6211325030,315250
9817004200,inconsistent_naics,9817004200,325992,9817004200,325992,9817004200,325992,9817004200,990000
6210408016,partial_coverage,6210408016,315220,,,,,,
8539293020,inconsistent_naics,8539293020,335110,8539293020,335110,8539293020,335139,8539293020,335139
2939450000,partial_coverage,,,2939450000,325411,2939450000,325411,2939450000,325411
6207999010,inconsistent_naics,6207999010,315220,6207999010,315220,6207999010,315250,6207999010,315250
0701905066,partial_coverage,,,,,0701905066,111211,0701905066,111211
6104632030,inconsistent_naics,6104632030,315240,6104632030,315240,6104632030,315250,6104632030,315250
8479899599,partial_coverage,,,8479899599,333999,8479899599,333998,8479899599,333998
6204294036,inconsistent_naics,6204294036,315240,6204294036,315240,6204294036,315250,6204294036,315250
6210505540,inconsistent_naics,6210505540,315280,6210505540,315280,6210505540,315250,6210505540,315250
7419991600,partial_coverage,7419991600,332613,,,,,,
6211430520,inconsistent_naics,6211430520,315240,6211430520,315240,6211430520,315250,6211430520,315250
3003490000,inconsistent_naics,3003490000,325412,3003490000,325412,3003490000,325412,3003490000,325411
8519500000,partial_coverage,8519500000,334210,,,,,,
6211335054,inconsistent_naics,6211335054,315220,6211335054,315220,6211335054,315250,6211335054,315250
6104392010,inconsistent_naics,6104392010,315240,6104392010,315240,6104392010,315250,6104392010,315250
4202991000,inconsistent_naics,4202991000,316998,4202991000,316998,4202991000,316990,4202991000,316990
2844410000,partial_coverage,,,2844410000,325180,2844410000,325180,2844410000,325180
7019320000,partial_coverage,7019320000,327212,,,,,,
4807009100,inconsistent_naics,4807009100,322121,4807009100,322121,4807009100,322120,4807009100,322120
7307290090,inconsistent_naics,7307290090,332919,7307290090,332919,7307290090,332919,7307290090,332996
7304598025,inconsistent_naics,7304598025,331110,7304598025,331110,7304598025,331110,7304598025,331210
8903110015,partial_coverage,,,8903110015,336612,8903110015,336612,8903110015,336612
6211391560,inconsistent_naics,6211391560,315220,6211391560,315220,6211391560,315250,6211391560,315250
6104392020,inconsistent_naics,6104392020,315240,6104392020,315240,6104392020,315250,6104392020,315250
0604200082,partial_coverage,,,,,0604200082,111422,0604200082,111422
8306290000,inconsistent_naics,8306290000,339910,8306290000,339910,8306290000,339910,8306290000,339930
2933994600,inconsistent_naics,2933994600,325412,2933994600,325412,2933994600,325412,2933994600,325411
6203292060,inconsistent_naics,6203292060,315220,6203292060,315220,6203292060,315250,6203292060,315250
8703600020,inconsistent_naics,8703600020,336111,8703600020,336111,8703600020,336110,8703600020,336110
6104632026,inconsistent_naics,6104632026,315240,6104632026,315240,6104632026,315250,6104632026,315250
6204230050,inconsistent_naics,6204230050,315240,6204230050,315240,6204230050,315250,6204230050,315250
6210405550,inconsistent_naics,6210405550,315280,6210405550,315280,6210405550,315250,6210405550,315250
3402422050,partial_coverage,,,3402422050,325613,3402422050,325613,3402422050,325613
2106909997,partial_coverage,,,2106909997,311999,2106909997,311999,2106909997,311999
0707002040,partial_coverage,,,,,,,0707002040,111219
8514311000,partial_coverage,,,8514311000,333994,8514311000,333994,8514311000,333994
4805924020,inconsistent_naics,4805924020,322121,4805924020,322121,4805924020,322120,4805924020,322120
0702004081,partial_coverage,,,0702004081,111219,0702004081,111219,0702004081,111219
1202424040,partial_coverage,1202424040,111992,,,,,,
6112191040,inconsistent_naics,6112191040,315240,6112191040,315240,6112191040,315250,6112191040,315250
6211491510,inconsistent_naics,6211491510,315240,6211491510,315240,6211491510,315250,6211491510,315250
9403994080,partial_coverage,,,9403994080,337215,9403994080,337215,9403994080,337215
5608110090,inconsistent_naics,5608110090,314994,5608110090,314994,5608110090,314994,5608110090,314999
6210508090,inconsistent_naics,6210508090,315280,6210508090,315280,6210508090,315250,6210508090,315250
6204698050,inconsistent_naics,6204698050,315240,6204698050,315240,6204698050,315250,6204698050,315250
