Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
Indonesia,337121,76872299.0,74902860.0,-1969439.0,-2.561961884345361,both,1969439.0
Norway,335911,7547154.0,9429227.0,1882073.0,24.93751949410334,both,1882073.0
Norway,335912,1911611.0,29538.0,-1882073.0,-98.45481115143197,both,1882073.0
Israel,325320,78692544.0,80488027.0,1795483.0,2.2816430995038104,both,1795483.0
Israel,325190,194400468.0,192604985.0,-1795483.0,-0.9236001427733188,both,1795483.0
Japan,326120,49291022.0,50953568.0,1662546.0,3.3729185002493964,both,1662546.0
Japan,326190,467497883.0,465835337.0,-1662546.0,-0.35562642323238075,both,1662546.0
Italy,335911,37131331.0,38776997.0,1645666.0,4.432014570121389,both,1645666.0
Italy,335912,1701443.0,55777.0,-1645666.0,-96.72178262803985,both,1645666.0
Sweden,335911,33585458.0,35030183.0,1444725.0,4.301638524625747,both,1444725.0
Sweden,335912,1444725.0,0.0,-1444725.0,-100.0,original_only,1444725.0
Singapore,339113,2576926192.0,2578331710.0,1405518.0,0.05454242361940338,both,1405518.0
Singapore,314900,1796567.0,391049.0,-1405518.0,-78.2335420833178,both,1405518.0
Jordan,336111,11000.0,1230819.0,1219819.0,11089.263636363637,both,1219819.0
Jordan,S00300,80125592.0,78905773.0,-1219819.0,-1.5223837597355911,both,1219819.0
Russia,S00300,12858024.0,11644083.0,-1213941.0,-9.441116302162758,both,1213941.0
Russia,336111,17582.0,1231523.0,1213941.0,6904.453418268685,both,1213941.0
United Kingdom,326190,274022239.0,272823990.0,-1198249.0,-0.43728166165374627,both,1198249.0
United Kingdom,326120,77813801.0,79012050.0,1198249.0,1.5398926470639829,both,1198249.0
Philippines,335912,3427973.0,2382438.0,-1045535.0,-30.500094370638276,both,1045535.0
Philippines,335911,128291503.0,129337038.0,1045535.0,0.8149682368285918,both,1045535.0
Romania,335911,15124258.0,16114592.0,990334.0,6.547984039944307,both,990334.0
Romania,335912,990334.0,0.0,-990334.0,-100.0,original_only,990334.0
Taiwan,326190,1057799884.0,1056987636.0,-812248.0,-0.07678654651847173,both,812248.0
Taiwan,326120,41221977.0,42034225.0,812248.0,1.9704246596421127,both,812248.0
Ireland,335912,861853.0,92903.0,-768950.0,-89.22055153256994,both,768950.0
Ireland,335911,11564261.0,12333211.0,768950.0,6.649365662016795,both,768950.0
Mexico,339113,2415662861.0,2416431132.0,768271.0,0.03180373438708921,both,768271.0
Mexico,314900,761686989.0,760918718.0,-768271.0,-0.10086439851212949,both,768271.0
Dominican Republic,336111,89576.0,827028.0,737452.0,823.2696257926231,both,737452.0
Dominican Republic,S00300,348425392.0,347687940.0,-737452.0,-0.21165277185079553,both,737452.0
