Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
Macedonia,33DG,128334773.0,128334773.0,0.0,0.0,both,0.0
Macedonia,31ND,20363613.0,20363613.0,0.0,0.0,both,0.0
New Caledonia,11,1531915.0,1531915.0,0.0,0.0,both,0.0
New Caledonia,31ND,472908.0,472908.0,0.0,0.0,both,0.0
New Caledonia,33DG,30912289.0,30912289.0,0.0,0.0,both,0.0
New Caledonia,Other,927792.0,927792.0,0.0,0.0,both,0.0
New Zealand,11,531190005.0,531190005.0,0.0,0.0,both,0.0
New Zealand,21,3240247.0,3240247.0,0.0,0.0,both,0.0
New Zealand,31ND,3581716345.0,3581716345.0,0.0,0.0,both,0.0
New Zealand,33DG,1264282986.0,1264282986.0,0.0,0.0,both,0.0
Oman,33DG,649604249.0,649604249.0,0.0,0.0,both,0.0
Nicaragua,11,403377254.0,403377254.0,0.0,0.0,both,0.0
Nicaragua,31ND,2890680901.0,2890680901.0,0.0,0.0,both,0.0
Nicaragua,33DG,1309453874.0,1309453874.0,0.0,0.0,both,0.0
Nicaragua,Other,18813510.0,18813510.0,0.0,0.0,both,0.0
Niger,11,782232.0,782232.0,0.0,0.0,both,0.0
Niger,21,67851.0,67851.0,0.0,0.0,both,0.0
Niger,31ND,511063.0,511063.0,0.0,0.0,both,0.0
Macedonia,21,83752.0,83752.0,0.0,0.0,both,0.0
Macedonia,11,20620821.0,20620821.0,0.0,0.0,both,0.0
Niger,33DG,3218717.0,3218717.0,0.0,0.0,both,0.0
Niger,Other,3726831.0,3726831.0,0.0,0.0,both,0.0
New Zealand,Other,236612979.0,236612979.0,0.0,0.0,both,0.0
Paraguay,31ND,217067494.0,217067494.0,0.0,0.0,both,0.0
Lithuania,11,12013693.0,12013693.0,0.0,0.0,both,0.0
Liechtenstein,Other,6745883.0,6745883.0,0.0,0.0,both,0.0
Paraguay,33DG,66199353.0,66199353.0,0.0,0.0,both,0.0
Paraguay,Other,8219930.0,8219930.0,0.0,0.0,both,0.0
Peru,11,3744574821.0,3744574821.0,0.0,0.0,both,0.0
Peru,21,869719123.0,869719123.0,0.0,0.0,both,0.0
Liechtenstein,33DG,180544717.0,180544717.0,0.0,0.0,both,0.0
Liechtenstein,31ND,56061718.0,56061718.0,0.0,0.0,both,0.0
Peru,31ND,2465031930.0,2465031930.0,0.0,0.0,both,0.0
Peru,33DG,2118716662.0,2118716662.0,0.0,0.0,both,0.0
Madagascar,11,108589594.0,108589594.0,0.0,0.0,both,0.0
Philippines,11,105777362.0,105777362.0,0.0,0.0,both,0.0
Philippines,21,224951.0,224951.0,0.0,0.0,both,0.0
Philippines,31ND,2916368505.0,2916368505.0,0.0,0.0,both,0.0
Philippines,33DG,10637866677.0,10637866677.0,0.0,0.0,both,0.0
Philippines,Other,517390621.0,517390621.0,0.0,0.0,both,0.0
Pitcairn Islands,11,5787.0,5787.0,0.0,0.0,both,0.0
Pitcairn Islands,Other,3548.0,3548.0,0.0,0.0,both,0.0
Liechtenstein,11,368202.0,368202.0,0.0,0.0,both,0.0
Libya,Other,1420952.0,1420952.0,0.0,0.0,both,0.0
Poland,11,130245548.0,130245548.0,0.0,0.0,both,0.0
Poland,21,1426826.0,1426826.0,0.0,0.0,both,0.0
Peru,Other,165150225.0,165150225.0,0.0,0.0,both,0.0
Pakistan,11,18620309.0,18620309.0,0.0,0.0,both,0.0
Pakistan,21,35685685.0,35685685.0,0.0,0.0,both,0.0
Pakistan,31ND,4577656336.0,4577656336.0,0.0,0.0,both,0.0
Pakistan,33DG,364117001.0,364117001.0,0.0,0.0,both,0.0
Pakistan,Other,127576829.0,127576829.0,0.0,0.0,both,0.0
Palau,11,459146.0,459146.0,0.0,0.0,both,0.0
Palau,31ND,400.0,400.0,0.0,0.0,both,0.0
Palau,33DG,845116.0,845116.0,0.0,0.0,both,0.0
Palau,Other,929551.0,929551.0,0.0,0.0,both,0.0
Panama,11,115276471.0,115276471.0,0.0,0.0,both,0.0
Panama,21,1767754.0,1767754.0,0.0,0.0,both,0.0
Paraguay,11,64666180.0,64666180.0,0.0,0.0,both,0.0
Panama,33DG,106626627.0,106626627.0,0.0,0.0,both,0.0
Luxembourg,11,294707.0,294707.0,0.0,0.0,both,0.0
Lithuania,Other,50952583.0,50952583.0,0.0,0.0,both,0.0
Lithuania,33DG,681978156.0,681978156.0,0.0,0.0,both,0.0
Panama,Other,244443448.0,244443448.0,0.0,0.0,both,0.0
Papua New Guinea,11,70215369.0,70215369.0,0.0,0.0,both,0.0
Lithuania,31ND,1263882875.0,1263882875.0,0.0,0.0,both,0.0
Lithuania,21,2736885.0,2736885.0,0.0,0.0,both,0.0
Papua New Guinea,31ND,584887.0,584887.0,0.0,0.0,both,0.0
Papua New Guinea,33DG,2370496.0,2370496.0,0.0,0.0,both,0.0
Papua New Guinea,Other,5979946.0,5979946.0,0.0,0.0,both,0.0
Panama,31ND,87706172.0,87706172.0,0.0,0.0,both,0.0
Micronesia,33DG,1336449.0,1336449.0,0.0,0.0,both,0.0
Micronesia,Other,513110.0,513110.0,0.0,0.0,both,0.0
Moldova,11,2889011.0,2889011.0,0.0,0.0,both,0.0
Moldova,21,2392.0,2392.0,0.0,0.0,both,0.0
Malta,33DG,176789697.0,176789697.0,0.0,0.0,both,0.0
Malta,31ND,27496605.0,27496605.0,0.0,0.0,both,0.0
Malta,11,273238.0,273238.0,0.0,0.0,both,0.0
Mali,Other,849044.0,849044.0,0.0,0.0,both,0.0
Moldova,31ND,116718225.0,116718225.0,0.0,0.0,both,0.0
Moldova,33DG,14890295.0,14890295.0,0.0,0.0,both,0.0
