usummary_code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,total_imports
3342,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,67,16,15,0,1,7,4,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,2,90,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,5,0,3,0,0,0,1,78,0,0,0,-8,0,0,0,1,0,0,0,0,0,0,0,4,0,0,399
3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,9,4,7,14,20,1,14,0,0,0,11,0,0,1,2,1,0,2,0,0,0,1,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,25,0,1,1,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
3345,0,0,0,0,0,7,0,0,4,1,7,2,0,0,1,0,0,0,0,0,33,0,0,0,16,0,16,13,77,0,8,0,3,0,0,43,29,0,4,0,0,0,0,0,0,0,2,0,10,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,8,1,75,0,2,0,6,0,0,1,6,9,2,6,9,1,0,10,8,0,0,0,0,0,0,0,4,0,0,33,17,0,0,0,0,19,31,917,0,0,0,4,0,0,0,60,0,0,0,11,0,0,0,13,0,0,1554
334X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
335,0,0,1,6,1,1,0,0,101,161,74,121,182,26,102,20,8,2,12,7,250,2,5,1,84,0,5,5,15,0,58,0,0,1,42,4,16,2,3,2,17,8,0,1,0,7,1,3,0,2,0,4,9,0,0,0,0,0,0,0,1,0,0,0,12,1,1,0,0,1,1,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,20,91,6,3,0,1,0,0,0,0,0,0,0,46,3,0,39,5,86,2,7,0,39,0,0,25,14,28,1,0,0,0,0,0,18,38,3,2,10,32,18,43,4,1,0,408,256,5,18,5,7,29,164,747,0,47,0,-7,0,0,0,4,0,0,0,2,0,0,0,3,0,0,3683
336111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,3452,0,0,0,636,0,0,0,1666,0,0,0,1674,0,0,0,4206,0,0,13146
336112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12047,13153,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25848
33612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,134,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1863,0,0,0,1,0,0,0,14,0,0,0,3,0,0,0,748,0,0,2815
3362BP,26,11,4,44,29,12,2,0,0,32,0,0,0,0,0,0,167,36,58,21,95,109,198,21,191,1,18,5,17,1,60,413,4916,342,2451,43,142,35,26,36,186,146,7,6,0,99,11,10,17,21,1,72,58,0,6,21,46,117,2,91,15,52,20,0,120,83,14,50,47,1,5,140,18,0,2,0,329,21,0,4,0,37,3,1,4,27,3,4,0,2,14,16,2,0,0,0,0,0,0,0,159,0,6,0,22,22,51,11,17,41,4,420,87,84,32,4,5,1,0,18,56,6,70,4,8,9,107,560,32,71,0,252,2,168,184,17,208,63,1066,581,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16140
3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,42,0,0,0,0,0,112,4299,0,0,0,-75,0,0,0,4,0,0,0,5,0,0,0,0,0,0,11108
