naics,naics22,mapping_type
334310,334310,self_mapping
334412,334412,self_mapping
334413,334413,self_mapping
334416,334416,self_mapping
334417,334417,self_mapping
334418,334418,self_mapping
334419,334419,self_mapping
334510,334510,self_mapping
334511,334511,self_mapping
334512,334512,self_mapping
334513,334513,self_mapping
334514,334514,self_mapping
334515,334515,self_mapping
334516,334516,self_mapping
334517,334517,self_mapping
334519,334519,self_mapping
334613,334610,official_crosswalk
334614,334610,official_crosswalk
335121,335131,official_crosswalk
335122,335132,official_crosswalk
335110,335139,official_crosswalk
335129,335139,official_crosswalk
335210,335210,self_mapping
335220,335220,self_mapping
335311,335311,self_mapping
335312,335312,self_mapping
335313,335313,self_mapping
335314,335314,self_mapping
335911,335910,official_crosswalk
335912,335910,official_crosswalk
335921,335921,self_mapping
335929,335929,self_mapping
335931,335931,self_mapping
335932,335932,self_mapping
335991,335991,self_mapping
335999,335999,self_mapping
336112,336110,official_crosswalk
336111,336110,official_crosswalk
336120,336120,self_mapping
336211,336211,self_mapping
336212,336212,self_mapping
336213,336213,self_mapping
336214,336214,self_mapping
336310,336310,self_mapping
336320,336320,self_mapping
336330,336330,self_mapping
336340,336340,self_mapping
336350,336350,self_mapping
336360,336360,self_mapping
336370,336370,self_mapping
336390,336390,self_mapping
336411,336411,self_mapping
336412,336412,self_mapping
336413,336413,self_mapping
336414,336414,self_mapping
336415,336415,self_mapping
336419,336419,self_mapping
336510,336510,self_mapping
336611,336611,self_mapping
336612,336612,self_mapping
336991,336991,self_mapping
336992,336992,self_mapping
336999,336999,self_mapping
337110,337110,self_mapping
337121,337121,self_mapping
337122,337122,self_mapping
337125,337126,official_crosswalk
337124,337126,official_crosswalk
337127,337127,self_mapping
337211,337211,self_mapping
337212,337212,self_mapping
337214,337214,self_mapping
337215,337215,self_mapping
337910,337910,self_mapping
337920,337920,self_mapping
339112,339112,self_mapping
339113,339113,self_mapping
339114,339114,self_mapping
339115,339115,self_mapping
339116,339116,self_mapping
339910,339910,self_mapping
339920,339920,self_mapping
339930,339930,self_mapping
339940,339940,self_mapping
339950,339950,self_mapping
339991,339991,self_mapping
339992,339992,self_mapping
339993,339993,self_mapping
339994,339994,self_mapping
339995,339995,self_mapping
339999,339999,self_mapping
423110,423110,self_mapping
423120,423120,self_mapping
423130,423130,self_mapping
423140,423140,self_mapping
423210,423210,self_mapping
423220,423220,self_mapping
423310,423310,self_mapping
423320,423320,self_mapping
423330,423330,self_mapping
423390,423390,self_mapping
423410,423410,self_mapping
423420,423420,self_mapping
423430,423430,self_mapping
423440,423440,self_mapping
423450,423450,self_mapping
423460,423460,self_mapping
423490,423490,self_mapping
423510,423510,self_mapping
423520,423520,self_mapping
423610,423610,self_mapping
423620,423620,self_mapping
423690,423690,self_mapping
423710,423710,self_mapping
423720,423720,self_mapping
423730,423730,self_mapping
423740,423740,self_mapping
423810,423810,self_mapping
423820,423820,self_mapping
423830,423830,self_mapping
423840,423840,self_mapping
423850,423850,self_mapping
423860,423860,self_mapping
423910,423910,self_mapping
423920,423920,self_mapping
423930,423930,self_mapping
423940,423940,self_mapping
423990,423990,self_mapping
