summary_code,HS_total_imports,TiVA_total_imports,region,difference,summary_name
61,0.0,696000000,Europe,-696000000.0,Educational services
621,0.0,76000000,Europe,-76000000.0,Ambulatory health care services
622,0.0,3794000000,Europe,-3794000000.0,Hospitals
623,0.0,21000000,Europe,-21000000.0,Nursing and residential care facilities
624,0.0,0,Europe,0.0,Social assistance
711AS,0.0,635000000,Europe,-635000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,2000000,Europe,-2000000.0,"Amusements, gambling, and recreation industries"
721,0.0,0,Europe,0.0,Accommodation
722,0.0,0,Europe,0.0,Food services and drinking places
81,0.0,1087000000,Europe,-1087000000.0,"Other services, except government"
GFE,0.0,1000000,Europe,-1000000.0,Federal government enterprises
GFGD,0.0,0,Europe,0.0,Federal general government (defense)
GFGN,0.0,0,Europe,0.0,Federal general government (nondefense)
GSLE,0.0,0,Europe,0.0,State and local government enterprises
GSLG,0.0,0,Europe,0.0,State and local general government
HS,0.0,0,Europe,0.0,Housing
ORE,0.0,0,Europe,0.0,Other real estate
Other,58106303922.0,141572000000,Europe,-83465696078.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,7972000000,Europe,-7972000000.0,"Scrap, used and secondhand goods"
111CA,43571209.0,45000000,JPN,-1428791.0,Farms
113FF,263976186.0,441000000,JPN,-177023814.0,"Forestry, fishing, and related activities"
211,2950.0,0,JPN,2950.0,Oil and gas extraction
212,11623113.0,28000000,JPN,-16376887.0,"Mining, except oil and gas"
213,0.0,4000000,JPN,-4000000.0,Support activities for mining
22,0.0,7000000,JPN,-7000000.0,Utilities
23,0.0,0,JPN,0.0,Construction
311FT,1236741857.0,1050000000,JPN,186741857.0,Food and beverage and tobacco products
313TT,502187598.0,518000000,JPN,-15812402.0,Textile mills and textile product mills
315AL,113759721.0,51000000,JPN,62759721.0,Apparel and leather and allied products
321,37753358.0,35000000,JPN,2753358.0,Wood products
322,280174514.0,348000000,JPN,-67825486.0,Paper products
323,222466458.0,151000000,JPN,71466458.0,Printing and related support activities
324,451765067.0,1489000000,JPN,-1037234933.0,Petroleum and coal products
325,17767504367.0,13709000000,JPN,4058504367.0,Chemical products
326,2938183333.0,3282000000,JPN,-343816667.0,Plastics and rubber products
327,1021391772.0,1063000000,JPN,-41608228.0,Nonmetallic mineral products
331,2816006959.0,3087000000,JPN,-270993041.0,Primary metals
332,4635405713.0,3967000000,JPN,668405713.0,Fabricated metal products
333,28057588687.0,29871000000,JPN,-1813411313.0,Machinery
334,13837365440.0,11065000000,JPN,2772365440.0,Computer and electronic products
335,9230037298.0,8600000000,JPN,630037298.0,"Electrical equipment, appliances, and components"
3361MV,51939937446.0,53350000000,JPN,-1410062554.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,4817282236.0,4315000000,JPN,502282236.0,Other transportation equipment
337,71477120.0,41000000,JPN,30477120.0,Furniture and related products
339,3067860085.0,1958000000,JPN,1109860085.0,Miscellaneous manufacturing
42,0.0,0,JPN,0.0,Wholesale trade
441,0.0,0,JPN,0.0,Motor vehicle and parts dealers
445,0.0,0,JPN,0.0,Food and beverage stores
452,0.0,0,JPN,0.0,General merchandise stores
481,0.0,4540000000,JPN,-4540000000.0,Air transportation  
482,0.0,0,JPN,0.0,Rail transportation 
483,0.0,0,JPN,0.0,Water transportation
484,0.0,0,JPN,0.0,Truck transportation
485,0.0,0,JPN,0.0,Transit and ground passenger transportation 
486,0.0,0,JPN,0.0,Pipeline transportation
487OS,0.0,0,JPN,0.0,Other transportation and support activities
493,0.0,0,JPN,0.0,Warehousing and storage
4A0,0.0,0,JPN,0.0,Other retail
511,0.0,16000000,JPN,-16000000.0,"Publishing industries, except internet (includes software)"
512,0.0,941000000,JPN,-941000000.0,Motion picture and sound recording industries
513,0.0,3000000,JPN,-3000000.0,Broadcasting and telecommunications
514,0.0,12000000,JPN,-12000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,867000000,JPN,-867000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,1000000,JPN,-1000000.0,"Securities, commodity contracts, and investments"
524,0.0,539000000,JPN,-539000000.0,Insurance carriers and related activities
525,0.0,0,JPN,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,JPN,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,617000000,JPN,-617000000.0,Legal services
5412OP,0.0,2564000000,JPN,-2564000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,546000000,JPN,-546000000.0,Computer systems design and related services
55,0.0,0,JPN,0.0,Management of companies and enterprises
561,0.0,43000000,JPN,-43000000.0,Administrative and support services
562,0.0,4000000,JPN,-4000000.0,Waste management and remediation services
61,0.0,47000000,JPN,-47000000.0,Educational services
621,0.0,1000000,JPN,-1000000.0,Ambulatory health care services
622,0.0,127000000,JPN,-127000000.0,Hospitals
623,0.0,1000000,JPN,-1000000.0,Nursing and residential care facilities
624,0.0,0,JPN,0.0,Social assistance
711AS,0.0,15000000,JPN,-15000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,JPN,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,JPN,0.0,Accommodation
722,0.0,0,JPN,0.0,Food services and drinking places
81,0.0,111000000,JPN,-111000000.0,"Other services, except government"
GFE,0.0,0,JPN,0.0,Federal government enterprises
GFGD,0.0,0,JPN,0.0,Federal general government (defense)
GFGN,0.0,0,JPN,0.0,Federal general government (nondefense)
GSLE,0.0,0,JPN,0.0,State and local government enterprises
GSLG,0.0,0,JPN,0.0,State and local general government
HS,0.0,0,JPN,0.0,Housing
ORE,0.0,0,JPN,0.0,Other real estate
Other,4844504136.0,21355000000,JPN,-16510495864.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,555000000,JPN,-555000000.0,"Scrap, used and secondhand goods"
111CA,21092972272.0,19458000000,MEX,1634972272.0,Farms
113FF,874260169.0,627000000,MEX,247260169.0,"Forestry, fishing, and related activities"
211,12110468180.0,20032000000,MEX,-7921531820.0,Oil and gas extraction
212,371452416.0,358000000,MEX,13452416.0,"Mining, except oil and gas"
213,0.0,7000000,MEX,-7000000.0,Support activities for mining
22,0.0,26000000,MEX,-26000000.0,Utilities
23,0.0,0,MEX,0.0,Construction
311FT,27194262449.0,25341000000,MEX,1853262449.0,Food and beverage and tobacco products
313TT,2071044506.0,1979000000,MEX,92044506.0,Textile mills and textile product mills
315AL,5306808706.0,4428000000,MEX,878808706.0,Apparel and leather and allied products
321,553494060.0,569000000,MEX,-15505940.0,Wood products
322,2029471819.0,1896000000,MEX,133471819.0,Paper products
323,674956489.0,347000000,MEX,327956489.0,Printing and related support activities
324,4171256326.0,4738000000,MEX,-566743674.0,Petroleum and coal products
325,8721956389.0,6521000000,MEX,2200956389.0,Chemical products
326,9934122768.0,7905000000,MEX,2029122768.0,Plastics and rubber products
327,4957698635.0,4596000000,MEX,361698635.0,Nonmetallic mineral products
331,10919571708.0,8306000000,MEX,2613571708.0,Primary metals
332,14127649110.0,10760000000,MEX,3367649110.0,Fabricated metal products
333,33788532334.0,25781000000,MEX,8007532334.0,Machinery
334,96252634240.0,55420000000,MEX,40832634240.0,Computer and electronic products
335,46871568383.0,36262000000,MEX,10609568383.0,"Electrical equipment, appliances, and components"
3361MV,163315163346.0,155981000000,MEX,7334163346.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,5594234958.0,3815000000,MEX,1779234958.0,Other transportation equipment
337,5099979656.0,4756000000,MEX,343979656.0,Furniture and related products
339,15826669897.0,11945000000,MEX,3881669897.0,Miscellaneous manufacturing
42,0.0,0,MEX,0.0,Wholesale trade
441,0.0,0,MEX,0.0,Motor vehicle and parts dealers
445,0.0,0,MEX,0.0,Food and beverage stores
452,0.0,0,MEX,0.0,General merchandise stores
481,0.0,5603000000,MEX,-5603000000.0,Air transportation  
482,0.0,0,MEX,0.0,Rail transportation 
483,0.0,0,MEX,0.0,Water transportation
484,0.0,0,MEX,0.0,Truck transportation
485,0.0,0,MEX,0.0,Transit and ground passenger transportation 
486,0.0,0,MEX,0.0,Pipeline transportation
487OS,0.0,0,MEX,0.0,Other transportation and support activities
493,0.0,0,MEX,0.0,Warehousing and storage
4A0,0.0,0,MEX,0.0,Other retail
511,0.0,145000000,MEX,-145000000.0,"Publishing industries, except internet (includes software)"
512,0.0,962000000,MEX,-962000000.0,Motion picture and sound recording industries
513,0.0,16000000,MEX,-16000000.0,Broadcasting and telecommunications
514,0.0,28000000,MEX,-28000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,36000000,MEX,-36000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,5000000,MEX,-5000000.0,"Securities, commodity contracts, and investments"
524,0.0,104000000,MEX,-104000000.0,Insurance carriers and related activities
525,0.0,0,MEX,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,MEX,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,88000000,MEX,-88000000.0,Legal services
5412OP,0.0,5243000000,MEX,-5243000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,525000000,MEX,-525000000.0,Computer systems design and related services
55,0.0,0,MEX,0.0,Management of companies and enterprises
561,0.0,436000000,MEX,-436000000.0,Administrative and support services
562,0.0,49000000,MEX,-49000000.0,Waste management and remediation services
61,0.0,101000000,MEX,-101000000.0,Educational services
621,0.0,1000000,MEX,-1000000.0,Ambulatory health care services
622,0.0,1069000000,MEX,-1069000000.0,Hospitals
623,0.0,0,MEX,0.0,Nursing and residential care facilities
624,0.0,0,MEX,0.0,Social assistance
711AS,0.0,7000000,MEX,-7000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,MEX,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,MEX,0.0,Accommodation
722,0.0,0,MEX,0.0,Food services and drinking places
81,0.0,539000000,MEX,-539000000.0,"Other services, except government"
GFE,0.0,0,MEX,0.0,Federal government enterprises
GFGD,0.0,0,MEX,0.0,Federal general government (defense)
GFGN,0.0,0,MEX,0.0,Federal general government (nondefense)
GSLE,0.0,0,MEX,0.0,State and local government enterprises
GSLG,0.0,0,MEX,0.0,State and local general government
HS,0.0,0,MEX,0.0,Housing
ORE,0.0,0,MEX,0.0,Other real estate
Other,13990369767.0,31849000000,MEX,-17858630233.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,1682000000,MEX,-1682000000.0,"Scrap, used and secondhand goods"
111CA,6303291526.0,2690000000,RoAsia,3613291526.0,Farms
113FF,5066552964.0,6749000000,RoAsia,-1682447036.0,"Forestry, fishing, and related activities"
211,27171898.0,4000000,RoAsia,23171898.0,Oil and gas extraction
212,796861385.0,652000000,RoAsia,144861385.0,"Mining, except oil and gas"
213,0.0,249000000,RoAsia,-249000000.0,Support activities for mining
22,0.0,37000000,RoAsia,-37000000.0,Utilities
23,0.0,0,RoAsia,0.0,Construction
311FT,29280406504.0,29437000000,RoAsia,-156593496.0,Food and beverage and tobacco products
313TT,11281204785.0,11450000000,RoAsia,-168795215.0,Textile mills and textile product mills
315AL,60666232894.0,70514000000,RoAsia,-9847767106.0,Apparel and leather and allied products
321,3442189735.0,3262000000,RoAsia,180189735.0,Wood products
322,3313172072.0,3868000000,RoAsia,-554827928.0,Paper products
323,1001889766.0,599000000,RoAsia,402889766.0,Printing and related support activities
324,11278541643.0,20734000000,RoAsia,-9455458357.0,Petroleum and coal products
325,63672280748.0,51574000000,RoAsia,12098280748.0,Chemical products
326,20464241100.0,18513000000,RoAsia,1951241100.0,Plastics and rubber products
327,4986469851.0,4977000000,RoAsia,9469851.0,Nonmetallic mineral products
331,17189641689.0,16087000000,RoAsia,1102641689.0,Primary metals
332,20664578942.0,18539000000,RoAsia,2125578942.0,Fabricated metal products
333,44071427444.0,36511000000,RoAsia,7560427444.0,Machinery
334,234993570859.0,160410000000,RoAsia,74583570859.0,Computer and electronic products
335,52499801886.0,37175000000,RoAsia,15324801886.0,"Electrical equipment, appliances, and components"
3361MV,58053281043.0,51098000000,RoAsia,6955281043.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,6546968295.0,6574000000,RoAsia,-27031705.0,Other transportation equipment
337,19768707329.0,18734000000,RoAsia,1034707329.0,Furniture and related products
339,36435416195.0,24275000000,RoAsia,12160416195.0,Miscellaneous manufacturing
42,0.0,0,RoAsia,0.0,Wholesale trade
441,0.0,0,RoAsia,0.0,Motor vehicle and parts dealers
445,0.0,0,RoAsia,0.0,Food and beverage stores
452,0.0,0,RoAsia,0.0,General merchandise stores
481,0.0,10030000000,RoAsia,-10030000000.0,Air transportation  
482,0.0,0,RoAsia,0.0,Rail transportation 
483,0.0,0,RoAsia,0.0,Water transportation
484,0.0,0,RoAsia,0.0,Truck transportation
485,0.0,0,RoAsia,0.0,Transit and ground passenger transportation 
486,0.0,0,RoAsia,0.0,Pipeline transportation
487OS,0.0,0,RoAsia,0.0,Other transportation and support activities
493,0.0,0,RoAsia,0.0,Warehousing and storage
4A0,0.0,0,RoAsia,0.0,Other retail
511,0.0,1583000000,RoAsia,-1583000000.0,"Publishing industries, except internet (includes software)"
512,0.0,2386000000,RoAsia,-2386000000.0,Motion picture and sound recording industries
513,0.0,23000000,RoAsia,-23000000.0,Broadcasting and telecommunications
514,0.0,1073000000,RoAsia,-1073000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,982000000,RoAsia,-982000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,5000000,RoAsia,-5000000.0,"Securities, commodity contracts, and investments"
524,0.0,1267000000,RoAsia,-1267000000.0,Insurance carriers and related activities
525,0.0,0,RoAsia,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,RoAsia,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,647000000,RoAsia,-647000000.0,Legal services
5412OP,0.0,26990000000,RoAsia,-26990000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,14776000000,RoAsia,-14776000000.0,Computer systems design and related services
55,0.0,0,RoAsia,0.0,Management of companies and enterprises
561,0.0,1219000000,RoAsia,-1219000000.0,Administrative and support services
562,0.0,134000000,RoAsia,-134000000.0,Waste management and remediation services
61,0.0,410000000,RoAsia,-410000000.0,Educational services
621,0.0,301000000,RoAsia,-301000000.0,Ambulatory health care services
622,0.0,2786000000,RoAsia,-2786000000.0,Hospitals
623,0.0,87000000,RoAsia,-87000000.0,Nursing and residential care facilities
624,0.0,0,RoAsia,0.0,Social assistance
711AS,0.0,103000000,RoAsia,-103000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,RoAsia,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,RoAsia,0.0,Accommodation
722,0.0,0,RoAsia,0.0,Food services and drinking places
81,0.0,894000000,RoAsia,-894000000.0,"Other services, except government"
GFE,0.0,0,RoAsia,0.0,Federal government enterprises
GFGD,0.0,0,RoAsia,0.0,Federal general government (defense)
GFGN,0.0,0,RoAsia,0.0,Federal general government (nondefense)
