Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Romania,327420,327999,4824.0,Europe,1,,,327400,level_4,327999,exact,both_mapped_different
Norway,323111,323120,4812.0,Europe,1,,,323110,level_5,323120,level_5,both_mapped_different
Israel,333515,332216,4800.0,Asia,1,,,33351B,exact,332200,level_4,both_mapped_different
Malaysia,339113,315990,4800.0,Asia,1,,,339113,exact,315000,level_3,both_mapped_different
Russia,327999,339910,4800.0,Europe,1,,,327999,exact,339910,level_5,both_mapped_different
Netherlands,339113,322291,4777.0,Europe,1,,,339113,exact,322291,exact,both_mapped_different
Hungary,335220,333414,4776.0,Europe,1,,,335220,exact,333414,exact,both_mapped_different
Niger,325998,325613,4768.0,Africa,1,,,3259A0,level_5,325610,level_5,both_mapped_different
Switzerland,910000,331491,4766.0,Europe,1,,,S00300,noncomparable_imports,331490,level_5,both_mapped_different
Japan,339999,335999,4763.0,Asia,1,,,339990,level_5,335999,exact,both_mapped_different
Hong Kong,326150,326113,4761.0,Asia,1,,,326150,level_5,326110,level_5,both_mapped_different
Poland,321219,327999,4759.0,Europe,1,,,321200,level_4,327999,exact,both_mapped_different
Slovenia,325998,325613,4756.0,Europe,1,,,3259A0,level_5,325610,level_5,both_mapped_different
Christmas Island,335921,327215,4750.0,Oceana,1,,,335920,level_5,327200,level_4,both_mapped_different
Brazil,334516,334519,4749.0,South_America,1,,,334516,exact,33451A,exact,both_mapped_different
Morocco,327420,327999,4736.0,Africa,1,,,327400,level_4,327999,exact,both_mapped_different
Tunisia,339920,314910,4736.0,Africa,2,,,339920,level_5,314900,level_4,both_mapped_different
Ireland,339113,314120,4722.0,Europe,1,,,339113,exact,314120,level_5,both_mapped_different
Latvia,333995,333618,4704.0,Europe,1,,,33399B,exact,333618,exact,both_mapped_different
Chile,334111,334118,4702.0,South_America,1,,,334111,exact,334118,exact,both_mapped_different
Indonesia,325411,325412,4700.0,Asia,1,,,325411,exact,325412,exact,both_mapped_different
Canada,339940,322121,4686.0,North_America,1,,,339940,level_5,322120,level_5,both_mapped_different
Croatia,339940,326199,4677.0,Europe,1,,,339940,level_5,326190,level_5,both_mapped_different
Eswatini,326150,326113,4663.0,Africa,1,,,326150,level_5,326110,level_5,both_mapped_different
Taiwan,339999,326199,4651.0,Asia,1,,,339990,level_5,326190,level_5,both_mapped_different
Suriname,334111,334118,4650.0,South_America,1,,,334111,exact,334118,exact,both_mapped_different
Italy,111335,115114,4637.0,Europe,1,,,111300,level_4,115000,level_3,both_mapped_different
Russia,332510,335999,4635.0,Europe,1,,,332500,level_4,335999,exact,both_mapped_different
Denmark,336390,333111,4617.0,Europe,1,,,336390,level_5,333111,exact,both_mapped_different
Sweden,339940,326199,4608.0,Europe,1,,,339940,level_5,326190,level_5,both_mapped_different
Brazil,333415,337127,4607.0,South_America,1,,,333415,exact,337127,exact,both_mapped_different
Mexico,331420,331410,4605.0,North_America,1,,,331420,level_5,331410,exact,both_mapped_different
Estonia,326140,326113,4603.0,Europe,1,,,326140,level_5,326110,level_5,both_mapped_different
Bahamas,990000,336611,4600.0,South_America,1,,,S00300,noncomparable_imports,336611,exact,both_mapped_different
Nepal,327991,327390,4591.0,Asia,1,,,327991,exact,327390,level_5,both_mapped_different
Dominican Republic,339940,322121,4590.0,South_America,1,,,339940,level_5,322120,level_5,both_mapped_different
Poland,322120,322299,4574.0,Europe,1,,,322120,level_5,322299,exact,both_mapped_different
Canada,990000,334614,4572.0,North_America,1,,,S00300,noncomparable_imports,334610,level_5,both_mapped_different
Switzerland,990000,339999,4562.0,Europe,1,,,S00300,noncomparable_imports,339990,level_5,both_mapped_different
Taiwan,316210,322121,4560.0,Asia,1,,,316000,level_3,322120,level_5,both_mapped_different
Norway,334419,333314,4556.0,Europe,1,,,33441A,exact,333314,exact,both_mapped_different
New Zealand,326140,326113,4546.0,Oceana,1,,,326140,level_5,326110,level_5,both_mapped_different
France,339999,335999,4533.0,Europe,1,,,339990,level_5,335999,exact,both_mapped_different
Dominican Republic,327999,339910,4525.0,South_America,1,,,327999,exact,339910,level_5,both_mapped_different
Belgium,327332,327999,4520.0,Europe,1,,,327330,level_5,327999,exact,both_mapped_different
Guatemala,326199,314120,4518.0,South_America,2,,,326190,level_5,314120,level_5,both_mapped_different
Argentina,314999,990000,4512.0,South_America,2,,,314900,level_4,S00300,noncomparable_imports,both_mapped_different
Russia,332215,331511,4510.0,Europe,1,,,332200,level_4,331510,level_5,both_mapped_different
