U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE
332,97,515,50,1444,125,138,2,317,2109,1413,1098,1953,1662,1278,1323,1295,378,119,121,112,3686,236,745,122,2777,11,151,90,447,3,657,245,763,151,2594,970,1031,619,233,174,1504,167,69,32,2,726,35,59,222,102,44,1085,840,10,98,12,14,31,24,70,14,66,9,0,78,61,23,38,24,55,15,85,517,1,98,64,270,113,13,41,89,141,48,18,3,1557,721,672,22,87,68,66,18,0,0,0,30,3,1,1255,189,13,321,11,395,29,277,21,96,105,21,347,266,552,69,14,12,3,6,17,131,4,768,4,148,452,715,1058,140,185,0,1978,186,48,169,166,681,627
33311,999,496,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,1,200,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,260,0,171,261
33312,0,0,0,221,1022,838,0,0,0,173,6,1149,53,44,292,13,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,31,0,0,1,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33313,0,0,0,151,188,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
3332OM,10,1,24,1000,430,1124,777,23,2072,552,933,977,2137,83,282,307,122,27,69,222,1614,454,1057,553,11309,0,5,17,181,0,742,721,2528,1867,6746,809,751,32,75,218,768,872,12,7,0,506,572,27,748,115,0,1277,737,6,43,16,199,73,9,92,8,90,18,0,64,34,24,31,6,17,183,22,19,0,9,22,190,33,22,2925,10,431,26,3,1,49,44,272,9,29,4,0,3,0,381,0,0,1,0,5,111,2,1120,58,348,64,214,22,101,120,0,1301,435,1367,499,156,1,28,17,206,126,17,24,1,44,20,130,2915,102,164,0,172,97,26,530,455,666,794
3341,3,0,0,0,12,46,10,0,215,38,3,55,19,8,46,26,24,34,2,22,60,0,1,2,72,1238,148,295,1851,0,0,81,558,38,9,4,6,16,9,8,54,1,0,2,0,24,24,41,0,0,2,0,118,0,0,0,0,0,11,0,0,0,0,0,249,207,366,76,74,150,73,161,105,0,0,0,122,1,4,91,0,73,173,0,11,12,271,439,58,253,223,354,653,0,0,3,663,0,0,714,22,655,498,269,441,642,172,350,693,1074,364,774,629,177,153,151,0,79,0,205,4,40,351,19,97,119,78,18,43,232,0,311,259,0,766,233,217,67
3342,1,0,0,0,0,19,1,0,670,98,20,201,70,2,17,256,0,0,0,0,0,0,0,0,128,10,1589,148,2154,0,3,0,0,0,41,7597,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,10,2,177,237,0,192,309,0,119,127,0,0,20,42,74,4,5,8,4,20,4,0,14,0,64,1,0,0,0,45,508,0,19,213,2597,2526,548,2093,523,133,74,0,19,0,617,0,1,33,49,305,120,135,56,91,46,42,73,2427,1335,337,328,82,31,424,0,26,0,8,37,0,99,3,12,1,1,482,0,153,0,2801,52,0,42,0,0,1
3344,0,0,0,0,0,2,0,0,4,5,1,15,1,0,26,28,337,168,111,241,1327,159,114,145,1581,216,520,3503,1889,19,907,46,528,34,3790,517,146,307,173,300,155,902,33,91,4,82,197,96,189,127,6,605,473,242,4,130,183,318,14783,0,3,269,52,0,81,0,2,4,66,0,0,1,1,1,0,1,2,0,0,2,0,0,4,737,0,1,1866,794,191,737,1,64,37,0,0,0,0,0,0,0,5,0,1631,22,67,1,513,0,39,0,0,0,149,1,76,0,0,0,0,1,40,21,0,0,0,0,0,2250,0,0,0,84,259,0,23,2,56,5
3345,0,0,1,20,9,55,13,1,301,111,145,311,24,0,48,9,4,2,0,0,749,0,1,2,331,3,177,196,2086,0,166,134,407,97,9,505,250,0,84,1,1,0,0,0,0,5,38,2,260,68,0,3,155,0,0,0,9,15,0,12,2,3,87,0,117,25,6,8,2,27,0,14,0,0,0,0,4,0,0,0,0,0,17,11,4,0,19,46,3,14,33,0,0,0,0,0,0,0,0,0,8,30,235,29,974,8,71,6,206,3,6,25,123,237,41,662,201,29,179,395,194,10,71,0,0,0,32,105,43,33,0,1078,239,0,14,13,44,603
334X,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,2,159,0,195,1558,37,4,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,2,1,0,1,3,2,3,3,2,0,0,103,45,1,19,30,49,1,26,2,0,0,0,0,0,0,16,0,1,1,25,112,0,1,3,0,3,0,28,12,0,0,0,0,0,0,1,0,11,5,6,10,36,2,7,24,9,1,32,28,0,7,3,5,1,0,1,3,2,0,0,1,89,12,9,1,15,0,0,201,0,21,0,8,1
335,869,463,64,39,40,340,7,3,2408,3636,1332,2908,2256,441,2690,487,227,54,278,112,1241,145,216,59,6837,24,149,229,1134,5,4260,29,371,37,1837,528,447,76,312,101,556,292,0,23,0,288,50,79,150,128,12,131,393,2,6,3,4,14,0,18,8,10,0,0,176,48,251,37,1,42,16,52,27,0,45,0,48,58,2,43,1,83,0,2,0,1,513,1918,95,54,0,88,48,0,0,12,0,1,0,1626,39,0,1475,114,1221,39,259,3,937,19,22,412,383,748,192,4,2,0,0,1,407,685,102,38,210,685,191,1286,89,28,0,583,1213,33,268,171,287,1243
336111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,10,1,0,0,0,0,0,0,0,0,160,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,20,0,0,0
