detail_code,world_weight,weight_sum_diff,level,weight_type,passes_validation,usummary_code,summary_code,sector_code,region,regional_weight
1111B0,,0.0,detail,regional,True,,,,JPN,1.0
1111B0,,0.0,detail,regional,True,,,,MEX,1.0
1111B0,,-1.1102230246251565e-16,detail,regional,True,,,,RoAsia,0.9999999999999999
1111B0,,0.0,detail,regional,True,,,,RoWorld,1.0
111200,,0.0,detail,regional,True,,,,CAN,1.0
111200,,0.0,detail,regional,True,,,,CHN,1.0
111200,,-1.1102230246251565e-16,detail,regional,True,,,,Europe,0.9999999999999999
111200,,0.0,detail,regional,True,,,,JPN,1.0
111200,,0.0,detail,regional,True,,,,MEX,1.0
111200,,0.0,detail,regional,True,,,,RoAsia,1.0
111200,,0.0,detail,regional,True,,,,RoWorld,1.0
111300,,0.0,detail,regional,True,,,,CAN,1.0
111300,,0.0,detail,regional,True,,,,CHN,1.0
111300,,-1.1102230246251565e-16,detail,regional,True,,,,Europe,0.9999999999999999
111300,,0.0,detail,regional,True,,,,JPN,1.0
111300,,0.0,detail,regional,True,,,,MEX,1.0
111300,,0.0,detail,regional,True,,,,RoAsia,1.0
111300,,0.0,detail,regional,True,,,,RoWorld,1.0
111400,,0.0,detail,regional,True,,,,CAN,1.0
111400,,0.0,detail,regional,True,,,,CHN,1.0
111400,,0.0,detail,regional,True,,,,Europe,1.0
111400,,0.0,detail,regional,True,,,,JPN,1.0
111400,,0.0,detail,regional,True,,,,MEX,1.0
111400,,0.0,detail,regional,True,,,,RoAsia,1.0
111400,,0.0,detail,regional,True,,,,RoWorld,1.0
111900,,0.0,detail,regional,True,,,,CAN,1.0
111900,,0.0,detail,regional,True,,,,CHN,1.0
111900,,0.0,detail,regional,True,,,,Europe,1.0
111900,,0.0,detail,regional,True,,,,JPN,1.0
111900,,0.0,detail,regional,True,,,,MEX,1.0
111900,,0.0,detail,regional,True,,,,RoAsia,1.0
111900,,0.0,detail,regional,True,,,,RoWorld,1.0
1121A0,,0.0,detail,regional,True,,,,CAN,1.0
1121A0,,0.0,detail,regional,True,,,,Europe,1.0
1121A0,,0.0,detail,regional,True,,,,MEX,1.0
1121A0,,0.0,detail,regional,True,,,,RoAsia,1.0
112300,,0.0,detail,regional,True,,,,CAN,1.0
112300,,0.0,detail,regional,True,,,,CHN,1.0
112300,,0.0,detail,regional,True,,,,Europe,1.0
112300,,0.0,detail,regional,True,,,,RoAsia,1.0
112300,,0.0,detail,regional,True,,,,RoWorld,1.0
112A00,,0.0,detail,regional,True,,,,CAN,1.0
112A00,,0.0,detail,regional,True,,,,CHN,1.0
112A00,,0.0,detail,regional,True,,,,Europe,1.0
112A00,,0.0,detail,regional,True,,,,JPN,1.0
112A00,,0.0,detail,regional,True,,,,MEX,1.0
112A00,,0.0,detail,regional,True,,,,RoAsia,1.0
112A00,,0.0,detail,regional,True,,,,RoWorld,1.0
113000,,0.0,detail,regional,True,,,,CAN,1.0
113000,,0.0,detail,regional,True,,,,CHN,1.0
113000,,0.0,detail,regional,True,,,,Europe,1.0
113000,,0.0,detail,regional,True,,,,JPN,1.0
113000,,0.0,detail,regional,True,,,,MEX,1.0
113000,,0.0,detail,regional,True,,,,RoAsia,1.0
113000,,0.0,detail,regional,True,,,,RoWorld,1.0
114000,,0.0,detail,regional,True,,,,CAN,1.0
114000,,0.0,detail,regional,True,,,,CHN,1.0
114000,,0.0,detail,regional,True,,,,Europe,1.0
114000,,0.0,detail,regional,True,,,,JPN,1.0
114000,,0.0,detail,regional,True,,,,MEX,1.0
114000,,0.0,detail,regional,True,,,,RoAsia,1.0
114000,,0.0,detail,regional,True,,,,RoWorld,1.0
115000,,0.0,detail,regional,True,,,,CAN,1.0
115000,,0.0,detail,regional,True,,,,CHN,1.0
115000,,0.0,detail,regional,True,,,,Europe,1.0
115000,,0.0,detail,regional,True,,,,MEX,1.0
115000,,0.0,detail,regional,True,,,,RoAsia,1.0
115000,,0.0,detail,regional,True,,,,RoWorld,1.0
211000,,0.0,detail,regional,True,,,,CAN,1.0
211000,,0.0,detail,regional,True,,,,CHN,1.0
211000,,0.0,detail,regional,True,,,,Europe,1.0
211000,,0.0,detail,regional,True,,,,JPN,1.0
211000,,0.0,detail,regional,True,,,,MEX,1.0
211000,,0.0,detail,regional,True,,,,RoAsia,1.0
211000,,0.0,detail,regional,True,,,,RoWorld,1.0
212100,,0.0,detail,regional,True,,,,CAN,1.0
212100,,0.0,detail,regional,True,,,,CHN,1.0
212100,,0.0,detail,regional,True,,,,Europe,1.0
212100,,0.0,detail,regional,True,,,,JPN,1.0
212100,,0.0,detail,regional,True,,,,MEX,1.0
212100,,0.0,detail,regional,True,,,,RoAsia,1.0
212100,,0.0,detail,regional,True,,,,RoWorld,1.0
212230,,0.0,detail,regional,True,,,,CAN,1.0
212230,,0.0,detail,regional,True,,,,CHN,1.0
212230,,0.0,detail,regional,True,,,,Europe,1.0
212230,,0.0,detail,regional,True,,,,JPN,1.0
212230,,0.0,detail,regional,True,,,,MEX,1.0
212230,,0.0,detail,regional,True,,,,RoWorld,1.0
2122A0,,0.0,detail,regional,True,,,,CAN,1.0
2122A0,,0.0,detail,regional,True,,,,CHN,1.0
2122A0,,0.0,detail,regional,True,,,,Europe,1.0
2122A0,,0.0,detail,regional,True,,,,JPN,1.0
2122A0,,0.0,detail,regional,True,,,,MEX,1.0
2122A0,,0.0,detail,regional,True,,,,RoAsia,1.0
2122A0,,0.0,detail,regional,True,,,,RoWorld,1.0
212310,,0.0,detail,regional,True,,,,CAN,1.0
212310,,0.0,detail,regional,True,,,,CHN,1.0
212310,,0.0,detail,regional,True,,,,Europe,1.0
212310,,0.0,detail,regional,True,,,,JPN,1.0
212310,,0.0,detail,regional,True,,,,MEX,1.0
212310,,0.0,detail,regional,True,,,,RoAsia,1.0
212310,,0.0,detail,regional,True,,,,RoWorld,1.0
2123A0,,0.0,detail,regional,True,,,,CAN,1.0
2123A0,,0.0,detail,regional,True,,,,CHN,1.0
2123A0,,0.0,detail,regional,True,,,,Europe,1.0
2123A0,,0.0,detail,regional,True,,,,JPN,1.0
2123A0,,0.0,detail,regional,True,,,,MEX,1.0
2123A0,,0.0,detail,regional,True,,,,RoAsia,1.0
2123A0,,0.0,detail,regional,True,,,,RoWorld,1.0
311111,,0.0,detail,regional,True,,,,CAN,1.0
311111,,0.0,detail,regional,True,,,,CHN,1.0
311111,,0.0,detail,regional,True,,,,Europe,1.0
311111,,0.0,detail,regional,True,,,,JPN,1.0
311111,,0.0,detail,regional,True,,,,MEX,1.0
311111,,0.0,detail,regional,True,,,,RoAsia,1.0
311111,,0.0,detail,regional,True,,,,RoWorld,1.0
311119,,0.0,detail,regional,True,,,,CAN,1.0
311119,,0.0,detail,regional,True,,,,CHN,1.0
311119,,0.0,detail,regional,True,,,,Europe,1.0
311119,,0.0,detail,regional,True,,,,JPN,1.0
311119,,0.0,detail,regional,True,,,,MEX,1.0
311119,,0.0,detail,regional,True,,,,RoAsia,1.0
311119,,-1.1102230246251565e-16,detail,regional,True,,,,RoWorld,0.9999999999999999
311210,,0.0,detail,regional,True,,,,CAN,1.0
311210,,0.0,detail,regional,True,,,,CHN,1.0
311210,,0.0,detail,regional,True,,,,Europe,1.0
311210,,0.0,detail,regional,True,,,,JPN,1.0
311210,,0.0,detail,regional,True,,,,MEX,1.0
311210,,0.0,detail,regional,True,,,,RoAsia,1.0
311210,,0.0,detail,regional,True,,,,RoWorld,1.0
311221,,0.0,detail,regional,True,,,,CAN,1.0
311221,,0.0,detail,regional,True,,,,CHN,1.0
311221,,0.0,detail,regional,True,,,,Europe,1.0
311221,,0.0,detail,regional,True,,,,JPN,1.0
311221,,0.0,detail,regional,True,,,,MEX,1.0
311221,,0.0,detail,regional,True,,,,RoAsia,1.0
311221,,0.0,detail,regional,True,,,,RoWorld,1.0
311224,,0.0,detail,regional,True,,,,CAN,1.0
311224,,0.0,detail,regional,True,,,,CHN,1.0
311224,,0.0,detail,regional,True,,,,Europe,1.0
311224,,0.0,detail,regional,True,,,,JPN,1.0
311224,,0.0,detail,regional,True,,,,MEX,1.0
311224,,0.0,detail,regional,True,,,,RoAsia,1.0
311224,,0.0,detail,regional,True,,,,RoWorld,1.0
311225,,0.0,detail,regional,True,,,,CAN,1.0
311225,,0.0,detail,regional,True,,,,CHN,1.0
311225,,0.0,detail,regional,True,,,,Europe,1.0
311225,,0.0,detail,regional,True,,,,JPN,1.0
311225,,0.0,detail,regional,True,,,,MEX,1.0
311225,,0.0,detail,regional,True,,,,RoAsia,1.0
311225,,0.0,detail,regional,True,,,,RoWorld,1.0
311230,,0.0,detail,regional,True,,,,CAN,1.0
311230,,0.0,detail,regional,True,,,,CHN,1.0
311230,,0.0,detail,regional,True,,,,Europe,1.0
311230,,0.0,detail,regional,True,,,,JPN,1.0
311230,,0.0,detail,regional,True,,,,MEX,1.0
311230,,0.0,detail,regional,True,,,,RoAsia,1.0
311230,,0.0,detail,regional,True,,,,RoWorld,1.0
311300,,0.0,detail,regional,True,,,,CAN,1.0
311300,,0.0,detail,regional,True,,,,CHN,1.0
311300,,0.0,detail,regional,True,,,,Europe,1.0
311300,,0.0,detail,regional,True,,,,JPN,1.0
311300,,0.0,detail,regional,True,,,,MEX,1.0
311300,,0.0,detail,regional,True,,,,RoAsia,1.0
311300,,0.0,detail,regional,True,,,,RoWorld,1.0
311410,,0.0,detail,regional,True,,,,CAN,1.0
311410,,0.0,detail,regional,True,,,,CHN,1.0
311410,,0.0,detail,regional,True,,,,Europe,1.0
311410,,0.0,detail,regional,True,,,,JPN,1.0
311410,,0.0,detail,regional,True,,,,MEX,1.0
311410,,0.0,detail,regional,True,,,,RoAsia,1.0
311410,,0.0,detail,regional,True,,,,RoWorld,1.0
311420,,0.0,detail,regional,True,,,,CAN,1.0
311420,,0.0,detail,regional,True,,,,CHN,1.0
311420,,0.0,detail,regional,True,,,,Europe,1.0
311420,,0.0,detail,regional,True,,,,JPN,1.0
311420,,0.0,detail,regional,True,,,,MEX,1.0
311420,,0.0,detail,regional,True,,,,RoAsia,1.0
311420,,0.0,detail,regional,True,,,,RoWorld,1.0
311513,,0.0,detail,regional,True,,,,CAN,1.0
311513,,0.0,detail,regional,True,,,,Europe,1.0
311513,,0.0,detail,regional,True,,,,JPN,1.0
311513,,0.0,detail,regional,True,,,,MEX,1.0
311513,,0.0,detail,regional,True,,,,RoAsia,1.0
311513,,0.0,detail,regional,True,,,,RoWorld,1.0
311514,,0.0,detail,regional,True,,,,CAN,1.0
311514,,0.0,detail,regional,True,,,,CHN,1.0
311514,,0.0,detail,regional,True,,,,Europe,1.0
311514,,0.0,detail,regional,True,,,,JPN,1.0
311514,,0.0,detail,regional,True,,,,MEX,1.0
311514,,0.0,detail,regional,True,,,,RoAsia,1.0
311514,,0.0,detail,regional,True,,,,RoWorld,1.0
31151A,,0.0,detail,regional,True,,,,CAN,1.0
31151A,,0.0,detail,regional,True,,,,CHN,1.0
31151A,,0.0,detail,regional,True,,,,Europe,1.0
31151A,,0.0,detail,regional,True,,,,JPN,1.0
31151A,,0.0,detail,regional,True,,,,MEX,1.0
31151A,,0.0,detail,regional,True,,,,RoAsia,1.0
31151A,,0.0,detail,regional,True,,,,RoWorld,1.0
311520,,0.0,detail,regional,True,,,,CAN,1.0
311520,,0.0,detail,regional,True,,,,CHN,1.0
311520,,0.0,detail,regional,True,,,,Europe,1.0
311520,,0.0,detail,regional,True,,,,JPN,1.0
311520,,0.0,detail,regional,True,,,,MEX,1.0
311520,,0.0,detail,regional,True,,,,RoAsia,1.0
311520,,0.0,detail,regional,True,,,,RoWorld,1.0
311615,,0.0,detail,regional,True,,,,CAN,1.0
311615,,0.0,detail,regional,True,,,,CHN,1.0
311615,,0.0,detail,regional,True,,,,Europe,1.0
311615,,0.0,detail,regional,True,,,,MEX,1.0
311615,,0.0,detail,regional,True,,,,RoAsia,1.0
311615,,0.0,detail,regional,True,,,,RoWorld,1.0
