U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
3254,325,31ND,228039.0,293802.0,1332313.0
325X,325,31ND,64739.0,293802.0,1332313.0
326,326,31ND,38069.0,38069.0,1332313.0
4231,42,42,22503.0,597101.0,597101.0
4234,42,42,41660.0,597101.0,597101.0
4236,42,42,31027.0,597101.0,597101.0
4238,42,42,4943.0,597101.0,597101.0
423X,42,42,68705.0,597101.0,597101.0
4242,42,42,92333.0,597101.0,597101.0
4244,42,42,101083.0,597101.0,597101.0
4247,42,42,68679.0,597101.0,597101.0
424X,42,42,162922.0,597101.0,597101.0
425,42,42,3246.0,597101.0,597101.0
42ID,42,42,0.0,597101.0,597101.0
441,441,44RT,260416.0,260416.0,1659391.0
445,445,44RT,247288.0,247288.0,1659391.0
452,452,44RT,229358.0,229358.0,1659391.0
444,4A0,44RT,52940.0,922329.0,1659391.0
446,4A0,44RT,121409.0,922329.0,1659391.0
447,4A0,44RT,87542.0,922329.0,1659391.0
448,4A0,44RT,144428.0,922329.0,1659391.0
454,4A0,44RT,307368.0,922329.0,1659391.0
4A0X,4A0,44RT,208642.0,922329.0,1659391.0
481,481,48TW,110542.0,110542.0,317754.0
482,482,48TW,8248.0,8248.0,317754.0
483,483,48TW,27227.0,27227.0,317754.0
484,484,48TW,96172.0,96172.0,317754.0
485,485,48TW,53968.0,53968.0,317754.0
486,486,48TW,3458.0,3458.0,317754.0
48A,487OS,48TW,10604.0,17857.0,317754.0
492,487OS,48TW,7253.0,17857.0,317754.0
493,493,48TW,282.0,282.0,317754.0
5111,511,51,45441.0,107922.0,558206.0
5112,511,51,62481.0,107922.0,558206.0
512,512,51,24037.0,24037.0,558206.0
515,513,51,12676.0,356762.0,558206.0
5171,513,51,197605.0,356762.0,558206.0
5172,513,51,133019.0,356762.0,558206.0
5174OT,513,51,13462.0,356762.0,558206.0
518,514,51,47392.0,69485.0,558206.0
519,514,51,22093.0,69485.0,558206.0
521CI,521CI,52,308535.0,308535.0,800435.0
523,523,52,237104.0,237104.0,800435.0
524113,524,52,89363.0,89363.0,800435.0
,,,,,
5242,524,52,0.0,89363.0,800435.0
525,525,52,165433.0,165433.0,800435.0
HSO,HS,53,1686527.0,2197729.0,2307576.0
HST,HS,53,511202.0,2197729.0,2307576.0
ORE,ORE,53,5874.0,5874.0,2307576.0
532RL,532RL,53,103973.0,103973.0,2307576.0
5411,5411,54,108701.0,108701.0,189754.0
5415,5415,54,0.0,0.0,189754.0
5412,5412OP,54,19861.0,81053.0,189754.0
5413,5412OP,54,0.0,81053.0,189754.0
5416,5412OP,54,0.0,81053.0,189754.0
5417,5412OP,54,6081.0,81053.0,189754.0
5418,5412OP,54,683.0,81053.0,189754.0
541X,5412OP,54,54428.0,81053.0,189754.0
55,55,55,0.0,0.0,0.0
5613,561,56,2360.0,76892.0,107021.0
5617,561,56,25822.0,76892.0,107021.0
561X,561,56,48710.0,76892.0,107021.0
562,562,56,30129.0,30129.0,107021.0
61,61,61,382844.0,382844.0,382844.0
6211,621,62,527478.0,1150431.0,2800145.0
6212,621,62,142068.0,1150431.0,2800145.0
6213,621,62,104466.0,1150431.0,2800145.0
6214,621,62,186345.0,1150431.0,2800145.0
6215OH,621,62,190074.0,1150431.0,2800145.0
622,622,62,1140994.0,1140994.0,2800145.0
623,623,62,258134.0,258134.0,2800145.0
624,624,62,250586.0,250586.0,2800145.0
711AS,711AS,71,48139.0,48139.0,277101.0
713,713,71,228962.0,228962.0,277101.0
721,721,72,128598.0,128598.0,888261.0
722,722,72,759663.0,759663.0,888261.0
811,81,81,206184.0,669678.0,669678.0
812,81,81,206224.0,669678.0,669678.0
813,81,81,234300.0,669678.0,669678.0
814,81,81,22970.0,669678.0,669678.0
GFGD,GFGD,G,0.0,0.0,83828.0
GFGN,GFGN,G,0.0,0.0,83828.0
GFE,GFE,G,6715.0,6715.0,83828.0
GSLGE,GSLG,G,0.0,0.0,83828.0
GSLGH,GSLG,G,0.0,0.0,83828.0
GSLGO,GSLG,G,0.0,0.0,83828.0
GSLE,GSLE,G,77113.0,77113.0,83828.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
