"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"June 30, 2025"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
23OC,Office and commercial structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223060,0,560,0,0,0,0,2629,0,0,0,3533,0,0,0,30168,259950,259950
23OR,Other residential construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3016,314,0,0,0,0,5470,8800,0,0,0,502407,0,0,0,0,0,0,0,1249,0,0,0,0,0,0,0,10776,514432,523232
23OT,Other nonresidential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264923,0,0,0,0,0,0,4635,0,0,0,7941,0,0,0,68522,346021,346021
23PC,Power and communication structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144196,0,0,0,0,0,0,115,0,0,0,1074,0,0,0,12960,158345,158345
23SF,Single-family residential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400421,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,612,401081,401081
23TH,Transportation structures and highways and streets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21465,0,0,0,0,0,0,1593,0,0,0,3242,0,0,0,171754,198054,198054
321,Wood products,573,40,68,0,383,182,0,0,9996,11647,8980,14091,7600,1576,11443,4468,34071,231,6,534,227,0,0,0,861,0,25,55,10,306,942,0,0,0,3681,1,253,7278,401,1100,45,312,18,57,1,4742,1,0,184,2,2,78,2152,1234,262,658,724,2004,397,1366,612,1596,155,0,261,777,183,84,299,59,176,799,175,0,3569,0,256,0,3,9,53,121,29,6,89,113,131,609,21,1137,599,261,7,0,0,0,0,31,9,8321,1007,11,30,2,374,19,301,16,295,6,4,106,1045,33,49,386,32,5,83,38,670,4,1024,12,316,1094,1336,78,30,383,0,16,84,2,3395,35,496,374,169009,4301,0,0,10578,91,-141,4957,-24518,0,0,0,0,0,16,0,0,0,0,0,0,-4716,164293
327,Nonmetallic mineral products,28,0,3,2052,467,495,37,0,7536,9294,12687,25992,13725,2025,13527,9229,820,16723,2337,354,1215,136,16,303,936,46,9,142,66,0,1644,1470,2630,311,2802,47,276,244,360,334,276,2147,0,28,0,367,1,1177,18,61,42,1159,1865,2,2,0,10,6,0,14,1,14,0,0,297,39,0,25,1,0,44,404,141,0,14,0,132,0,0,1,7,56,0,1,1,400,751,1110,20,779,10,16,26,0,0,46,0,122,12,49,1068,0,181,0,2705,615,1683,15,91,30,0,268,559,287,68,925,251,108,11,854,2650,112,715,12,154,89,2531,454,1000,217,0,42,610,0,240,875,419,3520,165371,15758,0,0,0,0,-362,8456,-32651,0,0,0,0,0,0,0,0,0,0,0,0,-8799,156572
3311IS,Iron and steel mills and manufacturing from purchased steel,67,26,0,11604,612,201,0,0,1261,1149,459,1210,514,96,716,141,222,1983,30441,1105,64938,3762,5549,2436,19609,6,108,378,197,33,6435,16,6592,201,23242,3321,2509,2411,459,2857,0,0,0,116,0,91,27,0,31,0,0,1,1618,6,3,1,0,610,0,0,0,19,2,0,3,0,0,0,0,0,1,0,0,0,424,0,0,0,0,47,0,0,5,0,4,23,42,24,12,49,549,0,0,0,0,0,0,1,0,3392,177,0,0,3,837,2,169,2,0,31,0,442,271,261,311,4,7,21,114,45,23,17,430,44,337,36,39,350,145,69,0,0,50,0,14,20,42,230,208510,1204,0,0,0,0,211,13837,-45408,0,0,0,0,0,0,0,0,0,0,0,0,-30156,178354
3313NF,Nonferrous metal production and processing and foundries,0,0,0,0,19,0,4,0,87,685,57,533,152,638,437,109,130,138,9052,52900,25984,431,453,866,14332,38,388,2653,1137,36,14246,36,6947,180,21549,1418,2519,1684,1273,2729,164,1935,4,0,0,1103,0,10,0,0,0,8,583,8,0,0,0,281,0,0,0,0,19,0,0,0,0,0,0,0,16,2,4,0,383,0,0,0,0,81,0,0,4,0,4,21,173,75,32,118,470,0,0,0,0,0,0,1,0,0,0,0,0,0,707,0,347,0,0,18,0,52,33,62,0,0,0,0,0,0,19,0,44,0,162,1,180,529,0,19,0,299,1136,0,0,0,0,762,173709,65,0,0,0,0,-46,20330,-55666,0,0,0,0,0,0,0,0,0,0,0,0,-35317,138392
332,Fabricated metal products,239,1350,61,12055,1031,481,80,842,9188,12914,21205,25131,21168,9283,13552,13219,3518,2442,2647,3638,39465,1830,1625,2361,18804,497,1432,1258,3121,75,11582,472,3953,1102,21806,10668,3872,4560,2469,2179,6760,6665,4840,584,81,5483,1048,1204,1345,902,23,6245,8418,56,225,73,1716,543,81,291,118,215,33,0,552,243,162,71,85,156,91,330,1211,308,354,1185,2263,706,1623,83,213,1035,227,554,42,3690,2955,3611,199,1470,1460,446,239,0,0,0,29,30,1,1061,2911,24,2972,15,4358,157,2417,71,253,622,29,1300,1473,3647,767,147,48,8,86,86,2195,29,3242,28,693,1787,4130,4132,175,853,0,6911,1594,260,503,823,2399,7222,419176,31617,13712,0,0,0,384,36050,-89621,0,176,0,0,0,152,0,0,0,109,0,0,-7421,411755
33311,Agricultural implement manufacturing,1567,631,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,4,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,2,0,527,0,0,0,0,0,84,0,0,6,0,26,3,255,0,0,0,0,0,0,0,0,0,18,0,0,0,60,0,0,0,0,0,0,624,0,365,1233,7211,1889,36136,0,0,0,-315,10582,-18226,0,0,0,0,0,13,0,0,0,48,0,0,30127,37338
33312,Construction machinery manufacturing,0,0,0,2110,2223,886,0,0,261,251,30,2219,124,112,528,21,0,0,0,0,0,84,293,13,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,59,0,0,2,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11048,0,46147,0,0,0,142,10948,-31588,0,496,0,0,0,0,0,0,0,8863,0,0,35008,46056
33313,Mining and oil and gas field machinery manufacturing,0,0,0,3605,657,472,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,24,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,6,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,5332,0,15263,0,0,0,226,2656,-3275,0,0,0,0,0,0,0,0,0,0,0,0,14870,20202
3332OM,Other machinery,58,7,14,9469,1338,1590,596,26,6208,3065,7643,7253,12924,526,4381,1663,449,101,450,779,4621,1013,3233,1258,29525,1,16,129,180,2,2348,1765,14196,5621,13500,1485,2308,136,475,491,2467,3257,82,37,2,1183,1487,37,1769,984,0,3029,2728,29,127,142,706,342,47,410,85,384,45,0,302,171,153,154,34,105,311,124,88,1,58,18,554,86,40,3047,32,1989,33,25,27,713,64,297,11,290,1213,9,52,0,552,0,0,8,0,232,966,20,2242,154,1419,179,626,67,213,427,2,4259,660,3162,2294,592,13,42,96,514,1045,188,323,13,346,65,1095,6561,568,378,0,1302,517,36,1944,863,1354,2046,207606,15952,196670,0,0,0,1813,85605,-180176,0,1506,0,0,0,87,0,0,0,1387,0,0,122844,330450
3341,Computer and peripheral equipment manufacturing,20,0,0,0,8,15,6,0,205,39,4,68,32,8,56,27,35,31,2,21,41,0,1,1,74,1941,103,198,675,0,0,34,543,34,4,1,4,10,5,5,54,1,0,2,0,23,619,27,0,0,0,0,94,0,0,0,0,0,9,0,0,0,0,0,256,169,300,65,72,139,57,237,84,0,0,0,104,0,2,31,0,51,95,0,17,9,127,289,44,250,401,151,777,0,0,3,436,0,0,292,51,421,332,208,395,1236,123,272,571,1139,217,907,560,146,257,82,0,62,0,226,4,31,294,18,151,118,109,9,19,251,0,193,127,0,787,161,167,70,19252,63016,39685,0,0,0,-590,14658,-114216,0,144,0,0,0,74,0,0,0,1852,0,0,4623,23875
3342,Communications equipment manufacturing,1,0,0,0,0,14,2,0,1639,272,380,678,272,45,55,1071,0,0,0,0,0,0,0,0,167,32,4683,305,2374,0,9,0,0,0,54,10492,0,0,0,0,1,0,0,0,0,1,12,17,0,0,0,0,17,5,273,467,0,449,543,0,329,236,0,0,56,73,133,8,12,19,8,72,10,0,40,0,122,1,1,0,0,70,665,0,72,719,6323,5318,1684,4348,2151,608,378,0,31,0,878,0,0,36,122,718,254,306,96,166,127,88,282,9490,1181,848,655,152,56,1309,0,45,0,18,256,0,181,8,47,3,4,487,0,342,0,5347,320,0,167,0,0,7,71813,13544,59586,0,0,0,-1917,11301,-121701,0,3285,0,0,0,1021,0,0,0,1627,0,0,-33254,38559
3344,Semiconductor and other electronic component manufacturing,0,0,0,0,0,3,0,0,14,18,3,74,8,0,119,107,1293,707,948,1124,4405,400,457,524,4922,1211,2963,11705,4427,200,3886,118,3008,173,10778,1217,479,963,702,1168,406,2432,298,434,37,978,698,267,527,441,4,2046,2034,969,103,1255,798,1338,42089,0,14,683,221,0,332,0,6,12,146,0,1,4,14,5,1,0,8,0,1,1,0,0,6,2250,4,2,3819,3013,450,2758,11,228,150,0,0,0,0,0,0,0,29,0,5499,45,342,5,1779,0,99,0,0,0,354,4,1041,0,0,0,0,1,152,80,0,0,0,0,0,5308,0,0,0,1010,1732,0,200,5,395,20,147518,349,0,0,0,0,-874,31560,-68265,0,0,0,0,0,1,0,0,0,9,0,0,-37220,110298
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0,3,0,90,10,47,61,21,727,266,612,920,78,1,149,29,8,15,0,0,1457,0,4,7,889,19,769,659,5788,0,422,162,1090,175,20,11313,5199,0,368,3,1,0,0,0,0,17,101,6,908,364,0,7,458,0,0,0,29,22,0,18,3,4,449,0,519,53,17,10,5,64,0,32,0,1,0,0,6,0,0,1,0,0,22,36,16,0,30,45,8,50,380,0,0,0,0,0,0,1,0,0,63,44,530,52,3681,18,255,16,416,9,4,85,394,511,114,4928,405,50,610,1491,761,51,121,0,0,1,69,313,238,206,0,7605,3891,0,30,36,97,1711,63870,10024,98778,0,0,0,-1005,36681,-58983,0,11304,0,0,0,761,0,0,0,588,0,0,98148,162018
334X,Other computer and electronic product manufacturing,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,27,36,20,623,1,326,5940,96,7,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,4,2,0,1,4,1,4,5,1,0,0,261,95,3,34,81,117,1,85,1,0,0,0,0,0,0,14,0,14,1,80,605,16,16,12,3,5,0,40,20,0,0,0,0,0,0,1,2,86,16,70,25,88,18,64,298,20,2,49,246,0,120,58,5,0,0,1,5,4,0,0,0,227,25,9,1,28,0,11,745,0,28,0,7,39,10987,28398,1649,0,98,0,-370,2389,-35743,0,0,0,0,0,0,0,0,0,74,0,0,-3505,7482
