Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Poland,990000,313210,2699.0,Europe,1,,,S00300,noncomparable_imports,313200,level_4,both_mapped_different
Poland,990000,314999,46580.0,Europe,1,,,S00300,noncomparable_imports,314900,level_4,both_mapped_different
Poland,990000,315190,5100.0,Europe,1,,,S00300,noncomparable_imports,315000,level_3,both_mapped_different
Poland,990000,315990,5451.0,Europe,1,,,S00300,noncomparable_imports,315000,level_3,both_mapped_different
Poland,990000,325413,303980.0,Europe,1,,,S00300,noncomparable_imports,325413,exact,both_mapped_different
Poland,990000,325992,3795.0,Europe,1,,,S00300,noncomparable_imports,3259A0,level_5,both_mapped_different
Poland,990000,333111,1867963.0,Europe,1,,,S00300,noncomparable_imports,333111,exact,both_mapped_different
Poland,990000,337212,47600.0,Europe,1,,,S00300,noncomparable_imports,33721A,exact,both_mapped_different
Poland,990000,339999,5000.0,Europe,1,,,S00300,noncomparable_imports,339990,level_5,both_mapped_different
Poland,990000,990000,220227934.0,Europe,12,,,S00300,noncomparable_imports,S00300,noncomparable_imports,both_mapped_same
Portugal,111130,111130,20017.0,Europe,2,,,1111B0,level_5,1111B0,level_5,both_mapped_same
Portugal,111211,111211,7294.0,Europe,1,,,111200,level_4,111200,level_4,both_mapped_same
Portugal,111219,111219,81145.0,Europe,3,,,111200,level_4,111200,level_4,both_mapped_same
Portugal,111335,111335,414841.0,Europe,2,,,111300,level_4,111300,level_4,both_mapped_same
Portugal,111339,111339,81351.0,Europe,3,,,111300,level_4,111300,level_4,both_mapped_same
Portugal,111411,111411,121742.0,Europe,2,,,111400,level_4,111400,level_4,both_mapped_same
Portugal,111421,111421,167668.0,Europe,3,,,111400,level_4,111400,level_4,both_mapped_same
Portugal,111422,111422,14114.0,Europe,3,,,111400,level_4,111400,level_4,both_mapped_same
Portugal,111920,111920,3441.0,Europe,1,,,111900,level_4,111900,level_4,both_mapped_same
Portugal,111998,111998,808329.0,Europe,3,,,111900,level_4,111900,level_4,both_mapped_same
Portugal,112420,112420,2678415.0,Europe,1,,,112A00,level_4,112A00,level_4,both_mapped_same
Portugal,112511,112511,31370.0,Europe,2,,,112A00,level_4,112A00,level_4,both_mapped_same
Portugal,112512,112512,5469.0,Europe,1,,,112A00,level_4,112A00,level_4,both_mapped_same
Portugal,112910,112910,313061.0,Europe,3,,,112A00,level_4,112A00,level_4,both_mapped_same
Portugal,112920,112920,2623852.0,Europe,2,,,112A00,level_4,112A00,level_4,both_mapped_same
Portugal,112990,112990,97183.0,Europe,3,,,112A00,level_4,112A00,level_4,both_mapped_same
Portugal,113210,113210,7807.0,Europe,2,,,113000,level_3,113000,level_3,both_mapped_same
Portugal,113310,113310,4831.0,Europe,1,,,113000,level_3,113000,level_3,both_mapped_same
Portugal,114111,114111,7054842.0,Europe,48,,,114000,level_3,114000,level_3,both_mapped_same
Portugal,114112,114112,12838568.0,Europe,18,,,114000,level_3,114000,level_3,both_mapped_same
Portugal,115210,311613,10035.0,Europe,1,,,115000,level_3,31161A,exact,both_mapped_different
Portugal,212290,212299,7381533.0,Europe,2,,,2122A0,level_5,2122A0,level_5,both_mapped_same
Portugal,212311,212311,476862.0,Europe,8,,,212310,level_5,212310,level_5,both_mapped_same
Portugal,212319,212319,17759.0,Europe,2,,,212310,level_5,212310,level_5,both_mapped_same
Portugal,212321,212321,9748.0,Europe,1,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Portugal,212322,212322,271846.0,Europe,1,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Portugal,212323,212324,66707.0,Europe,1,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Portugal,212323,212325,78186.0,Europe,2,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Portugal,212390,212393,1126726.0,Europe,1,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Portugal,311111,311111,28869.0,Europe,1,,,311111,exact,311111,exact,both_mapped_same
Portugal,311119,311119,742530.0,Europe,3,,,311119,exact,311119,exact,both_mapped_same
Portugal,311211,311211,81714.0,Europe,3,,,311210,level_5,311210,level_5,both_mapped_same
Portugal,311212,311212,19044.0,Europe,4,,,311210,level_5,311210,level_5,both_mapped_same
Portugal,311221,311221,261219.0,Europe,5,,,311221,exact,311221,exact,both_mapped_same
Portugal,311224,311224,40873758.0,Europe,16,,,311224,exact,311224,exact,both_mapped_same
Portugal,311225,311225,589973.0,Europe,7,,,311225,exact,311225,exact,both_mapped_same
Portugal,311230,311230,2199680.0,Europe,3,,,311230,level_5,311230,level_5,both_mapped_same
Portugal,31131X,31131X,46596.0,Europe,3,,,311300,level_4,311300,level_4,both_mapped_same
Portugal,311340,311340,524565.0,Europe,9,,,311300,level_4,311300,level_4,both_mapped_same
Portugal,31135X,31135X,1974261.0,Europe,6,,,311300,level_4,311300,level_4,both_mapped_same
Portugal,311411,311411,3104636.0,Europe,13,,,311410,level_5,311410,level_5,both_mapped_same
Portugal,311421,311421,25280110.0,Europe,60,,,311420,level_5,311420,level_5,both_mapped_same
Portugal,311422,311422,45333.0,Europe,2,,,311420,level_5,311420,level_5,both_mapped_same
Portugal,311423,311423,373504.0,Europe,3,,,311420,level_5,311420,level_5,both_mapped_same
Portugal,311511,311511,101904.0,Europe,7,,,31151A,exact,31151A,exact,both_mapped_same
Portugal,311512,311512,221435.0,Europe,2,,,31151A,exact,31151A,exact,both_mapped_same
Portugal,311513,311513,3928540.0,Europe,8,,,311513,exact,311513,exact,both_mapped_same
Portugal,311514,311514,182019.0,Europe,4,,,311514,exact,311514,exact,both_mapped_same
Portugal,311520,311520,65090.0,Europe,1,,,311520,level_5,311520,level_5,both_mapped_same
Portugal,311611,311611,1955232.0,Europe,2,,,31161A,exact,31161A,exact,both_mapped_same
Portugal,311613,311613,155017.0,Europe,2,,,31161A,exact,31161A,exact,both_mapped_same
Portugal,311615,311615,275035.0,Europe,1,,,311615,exact,311615,exact,both_mapped_same
Portugal,311710,114112,71057.0,Europe,3,,,311700,level_4,114000,level_3,both_mapped_different
Portugal,311710,311710,16814284.0,Europe,44,,,311700,level_4,311700,level_4,both_mapped_same
Portugal,31181X,31181X,26170464.0,Europe,11,,,311810,exact,311810,exact,both_mapped_same
Portugal,311824,311824,333432.0,Europe,3,,,3118A0,level_5,3118A0,level_5,both_mapped_same
Portugal,311911,311911,31402.0,Europe,2,,,311910,level_5,311910,level_5,both_mapped_same
Portugal,311919,311919,297520.0,Europe,2,,,311910,level_5,311910,level_5,both_mapped_same
Portugal,311920,311920,4170155.0,Europe,15,,,311920,level_5,311920,level_5,both_mapped_same
Portugal,311930,311930,4944101.0,Europe,1,,,311930,level_5,311930,level_5,both_mapped_same
Portugal,311941,311941,135534.0,Europe,3,,,311940,level_5,311940,level_5,both_mapped_same
Portugal,311942,311942,1093864.0,Europe,8,,,311940,level_5,311940,level_5,both_mapped_same
Portugal,311991,311991,6848.0,Europe,1,,,311990,level_5,311990,level_5,both_mapped_same
Portugal,311999,311999,1129485.0,Europe,11,,,311990,level_5,311990,level_5,both_mapped_same
Portugal,312111,312111,1920429.0,Europe,5,,,312110,level_5,312110,level_5,both_mapped_same
Portugal,312112,312112,1738671.0,Europe,1,,,312110,level_5,312110,level_5,both_mapped_same
Portugal,312113,312113,208227.0,Europe,1,,,312110,level_5,312110,level_5,both_mapped_same
Portugal,312120,312120,2376025.0,Europe,4,,,312120,level_5,312120,level_5,both_mapped_same
Portugal,312130,312130,119189163.0,Europe,28,,,312130,level_5,312130,level_5,both_mapped_same
Portugal,312140,312140,909053.0,Europe,5,,,312140,level_5,312140,level_5,both_mapped_same
Portugal,312230,312230,10954.0,Europe,1,,,312200,level_4,312200,level_4,both_mapped_same
Portugal,313110,313110,2216016.0,Europe,23,,,313100,level_4,313100,level_4,both_mapped_same
Portugal,313210,313210,10556547.0,Europe,183,,,313200,level_4,313200,level_4,both_mapped_same
Portugal,313220,313220,8535042.0,Europe,19,,,313200,level_4,313200,level_4,both_mapped_same
Portugal,313230,313230,1397461.0,Europe,6,,,313200,level_4,313200,level_4,both_mapped_same
Portugal,313240,313240,17775270.0,Europe,31,,,313200,level_4,313200,level_4,both_mapped_same
Portugal,313320,313320,8535033.0,Europe,16,,,313300,level_4,313300,level_4,both_mapped_same
Portugal,314110,314110,14353902.0,Europe,47,,,314110,level_5,314110,level_5,both_mapped_same
Portugal,314120,314120,164707131.0,Europe,133,,,314120,level_5,314120,level_5,both_mapped_same
Portugal,314910,314910,658111.0,Europe,18,,,314900,level_4,314900,level_4,both_mapped_same
Portugal,314994,314994,34031797.0,Europe,23,,,314900,level_4,314900,level_4,both_mapped_same
Portugal,314999,314994,1016189.0,Europe,2,,,314900,level_4,314900,level_4,both_mapped_same
Portugal,314999,314999,4206674.0,Europe,25,,,314900,level_4,314900,level_4,both_mapped_same
Portugal,314999,990000,39108.0,Europe,3,,,314900,level_4,S00300,noncomparable_imports,both_mapped_different
Portugal,315120,315110,3695550.0,Europe,20,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315120,315190,424010.0,Europe,12,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315250,315220,145320481.0,Europe,463,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315250,315240,188055835.0,Europe,649,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315250,315250,26087814.0,Europe,25,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315250,315280,6510983.0,Europe,45,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315990,315190,436039.0,Europe,4,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,315990,315990,47148447.0,Europe,91,,,315000,level_3,315000,level_3,both_mapped_same
Portugal,316110,316110,154189.0,Europe,16,,,316000,level_3,316000,level_3,both_mapped_same
Portugal,316210,316210,207360972.0,Europe,169,,,316000,level_3,316000,level_3,both_mapped_same
Portugal,316210,322121,7108.0,Europe,1,,,316000,level_3,322120,level_5,both_mapped_different
Portugal,316990,316992,3233228.0,Europe,19,,,316000,level_3,316000,level_3,both_mapped_same
Portugal,316990,316998,17847374.0,Europe,53,,,316000,level_3,316000,level_3,both_mapped_same
Portugal,316990,339999,3918.0,Europe,1,,,316000,level_3,339990,level_5,both_mapped_different
Portugal,321113,321113,1629414.0,Europe,9,,,321100,level_4,321100,level_4,both_mapped_same
Portugal,321211,321211,3825811.0,Europe,12,,,321200,level_4,321200,level_4,both_mapped_same
Portugal,321212,321212,900044.0,Europe,2,,,321200,level_4,321200,level_4,both_mapped_same
Portugal,321215,321213,124849.0,Europe,1,,,321200,level_4,321200,level_4,both_mapped_same
Portugal,321219,321219,1538984.0,Europe,11,,,321200,level_4,321200,level_4,both_mapped_same
Portugal,321219,327390,238739.0,Europe,1,,,321200,level_4,327390,level_5,both_mapped_different
Portugal,321911,321911,6976027.0,Europe,5,,,321910,level_5,321910,level_5,both_mapped_same
Portugal,321911,337215,14257977.0,Europe,1,,,321910,level_5,337215,exact,both_mapped_different
Portugal,321918,321918,3608488.0,Europe,9,,,321910,level_5,321910,level_5,both_mapped_same
Portugal,321920,321920,3113567.0,Europe,6,,,3219A0,level_5,3219A0,level_5,both_mapped_same
Portugal,321992,321992,28099.0,Europe,2,,,3219A0,level_5,3219A0,level_5,both_mapped_same
Portugal,321999,113310,3084.0,Europe,1,,,3219A0,level_5,113000,level_3,both_mapped_different
Portugal,321999,321999,212010074.0,Europe,35,,,3219A0,level_5,3219A0,level_5,both_mapped_same
Portugal,322120,322120,2601195.0,Europe,1,,,322120,level_5,322120,level_5,both_mapped_same
Portugal,322120,322121,66092285.0,Europe,13,,,322120,level_5,322120,level_5,both_mapped_same
Portugal,322120,322122,557945.0,Europe,1,,,322120,level_5,322120,level_5,both_mapped_same
