Country,iso3,usummary_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Albania,ALB,3391,28287.0,Europe,Europe,4.901266017861897e-07,1.4206919139361376e-06,57713659893.0,19910720771.0
Albania,ALB,3399,239310.0,Europe,Europe,2.5173576104081276e-06,2.0196240511679553e-05,95063966681.0,11849235003.0
Albania,ALB,S003,1871498.0,Europe,Europe,1.2758048444707642e-05,3.26286151925104e-05,146691557734.0,57357567551.0
Andorra,AND,311,2912.0,Europe,Europe,2.5228481325486774e-08,1.3556438895721008e-07,115425100799.0,21480567444.0
Andorra,AND,313TT,511.0,Europe,Europe,1.509514165438822e-08,1.7176727113272486e-07,33851951290.0,2974955570.0
Andorra,AND,323,123903.0,Europe,Europe,1.8276671019213175e-05,9.99862016733752e-05,6779298039.0,1239200989.0
Andorra,AND,3252,584.0,Europe,Europe,2.680433459693154e-08,1.050274406336137e-07,21787520891.0,5560451597.0
Andorra,AND,326,19679.0,Europe,Europe,2.566599176757723e-07,2.0020072084188734e-06,76673444682.0,9829634937.0
Andorra,AND,3313NF,11165.0,Europe,Europe,1.285484472683668e-07,4.7264239495675974e-07,86854413548.0,23622510632.0
Andorra,AND,332,197531.0,Europe,Europe,2.0002499234464116e-06,8.978097022894611e-06,98753159635.0,22001432987.0
Andorra,AND,33311,3723.0,Europe,Europe,2.4146739385791014e-07,6.667645913358181e-07,15418230762.0,5583679830.0
Andorra,AND,3332OM,24503.0,Europe,Europe,1.2308020190732012e-07,3.65836251467769e-07,199081571368.0,66978053437.0
Andorra,AND,3342,16798.0,Europe,Europe,1.3852833857305288e-07,4.071714685600465e-06,121260387391.0,4125534645.0
Andorra,AND,3344,1480605.0,Europe,Europe,1.1285894317178055e-05,0.00014414235604283184,131190755326.0,10271824609.0
Andorra,AND,3345,50829.0,Europe,Europe,6.839523911009327e-07,1.5861776874501108e-06,74316576214.0,32044959655.0
Andorra,AND,335,27334.0,Europe,Europe,1.3389852022098188e-07,1.0227359432090456e-06,204139672006.0,26726351197.0
Andorra,AND,3364,8506.0,Europe,Europe,1.3631832376148892e-07,2.5867129195532653e-07,62398067738.0,32883432621.0
Andorra,AND,3365AO,16489.0,Europe,Europe,1.0699297981100279e-06,4.57443158432586e-06,15411291497.0,3604600855.0
Andorra,AND,337,30176.0,Europe,Europe,6.335469128934058e-07,6.075470833134473e-06,47630253397.0,4966857850.0
Andorra,AND,3391,138761.0,Europe,Europe,2.4043008233624447e-06,6.969160061855e-06,57713659893.0,19910720771.0
Andorra,AND,3399,778466.0,Europe,Europe,8.188865110291979e-06,6.569757455252657e-05,95063966681.0,11849235003.0
Andorra,AND,S003,436774.0,Europe,Europe,2.977499228633285e-06,7.61493240820644e-06,146691557734.0,57357567551.0
Anguilla,AIA,3121,235930.0,North America,RoWorld,7.668868069306936e-06,0.00029370961374545356,30764644517.0,803276396.0
Anguilla,AIA,313TT,2056.0,North America,RoWorld,6.073505135307667e-08,4.531663398913431e-06,33851951290.0,453696539.0
Anguilla,AIA,315AL,165172.0,North America,RoWorld,1.3621648856693784e-06,1.610960248043544e-05,121256979781.0,10253015256.0
Anguilla,AIA,325X,53405.0,North America,RoWorld,1.0004829143407705e-06,3.175259256023872e-05,53379222408.0,1681909907.0
Anguilla,AIA,326,68858.0,North America,RoWorld,8.980684288489419e-07,3.447114367913252e-05,76673444682.0,1997554843.0
Anguilla,AIA,327,55328.0,North America,RoWorld,1.864660016627299e-06,4.047012303334333e-05,29671897025.0,1367131994.0
Anguilla,AIA,3332OM,3666.0,North America,RoWorld,1.841456230633945e-08,2.5183927769802276e-06,199081571368.0,1455690325.0
Anguilla,AIA,335,24329.0,North America,RoWorld,1.1917820657263e-07,7.86054120579979e-06,204139672006.0,3095079507.0
Anguilla,AIA,3364,108000.0,North America,RoWorld,1.7308228269739952e-06,5.046698710636517e-05,62398067738.0,2140012832.0
Anguilla,AIA,337,13340.0,North America,RoWorld,2.8007409259007265e-07,3.1394443268264153e-05,47630253397.0,424915960.0
Anguilla,AIA,S003,460514.0,North America,RoWorld,3.139335399485383e-06,5.1581781846157755e-05,146691557734.0,8927842031.0
Antigua and Barbuda,ATG,212,54800.0,North America,RoWorld,1.0301861095800377e-05,2.940189196968423e-05,5319427188.0,1863825636.0
Antigua and Barbuda,ATG,311,65600.0,North America,RoWorld,5.68333919969757e-07,4.81716088315652e-06,115425100799.0,13617979883.0
Antigua and Barbuda,ATG,3121,168613.0,North America,RoWorld,5.480739421735474e-06,0.0002099065786566446,30764644517.0,803276396.0
Antigua and Barbuda,ATG,313TT,65143.0,North America,RoWorld,1.9243499271855416e-06,0.0001435827571962148,33851951290.0,453696539.0
Antigua and Barbuda,ATG,315AL,7300.0,North America,RoWorld,6.020271998514556e-08,7.119856761871183e-07,121256979781.0,10253015256.0
Antigua and Barbuda,ATG,323,205042.0,North America,RoWorld,3.0245314311368632e-05,0.0034131036433310852,6779298039.0,60074941.0
Antigua and Barbuda,ATG,324,1393295.0,North America,RoWorld,2.3291690233602737e-05,0.00027022301240604607,59819402801.0,5156093064.0
Antigua and Barbuda,ATG,3251,3581.0,North America,RoWorld,5.616603475602768e-08,1.5258993417851452e-06,63757393869.0,2346812730.0
Antigua and Barbuda,ATG,326,289.0,North America,RoWorld,3.769231983754164e-09,1.4467687884151874e-07,76673444682.0,1997554843.0
Antigua and Barbuda,ATG,327,13457.0,North America,RoWorld,4.535267828902827e-07,9.843233907961633e-06,29671897025.0,1367131994.0
Antigua and Barbuda,ATG,3313NF,1395289.0,North America,RoWorld,1.606468736593213e-05,9.244908872396376e-05,86854413548.0,15092512206.0
Antigua and Barbuda,ATG,332,5243.0,North America,RoWorld,5.309197213920618e-08,2.8123826376378306e-06,98753159635.0,1864255571.0
Antigua and Barbuda,ATG,3332OM,65507.0,North America,RoWorld,3.2904602645973225e-07,4.500064256455095e-05,199081571368.0,1455690325.0
Antigua and Barbuda,ATG,3341,5690.0,North America,RoWorld,3.6950864488536206e-08,0.0001733815766808666,153988278184.0,32817789.0
Antigua and Barbuda,ATG,3342,12000.0,North America,RoWorld,9.896059428959606e-08,7.494104762488589e-05,121260387391.0,160125864.0
Antigua and Barbuda,ATG,3345,230015.0,North America,RoWorld,3.0950699254181872e-06,9.685264097317386e-05,74316576214.0,2374896520.0
Antigua and Barbuda,ATG,335,14871.0,North America,RoWorld,7.284718278357437e-08,4.8047230988305595e-06,204139672006.0,3095079507.0
Antigua and Barbuda,ATG,3362BP,9049.0,North America,RoWorld,5.8974757765149864e-08,3.1943139373481455e-06,153438527650.0,2832846169.0
Antigua and Barbuda,ATG,3399,81141.0,North America,RoWorld,8.535410716899664e-07,4.8892482769476155e-05,95063966681.0,1659580275.0
Antigua and Barbuda,ATG,S003,19955625.0,North America,RoWorld,0.00013603799228982289,0.002235212600167925,146691557734.0,8927842031.0
Argentina,ARG,111,367535284.0,South America,RoWorld,0.007312207430409238,0.019332670799768987,50263246427.0,19011097215.0
Argentina,ARG,112,159877283.0,South America,RoWorld,0.011575705446727815,0.04614239750129673,13811450519.0,3464867273.0
Argentina,ARG,113FF,358173999.0,South America,RoWorld,0.022444332627042252,0.12469621542685541,15958326984.0,2872372652.0
Argentina,ARG,211,1411244779.0,South America,RoWorld,0.008449168177418066,0.047111888102239194,167027658743.0,29955173436.0
Argentina,ARG,212,4811175.0,South America,RoWorld,0.000904453586817288,0.002581343934256305,5319427188.0,1863825636.0
Argentina,ARG,311,1185561399.0,South America,RoWorld,0.010271261543574682,0.08705853652199877,115425100799.0,13617979883.0
Argentina,ARG,3121,209591209.0,South America,RoWorld,0.006812729751653188,0.26092041300314767,30764644517.0,803276396.0
Argentina,ARG,313TT,1457412.0,South America,RoWorld,4.305252561410028e-05,0.0032123057478293878,33851951290.0,453696539.0
Argentina,ARG,315AL,13578186.0,South America,RoWorld,0.00011197859310468817,0.0013243114987129402,121256979781.0,10253015256.0
Argentina,ARG,321,101694220.0,South America,RoWorld,0.004396892516257884,0.033876283983262256,23128657256.0,3001929611.0
Argentina,ARG,322,17636146.0,South America,RoWorld,0.0006640511504619049,0.00675436096180472,26558414947.0,2611075437.0
Argentina,ARG,323,623271.0,South America,RoWorld,9.19373947589325e-05,0.010374891587492363,6779298039.0,60074941.0
Argentina,ARG,324,333445206.0,South America,RoWorld,0.005574198176288477,0.06467012946840014,59819402801.0,5156093064.0
Argentina,ARG,3251,154383222.0,South America,RoWorld,0.0024214167586147826,0.06578421022967607,63757393869.0,2346812730.0
Argentina,ARG,3252,22419230.0,South America,RoWorld,0.0010289940793245984,0.06125026621695151,21787520891.0,366026654.0
Argentina,ARG,3254,684049439.0,South America,RoWorld,0.002715099044530345,0.7840904594620148,251942720240.0,872411379.0
Argentina,ARG,325X,122367530.0,South America,RoWorld,0.0022924187442202354,0.0727551038796515,53379222408.0,1681909907.0
Argentina,ARG,326,23422810.0,South America,RoWorld,0.00030548790519514487,0.011725740638401086,76673444682.0,1997554843.0
Argentina,ARG,327,2506347.0,South America,RoWorld,8.446871455129013e-05,0.0018332882347862015,29671897025.0,1367131994.0
Argentina,ARG,3311IS,118960812.0,South America,RoWorld,0.0031456057798711708,0.020275963386496107,37818093024.0,5867085560.0
Argentina,ARG,3313NF,1304460522.0,South America,RoWorld,0.015018931896639786,0.08643097346520046,86854413548.0,15092512206.0
Argentina,ARG,332,43222037.0,South America,RoWorld,0.0004376775098614798,0.023184609273724947,98753159635.0,1864255571.0
Argentina,ARG,33311,6646334.0,South America,RoWorld,0.00043106982264013414,0.035951756919397164,15418230762.0,184868128.0
Argentina,ARG,33312,4133253.0,South America,RoWorld,0.00012649365542884134,0.0023560798523639967,32675575593.0,1754292409.0
Argentina,ARG,33313,245503.0,South America,RoWorld,7.771460382247825e-05,0.003774468094003924,3159033025.0,65043072.0
Argentina,ARG,3332OM,78061916.0,South America,RoWorld,0.00039211020620137383,0.05362535881386723,199081571368.0,1455690325.0
Argentina,ARG,3341,456509.0,South America,RoWorld,2.9645698061154962e-06,0.013910413038489583,153988278184.0,32817789.0
Argentina,ARG,3342,497459.0,South America,RoWorld,4.102403189559013e-06,0.0031066748842023422,121260387391.0,160125864.0
Argentina,ARG,3344,3738536.0,South America,RoWorld,2.849694698921426e-05,0.0023252831284837298,131190755326.0,1607776685.0
Argentina,ARG,3345,5602051.0,South America,RoWorld,7.538090807451201e-05,0.0023588610926087846,74316576214.0,2374896520.0
Argentina,ARG,334X,474183.0,South America,RoWorld,8.11007663619417e-06,0.007552437528295779,58468374748.0,62785425.0
Argentina,ARG,335,11443862.0,South America,RoWorld,5.605898102777223e-05,0.0036974371657070328,204139672006.0,3095079507.0
Argentina,ARG,336111,59546.0,South America,RoWorld,2.840619081292402e-07,0.01999842822953491,209623319058.0,2977534.0
Argentina,ARG,336112,260600.0,South America,RoWorld,7.782621640871687e-06,0.3633772611728747,33484860504.0,717161.0
Argentina,ARG,33612,13000.0,South America,RoWorld,6.435698455129478e-07,0.001136303642709773,20199827712.0,11440604.0
Argentina,ARG,3362BP,30617391.0,South America,RoWorld,0.00019954174136654654,0.010807996330703689,153438527650.0,2832846169.0
Argentina,ARG,3364,8665220.0,South America,RoWorld,0.0001388700053402926,0.0040491439445723846,62398067738.0,2140012832.0
Argentina,ARG,3365AO,1157082.0,South America,RoWorld,7.508014498494434e-05,0.009698441664751213,15411291497.0,119305971.0
Argentina,ARG,337,4237058.0,South America,RoWorld,8.895728445288666e-05,0.009971520015393162,47630253397.0,424915960.0
Argentina,ARG,3391,2254370.0,South America,RoWorld,3.906128989531348e-05,0.00038574929238330806,57713659893.0,5844132561.0
Argentina,ARG,3399,2565888.0,South America,RoWorld,2.6991173307654878e-05,0.0015461065901135756,95063966681.0,1659580275.0
Argentina,ARG,S003,290009890.0,South America,RoWorld,0.0019770046380302485,0.03248376136058449,146691557734.0,8927842031.0
Armenia,ARM,111,215094.0,Asia,RoAsia,4.279349530524108e-06,6.37466468517357e-05,50263246427.0,3374201007.0
Armenia,ARM,112,311624.0,Asia,RoAsia,2.256272790256955e-05,9.312626147789227e-05,13811450519.0,3346252658.0
Armenia,ARM,113FF,100804.0,Asia,RoAsia,6.3167022521262555e-06,1.936417228925328e-05,15958326984.0,5205696298.0
Armenia,ARM,212,89580.0,Asia,RoAsia,1.6840159068645945e-05,0.00010120343709422278,5319427188.0,885147803.0
Armenia,ARM,311,8320360.0,Asia,RoAsia,7.208449412133487e-05,0.0002766199336654178,115425100799.0,30078671084.0
Armenia,ARM,3121,10614933.0,Asia,RoAsia,0.0003450367513310409,0.007170566328627689,30764644517.0,1480347927.0
Armenia,ARM,313TT,230105.0,Asia,RoAsia,6.7973925056418805e-06,1.736560735244515e-05,33851951290.0,13250616309.0
Armenia,ARM,315AL,8267713.0,Asia,RoAsia,6.818339872007503e-05,0.00012979584535817058,121256979781.0,63697824666.0
Armenia,ARM,321,387341.0,Asia,RoAsia,1.674723247928786e-05,0.0001101159416239221,23128657256.0,3517574243.0
Armenia,ARM,322,95825.0,Asia,RoAsia,3.6080842998811664e-06,2.5900748800364822e-05,26558414947.0,3699699987.0
Armenia,ARM,323,18231.0,Asia,RoAsia,2.68921647862663e-06,1.6949072416201836e-05,6779298039.0,1075634085.0
Armenia,ARM,3251,635914.0,Asia,RoAsia,9.973964765664502e-06,5.716906022877492e-05,63757393869.0,11123394323.0
Armenia,ARM,3254,4500.0,Asia,RoAsia,1.7861202719861527e-08,1.0906020386866604e-07,251942720240.0,41261613681.0
Armenia,ARM,325X,362193.0,Asia,RoAsia,6.785280557884593e-06,2.7989812769961396e-05,53379222408.0,12940172304.0
Armenia,ARM,326,269035.0,Asia,RoAsia,3.5088419610702472e-06,1.213851018611665e-05,76673444682.0,22163757815.0
Armenia,ARM,327,80424.0,Asia,RoAsia,2.7104434857076685e-06,1.238050819526173e-05,29671897025.0,6496017670.0
Armenia,ARM,3313NF,2160611.0,Asia,RoAsia,2.487623727729093e-05,0.00016230662409598884,86854413548.0,13311908938.0
Armenia,ARM,332,205431.0,Asia,RoAsia,2.080247363824006e-06,8.942626258444117e-06,98753159635.0,22972110660.0
Armenia,ARM,33311,20955.0,Asia,RoAsia,1.3591053554371493e-06,7.586839194950156e-06,15418230762.0,2762019790.0
Armenia,ARM,3332OM,350030.0,Asia,RoAsia,1.7582240163906158e-06,8.706348882683584e-06,199081571368.0,40203994202.0
Armenia,ARM,3341,30613.0,Asia,RoAsia,1.9880084614895586e-07,5.391563480506032e-07,153988278184.0,56779448319.0
Armenia,ARM,3342,24639.0,Asia,RoAsia,2.031908402251131e-07,4.860000960467084e-07,121260387391.0,50697520845.0
Armenia,ARM,3344,344206.0,Asia,RoAsia,2.623706214242549e-06,3.7522242146891157e-06,131190755326.0,91733857122.0
Armenia,ARM,3345,211802.0,Asia,RoAsia,2.849996740836132e-06,1.4730406024910018e-05,74316576214.0,14378558177.0
Armenia,ARM,334X,6559.0,Asia,RoAsia,1.1218030308298181e-07,2.2191915617304147e-07,58468374748.0,29555808129.0
Armenia,ARM,335,232307.0,Asia,RoAsia,1.1379806664584635e-06,4.294197307875093e-06,204139672006.0,54097886833.0
Armenia,ARM,3362BP,14029.0,Asia,RoAsia,9.143075220325864e-08,6.623647231649045e-07,153438527650.0,21180173867.0
Armenia,ARM,337,124863.0,Asia,RoAsia,2.621506103678729e-06,6.228347632097464e-06,47630253397.0,20047532247.0
Armenia,ARM,3391,1674062.0,Asia,RoAsia,2.9006339280920293e-05,0.00015784558004738357,57713659893.0,10605694499.0
Armenia,ARM,3399,83157422.0,Asia,RoAsia,0.0008747522842071799,0.002488013392472411,95063966681.0,33423221214.0
Armenia,ARM,S003,3021911.0,Asia,RoAsia,2.060044249771836e-05,0.00011920744659950999,146691557734.0,25350018696.0
Aruba,ABW,313TT,300.0,North America,RoWorld,8.862118388094844e-09,6.612349317480687e-07,33851951290.0,453696539.0
Aruba,ABW,315AL,6886.0,North America,RoWorld,5.6788483536672926e-08,6.716073104417119e-07,121256979781.0,10253015256.0
Aruba,ABW,321,4000.0,North America,RoWorld,1.7294562134437469e-07,1.332476279704481e-06,23128657256.0,3001929611.0
Aruba,ABW,323,18088.0,North America,RoWorld,2.6681228492895884e-06,0.00030109059948972734,6779298039.0,60074941.0
Aruba,ABW,325X,1121496.0,North America,RoWorld,2.1009972596227258e-05,0.0006667990927055049,53379222408.0,1681909907.0
Aruba,ABW,326,4952.0,North America,RoWorld,6.458559440674955e-08,2.479030809768861e-06,76673444682.0,1997554843.0
Aruba,ABW,327,47460.0,North America,RoWorld,1.5994932834935585e-06,3.471500938335878e-05,29671897025.0,1367131994.0
Aruba,ABW,332,21183.0,North America,RoWorld,2.145045290529858e-07,1.1362712457196675e-05,98753159635.0,1864255571.0
Aruba,ABW,3332OM,22363.0,North America,RoWorld,1.1233083929532709e-07,1.5362470723297553e-05,199081571368.0,1455690325.0
