Country,iso3,detail_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Bahrain,BHR,333413,1316236.0,Asia,RoAsia,0.0002885488950022942,0.0010353246572280279,4561570059.0,1271326816.0
Bahrain,BHR,333415,242885.0,Asia,RoAsia,1.2459788891919e-05,8.104804102284945e-05,19493508446.0,2996802846.0
Bahrain,BHR,333511,26596.0,Asia,RoAsia,1.1637485677165378e-05,7.330627695194672e-05,2285373382.0,362806585.0
Bahrain,BHR,333612,5000.0,Asia,RoAsia,1.0370745481002622e-06,4.321890736333715e-06,4821254180.0,1156901066.0
Bahrain,BHR,333618,104670.0,Asia,RoAsia,7.165478935592386e-06,6.952287437667334e-05,14607537185.0,1505547648.0
Bahrain,BHR,333912,8330.0,Asia,RoAsia,9.384528026176718e-07,5.224447514769391e-06,8876312135.0,1594426966.0
Bahrain,BHR,333920,80000.0,Asia,RoAsia,4.600571384042038e-06,3.35582133530027e-05,17389144374.0,2383917140.0
Bahrain,BHR,33399A,212464.0,Asia,RoAsia,8.240999826863988e-06,3.9060803475657e-05,25781337758.0,5439314635.0
Bahrain,BHR,33399B,29500.0,Asia,RoAsia,3.932520098139422e-06,3.41678243777626e-05,7501550981.0,863385379.0
Bahrain,BHR,334220,3375.0,Asia,RoAsia,2.853813861904071e-08,6.751959919088749e-08,118262793697.0,49985486295.0
Bahrain,BHR,334300,2778.0,Asia,RoAsia,7.07312510098374e-08,2.1518345472907803e-07,39275425789.0,12909914489.0
Bahrain,BHR,334510,9990.0,Asia,RoAsia,4.720664950763111e-07,2.5483302456732673e-06,21162272909.0,3920214037.0
Bahrain,BHR,334512,45000.0,Asia,RoAsia,2.8175910506786446e-05,0.0001089112823070616,1597108991.0,413180334.0
Bahrain,BHR,334513,23364.0,Asia,RoAsia,2.6327662993722094e-06,1.226327687103152e-05,8874315964.0,1905200400.0
Bahrain,BHR,334514,24953.0,Asia,RoAsia,9.75425780467649e-06,6.00776100252762e-05,2558164906.0,415346083.0
Bahrain,BHR,334516,21895.0,Asia,RoAsia,2.6377606509391594e-06,1.3172899771790988e-05,8300601494.0,1662124542.0
Bahrain,BHR,334517,77418.0,Asia,RoAsia,1.7021327772288327e-05,0.0001395685192840506,4548293825.0,554695288.0
Bahrain,BHR,33451A,1311950.0,Asia,RoAsia,0.00013205856073425848,0.002502312872749037,9934607743.0,524294949.0
Bahrain,BHR,335313,71802.0,Asia,RoAsia,3.378663710033292e-06,2.2550148146106757e-05,21251597129.0,3184103250.0
Bahrain,BHR,335999,40000.0,Asia,RoAsia,1.177837272210504e-06,1.9961449408909997e-06,33960548663.0,20038625042.0
Bahrain,BHR,336212,33000.0,Asia,RoAsia,9.554931073185461e-06,0.0013652601770113603,3453714082.0,24171217.0
Bahrain,BHR,336310,54816.0,Asia,RoAsia,2.656534413215012e-06,2.4205485891209527e-05,20634402373.0,2264610603.0
Bahrain,BHR,336320,3613.0,Asia,RoAsia,1.3453873462438533e-07,7.737679677285139e-07,26854719647.0,4669358452.0
Bahrain,BHR,3363A0,28800.0,Asia,RoAsia,9.595668722724863e-07,8.166870449320003e-06,30013541351.0,3526442617.0
Bahrain,BHR,336413,116500.0,Asia,RoAsia,7.434925215081335e-06,5.337515790547949e-05,15669290091.0,2182663332.0
Bahrain,BHR,337110,5490.0,Asia,RoAsia,2.493849394028462e-06,3.864629365561093e-06,2201416017.0,1420576071.0
Bahrain,BHR,337122,2705.0,Asia,RoAsia,5.194839867807976e-07,7.026215930376049e-07,5207090245.0,3849867449.0
Bahrain,BHR,337127,430594.0,Asia,RoAsia,2.7370487404216766e-05,8.18847988066557e-05,15732054517.0,5258534017.0
Bahrain,BHR,337215,181124.0,Asia,RoAsia,2.655294460922421e-05,8.371701946862758e-05,6821239703.0,2163526618.0
Bahrain,BHR,337900,20906.0,Asia,RoAsia,7.354820690942097e-06,1.5328335052105814e-05,2842489420.0,1363879373.0
Bahrain,BHR,339113,426495.0,Asia,RoAsia,1.8262383028595294e-05,6.557827331799767e-05,23353743010.0,6503602160.0
Bahrain,BHR,339910,50659083.0,Asia,RoAsia,0.0013856570653016799,0.0021915532603313213,36559610793.0,23115606596.0
Bahrain,BHR,339920,2431865.0,Asia,RoAsia,0.00025324202470870956,0.0008548097896342059,9602928277.0,2844919454.0
Bahrain,BHR,339930,260817.0,Asia,RoAsia,9.95177666045568e-06,7.590367297759167e-05,26208084134.0,3436157827.0
Bahrain,BHR,339940,10584.0,Asia,RoAsia,5.1090846953461315e-06,3.640611754722891e-05,2071603943.0,290720371.0
Bahrain,BHR,339990,5553.0,Asia,RoAsia,2.7376464086163106e-07,1.5108878985666125e-06,20283846674.0,3675322309.0
Bahrain,BHR,S00300,47577525.0,Asia,RoAsia,0.000324337172056443,0.0018768240596014746,146691557734.0,25350018696.0
Bangladesh,BGD,1111B0,62581.0,Asia,RoAsia,2.754621481887874e-05,0.0005270448605365406,2271854787.0,118739418.0
Bangladesh,BGD,111200,112200.0,Asia,RoAsia,1.1423408607560927e-05,0.0008762026476797978,9821937029.0,128052569.0
Bangladesh,BGD,111300,50281.0,Asia,RoAsia,1.876091838992012e-06,2.213385732763313e-05,26800926775.0,2271678147.0
Bangladesh,BGD,111900,13318837.0,Asia,RoAsia,0.0063415651721275045,0.023835913574368678,2100244441.0,558771828.0
Bangladesh,BGD,112A00,10097932.0,Asia,RoAsia,0.0009426960434497384,0.00302612856411397,10711758122.0,3336914406.0
Bangladesh,BGD,114000,8834832.0,Asia,RoAsia,0.0006997967286621138,0.002616614353425319,12624854673.0,3376436420.0
Bangladesh,BGD,311111,33442.0,Asia,RoAsia,1.5791757966456576e-05,3.02113063431739e-05,2117686965.0,1106936576.0
Bangladesh,BGD,311210,1642131.0,Asia,RoAsia,0.00046411111139675317,0.0009851062467961668,3538228152.0,1666958265.0
Bangladesh,BGD,311221,45681.0,Asia,RoAsia,3.415910887129174e-05,0.00010908424434752292,1337300694.0,418768084.0
Bangladesh,BGD,311224,130606.0,Asia,RoAsia,9.647834925453713e-06,3.6403879994911464e-05,13537337756.0,3587694499.0
Bangladesh,BGD,311225,115186.0,Asia,RoAsia,0.00016321162943490577,0.0010421596302359075,705746278.0,110526254.0
Bangladesh,BGD,311230,724007.0,Asia,RoAsia,0.0007176574731175965,0.0032765552528271034,1008847573.0,220965906.0
Bangladesh,BGD,311300,613186.0,Asia,RoAsia,4.823375044979048e-05,0.00040906636867240264,12712799529.0,1498989032.0
Bangladesh,BGD,311410,1089721.0,Asia,RoAsia,0.00016459553740775335,0.003683261588349569,6620598694.0,295857618.0
Bangladesh,BGD,311420,730650.0,Asia,RoAsia,6.415404596640071e-05,0.00026636049540265503,11388993305.0,2743086954.0
Bangladesh,BGD,311513,18072.0,Asia,RoAsia,9.334773835493614e-06,0.0002687948499906245,1935986915.0,67233431.0
Bangladesh,BGD,311514,519311.0,Asia,RoAsia,0.00021363114846609,0.0006337314704894602,2430876788.0,819449600.0
Bangladesh,BGD,31151A,258957.0,Asia,RoAsia,0.0002541678277104638,0.0014093131809300064,1018842559.0,183746951.0
Bangladesh,BGD,31161A,1479942.0,Asia,RoAsia,7.284171782217051e-05,0.00021727959741633658,20317230898.0,6811233165.0
Bangladesh,BGD,311700,111511.0,Asia,RoAsia,2.6586149418856078e-05,4.766240098243693e-05,4194326837.0,2339600979.0
Bangladesh,BGD,311810,8297195.0,Asia,RoAsia,0.0008079156065921985,0.009426622661222345,10269878354.0,880187454.0
