Country,iso3,summary_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Australia,AUS,3361MV,133340404.0,Oceania,RoAsia,0.00031995563928159985,0.002248973134442371,416746534924.0,59289460580.0
Australia,AUS,3364OT,510574784.0,Oceania,RoAsia,0.006561868508105316,0.06264243660160834,77809359235.0,8150621395.0
Australia,AUS,337,26567522.0,Oceania,RoAsia,0.0005577867028873157,0.001325226550214213,47630253397.0,20047532247.0
Australia,AUS,339,1462182755.0,Oceania,RoAsia,0.00957066023205807,0.03320960172017762,152777626574.0,44028915713.0
Australia,AUS,Other,1264208829.0,Oceania,RoAsia,0.008618143051506932,0.049870133989269226,146691557734.0,25350018696.0
Austria,AUT,111CA,3297051.0,Europe,Europe,5.1456365104288264e-05,0.0009500848864373797,64074696946.0,3470269917.0
Austria,AUT,113FF,1356112.0,Europe,Europe,8.497833146041269e-05,0.0006765473022222337,15958326984.0,2004459992.0
Austria,AUT,212,1658467.0,Europe,Europe,0.0003117754866052694,0.003589516063567415,5319427188.0,462030806.0
Austria,AUT,311FT,385507010.0,Europe,Europe,0.00260270385358054,0.01093848733361895,148117892656.0,35243173781.0
Austria,AUT,313TT,45468799.0,Europe,Europe,0.0013431662656749617,0.01528385817203986,33851951290.0,2974955570.0
Austria,AUT,315AL,28571683.0,Europe,Europe,0.00023562918234977312,0.0027505074392116962,121256979781.0,10387786120.0
Austria,AUT,321,172465724.0,Europe,Europe,0.007456797949446858,0.057029420385766735,23128657256.0,3024153548.0
Austria,AUT,322,113631141.0,Europe,Europe,0.0042785362464876926,0.022326533326855462,26558414947.0,5089511181.0
Austria,AUT,323,9560622.0,Europe,Europe,0.00141026724964732,0.007715150395187427,6779298039.0,1239200989.0
Austria,AUT,324,3711234.0,Europe,Europe,6.204063942841568e-05,0.0002572417533885826,59819402801.0,14427028082.0
Austria,AUT,325,3985442502.0,Europe,Europe,0.01019641964127918,0.016970365112683433,390866857408.0,234847186583.0
Austria,AUT,326,237882950.0,Europe,Europe,0.0031025467942207355,0.024200588478070353,76673444682.0,9829634937.0
Austria,AUT,327,219748420.0,Europe,Europe,0.0074059444131546895,0.034480218106554196,29671897025.0,6373173723.0
Austria,AUT,331,935028030.0,Europe,Europe,0.007499873514294101,0.028952054232485574,124672506572.0,32295740485.0
Austria,AUT,332,975311583.0,Europe,Europe,0.009876256988686072,0.044329457248365726,98753159635.0,22001432987.0
Austria,AUT,333,3995587346.0,Europe,Europe,0.015960999265187605,0.047511295221730206,250334410748.0,84097630413.0
Austria,AUT,334,997049919.0,Europe,Europe,0.0018490446111610829,0.018937166669710914,539224371863.0,52650427405.0
Austria,AUT,335,769772222.0,Europe,Europe,0.0037708114960495046,0.028801994568057834,204139672006.0,26726351197.0
Austria,AUT,3361MV,2877874581.0,Europe,Europe,0.00690557530736236,0.04024737153894722,416746534924.0,71504659086.0
Austria,AUT,3364OT,671209306.0,Europe,Europe,0.00862633123571693,0.018395326962235108,77809359235.0,36488033476.0
Austria,AUT,337,50193951.0,Europe,Europe,0.0010538249834959198,0.010105775626334867,47630253397.0,4966857850.0
Austria,AUT,339,606766355.0,Europe,Europe,0.003971565527011929,0.01910476070299581,152777626574.0,31759955774.0
Austria,AUT,Other,484917821.0,Europe,Europe,0.0033056968546159647,0.008454295426123692,146691557734.0,57357567551.0
Azerbaijan,AZE,111CA,101105.0,Asia,RoAsia,1.5779239671661326e-06,1.50443712641831e-05,64074696946.0,6720453665.0
Azerbaijan,AZE,212,5015.0,Asia,RoAsia,9.4277068239852e-07,5.665720440137612e-06,5319427188.0,885147803.0
Azerbaijan,AZE,311FT,3578953.0,Asia,RoAsia,2.4162867401253312e-05,0.00011289418773923724,148117892656.0,31701835778.0
Azerbaijan,AZE,313TT,63046.0,Asia,RoAsia,1.8624037196527585e-06,4.75796736768978e-06,33851951290.0,13250616309.0
Azerbaijan,AZE,315AL,28915.0,Asia,RoAsia,2.384604997767786e-07,4.5394014868821677e-07,121256979781.0,63697824666.0
Azerbaijan,AZE,321,926509.0,Asia,RoAsia,4.005891867153881e-05,0.00026339429845546544,23128657256.0,3517574243.0
Azerbaijan,AZE,323,471530.0,Asia,RoAsia,6.955439889017689e-05,0.00043837398477382763,6779298039.0,1075634085.0
Azerbaijan,AZE,325,2030893.0,Asia,RoAsia,5.195869031894115e-06,2.8553977446169853e-05,390866857408.0,71124697210.0
Azerbaijan,AZE,326,109987.0,Asia,RoAsia,1.4344862221355335e-06,4.962470755999821e-06,76673444682.0,22163757815.0
Azerbaijan,AZE,327,210860.0,Asia,RoAsia,7.106387563368136e-06,3.245988707416801e-05,29671897025.0,6496017670.0
Azerbaijan,AZE,331,81937661.0,Asia,RoAsia,0.0006572231781726465,0.003686113181870643,124672506572.0,22228742569.0
Azerbaijan,AZE,332,11600235.0,Asia,RoAsia,0.00011746697566817554,0.0005049703604379207,98753159635.0,22972110660.0
Azerbaijan,AZE,333,1420680.0,Asia,RoAsia,5.675128703860583e-06,3.0203482326728903e-05,250334410748.0,47036960329.0
Azerbaijan,AZE,334,196450.0,Asia,RoAsia,3.6431958615162854e-07,8.079534614926358e-07,539224371863.0,243145192592.0
Azerbaijan,AZE,335,3048168.0,Asia,RoAsia,1.493177670977354e-05,5.634541714003884e-05,204139672006.0,54097886833.0
Azerbaijan,AZE,3361MV,6701.0,Asia,RoAsia,1.6079317854969156e-08,1.13021773759575e-07,416746534924.0,59289460580.0
Azerbaijan,AZE,3364OT,588056.0,Asia,RoAsia,7.55765123606727e-06,7.214860947421052e-05,77809359235.0,8150621395.0
Azerbaijan,AZE,337,533932.0,Asia,RoAsia,1.1209934063328536e-05,2.6633302963256232e-05,47630253397.0,20047532247.0
Azerbaijan,AZE,339,2279141.0,Asia,RoAsia,1.4918028582516733e-05,5.176464064789721e-05,152777626574.0,44028915713.0
Azerbaijan,AZE,Other,48638635.0,Asia,RoAsia,0.0003315707853358394,0.001918682411373319,146691557734.0,25350018696.0
Bahamas,BHS,111CA,21000.0,North America,RoWorld,3.2774247871508616e-07,9.343314281890763e-07,64074696946.0,22475964488.0
Bahamas,BHS,113FF,102912056.0,North America,RoWorld,0.006448799808600287,0.03582823974053071,15958326984.0,2872372652.0
Bahamas,BHS,212,47304700.0,North America,RoWorld,0.008892818404717302,0.025380432099604406,5319427188.0,1863825636.0
Bahamas,BHS,311FT,164478.0,North America,RoWorld,1.110453281846211e-06,1.0323080181677644e-05,148117892656.0,15933035209.0
Bahamas,BHS,313TT,7130.0,North America,RoWorld,2.1062301369038748e-07,1.5715350211212434e-05,33851951290.0,453696539.0
Bahamas,BHS,315AL,40446.0,North America,RoWorld,3.335560565094791e-07,3.944790775214272e-06,121256979781.0,10253015256.0
Bahamas,BHS,323,49940.0,North America,RoWorld,7.366544399243811e-06,0.0008312950319834687,6779298039.0,60074941.0
Bahamas,BHS,324,598685277.0,North America,RoWorld,0.010008212201509839,0.11611219378099262,59819402801.0,5156093064.0
Bahamas,BHS,325,54456234.0,North America,RoWorld,0.0001393216973194449,0.010338821503996384,390866857408.0,5267160670.0
Bahamas,BHS,326,10085.0,North America,RoWorld,1.315318496752967e-07,5.048672398327739e-06,76673444682.0,1997554843.0
Bahamas,BHS,327,10785.0,North America,RoWorld,3.634752436257486e-07,7.888777416762e-06,29671897025.0,1367131994.0
