Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Barbados,BRB,Other,10879677.0,North America,RoWorld,7.416702888743216e-05,0.0012186233764243,146691557734.0,8927842031.0
Belarus,BLR,11,195987.0,Europe,Europe,2.4488266265112996e-06,3.57984783281845e-05,80033023930.0,5474729909.0
Belarus,BLR,31ND,13075443.0,Europe,Europe,1.5134941665398292e-05,4.163643612971141e-05,863924241604.0,314038477243.0
Belarus,BLR,33DG,6264751.0,Europe,Europe,3.188349446727669e-06,1.6845781507061958e-05,1964888449235.0,371888415944.0
Belarus,BLR,Other,512792.0,Europe,Europe,3.4957158266044214e-06,8.940267551340045e-06,146691557734.0,57357567551.0
Belgium,BEL,11,107838125.0,Europe,Europe,0.0013474203485591076,0.019697432894858084,80033023930.0,5474729909.0
Belgium,BEL,21,5855761.0,Europe,Europe,3.397655938519542e-05,0.00240746812555191,172347085931.0,2432331684.0
Belgium,BEL,31ND,17522971368.0,Europe,Europe,0.020282995341658748,0.05579880377028096,863924241604.0,314038477243.0
Belgium,BEL,33DG,7247288812.0,Europe,Europe,0.003688397076598228,0.01948780467819497,1964888449235.0,371888415944.0
Belgium,BEL,Other,2965896409.0,Europe,Europe,0.020218589636754318,0.05170889449527033,146691557734.0,57357567551.0
Belize,BLZ,11,17855624.0,North America,RoWorld,0.00022310320319293727,0.0007044100723997235,80033023930.0,25348337140.0
Belize,BLZ,31ND,51238433.0,North America,RoWorld,5.9308942303631224e-05,0.0012278058570224769,863924241604.0,41731705959.0
Belize,BLZ,33DG,4312931.0,North America,RoWorld,2.195000434594226e-06,8.453044619715937e-05,1964888449235.0,51022219733.0
Belize,BLZ,Other,7721510.0,North America,RoWorld,5.263772584651146e-05,0.0008648797742151717,146691557734.0,8927842031.0
Bermuda,BMU,11,18000.0,North America,RoWorld,2.2490715852175597e-07,7.101057517337408e-07,80033023930.0,25348337140.0
Bermuda,BMU,31ND,1223567.0,North America,RoWorld,1.4162896942540601e-06,2.9319841398339035e-05,863924241604.0,41731705959.0
Bermuda,BMU,33DG,1739254.0,North America,RoWorld,8.851667893295178e-07,3.408816803936679e-05,1964888449235.0,51022219733.0
Bermuda,BMU,Other,20347447.0,North America,RoWorld,0.00013870905261567,0.0022791002494609437,146691557734.0,8927842031.0
Bhutan,BTN,31ND,63074.0,Asia,RoAsia,7.300871646209859e-08,2.7880812121977255e-07,863924241604.0,226227269579.0
Bhutan,BTN,33DG,3049510.0,Asia,RoAsia,1.552001591330684e-06,5.74283755859667e-06,1964888449235.0,531011014831.0
Bhutan,BTN,Other,168464.0,Asia,RoAsia,1.1484232808099332e-06,6.6455177812780896e-06,146691557734.0,25350018696.0
Bolivia,BOL,11,84331470.0,South America,RoWorld,0.0010537084050923728,0.0033269034388423,80033023930.0,25348337140.0
Bolivia,BOL,21,39436620.0,South America,RoWorld,0.00022882092718288632,0.001239404794310558,172347085931.0,31818999072.0
Bolivia,BOL,31ND,42621268.0,South America,RoWorld,4.9334497109222756e-05,0.0010213162155861533,863924241604.0,41731705959.0
Bolivia,BOL,33DG,304871512.0,South America,RoWorld,0.0001551597049281333,0.005975269472700265,1964888449235.0,51022219733.0
Bolivia,BOL,Other,32885825.0,South America,RoWorld,0.00022418348750261966,0.003683513315514666,146691557734.0,8927842031.0
Bosnia and Herzegovina,BIH,11,9468.0,Europe,Europe,1.1830116538244365e-07,1.729400382735849e-06,80033023930.0,5474729909.0
Bosnia and Herzegovina,BIH,21,635645.0,Europe,Europe,3.6881679580847894e-06,0.0002613315462612705,172347085931.0,2432331684.0
Bosnia and Herzegovina,BIH,31ND,42756378.0,Europe,Europe,4.9490888136923457e-05,0.00013615012521830413,863924241604.0,314038477243.0
Bosnia and Herzegovina,BIH,33DG,131390061.0,Europe,Europe,6.686896706586818e-05,0.0003533050650864723,1964888449235.0,371888415944.0
Bosnia and Herzegovina,BIH,Other,4298032.0,Europe,Europe,2.9299791115407913e-05,7.493400057766338e-05,146691557734.0,57357567551.0
Brazil,BRA,11,2718486432.0,South America,RoWorld,0.03396705882783704,0.10724515840962971,80033023930.0,25348337140.0
Brazil,BRA,21,6954090457.0,South America,RoWorld,0.04034933587321635,0.21855151512667922,172347085931.0,31818999072.0
Brazil,BRA,31ND,11750598136.0,South America,RoWorld,0.013601421942025054,0.28157483299495517,863924241604.0,41731705959.0
Brazil,BRA,33DG,17860948169.0,South America,RoWorld,0.009090057084896547,0.35006215453711337,1964888449235.0,51022219733.0
Brazil,BRA,Other,3032200427.0,South America,RoWorld,0.02067058577766538,0.33963419339985407,146691557734.0,8927842031.0
British Virgin Islands,VGB,31ND,133094.0,North America,RoWorld,1.5405748975499494e-07,3.189277719218102e-06,863924241604.0,41731705959.0
British Virgin Islands,VGB,33DG,2200849.0,North America,RoWorld,1.1200885225096965e-06,4.313510881175053e-05,1964888449235.0,51022219733.0
British Virgin Islands,VGB,Other,57912864.0,North America,RoWorld,0.0003947934352501393,0.006486770688696116,146691557734.0,8927842031.0
Brunei,BRN,31ND,221170397.0,Asia,RoAsia,0.00025600670330695345,0.0009776469362495041,863924241604.0,226227269579.0
Brunei,BRN,33DG,7621290.0,Asia,RoAsia,3.878739275487744e-06,1.4352414144225535e-05,1964888449235.0,531011014831.0
Brunei,BRN,Other,10057619.0,Asia,RoAsia,6.856303904167251e-05,0.000396749963801289,146691557734.0,25350018696.0
Bulgaria,BGR,11,76054731.0,Europe,Europe,0.0009502918578525838,0.013891960382369247,80033023930.0,5474729909.0
