Country,sector_code,iso3,impVal
Guyana,31ND,GUY,27133875.0
Guyana,33DG,GUY,26240147.0
Guyana,Other,GUY,75951535.0
Haiti,11,HTI,2133636.0
Haiti,21,HTI,38456.0
Haiti,31ND,HTI,601283102.0
Haiti,33DG,HTI,7430639.0
Haiti,Other,HTI,5884952.0
Heard and McDonald Islands,33DG,HMD,11149.0
Heard and McDonald Islands,Other,HMD,2440.0
Honduras,11,HND,959006157.0
Honduras,21,HND,25736155.0
Honduras,31ND,HND,2937900025.0
Honduras,33DG,HND,1462026502.0
Honduras,Other,HND,147892882.0
Hong Kong,11,HKG,22780777.0
Hong Kong,21,HKG,209567.0
Hong Kong,31ND,HKG,308490876.0
Hong Kong,33DG,HKG,2914400878.0
Hong Kong,Other,HKG,2727018356.0
Hungary,11,HUN,12277633.0
Hungary,21,HUN,396562.0
Hungary,31ND,HUN,4970765163.0
Hungary,33DG,HUN,7308660200.0
Hungary,Other,HUN,411831897.0
Iceland,11,ISL,350260021.0
Iceland,21,ISL,2872967.0
Iceland,31ND,ISL,363030727.0
Iceland,33DG,ISL,336862054.0
Iceland,Other,ISL,19601068.0
India,11,IND,3306016827.0
India,21,IND,80572219.0
India,31ND,IND,37756860340.0
India,33DG,IND,44793911094.0
India,Other,IND,1479088098.0
Indonesia,11,IDN,2393544197.0
Indonesia,21,IDN,1253722.0
Indonesia,31ND,IDN,14752234129.0
Indonesia,33DG,IDN,10678050879.0
Indonesia,Other,IDN,259654957.0
Iran,11,IRN,26356.0
Iran,31ND,IRN,1498615.0
Iran,Other,IRN,4693520.0
Iraq,11,IRQ,10925.0
Iraq,21,IRQ,5650768158.0
Iraq,31ND,IRQ,1740989904.0
Iraq,33DG,IRQ,858131.0
Iraq,Other,IRQ,29648263.0
Ireland,11,IRL,133172295.0
Ireland,21,IRL,55453990.0
Ireland,31ND,IRL,82475638674.0
Ireland,33DG,IRL,13161462421.0
Ireland,Other,IRL,7460526044.0
Israel,11,ISR,108016890.0
Israel,21,ISR,13616591.0
Israel,31ND,ISR,4759197005.0
Israel,33DG,ISR,16297431984.0
Israel,Other,ISR,1039222379.0
Italy,11,ITA,199680209.0
Italy,21,ITA,24884567.0
Italy,31ND,ITA,33256028507.0
Italy,33DG,ITA,37459210589.0
Italy,Other,ITA,5426684319.0
Jamaica,11,JAM,58535083.0
Jamaica,21,JAM,58684619.0
Jamaica,31ND,JAM,181429820.0
Jamaica,33DG,JAM,34833203.0
Jamaica,Other,JAM,27889854.0
Japan,11,JPN,307547395.0
Japan,21,JPN,11626063.0
Japan,31ND,JPN,23512782915.0
Japan,33DG,JPN,119532106114.0
Japan,Other,JPN,4844504136.0
Jordan,11,JOR,1853684.0
Jordan,21,JOR,66212.0
Jordan,31ND,JOR,2194007061.0
Jordan,33DG,JOR,1088824744.0
Jordan,Other,JOR,80125592.0
Kazakhstan,11,KAZ,13218762.0
Kazakhstan,21,KAZ,1147595532.0
Kazakhstan,31ND,KAZ,522401926.0
Kazakhstan,33DG,KAZ,621077735.0
Kazakhstan,Other,KAZ,26455465.0
Kiribati,11,KIR,624181.0
Kiribati,31ND,KIR,62180.0
Kiribati,33DG,KIR,56071.0
Kiribati,Other,KIR,65730.0
"Korea, North",31ND,PRK,57465.0
"Korea, South",11,KOR,264304999.0
"Korea, South",21,KOR,39588606.0
"Korea, South",31ND,KOR,24764516552.0
"Korea, South",33DG,KOR,104215301181.0
"Korea, South",Other,KOR,2265475782.0
Kosovo,11,XKX,150820.0
Kosovo,21,XKX,6052.0
Kosovo,31ND,XKX,5127299.0
Kosovo,33DG,XKX,28496061.0
Kosovo,Other,XKX,235714.0
Kuwait,11,KWT,167432.0
Kuwait,21,KWT,600904935.0
Kuwait,31ND,KWT,982585439.0
Kuwait,33DG,KWT,15793896.0
Kuwait,Other,KWT,44154048.0
Kyrgyzstan,11,KGZ,281042.0
Kyrgyzstan,31ND,KGZ,2736328.0
Kyrgyzstan,33DG,KGZ,13199327.0
Kyrgyzstan,Other,KGZ,451673.0
Laos,11,LAO,1014712.0
Laos,21,LAO,21267285.0
Laos,31ND,LAO,75392934.0
Laos,33DG,LAO,700781782.0
Laos,Other,LAO,4863442.0
Latvia,11,LVA,18500443.0
Latvia,21,LVA,16946772.0
Latvia,31ND,LVA,130969757.0
Latvia,33DG,LVA,436772546.0
Latvia,Other,LVA,27535287.0
Lebanon,11,LBN,1330594.0
Lebanon,21,LBN,3000.0
Lebanon,31ND,LBN,145861103.0
Lebanon,33DG,LBN,101990462.0
Lebanon,Other,LBN,8386828.0
Liechtenstein,11,LIE,368202.0
Liechtenstein,31ND,LIE,56061718.0
Liechtenstein,33DG,LIE,180544717.0
Liechtenstein,Other,LIE,6745883.0
Lithuania,11,LTU,12013693.0
Lithuania,21,LTU,2736885.0
Lithuania,31ND,LTU,1263882875.0
Lithuania,33DG,LTU,681978156.0
Lithuania,Other,LTU,50952583.0
Luxembourg,11,LUX,294707.0
Luxembourg,31ND,LUX,135225650.0
Luxembourg,33DG,LUX,407485794.0
Luxembourg,Other,LUX,155619825.0
Macau,11,MAC,276150.0
Macau,31ND,MAC,62614195.0
Macau,33DG,MAC,14812123.0
Macau,Other,MAC,31090193.0
Macedonia,11,MKD,20620821.0
Macedonia,21,MKD,83752.0
Macedonia,31ND,MKD,20363613.0
