ISO,country_name,Direct,Indirect,Total
MWI,Malawi,1.127218213972956e-05,6.829826632428681e-06,1.810200877215824e-05
GRL,Greenland,3.850478936364507e-06,1.111569097555332e-05,1.4966169911917827e-05
PYF,French Polynesia,5.179929190924972e-06,8.28209648783756e-06,1.3462025678762533e-05
FLK,Falkland Islands,3.678221945471394e-06,9.596476311371329e-06,1.3274698256842722e-05
AZE,Azerbaijan,3.6919323990001775e-06,9.581818872712509e-06,1.3273751271712688e-05
MCO,Monaco,9.30849545321833e-06,3.7873152887617864e-06,1.3095810741980116e-05
RWA,Rwanda,7.363135966051044e-06,5.700110022899654e-06,1.3063245988950699e-05
CYP,Cyprus,6.399692203036327e-06,5.835513642024096e-06,1.2235205845060422e-05
MNG,Mongolia,4.980886141233035e-06,6.576499314423125e-06,1.155738545565616e-05
SWZ,Eswatini,7.254408741726422e-06,3.6515156365899335e-06,1.0905924378316355e-05
MHL,Marshall Islands,3.415256608846595e-06,5.888327948516145e-06,9.30358455736274e-06
AFG,Afghanistan,5.729291626938003e-06,3.396041512232049e-06,9.125333139170053e-06
SDN,Sudan,2.4254985294679518e-06,6.215551024298814e-06,8.641049553766766e-06
UZB,Uzbekistan,3.86549451385959e-06,3.339031881446927e-06,7.204526395306518e-06
SLE,Sierra Leone,2.9590816865996896e-06,3.7920289810883026e-06,6.751110667687993e-06
NCL,New Caledonia,2.8322515819082275e-07,6.288164158001685e-06,6.571389316192508e-06
BLR,Belarus,3.989493198509724e-06,2.4094205237598557e-06,6.39891372226958e-06
GRD,Grenada,2.3209739874255664e-06,3.97283210182191e-06,6.293806089247475e-06
SHN,St. Helena,1.6850675802042248e-06,4.212661393939384e-06,5.897728974143608e-06
COG,Congo Republic,3.1370196770987825e-07,5.005010532647036e-06,5.318712500356914e-06
VUT,Vanuatu,2.605134335044552e-06,2.420069422080279e-06,5.02520375712483e-06
SYR,Syria,2.9005633488584173e-06,1.85708614131082e-06,4.757649490169238e-06
CUW,Curacao,8.640822181963711e-07,3.3580058105746314e-06,4.222088028771002e-06
CYM,Cayman Islands,1.0270115005731123e-06,2.821631743915354e-06,3.848643244488467e-06
TKM,Turkmenistan,2.5962895154761386e-06,1.1168745704293791e-06,3.713164085905517e-06
KGZ,Kyrgyz Republic,1.968188172913352e-06,1.6467949999247711e-06,3.614983172838123e-06
MNE,Montenegro,2.60818422548322e-06,9.445402794304824e-07,3.5527245049137027e-06
YEM,Yemen,2.1984278484440297e-06,1.1404900830644364e-06,3.3389179315084657e-06
SMR,San Marino,1.2808895140984468e-06,1.920215613733435e-06,3.2011051278318814e-06
SYC,Seychelles,1.1229880828850747e-06,1.8356024224526495e-06,2.958590505337724e-06
GIN,Guinea,1.2901632626329393e-06,1.311139336458584e-06,2.6013025990915234e-06
WSM,Samoa,1.5329908152207772e-06,8.37518833276418e-07,2.3705096484971955e-06
TCA,Turks and Caicos Islands,7.15007317546451e-07,1.6208526670822411e-06,2.335859984628692e-06
MLI,Mali,7.909983638155058e-07,1.4979597214175688e-06,2.288958085233075e-06
KNA,St. Kitts and Nevis,9.169548693623604e-07,1.1918249979462655e-06,2.108779867308626e-06
TLS,Timor-Leste,1.1329513202055963e-06,8.509168284610728e-07,1.983868148666669e-06
MDV,Maldives,6.176470413699086e-07,1.3106004384773758e-06,1.9282474798472845e-06
BDI,Burundi,1.1654127023547544e-06,5.854549747997069e-07,1.7508676771544613e-06
BFA,Burkina Faso,1.0603651243529122e-06,6.636332932118927e-07,1.723998417564805e-06
CPV,Cabo Verde,1.028290983116087e-06,5.517729791368261e-07,1.5800639622529133e-06
VCT,St. Vincent and the Grenadines,4.252020353017942e-07,9.716940449223864e-07,1.3968960802241807e-06
LCA,St. Lucia,6.387124169963895e-07,6.743250589131625e-07,1.3130374759095519e-06
GUF,French Guiana,3.039492115649021e-07,7.48183365659518e-07,1.05213257722442e-06
NER,Niger,4.705198476912883e-07,5.390695658050899e-07,1.0095894134963783e-06
COM,Comoros,5.74285582854672e-07,4.2813089172840727e-07,1.0024164745830792e-06
NIU,Niue,5.712071553622683e-07,4.220176429986484e-07,9.932247983609168e-07
BMU,Bermuda,6.643338207523866e-07,2.7285562151019433e-07,9.371894422625808e-07
ATG,Antigua and Barbuda,2.2308024275909072e-07,6.060001539046441e-07,8.290803966637349e-07
TON,Tonga,2.901576914152621e-07,4.397745418400495e-07,7.299322332553116e-07
SOM,Somalia,2.538467193407925e-07,4.726661926781e-07,7.265129120188925e-07
MSR,Montserrat,2.9977072136472763e-07,4.170805004995467e-07,7.168512218642744e-07
MTQ,Martinique,5.759892923133532e-07,1.056353413768637e-07,6.816246336902168e-07
IRN,Iran,5.783975352052264e-07,9.284720207609266e-08,6.712447372813191e-07
BTN,Bhutan,5.292684155669782e-08,6.132009036403957e-07,6.661277451970935e-07
MRT,Mauritania,2.958661936937903e-07,3.297086828440754e-07,6.255748765378657e-07
GMB,Gambia,1.7955069737895638e-07,4.238434154259041e-07,6.033941128048605e-07
NRU,Nauru,4.3090535062849e-07,1.4982153288238154e-07,5.807268835108715e-07
DJI,Djibouti,3.233498899424754e-07,2.2867772795721083e-07,5.520276178996863e-07
