Country,usummary_code,iso3,impVal
Australia,33311,AUS,21998332.0
Australia,33312,AUS,53025609.0
Australia,33313,AUS,16947388.0
Australia,3332OM,AUS,473865355.0
Australia,3341,AUS,15839235.0
Australia,3342,AUS,112425451.0
Australia,3344,AUS,35312987.0
Australia,3345,AUS,499546821.0
Australia,334X,AUS,67288035.0
Australia,335,AUS,202699067.0
Australia,336111,AUS,598318.0
Australia,336112,AUS,163500.0
Australia,33612,AUS,2419752.0
Australia,3362BP,AUS,130158834.0
Australia,3364,AUS,381354829.0
Australia,3365AO,AUS,129219955.0
Australia,337,AUS,26567522.0
Australia,3391,AUS,537878415.0
Australia,3399,AUS,924304340.0
Australia,S003,AUS,1264208829.0
Austria,111,AUT,2376177.0
Austria,112,AUT,920874.0
Austria,113FF,AUT,1356112.0
Austria,212,AUT,1658467.0
Austria,311,AUT,189220847.0
Austria,3121,AUT,196286163.0
Austria,313TT,AUT,45468799.0
Austria,315AL,AUT,28571683.0
Austria,321,AUT,172465724.0
Austria,322,AUT,113631141.0
Austria,323,AUT,9560622.0
Austria,324,AUT,3711234.0
Austria,3251,AUT,178000343.0
Austria,3252,AUT,203910203.0
Austria,3254,AUT,3560721799.0
Austria,325X,AUT,42810157.0
Austria,326,AUT,237882950.0
Austria,327,AUT,219748420.0
Austria,3311IS,AUT,590904029.0
Austria,3313NF,AUT,344124001.0
Austria,332,AUT,975311583.0
Austria,33311,AUT,108139924.0
Austria,33312,AUT,772383154.0
Austria,33313,AUT,100947864.0
Austria,3332OM,AUT,3014116404.0
Austria,3341,AUT,58920039.0
Austria,3342,AUT,60398017.0
Austria,3344,AUT,436355986.0
Austria,3345,AUT,381923980.0
Austria,334X,AUT,59451897.0
Austria,335,AUT,769772222.0
Austria,336111,AUT,1789519395.0
Austria,336112,AUT,15500.0
Austria,33612,AUT,4627160.0
Austria,3362BP,AUT,1083712526.0
Austria,3364,AUT,290592454.0
Austria,3365AO,AUT,380616852.0
Austria,337,AUT,50193951.0
Austria,3391,AUT,331263964.0
Austria,3399,AUT,275502391.0
Austria,S003,AUT,484917821.0
Azerbaijan,111,AZE,98105.0
Azerbaijan,112,AZE,3000.0
Azerbaijan,212,AZE,5015.0
Azerbaijan,311,AZE,3460684.0
Azerbaijan,3121,AZE,118269.0
Azerbaijan,313TT,AZE,63046.0
Azerbaijan,315AL,AZE,28915.0
Azerbaijan,321,AZE,926509.0
Azerbaijan,323,AZE,471530.0
Azerbaijan,325X,AZE,2030893.0
Azerbaijan,326,AZE,109987.0
Azerbaijan,327,AZE,210860.0
Azerbaijan,3311IS,AZE,4161884.0
Azerbaijan,3313NF,AZE,77775777.0
Azerbaijan,332,AZE,11600235.0
Azerbaijan,33311,AZE,956149.0
Azerbaijan,33312,AZE,3210.0
Azerbaijan,3332OM,AZE,461321.0
Azerbaijan,3342,AZE,152724.0
Azerbaijan,3345,AZE,10050.0
Azerbaijan,334X,AZE,33676.0
Azerbaijan,335,AZE,3048168.0
Azerbaijan,3362BP,AZE,6701.0
Azerbaijan,3364,AZE,580586.0
Azerbaijan,3365AO,AZE,7470.0
Azerbaijan,337,AZE,533932.0
Azerbaijan,3399,AZE,2279141.0
Azerbaijan,S003,AZE,48638635.0
Bahamas,112,BHS,21000.0
Bahamas,113FF,BHS,102912056.0
Bahamas,212,BHS,47304700.0
Bahamas,311,BHS,68907.0
Bahamas,3121,BHS,89127.0
Bahamas,3122,BHS,6444.0
Bahamas,313TT,BHS,7130.0
Bahamas,315AL,BHS,40446.0
Bahamas,323,BHS,49940.0
Bahamas,324,BHS,598685277.0
Bahamas,3251,BHS,16758.0
Bahamas,3252,BHS,54414064.0
Bahamas,3254,BHS,7000.0
Bahamas,325X,BHS,18412.0
Bahamas,326,BHS,10085.0
Bahamas,327,BHS,10785.0
Bahamas,3313NF,BHS,4000.0
Bahamas,332,BHS,251279.0
Bahamas,3332OM,BHS,1235278.0
Bahamas,3341,BHS,42000.0
Bahamas,3342,BHS,40520.0
Bahamas,3345,BHS,488153.0
Bahamas,334X,BHS,44817.0
Bahamas,335,BHS,287066.0
Bahamas,3362BP,BHS,391355.0
Bahamas,3364,BHS,4000.0
Bahamas,3365AO,BHS,480455.0
Bahamas,337,BHS,35620.0
Bahamas,3391,BHS,3172.0
Bahamas,3399,BHS,235684.0
Bahamas,S003,BHS,985167489.0
Bahrain,112,BHR,68890.0
Bahrain,113FF,BHR,3044737.0
Bahrain,311,BHR,5812928.0
Bahrain,3121,BHR,21809.0
Bahrain,313TT,BHR,53753995.0
Bahrain,315AL,BHR,1151627.0
Bahrain,321,BHR,5861.0
Bahrain,322,BHR,747415.0
Bahrain,323,BHR,15604.0
Bahrain,324,BHR,196398733.0
Bahrain,325X,BHR,324020.0
Bahrain,326,BHR,36817647.0
Bahrain,327,BHR,25828468.0
Bahrain,3311IS,BHR,58099.0
Bahrain,3313NF,BHR,772432181.0
Bahrain,332,BHR,1861433.0
Bahrain,33312,BHR,25000.0
Bahrain,3332OM,BHR,2090480.0
Bahrain,3342,BHR,3375.0
Bahrain,3345,BHR,1514570.0
Bahrain,334X,BHR,2778.0
Bahrain,335,BHR,111802.0
Bahrain,3362BP,BHR,120229.0
Bahrain,3364,BHR,116500.0
Bahrain,337,BHR,640819.0
Bahrain,3391,BHR,426495.0
Bahrain,3399,BHR,53367902.0
Bahrain,S003,BHR,47577525.0
Bangladesh,111,BGD,13543899.0
Bangladesh,112,BGD,10097932.0
Bangladesh,113FF,BGD,8834832.0
Bangladesh,311,BGD,20011572.0
Bangladesh,3121,BGD,635323.0
Bangladesh,3122,BGD,151203.0
Bangladesh,313TT,BGD,199349563.0
Bangladesh,315AL,BGD,7722658651.0
Bangladesh,321,BGD,3280258.0
Bangladesh,322,BGD,3897388.0
Bangladesh,323,BGD,1239898.0
Bangladesh,3251,BGD,413566.0
Bangladesh,3252,BGD,134805.0
Bangladesh,3254,BGD,20566704.0
Bangladesh,325X,BGD,955413.0
Bangladesh,326,BGD,23251932.0
Bangladesh,327,BGD,6757747.0
Bangladesh,332,BGD,4588291.0
Bangladesh,33312,BGD,5242.0
Bangladesh,3332OM,BGD,4362284.0
Bangladesh,3341,BGD,23427.0
Bangladesh,3342,BGD,17203.0
Bangladesh,3344,BGD,2506059.0
Bangladesh,3345,BGD,182338.0
Bangladesh,334X,BGD,62122.0
Bangladesh,335,BGD,3561468.0
Bangladesh,3362BP,BGD,2934660.0
Bangladesh,3365AO,BGD,4106667.0
Bangladesh,337,BGD,18311654.0
Bangladesh,3391,BGD,29196682.0
Bangladesh,3399,BGD,156340817.0
Bangladesh,S003,BGD,103786727.0
Barbados,112,BRB,296288.0
Barbados,113FF,BRB,648601.0
Barbados,311,BRB,3468519.0
Barbados,3121,BRB,21776800.0
Barbados,3122,BRB,5070.0
Barbados,313TT,BRB,574008.0
Barbados,315AL,BRB,1087857.0
Barbados,321,BRB,9295.0
Barbados,322,BRB,63588.0
Barbados,323,BRB,901045.0
Barbados,324,BRB,36410.0
Barbados,3252,BRB,35581.0
Barbados,325X,BRB,6100.0
Barbados,326,BRB,5905.0
Barbados,327,BRB,39126.0
Barbados,33311,BRB,14888.0
Barbados,3332OM,BRB,303401.0
Barbados,3341,BRB,35373.0
Barbados,3342,BRB,18927.0
Barbados,3345,BRB,3215132.0
Barbados,335,BRB,15882.0
Barbados,3362BP,BRB,42462.0
Barbados,3365AO,BRB,2936.0
Barbados,337,BRB,1500.0
Barbados,3391,BRB,5074250.0
Barbados,3399,BRB,6018.0
Barbados,S003,BRB,10879677.0
Belarus,112,BLR,149479.0
Belarus,113FF,BLR,46508.0
Belarus,311,BLR,8357925.0
Belarus,3121,BLR,67758.0
Belarus,313TT,BLR,2129723.0
Belarus,315AL,BLR,277687.0
Belarus,321,BLR,283120.0
Belarus,323,BLR,1529428.0
Belarus,324,BLR,2665.0
Belarus,3251,BLR,100516.0
Belarus,325X,BLR,159921.0
Belarus,326,BLR,449820.0
Belarus,327,BLR,15711.0
Belarus,3313NF,BLR,568154.0
Belarus,332,BLR,3588376.0
Belarus,33311,BLR,8750.0
Belarus,3332OM,BLR,451445.0
Belarus,3341,BLR,460802.0
Belarus,3342,BLR,12510.0
Belarus,3344,BLR,25879.0
Belarus,3345,BLR,340289.0
Belarus,335,BLR,174747.0
Belarus,3362BP,BLR,25790.0
Belarus,3365AO,BLR,3678.0
Belarus,337,BLR,73408.0
Belarus,3399,BLR,232092.0
Belarus,S003,BLR,512792.0
Belgium,111,BEL,11379003.0
Belgium,112,BEL,95849656.0
Belgium,113FF,BEL,609466.0
Belgium,211,BEL,10368.0
Belgium,212,BEL,5845393.0
Belgium,311,BEL,1121860469.0
Belgium,3121,BEL,50400751.0
Belgium,3122,BEL,3373423.0
Belgium,313TT,BEL,156190971.0
Belgium,315AL,BEL,10688748.0
Belgium,321,BEL,67891533.0
Belgium,322,BEL,84949064.0
Belgium,323,BEL,38170885.0
Belgium,324,BEL,882085524.0
Belgium,3251,BEL,1210928718.0
Belgium,3252,BEL,347146368.0
Belgium,3254,BEL,12843339695.0
Belgium,325X,BEL,573538483.0
Belgium,326,BEL,200298269.0
Belgium,327,BEL,128109081.0
Belgium,3311IS,BEL,378031461.0
Belgium,3313NF,BEL,873312710.0
Belgium,332,BEL,253648753.0
Belgium,33311,BEL,283893580.0
Belgium,33312,BEL,55473849.0
Belgium,33313,BEL,4455703.0
Belgium,3332OM,BEL,946926648.0
Belgium,3341,BEL,159038686.0
Belgium,3342,BEL,73965994.0
Belgium,3344,BEL,68873365.0
Belgium,3345,BEL,161596967.0
Belgium,334X,BEL,45612123.0
Belgium,335,BEL,250358447.0
Belgium,336111,BEL,1331524453.0
Belgium,33612,BEL,89561.0
Belgium,3362BP,BEL,103093566.0
Belgium,3364,BEL,262141223.0
Belgium,3365AO,BEL,3719879.0
Belgium,337,BEL,30870724.0
Belgium,3391,BEL,64745097.0
Belgium,3399,BEL,1699915409.0
Belgium,S003,BEL,2965896409.0
Belize,111,BLZ,2680735.0
Belize,112,BLZ,251837.0
Belize,113FF,BLZ,14923052.0
Belize,311,BLZ,45879128.0
Belize,3121,BLZ,4043916.0
Belize,313TT,BLZ,86357.0
Belize,315AL,BLZ,127643.0
Belize,321,BLZ,1956440.0
Belize,322,BLZ,43306.0
Belize,323,BLZ,3144.0
Belize,324,BLZ,4225.0
Belize,3251,BLZ,127449.0
Belize,3254,BLZ,6333.0
Belize,325X,BLZ,894633.0
Belize,326,BLZ,22299.0
Belize,327,BLZ,213119.0
Belize,332,BLZ,39136.0
Belize,33311,BLZ,2875.0
Belize,33313,BLZ,234024.0
Belize,3332OM,BLZ,46709.0
Belize,3341,BLZ,117151.0
Belize,3342,BLZ,19539.0
Belize,3345,BLZ,16493.0
Belize,334X,BLZ,255098.0
Belize,335,BLZ,134139.0
Belize,3362BP,BLZ,25037.0
Belize,3365AO,BLZ,4500.0
Belize,337,BLZ,423897.0
Belize,3391,BLZ,6000.0
Belize,3399,BLZ,818774.0
Belize,S003,BLZ,7721510.0
Benin,111,BEN,12606597.0
Benin,112,BEN,63248.0
Benin,311,BEN,29617058.0
Benin,313TT,BEN,1374.0
Benin,315AL,BEN,2792487.0
Benin,321,BEN,124919.0
Benin,323,BEN,4466.0
Benin,3251,BEN,8606.0
Benin,332,BEN,3864.0
Benin,3341,BEN,10000.0
Benin,3344,BEN,8230.0
