Country,summary_code,iso3,impVal
Bangladesh,322,BGD,3897388.0
Bangladesh,323,BGD,1239898.0
Bangladesh,325,BGD,22070488.0
Bangladesh,326,BGD,23251932.0
Bangladesh,327,BGD,6757747.0
Bangladesh,332,BGD,4588291.0
Bangladesh,333,BGD,4367526.0
Bangladesh,334,BGD,2791149.0
Bangladesh,335,BGD,3561468.0
Bangladesh,3361MV,BGD,2934660.0
Bangladesh,3364OT,BGD,4106667.0
Bangladesh,337,BGD,18311654.0
Bangladesh,339,BGD,185537499.0
Bangladesh,Other,BGD,103786727.0
Barbados,111CA,BRB,296288.0
Barbados,113FF,BRB,648601.0
Barbados,311FT,BRB,25250389.0
Barbados,313TT,BRB,574008.0
Barbados,315AL,BRB,1087857.0
Barbados,321,BRB,9295.0
Barbados,322,BRB,63588.0
Barbados,323,BRB,901045.0
Barbados,324,BRB,36410.0
Barbados,325,BRB,41681.0
Barbados,326,BRB,5905.0
Barbados,327,BRB,39126.0
Barbados,333,BRB,318289.0
Barbados,334,BRB,3269432.0
Barbados,335,BRB,15882.0
Barbados,3361MV,BRB,42462.0
Barbados,3364OT,BRB,2936.0
Barbados,337,BRB,1500.0
Barbados,339,BRB,5080268.0
Barbados,Other,BRB,10879677.0
Belarus,111CA,BLR,149479.0
Belarus,113FF,BLR,46508.0
Belarus,311FT,BLR,8425683.0
Belarus,313TT,BLR,2129723.0
Belarus,315AL,BLR,277687.0
Belarus,321,BLR,283120.0
Belarus,323,BLR,1529428.0
Belarus,324,BLR,2665.0
Belarus,325,BLR,260437.0
Belarus,326,BLR,449820.0
Belarus,327,BLR,15711.0
Belarus,331,BLR,568154.0
Belarus,332,BLR,3588376.0
Belarus,333,BLR,460195.0
Belarus,334,BLR,839480.0
Belarus,335,BLR,174747.0
Belarus,3361MV,BLR,25790.0
Belarus,3364OT,BLR,3678.0
Belarus,337,BLR,73408.0
Belarus,339,BLR,232092.0
Belarus,Other,BLR,512792.0
Belgium,111CA,BEL,107228659.0
Belgium,113FF,BEL,609466.0
Belgium,211,BEL,10368.0
Belgium,212,BEL,5845393.0
Belgium,311FT,BEL,1175634643.0
Belgium,313TT,BEL,156190971.0
Belgium,315AL,BEL,10688748.0
Belgium,321,BEL,67891533.0
Belgium,322,BEL,84949064.0
Belgium,323,BEL,38170885.0
Belgium,324,BEL,882085524.0
