U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE
332,2,91,5,87,8,2,0,6,152,145,203,226,152,219,83,431,27,12,10,8,139,7,8,2,83,0,4,2,8,0,22,21,86,16,150,17,89,21,6,10,91,10,6,2,-1,52,1,6,6,11,3,64,73,1,0,1,2,2,1,10,2,5,0,0,7,8,2,6,3,10,2,18,25,0,2,15,13,9,0,1,3,4,1,1,0,32,22,22,1,17,4,6,2,0,0,0,2,0,0,49,29,1,39,1,64,1,31,1,4,6,2,49,21,66,1,0,1,0,0,2,23,0,100,0,4,31,44,63,-1,20,0,66,4,3,4,17,23,79
33311,80,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,14,33
33312,0,0,0,14,88,75,0,0,0,16,0,117,5,4,29,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33313,0,0,0,20,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3332OM,0,0,1,118,58,38,52,2,203,39,136,112,164,12,33,36,11,2,6,35,107,33,37,21,595,0,0,1,4,0,35,9,103,84,267,54,38,3,-39,-1,29,61,1,0,0,62,35,1,7,4,0,64,86,0,1,1,3,4,1,5,1,4,1,0,1,3,2,2,0,1,0,1,1,0,1,2,0,1,-1,-9,1,28,0,0,0,5,1,5,0,3,0,0,0,0,-14,0,0,0,0,0,5,0,58,0,19,2,11,1,1,-2,0,49,2,57,9,16,0,0,-1,-3,9,0,2,0,6,1,-2,128,12,8,0,4,2,0,16,17,41,61
3341,0,0,0,0,0,-2,0,0,-6,-1,0,-2,-1,0,-1,-1,-1,-1,0,-1,-2,0,0,0,-3,-35,-8,-6,-105,0,0,-4,-30,-2,0,0,0,0,0,0,-2,0,0,0,0,-1,-1,-2,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-6,-6,-10,-2,-2,-5,-2,-5,-3,0,0,0,-3,0,0,-2,0,-2,-4,0,-1,0,-7,-9,-2,-9,-8,-7,-21,0,0,0,-15,0,0,-18,-1,-14,-19,-7,-15,-21,-6,-9,-15,-39,-11,-26,-18,-6,-4,-3,0,-2,0,-6,-1,-1,-8,-1,-3,-4,-2,0,-1,-6,0,-12,-5,0,-27,-7,-6,-2
3342,0,0,0,0,0,0,0,0,25,0,0,-4,-1,0,0,31,0,0,0,0,0,0,0,0,-1,0,-27,-2,-24,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,0,-2,-4,0,-2,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,-5,0,-1,4,53,-64,6,-31,-7,4,3,0,1,0,-6,0,0,-1,-1,2,-1,1,-1,-1,-1,-1,0,51,-15,-5,-5,-1,0,-4,0,0,0,0,2,0,-1,0,0,0,0,-2,0,-2,0,-70,2,0,2,0,0,0
3344,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-5,-1,0,-3,-13,-5,-3,-1,-21,2,-8,-49,-14,0,-6,-1,-11,-1,-115,-7,-1,-3,0,-3,-8,-12,-2,-1,0,3,-2,-2,-1,-1,0,-6,-4,-3,0,-1,-4,-4,-336,0,0,-4,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,-33,-20,-3,-12,0,-3,-2,0,0,0,0,0,0,0,0,0,-16,-1,-1,0,-33,0,0,0,0,0,-4,0,-2,0,0,0,0,0,-2,0,0,0,0,0,0,-52,0,0,0,-1,-17,0,-1,0,-2,0
3345,0,0,0,0,0,23,0,0,4,1,5,4,0,0,1,0,0,0,0,0,21,0,0,0,10,0,12,7,84,0,-97,1,3,1,0,19,18,0,4,0,0,0,0,0,0,0,2,0,11,0,0,0,11,0,0,0,1,0,0,0,0,0,-4,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,7,1,55,0,1,0,5,0,0,1,7,11,2,0,8,1,1,3,7,0,0,0,0,0,0,-1,3,-1,0,49,-2,0,1,-1,-2,8
334X,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-3,0,-20,-187,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,0,-1,-1,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,3,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-10,0,1,0,0,0
