country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Cambodia,KHM,0.8512096774193548,1.2948481304788715e-09,0.8879927457165251,2.6976022271292617e-11,0.6794354838709677,2.632619825057433e-05
Kiribati,KIR,0.8571428571428572,0.006530017254715292,0.880952380952381,0.0038503204637324014,0.38095238095238104,0.35181255311756476
St. Kitts and Nevis,KNA,0.5844089575912004,0.010865674782946285,0.6236448946732951,0.005681898419577097,0.2044398826909146,0.41579141308263934
South Korea,KOR,0.3771677917959199,0.01506143571755765,0.4793375840913506,0.0015198000724715686,0.11938998954722974,0.4571833118531683
Kuwait,KWT,0.08854700854700855,0.66709078570047,0.5124786324786325,0.007432912255284378,0.05299145299145299,0.7971047301741516
Laos,LAO,0.43054187192118215,0.019729654060345034,0.7231527093596057,9.350594793352638e-06,-0.12906403940886696,0.5046073524589316
Lebanon,LBN,0.6718419229626388,3.4960040406128175e-05,0.7127874722731454,6.823269700154766e-06,0.5186006680251821,0.0027996952661935325
Liberia,LBR,0.3602941176470589,0.1554270402545691,0.46813725490196084,0.0580719248958362,0.10294117647058824,0.6942047830993174
Libya,LBY,0.2797202797202798,0.37856866966230307,0.2937062937062937,0.35414764123292175,0.2797202797202798,0.37856866966230307
St. Lucia,LCA,0.5178571428571428,0.04800407736655833,0.6321428571428571,0.011457541540078888,0.0,1.0
Liechtenstein,LIE,0.6739613707665215,0.0001601664291311658,0.7447829317830283,1.2779908638278636e-05,0.364164819820571,0.06740842014955394
Sri Lanka,LKA,0.6359482605356184,3.069949477305102e-05,0.7667353498208925,4.961451473089856e-08,0.3648883462089613,0.028659944460726866
Lesotho,LSO,0.9285714285714288,0.0025194724037946874,0.9285714285714288,0.0025194724037946874,0.7142857142857144,0.07134356146753759
Lithuania,LTU,0.7174294922062445,4.0076526736458113e-07,0.79231069553374,3.091913417517295e-09,0.544887316146876,0.0004044322971625299
Luxembourg,LUX,0.3146105157448566,0.07455292961076694,0.5044323556768685,0.0027585223419845746,0.10063524467502852,0.577368580639879
Latvia,LVA,0.5458228547762076,0.000325630878116271,0.65653529137935,5.662455919736079e-06,0.16405065394015889,0.31830578300148094
Macau,MAC,0.7921367521367522,1.4218535892024826e-06,0.7928205128205127,1.3719503776751967e-06,0.5261538461538461,0.0057630077574212036
Morocco,MAR,0.45811153381318515,0.005649966021296717,0.5994395797539529,0.00014164340919590234,0.17567946893019395,0.31275092716804753
Monaco,MCO,0.5176923076923077,0.008036274163803127,0.7307692307692306,3.347036201046326e-05,0.17384615384615384,0.4059253647566914
Moldova,MDA,0.8618803418803418,1.544316136980408e-08,0.8837606837606837,2.1925524634232332e-09,0.6923076923076923,8.902307414181178e-05
Madagascar,MDG,0.4765217391304347,0.018565115014353994,0.7086956521739128,0.00010616350972290819,0.19826086956521738,0.35304943524240395
Maldives,MDV,0.3411764705882353,0.1959326248678891,0.5470588235294118,0.028301087242108842,0.06764705882352941,0.8034203137966691
Mexico,MEX,0.5944227143807693,4.1693415649954114e-05,0.6138284143949995,1.972049877092633e-05,0.37010896759641215,0.017226681782530066
Marshall Islands,MHL,0.6596491228070176,0.002120531147203927,0.7719298245614035,0.00010807079839875924,0.34210526315789475,0.1516719606843406
North Macedonia,MKD,0.6191673012983313,0.00012223284770988303,0.6545037626279848,3.596859219785144e-05,0.4224788230901093,0.014314040990147279
Mali,MLI,0.4688311688311688,0.03204495811634262,0.5324675324675324,0.01295751978995037,0.0935064935064935,0.6868397848627377
Malta,MLT,0.4992768970710367,0.004972270775226645,0.6821723355575516,3.2968777312692965e-05,0.2318389156631106,0.2176663772482671
