Country,impVal,hs_code,hs2_code,detail_code
Canada,56817.0,304835015,3,114000
Canada,26086.0,304835020,3,114000
Mexico,28413.0,304835020,3,114000
Canada,1707415.0,304835025,3,114000
Mexico,195971.0,304835025,3,114000
Canada,2360.0,304835090,3,114000
Canada,9915.0,304840000,3,114000
Canada,87835.0,304860000,3,114000
Canada,15205856.0,304870000,3,311700
Mexico,568944.0,304870000,3,311700
Mexico,94030.0,304880000,3,114000
Canada,440619.0,304891025,3,114000
Canada,5731.0,304891030,3,114000
Canada,25788.0,304891090,3,114000
Mexico,787636.0,304891090,3,114000
Canada,7702567.0,304895003,3,114000
Canada,27112380.0,304895006,3,114000
Canada,1595904.0,304895009,3,114000
Canada,21826532.0,304895015,3,114000
Canada,18569.0,304895020,3,114000
Canada,171536.0,304895025,3,114000
Canada,1856124.0,304895030,3,114000
Canada,1780100.0,304895035,3,114000
Canada,123201.0,304895040,3,114000
Canada,3822906.0,304895091,3,114000
Mexico,13728679.0,304895091,3,114000
Canada,301367.0,304951025,3,114000
Canada,24100.0,304959000,3,114000
Mexico,33440.0,304960000,3,114000
Canada,211275.0,304991109,3,114000
Canada,26811.0,304991183,3,114000
Mexico,327675.0,304991190,3,114000
Canada,425825.0,304991194,3,114000
Canada,221347.0,304999190,3,114000
Mexico,19560.0,304999190,3,114000
Canada,41705.0,304999192,3,114000
Mexico,21280.0,304999192,3,114000
Canada,331394.0,305204020,3,311700
Canada,57371.0,305204040,3,311700
Canada,80361.0,305204065,3,311700
Canada,9385677.0,305320010,3,311700
Canada,1547791.0,305320090,3,311700
Canada,36367.0,305396110,3,311700
Canada,77988.0,305396180,3,311700
Canada,2512139.0,305410000,3,311700
Mexico,210863.0,305410000,3,311700
Canada,387856.0,305420020,3,311700
Canada,5676307.0,305420050,3,311700
Canada,3659695.0,305420060,3,311700
Canada,329971.0,305430000,3,311700
Canada,381885.0,305492000,3,311700
Canada,179596.0,305494020,3,311700
Canada,33482.0,305494045,3,311700
Mexico,628504.0,305494045,3,311700
Canada,10452146.0,305510000,3,311700
Canada,3457.0,305520000,3,311700
Canada,1510571.0,305530000,3,311700
Canada,1380889.0,305590001,3,311700
Mexico,13856.0,305590001,3,311700
Canada,145550.0,305612000,3,311700
Canada,549074.0,305620025,3,311700
Canada,86322.0,305691021,3,311700
Canada,3121367.0,305691022,3,311700
Canada,1810764.0,305691029,3,311700
Canada,2712205.0,305691042,3,311700
Canada,1720159.0,305692000,3,311700
Canada,39507.0,305693000,3,311700
Canada,18086.0,305720000,3,311700
Mexico,10414.0,305720000,3,311700
Mexico,3197780.0,306110010,3,114000
Canada,329644.0,306110020,3,114000
Mexico,164067.0,306110020,3,114000
Canada,927033.0,306120010,3,114000
Canada,22894423.0,306120030,3,114000
Canada,40869243.0,306120050,3,114000
Canada,581191909.0,306120070,3,114000
Canada,182461.0,306142000,3,114000
Mexico,56008.0,306142000,3,114000
Canada,803811994.0,306144020,3,114000
Greenland,14780404.0,306144020,3,114000
Canada,444120.0,306144030,3,114000
Canada,80862951.0,306144090,3,114000
Mexico,10022583.0,306144090,3,114000
Canada,8356662.0,306160003,3,114000
Canada,1844707.0,306160006,3,114000
Canada,651009.0,306160009,3,114000
Canada,162730.0,306160012,3,114000
Canada,35344.0,306160018,3,114000
Canada,8193.0,306160021,3,114000
Canada,22360.0,306160024,3,114000
Canada,1129393.0,306160027,3,114000
Canada,3016065.0,306160040,3,114000
Greenland,264098.0,306160040,3,114000
Mexico,90491.0,306160040,3,114000
Mexico,702556.0,306170004,3,112A00
Mexico,5724466.0,306170005,3,112A00
Mexico,16049145.0,306170007,3,112A00
Mexico,18989584.0,306170008,3,112A00
Mexico,15863881.0,306170010,3,112A00
Canada,24325.0,306170011,3,112A00
Mexico,4605501.0,306170011,3,112A00
Mexico,515543.0,306170013,3,112A00
Mexico,65879.0,306170014,3,112A00
Mexico,1122165.0,306170016,3,112A00
Canada,9671.0,306170017,3,114000
Mexico,40107088.0,306170017,3,114000
Mexico,15658488.0,306170019,3,114000
Mexico,7039752.0,306170020,3,114000
Mexico,2178086.0,306170022,3,114000
Mexico,809349.0,306170023,3,114000
Mexico,64902.0,306170025,3,114000
Mexico,40604.0,306170026,3,114000
Mexico,66491.0,306170028,3,114000
Canada,200100.0,306170029,3,114000
Mexico,6083.0,306170029,3,114000
Canada,34651.0,306170041,3,112A00
Mexico,12440108.0,306170041,3,112A00
Mexico,3351783.0,306170042,3,114000
Mexico,11975.0,306190110,3,311700
Canada,105848.0,306190161,3,114000
Mexico,122010.0,306190161,3,114000
Mexico,40333.0,306310000,3,114000
Canada,353620607.0,306320010,3,114000
Canada,47853.0,306320090,3,114000
Mexico,8113.0,306320090,3,114000
Canada,3175.0,306332000,3,114000
Mexico,69277.0,306332000,3,114000
Canada,6823301.0,306334000,3,114000
Canada,598051.0,306350020,3,114000
Mexico,4250.0,306350020,3,114000
Mexico,2068660.0,306360020,3,114000
Canada,45335.0,306390100,3,114000
Mexico,50794.0,306390100,3,114000
Mexico,5500.0,306910000,3,114000
Canada,141931.0,306920000,3,114000
Canada,18475.0,306934000,3,114000
Mexico,1198492.0,306934000,3,114000
Canada,229381.0,306950020,3,114000
Mexico,224715.0,306950020,3,114000
Canada,79569.0,306990100,3,311700
Mexico,214822.0,306990100,3,311700
Canada,985071.0,307110020,3,114000
Canada,51281479.0,307110060,3,112A00
Mexico,11964810.0,307110060,3,112A00
Canada,2048672.0,307110080,3,114000
Mexico,2275.0,307110080,3,114000
Mexico,613339.0,307120060,3,112A00
Mexico,198396.0,307120080,3,114000
Canada,84755873.0,307210000,3,114000
Mexico,117453.0,307210000,3,114000
Canada,34938801.0,307220000,3,311700
Mexico,1403190.0,307220000,3,311700
Canada,12725391.0,307290100,3,114000
Mexico,973097.0,307290100,3,114000
Canada,31521417.0,307310010,3,112A00
Mexico,500155.0,307310010,3,112A00
Canada,13114.0,307310090,3,114000
Mexico,225991.0,307320000,3,114000
Canada,818777.0,307390100,3,114000
Mexico,11088.0,307420040,3,114000
Canada,28680.0,307430010,3,114000
Mexico,1351935.0,307430022,3,114000
Canada,24391.0,307520000,3,114000
Mexico,6844868.0,307520000,3,114000
Mexico,2790075.0,307590100,3,114000
Mexico,141000.0,307600000,3,114000
Canada,20330.0,307710050,3,114000
Mexico,12038.0,307710050,3,114000
Canada,10964142.0,307710070,3,114000
Mexico,1359613.0,307710070,3,114000
Canada,233846.0,307710090,3,114000
Mexico,6050.0,307720030,3,114000
Canada,12044878.0,307720055,3,114000
Mexico,82428.0,307720055,3,114000
Canada,69172.0,307790130,3,114000
Canada,621784.0,307790155,3,114000
Mexico,8351.0,307790155,3,114000
Canada,758664.0,307790160,3,114000
Mexico,583649.0,307810000,3,114000
Mexico,8000.0,307820000,3,114000
Mexico,1036936.0,307830000,3,114000
Mexico,6831.0,307840000,3,114000
Mexico,13300.0,307870000,3,114000
Canada,7873.0,307910330,3,114000
Canada,1164934.0,307910390,3,114000
Mexico,62000.0,307910390,3,114000
Mexico,213990.0,307920130,3,114000
Canada,2445328.0,307920190,3,114000
Mexico,1143531.0,307920190,3,114000
Canada,935267.0,307990300,3,114000
Mexico,121463.0,307990300,3,114000
Canada,829189.0,308110000,3,114000
Canada,1704080.0,308120000,3,114000
Mexico,430270.0,308120000,3,114000
Canada,1770990.0,308190100,3,114000
Mexico,1175625.0,308190100,3,114000
Canada,1752892.0,308210021,3,114000
Mexico,4274116.0,308210021,3,114000
Canada,3005925.0,308210029,3,114000
Mexico,74533.0,308220000,3,114000
Mexico,136959.0,308900100,3,114000
Canada,2374.0,309901061,3,114000
Mexico,16384.0,309903000,3,114000
Mexico,1570349.0,401100000,4,31151A
Canada,9319884.0,401202000,4,31151A
Mexico,2225532.0,401202000,4,31151A
Canada,417882.0,401204000,4,31151A
Mexico,4460677.0,401204000,4,31151A
Canada,407887.0,401400500,4,31151A
Canada,766569.0,401402500,4,31151A
Mexico,76723.0,401402500,4,31151A
Mexico,1396135.0,401500200,4,31151A
Mexico,7056.0,401500500,4,31151A
Mexico,18886289.0,401502500,4,31151A
Canada,165582.0,402101000,4,311514
Mexico,63002.0,402101000,4,311514
Canada,18429.0,402105000,4,311514
Mexico,216690.0,402212500,4,311514
Canada,65382.0,402215000,4,311514
Mexico,54988835.0,402215000,4,311514
Canada,47988.0,402219000,4,311514
Mexico,2824816.0,402219000,4,311514
Canada,47390.0,402911000,4,311514
Mexico,2213386.0,402911000,4,311514
Mexico,793911.0,402917000,4,311514
Canada,1081089.0,402991000,4,311514
Mexico,158512.0,402991000,4,311514
Mexico,27086900.0,402994500,4,311514
Canada,24425.0,403205000,4,311514
Canada,85621919.0,403209000,4,31151A
Mexico,7132980.0,403209000,4,31151A
Mexico,120326.0,403901600,4,31151A
Canada,5508.0,403906500,4,311514
Canada,10819.0,403908500,4,31151A
Canada,22026106.0,404100500,4,311514
Mexico,416324.0,404100500,4,311514
Canada,2728173.0,404102000,4,311513
Canada,71019.0,404105090,4,311514
Canada,223111.0,404109000,4,311514
Canada,7855881.0,404901000,4,311514
Canada,21868300.0,404907000,4,311514
Mexico,925342.0,404907000,4,311514
Canada,2126411.0,405102000,4,31151A
