U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE
332,2,22,1,1,-1,-1,0,4,77,64,89,148,32,31,108,79,46,1,5,0,81,-4,-6,0,27,0,2,0,-2,0,-4,1,-4,-1,-7,0,12,4,-1,0,37,44,43,0,-2,11,0,3,8,2,0,18,10,0,2,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,1,0,-1,2,-6,-1,0,0,0,-1,0,0,0,12,7,-5,0,5,4,0,0,0,0,0,0,0,0,0,1,0,29,0,44,0,13,0,0,0,0,2,11,12,2,0,0,0,0,0,8,0,25,0,5,1,27,27,-1,4,0,52,14,0,1,5,11,21
33311,-6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
33312,0,0,0,-19,-23,-9,0,0,0,2,0,18,1,-1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33313,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3332OM,0,0,0,165,4,45,-11,0,16,2,4,5,86,0,2,1,0,1,1,1,64,9,22,29,208,0,1,1,1,0,34,4,50,-4,233,1,0,0,-37,3,-1,-2,0,0,0,8,35,0,-1,0,0,9,4,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,4,1,10,0,-3,0,0,0,-1,0,1,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,46,-5,14,0,5,0,16,-10,0,6,-3,-3,-1,1,0,0,1,-2,0,0,0,0,0,0,2,36,9,1,0,8,0,2,12,3,21,23
3341,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-3,-34,-3,-3,-37,0,0,-2,-20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-4,-1,-1,-3,-1,-4,-1,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,-2,-4,-1,-4,-3,-2,-9,0,0,0,-2,0,0,-6,-1,-6,-11,-4,-8,-11,-3,-4,-6,-29,-5,-12,-8,-2,-2,-1,0,-1,0,-2,0,0,-3,0,-1,-1,-1,0,0,-2,0,-3,-2,0,-14,-3,-3,-1
3342,0,0,0,0,0,-1,0,0,-19,-5,-1,-12,-5,0,-1,1,0,0,0,0,0,0,0,0,-6,0,-124,-9,-71,0,0,0,0,0,-3,-299,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-16,-24,0,-25,-27,0,-22,-15,0,0,-1,-4,-7,-1,0,-1,0,-3,-1,0,0,0,-6,0,0,0,0,-4,-35,0,-4,-1,-1,-133,-11,-233,-58,1,1,0,0,0,-14,0,0,-2,-3,-9,-11,-5,-5,-10,-6,-5,-3,-12,-121,-36,-18,-9,-1,-37,0,-2,0,-1,1,0,-6,0,-1,0,0,-23,0,-10,0,-146,4,0,3,0,0,0
3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,7,3,2,5,23,1,1,2,26,2,32,102,29,1,18,1,19,1,50,6,2,4,4,5,-2,12,-1,2,0,-1,3,2,3,2,0,9,7,5,0,3,2,9,202,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,37,24,4,15,0,8,6,0,0,0,0,0,0,0,0,0,18,0,1,0,-2,0,1,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,-1,-7,0,1,0,0,0
3345,0,0,0,0,0,-7,1,0,6,3,3,12,1,0,2,0,1,0,0,0,-6,0,0,0,8,0,7,5,23,0,-19,0,0,0,0,-17,-14,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,5,0,1,0,0,0,1,15,0,184,17,0,27,-13,7,2,0,0,0,0,0,0,1,0,0,-24,112,0,0,1,0,39
334X,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,0,-6,-82,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,0,-1,-1,-4,0,-2,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,0,0,3,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-11,0,1,0,0,0
