U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE
332,1,122,12,122,8,0,0,10,182,164,243,280,210,293,120,594,37,14,24,10,141,5,1,1,94,0,5,4,6,0,27,17,107,14,150,17,85,26,6,10,90,14,17,3,-1,67,2,7,6,16,3,71,83,1,-1,1,2,3,2,11,4,8,0,0,7,9,2,10,3,16,2,31,42,0,3,11,11,9,0,1,3,5,1,1,0,24,30,22,1,23,7,8,4,0,0,0,1,0,0,61,58,1,54,1,105,2,50,2,8,9,3,53,28,82,3,1,1,0,0,2,26,0,100,0,9,37,61,81,1,17,0,69,9,4,7,38,29,107
33311,89,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,44,0,22,52
33312,0,0,0,44,69,23,0,0,0,21,0,179,7,4,55,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33313,0,0,0,41,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3332OM,1,0,1,296,68,17,31,1,201,32,149,137,212,13,40,33,9,2,12,27,125,32,37,20,636,0,0,2,4,0,75,11,153,94,270,49,17,4,-63,2,29,87,1,1,0,59,37,0,13,6,0,71,87,0,1,1,2,7,1,7,1,7,1,0,2,3,2,5,0,2,0,1,2,0,1,1,1,1,-1,-9,1,32,0,0,0,1,1,4,0,4,0,0,0,0,-13,0,0,0,0,0,7,0,61,-1,23,3,10,1,0,-5,0,75,2,27,13,21,0,-1,-1,-9,7,0,2,0,7,1,-4,168,19,8,0,2,11,0,24,26,57,51
3341,0,0,0,0,0,0,0,0,-4,-1,0,-2,0,0,-2,-1,-1,-1,0,-1,-1,0,0,0,-5,-52,-5,-6,-64,0,0,-2,-27,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-9,-3,-2,-6,-2,-8,-3,0,0,0,-3,0,0,-1,0,-2,-3,0,-1,0,-4,-8,-1,-9,-7,-4,-17,0,0,0,-4,0,0,-11,-1,-12,-20,-7,-15,-21,-5,-8,-12,-44,-10,-23,-15,-5,-4,-2,0,-2,0,-5,-1,-1,-6,0,-3,-2,-3,0,-1,-4,0,-6,-3,0,-27,-5,-5,-2
3342,0,0,0,0,0,0,0,0,34,0,0,-5,-1,0,-1,44,0,0,0,0,0,0,0,0,-3,0,-55,-4,-33,0,0,0,0,0,-1,-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,0,-6,-6,0,-5,-3,0,0,1,-1,-2,0,0,0,0,-3,0,0,2,0,-1,0,0,0,0,-1,-8,0,-1,4,38,-115,3,-56,-13,4,3,0,1,0,-3,0,0,-1,-1,2,-3,1,-1,-3,-2,-1,0,46,-28,-9,-6,-2,0,-8,0,0,0,0,2,0,-1,0,0,0,0,-3,0,-2,0,-117,6,0,4,0,0,0
3344,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,-2,-13,-5,-4,-9,-42,-8,-6,-4,-46,-2,-22,-128,-25,-1,-26,-2,-36,-2,-189,-13,-4,-8,-3,-9,-8,-24,-4,-4,0,0,-6,-5,-3,-3,0,-16,-16,-9,0,-5,-9,-17,-680,0,0,-12,-1,0,-3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,-64,-46,-7,-21,0,-3,-2,0,0,0,0,0,0,0,0,0,-47,-1,-4,0,-49,0,-1,0,0,0,-5,0,-2,0,0,0,0,0,-2,-1,0,0,0,0,0,-108,0,0,0,-1,-33,0,-1,0,-3,0
3345,0,0,0,0,0,9,0,0,2,0,4,0,0,0,0,0,0,0,0,0,24,0,0,0,13,0,15,11,64,0,-8,1,4,1,0,30,29,0,4,0,0,0,0,0,0,0,2,0,9,1,0,0,9,0,0,0,0,0,0,0,0,0,-1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,7,1,79,0,2,0,4,0,0,1,6,11,2,-12,9,1,-6,1,6,0,0,0,0,0,0,0,3,0,0,54,-16,0,0,0,-1,13
334X,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-24,0,-22,-319,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,-1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-14,0,1,0,0,0
