U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S
332,103,584,33,3619,148,78,1,402,3130,1874,2084,3515,4077,2213,2062,2515,526,158,234,156,4062,247,944,138,2531,18,214,92,271,7,900,205,1426,246,2920,820,947,609,222,198,1568,225,213,50,1,700,42,55,198,123,12,1137,929,16,88,19,20,49,34,79,30,66,9,0,94,71,27,42,28,70,18,154,656,1,87,27,377,223,11,13,83,162,23,13,4,2134,715,647,24,124,287,79,31,0,0,0,29,4,0,851,491,12,389,12,708,38,439,24,117,127,12,593,305,704,108,15,13,2,9,21,268,6,1079,6,265,631,1117,828,69,244,0,2557,343,58,249,301,611,1172,12892,5407,0,0,0,-167,0,0,0,168,0,0,0,16,0,0,0,60,0,0
33311,1430,545,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,0,0,1,252,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,497,0,271,842,56,12946,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33312,0,0,0,953,1321,501,0,0,0,234,11,2097,110,77,526,19,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,45,0,0,1,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19809,0,0,0,6,0,0,0,162,0,0,0,0,0,0,0,4209,0,0
33313,0,0,0,765,214,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,4,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1868,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3332OM,37,1,12,3749,500,631,562,23,3049,623,1604,1401,3556,108,433,377,160,43,86,296,2018,527,1544,754,12250,0,7,25,155,2,1263,729,6030,2585,8063,663,727,50,-8,371,1655,1870,38,14,-4,832,738,21,1057,125,0,1605,1109,13,59,33,282,125,16,163,20,136,22,0,91,51,29,53,11,26,173,56,27,1,9,10,184,52,14,3000,12,507,16,3,1,78,20,169,6,49,20,1,6,0,547,0,0,1,0,3,303,2,1494,99,678,132,293,37,112,269,0,3294,395,1684,537,431,2,33,20,386,233,26,55,2,134,37,245,3202,106,241,0,431,337,-44,987,701,742,1506,8690,80698,0,0,0,211,0,0,0,485,0,0,0,45,0,0,0,745,0,0
3341,2,0,0,0,8,15,6,0,205,39,4,68,32,8,56,27,35,31,2,21,41,0,1,1,64,1333,98,198,657,0,0,26,422,31,4,1,4,10,5,5,54,1,0,2,0,23,17,27,0,0,0,0,94,0,0,0,0,0,9,0,0,0,0,0,256,169,300,65,72,139,57,237,84,0,0,0,104,0,2,31,0,51,95,0,17,9,127,289,44,250,401,151,777,0,0,3,436,0,0,292,51,401,331,168,394,542,123,272,518,846,217,907,545,146,163,82,0,62,0,226,4,31,294,18,151,118,109,9,19,251,0,193,127,0,787,161,167,70,59235,36768,0,0,0,-307,0,0,0,136,0,0,0,65,0,0,0,1668,0,0
3342,1,0,0,0,0,13,0,0,1054,135,47,352,197,4,30,364,0,0,0,0,0,0,0,0,117,29,2172,205,1593,0,4,0,0,0,53,10377,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,16,3,259,442,0,425,514,0,311,223,0,0,40,67,121,7,10,16,7,69,9,0,14,0,107,1,1,0,0,65,605,0,63,690,6056,4235,1590,3966,1913,592,368,0,19,0,793,0,0,27,86,688,229,293,87,147,112,79,261,7697,1082,772,408,139,37,1205,0,41,0,15,250,0,161,6,38,3,4,376,0,313,0,3411,71,0,42,0,0,5,12147,47335,0,0,0,-1409,0,0,0,2882,0,0,0,863,0,0,0,1409,0,0
3344,0,0,0,0,0,2,0,0,11,13,3,56,6,0,90,80,486,200,156,367,1451,173,224,169,1643,265,527,4351,1480,42,1111,64,1666,63,6187,631,143,310,130,330,305,984,118,131,4,-114,228,115,174,142,2,630,482,415,-24,187,342,500,25419,0,8,383,41,0,124,0,3,7,82,0,1,2,2,2,1,0,6,0,0,1,0,0,4,1053,-1,1,2002,1690,254,1335,8,121,80,0,0,0,0,0,0,0,16,0,2449,20,151,3,1097,0,56,0,0,0,191,3,108,0,0,0,0,1,92,41,0,0,0,0,0,3117,0,0,0,66,1045,0,38,2,69,15,144,0,0,0,0,-144,0,0,0,0,0,0,0,0,0,0,0,7,0,0
3345,0,0,0,54,6,26,20,1,317,124,175,429,30,0,65,9,2,4,0,0,935,0,1,2,508,11,456,366,2658,0,-165,97,650,104,7,969,539,0,84,1,1,0,0,0,0,3,32,1,308,112,0,3,147,0,0,0,10,13,0,10,2,2,381,0,184,22,6,6,2,26,0,19,0,0,0,0,4,0,0,0,0,0,7,12,5,0,11,27,2,16,122,0,0,0,0,0,0,0,0,0,18,20,206,24,1660,8,98,5,190,3,2,33,142,221,51,1228,204,23,162,585,313,16,73,0,0,1,41,240,76,183,0,740,1109,0,10,6,6,790,8187,30196,0,0,0,53,0,0,0,1724,0,0,0,138,0,0,0,216,0,0
334X,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,3,514,1,310,5654,92,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,2,0,3,2,0,0,0,227,83,2,29,71,102,1,74,0,0,0,0,0,0,0,12,0,1,1,39,217,0,1,0,0,4,0,11,2,0,0,0,0,0,0,1,1,11,3,3,2,51,6,9,30,17,0,43,34,0,11,4,1,0,0,0,0,3,0,0,0,15,17,7,0,6,0,0,627,0,20,0,6,1,25858,1539,0,93,0,-333,0,0,0,0,0,0,0,0,0,0,0,70,0,0
