Country,iso3,HS2,usummary_code,impVal,bea_total,weight
Albania,ALB,34,325X,15215.0,4446363.0,0.003421897852244632
Albania,ALB,39,326,867425.0,992072.0,0.8743569015152126
Albania,ALB,40,326,117944.0,992072.0,0.11888653242909789
Albania,ALB,96,326,6703.0,992072.0,0.006756566055689506
Albania,ALB,38,327,2077.0,109794.0,0.018917245022496674
Albania,ALB,68,327,14225.0,109794.0,0.12956081388782628
Albania,ALB,69,327,20281.0,109794.0,0.18471865493560669
Albania,ALB,70,327,73211.0,109794.0,0.6668032861540704
Albania,ALB,72,3311IS,64719108.0,64719108.0,1.0
Albania,ALB,76,3313NF,106710.0,115360.0,0.9250173370319001
Albania,ALB,81,3313NF,6450.0,115360.0,0.0559119278779473
Albania,ALB,84,3313NF,2200.0,115360.0,0.019070735090152564
Albania,ALB,73,332,766579.0,6367644.0,0.1203865982457562
Albania,ALB,76,332,5482074.0,6367644.0,0.8609265844635787
Albania,ALB,79,332,2089.0,6367644.0,0.00032806482271936056
Albania,ALB,83,332,14517.0,6367644.0,0.0022798070997687683
Albania,ALB,84,332,20924.0,6367644.0,0.003285987721675395
Albania,ALB,94,332,81461.0,6367644.0,0.012792957646501594
Albania,ALB,87,33311,41504.0,41504.0,1.0
Albania,ALB,84,33312,28670.0,50139.0,0.5718103671792417
Albania,ALB,87,33312,21469.0,50139.0,0.4281896328207583
Albania,ALB,84,33313,20410.0,20410.0,1.0
Albania,ALB,84,3332OM,133576.0,136486.0,0.9786791319256187
Albania,ALB,90,3332OM,2910.0,136486.0,0.021320868074381254
Albania,ALB,84,3341,3936.0,3936.0,1.0
Albania,ALB,85,3342,85947.0,85947.0,1.0
Albania,ALB,85,3344,89391.0,89391.0,1.0
Albania,ALB,85,3345,17095.0,30419.0,0.5619842861369538
Albania,ALB,90,3345,13324.0,30419.0,0.4380157138630461
Albania,ALB,85,335,1352420.0,1352420.0,1.0
Albania,ALB,84,3362BP,3219.0,1055527.0,0.0030496614487360344
Albania,ALB,85,3362BP,29906.0,1055527.0,0.028332766475893084
Albania,ALB,87,3362BP,669520.0,1055527.0,0.6342992647274773
Albania,ALB,94,3362BP,352882.0,1055527.0,0.33431830734789353
Albania,ALB,89,3365AO,483718.0,483718.0,1.0
Albania,ALB,94,337,2686013.0,2686013.0,1.0
Albania,ALB,90,3391,28287.0,28287.0,1.0
Albania,ALB,40,3399,20867.0,239310.0,0.08719652333792988
Albania,ALB,66,3399,35794.0,239310.0,0.14957168526179432
Albania,ALB,71,3399,99859.0,239310.0,0.41727884334127285
Albania,ALB,83,3399,2331.0,239310.0,0.009740503948852952
Albania,ALB,96,3399,80459.0,239310.0,0.33621244411015
Albania,ALB,63,S003,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,71,S003,91393.0,1871498.0,0.04883414248906491
Albania,ALB,87,S003,32500.0,1871498.0,0.017365767957005566
Albania,ALB,97,S003,215678.0,1871498.0,0.11524351081326296
Albania,ALB,98,S003,469414.0,1871498.0,0.25082260306984033
Albania,ALB,99,S003,1061030.0,1871498.0,0.5669415623206651
Algeria,DZA,12,111,10830.0,14480827.0,0.0007478854626189513
Algeria,DZA,8,111,14469997.0,14480827.0,0.999252114537381
Algeria,DZA,27,211,334188539.0,334188539.0,1.0
Algeria,DZA,11,311,2923.0,530967.0,0.005505050219693503
Algeria,DZA,12,311,3192.0,530967.0,0.0060116730418274585
Algeria,DZA,15,311,199178.0,530967.0,0.3751231244126283
Algeria,DZA,16,311,41080.0,530967.0,0.07736827335785464
Algeria,DZA,18,311,12984.0,530967.0,0.024453497109989886
Algeria,DZA,19,311,61671.0,530967.0,0.11614846120380362
Algeria,DZA,20,311,165950.0,530967.0,0.31254296406368004
Algeria,DZA,21,311,19036.0,530967.0,0.035851568929895834
Algeria,DZA,9,311,24953.0,530967.0,0.04699538766062674
Algeria,DZA,22,3121,125042.0,125042.0,1.0
Algeria,DZA,63,313TT,418.0,418.0,1.0
Algeria,DZA,42,315AL,10887.0,13743.0,0.7921851124208688
Algeria,DZA,61,315AL,1265.0,13743.0,0.09204686021974824
Algeria,DZA,62,315AL,1591.0,13743.0,0.11576802735938296
Algeria,DZA,48,322,2178.0,10285.0,0.21176470588235294
Algeria,DZA,95,322,8107.0,10285.0,0.788235294117647
Algeria,DZA,49,323,9839.0,9839.0,1.0
Algeria,DZA,27,324,1679957473.0,1679957473.0,1.0
Algeria,DZA,28,3251,21626890.0,21629423.0,0.9998828910045359
Algeria,DZA,38,3251,2533.0,21629423.0,0.00011710899546418784
Algeria,DZA,28,325X,43314917.0,213153171.0,0.20321028674727057
Algeria,DZA,31,325X,169835060.0,213153171.0,0.7967747287231303
Algeria,DZA,33,325X,3194.0,213153171.0,1.4984529599139766e-05
Algeria,DZA,39,326,18326.0,1995239.0,0.009184864570109145
Algeria,DZA,40,326,1976913.0,1995239.0,0.9908151354298909
Algeria,DZA,25,327,84201419.0,85365292.0,0.9863659694387269
Algeria,DZA,69,327,14958.0,85365292.0,0.0001752234385843839
Algeria,DZA,70,327,1148915.0,85365292.0,0.013458807122688692
Algeria,DZA,72,3311IS,76758622.0,76758622.0,1.0
Algeria,DZA,82,332,8189.0,33039.0,0.24785859136172403
Algeria,DZA,83,332,7671.0,33039.0,0.23218015073095433
Algeria,DZA,84,332,17179.0,33039.0,0.5199612579073216
Algeria,DZA,82,3332OM,15129.0,212039.0,0.07135008182457
Algeria,DZA,84,3332OM,196910.0,212039.0,0.92864991817543
Algeria,DZA,85,3344,435178.0,435178.0,1.0
Algeria,DZA,85,3345,2103.0,97592.0,0.021548897450610706
Algeria,DZA,90,3345,95489.0,97592.0,0.9784511025493893
Algeria,DZA,85,334X,11428.0,11428.0,1.0
Algeria,DZA,85,335,75764.0,85196.0,0.8892905770223954
Algeria,DZA,94,335,9432.0,85196.0,0.11070942297760458
Algeria,DZA,84,3362BP,2194.0,2194.0,1.0
Algeria,DZA,84,3364,62900.0,81329.0,0.7734018615745921
Algeria,DZA,88,3364,18429.0,81329.0,0.2265981384254079
Algeria,DZA,40,3399,803.0,803.0,1.0
Algeria,DZA,49,S003,39000.0,32433464.0,0.0012024617536998206
Algeria,DZA,71,S003,6002770.0,32433464.0,0.1850795215706839
Algeria,DZA,97,S003,391593.0,32433464.0,0.012073733474783946
Algeria,DZA,98,S003,25716264.0,32433464.0,0.7928929207191683
Algeria,DZA,99,S003,283837.0,32433464.0,0.008751362481664
Andorra,AND,19,311,2912.0,2912.0,1.0
Andorra,AND,59,313TT,511.0,511.0,1.0
Andorra,AND,49,323,123903.0,123903.0,1.0
Andorra,AND,39,3252,584.0,584.0,1.0
Andorra,AND,39,326,18254.0,19679.0,0.9275877839321104
Andorra,AND,42,326,1425.0,19679.0,0.07241221606788963
Andorra,AND,71,3313NF,11165.0,11165.0,1.0
Andorra,AND,73,332,176469.0,197531.0,0.8933736983055824
Andorra,AND,83,332,3976.0,197531.0,0.020128486161665765
Andorra,AND,84,332,17086.0,197531.0,0.08649781553275182
Andorra,AND,87,33311,3723.0,3723.0,1.0
Andorra,AND,82,3332OM,4500.0,24503.0,0.18365098151246786
Andorra,AND,84,3332OM,12497.0,24503.0,0.5100191813247358
Andorra,AND,90,3332OM,7506.0,24503.0,0.3063298371627964
Andorra,AND,85,3342,16798.0,16798.0,1.0
Andorra,AND,85,3344,1480605.0,1480605.0,1.0
Andorra,AND,85,3345,2500.0,50829.0,0.04918452064766177
Andorra,AND,90,3345,30879.0,50829.0,0.6075075252316591
Andorra,AND,91,3345,17450.0,50829.0,0.34330795412067916
Andorra,AND,85,335,27334.0,27334.0,1.0
Andorra,AND,84,3364,8506.0,8506.0,1.0
Andorra,AND,87,3365AO,16489.0,16489.0,1.0
Andorra,AND,94,337,30176.0,30176.0,1.0
Andorra,AND,90,3391,138761.0,138761.0,1.0
Andorra,AND,39,3399,832.0,778466.0,0.001068768578203801
Andorra,AND,67,3399,2925.0,778466.0,0.0037573895327477373
Andorra,AND,71,3399,115500.0,778466.0,0.14836871488285935
Andorra,AND,91,3399,16296.0,778466.0,0.020933476863472522
Andorra,AND,92,3399,231786.0,778466.0,0.297747107773493
Andorra,AND,95,3399,411127.0,778466.0,0.5281245423692236
Andorra,AND,49,S003,101100.0,436774.0,0.23146982192163454
Andorra,AND,97,S003,237187.0,436774.0,0.5430428551150023
Andorra,AND,98,S003,61938.0,436774.0,0.1418078914953729
Andorra,AND,99,S003,36549.0,436774.0,0.08367943146799031
Angola,AGO,9,111,69550.0,69550.0,1.0
Angola,AGO,16,113FF,55849.0,55849.0,1.0
Angola,AGO,27,211,1689780168.0,1689780168.0,1.0
Angola,AGO,16,311,4500.0,4500.0,1.0
Angola,AGO,62,315AL,900.0,900.0,1.0
Angola,AGO,44,321,203279.0,203279.0,1.0
Angola,AGO,49,323,3619.0,3619.0,1.0
Angola,AGO,27,324,59121164.0,59121164.0,1.0
Angola,AGO,68,327,38522.0,38522.0,1.0
Angola,AGO,72,3311IS,11612661.0,15015253.0,0.7733909645078907
