NIPA_Line,Description,Direct,Indirect,Total
84,Fish and seafood,0.0016049418535037763,0.00047130965382071957,0.0020762515073244957
175,Dental services,0.0,0.0020643125480414495,0.0020643125480414495
86,Fresh milk,0.001062183606775505,0.0009868125816125711,0.002048996188388076
292,Proprietary and public higher education,0.0,0.0020038289976628512,0.0020038289976628512
256,Other depository institutions and regulated investment companies,0.0,0.0019422274901614207,0.0019422274901614207
335,Passenger fares for foreign travel,0.0,0.001769017003867337,0.001769017003867337
13,Used autos,0.0,0.0017602049473944973,0.0017602049473944973
310,Miscellaneous personal care services,0.0,0.0017125292345261836,0.0017125292345261836
168,Garbage and trash collection,0.0,0.0017001286277594316,0.0017001286277594316
316,Child care,0.0,0.0016908038088400026,0.0016908038088400026
171,Natural gas,0.0,0.001671763940332004,0.001671763940332004
268,Portfolio management and investment advice services,0.0,0.0016474108169541302,0.0016474108169541302
89,Fats and oils,0.0008451165355839846,0.0007851482784363536,0.001630264814020338
211,Membership clubs and participant sports centers,0.0,0.001618207707658564,0.001618207707658564
309,Hairdressing salons and personal grooming establishments,0.0,0.0015842696412146275,0.0015842696412146275
97,"Coffee, tea, and other beverage materials",0.0008681570562702853,0.0006915044862795357,0.0015596615425498212
47,Photographic equipment,0.0014362688225203857,5.1052717807334634e-05,0.0014873215403277203
181,All other professional medical services,0.0,0.0014725286653567643,0.0014725286653567643
188,Nonprofit nursing homes' services to households,0.0,0.0013853328362638123,0.0013853328362638123
228,Lotteries,0.0,0.0013639967305938004,0.0013639967305938004
293,Nonprofit private higher education services to households,0.0,0.0013520967638036864,0.0013520967638036864
231,Veterinary and other services for pets,4.987839665287989e-05,0.0012074435427455543,0.0012573219393984343
50,Computer software and accessories,0.0,0.0012442287965677423,0.0012442287965677423
332,Other household services,0.0,0.001213606045472061,0.001213606045472061
118,Fuel oil,0.00028015436876837187,0.0009113836151026264,0.0011915379838709982
55,Bicycles and accessories,0.0009481838722859274,0.00021807795714419954,0.001166261829430127
223,Video and audio streaming and rental,0.0,0.0011044773749589228,0.0011044773749589228
255,Commercial banks,0.0,0.0010894878690572423,0.0010894878690572423
178,Medical laboratories,0.0,0.0010882076776872387,0.0010882076776872387
88,Eggs,0.0005468375110353499,0.0004486643056631945,0.0009955018166985443
143,Newspapers and periodicals,0.0,0.0009500775803446275,0.0009500775803446275
297,Commercial and vocational schools,0.0,0.0009489523116540166,0.0009489523116540166
198,Parking fees and tolls,0.0,0.000945250080769619,0.000945250080769619
110,Clothing materials,0.0008599200108443268,7.696591806032206e-05,0.0009368859289046489
251,Housing at schools,0.0,0.0009274600055824648,0.0009274600055824648
276,Medical care and hospitalization,0.0,0.0008771093180491163,0.0008771093180491163
257,Pension funds,0.0,0.0008715755609554942,0.0008715755609554942
156,Tenant-occupied stationary homes and landlord durables,0.0,0.0008297080890017309,0.0008297080890017309
259,Financial service charges and fees,0.0,0.0007995320200633048,0.0007995320200633048
116,Lubricants and fluids,0.0001925630281354503,0.0006026452813942462,0.0007952083095296964
119,Other fuels,0.0005240859813601554,0.00017375926074272329,0.0006978452421028786
240,Higher education school lunches,0.0,0.0006915877969214891,0.0006915877969214891
125,Other medical products,0.0005895615069926175,6.0025379622365493e-05,0.000649586886614983
295,Elementary and secondary schools,0.0,0.0006234857340312158,0.0006234857340312158
283,"Land-line telephone services, local charges",0.0,0.0006233168503011143,0.0006233168503011143
37,Outdoor equipment and supplies,0.0003883739833758524,0.0002241335072249589,0.0006125074906008113
299,Legal services,0.0,0.0006013020678630121,0.0006013020678630121
318,Homes for the elderly,0.0,0.0005657874624547484,0.0005657874624547484
328,Domestic services,0.0,0.000558345881925407,0.000558345881925407
205,Intracity mass transit,0.0,0.0005556709143672868,0.0005556709143672868
296,Day care and nursery schools,0.0,0.0005251599290510298,0.0005251599290510298
322,Community food and housing / emergency / other relief services,0.0,0.0005073055215252868,0.0005073055215252868
195,Auto leasing,0.0,0.0004994896931295627,0.0004994896931295627
271,Life insurance,0.0,0.0004994259577044749,0.0004994259577044749
206,Other road transportation service,0.0,0.00048783151871941403,0.00048783151871941403
321,Vocational rehabilitation services,0.0,0.0004587209318157434,0.0004587209318157434
58,Pleasure aircraft,0.00030045092655912566,0.0001550373122144917,0.0004554882387736174
301,Tax preparation and other related services,0.0,0.00044247736971926284,0.00044247736971926284
60,Recreational books,3.0527970534450803e-06,0.00042491246456652625,0.00042796526161997133
329,"Moving, storage, and freight services",0.0,0.0004140569611188449,0.0004140569611188449
