country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Netherlands,NLD,0.5247302314023067,0.0005089845766460174,0.6356640774973749,1.0468433904405748e-05,0.2752698566809096,0.08558848083989616
Norway,NOR,0.5533806684900683,0.0004640070125444616,0.6291050885673686,3.9611601586885935e-05,0.23039283591546011,0.17642666721223454
Nepal,NPL,0.7312820512820513,2.196084084782418e-05,0.9097435897435897,1.2089632992094056e-10,0.6054700854700855,0.0010471916713445095
Nauru,NRU,0.37894736842105264,0.10959964442893559,0.4280701754385965,0.0674881686246779,0.15263157894736842,0.5327517272519824
New Zealand,NZL,0.6820069993072939,3.347204391081557e-06,0.6884119346051364,2.4847154908131887e-06,0.42533514774190545,0.008681296119571321
Oman,OMN,0.5406218958123625,0.001161819795952386,0.70244069455892,5.194082637599335e-06,0.39117354242452945,0.024384202480227223
Pakistan,PAK,0.6841414194759629,2.183388356178649e-06,0.7738864145120034,1.2113814523258336e-08,0.535733842318803,0.0005276821786947085
Panama,PAN,0.6843727960978209,3.0009511146163343e-06,0.7741669016484709,1.901594019042933e-08,0.46004269730761355,0.004172222729573274
Pitcairn,PCN,,,,,,
Peru,PER,0.6822279355523768,1.7257755346229017e-06,0.8058768067332328,6.039108398766212e-10,0.4539747417368718,0.003697290962214445
Philippines,PHL,0.6893526397284705,2.3768205663647062e-06,0.846336281799419,4.170242102118711e-11,0.20583353673350957,0.22163108654542085
Palau,PLW,0.28571428571428575,0.5345092286010406,0.28571428571428575,0.5345092286010406,0.4642857142857144,0.2939341076002517
Papua New Guinea,PNG,0.6429308565531475,0.004002006540262521,0.6800825593395253,0.0018996026438905026,0.32507739938080493,0.188084781422369
Poland,POL,0.6483038805709241,8.094127984309686e-06,0.6989367984536893,7.463020230166954e-07,0.3627342237121291,0.02323885763833485
Portugal,PRT,0.6753418587203208,2.4002016455704676e-06,0.7717469343691056,8.836819888450483e-09,0.47807601064906796,0.0020827376961683438
Paraguay,PRY,0.5399332591768632,0.002072455000925375,0.7464679098365989,2.174273589673712e-06,0.3971078976640712,0.029790260179653166
French Polynesia,PYF,0.2359945074052966,0.23599054918173593,0.47778965600166773,0.01171844300817952,-0.035109144051240763,0.8619807939037886
