U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,Used,Other
33313,0,0,0,88,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3332OM,2,0,2,623,48,122,75,3,366,114,175,210,469,14,66,61,20,8,18,38,311,84,197,112,1467,0,2,5,27,0,166,65,728,234,1091,104,107,8,12,60,337,244,6,2,-1,44,80,3,174,19,0,256,134,2,11,6,12,20,3,25,3,19,4,0,10,8,7,8,2,4,139,7,4,0,2,2,11,7,3,1129,2,85,3,1,0,7,6,50,2,5,4,0,1,0,272,0,0,0,0,1,34,0,385,46,134,25,50,7,4,139,0,573,125,232,138,89,0,10,4,116,39,4,4,0,24,5,47,517,23,26,0,57,31,-10,151,100,111,266,0,0
3341,2,0,0,0,6,11,5,0,155,29,3,51,24,6,42,20,26,24,2,16,31,0,1,1,39,767,71,149,556,0,0,12,198,21,3,1,3,7,4,4,41,1,0,1,0,17,13,21,0,0,0,0,71,0,0,0,0,0,7,0,0,0,0,0,193,127,226,49,55,105,43,179,64,0,0,0,79,0,2,23,0,38,72,0,13,7,96,218,33,190,303,115,587,0,0,2,329,0,0,220,39,303,258,127,300,411,93,205,391,574,163,685,412,110,122,62,0,46,0,170,4,23,222,13,114,89,82,7,14,190,0,148,96,0,599,122,127,53,0,0
3342,0,0,0,0,0,3,0,0,583,23,6,61,43,1,5,33,0,0,0,0,0,0,0,0,53,18,912,89,692,0,2,0,0,0,12,5171,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,2,60,102,0,98,119,0,72,52,0,0,16,15,28,2,2,3,2,41,2,0,1,0,24,0,0,0,0,15,138,0,14,456,4111,2015,992,908,487,413,256,0,13,0,181,0,0,6,18,392,52,172,20,34,25,18,147,5142,248,176,79,32,8,390,0,9,0,3,174,0,37,1,8,1,1,139,0,72,0,2029,15,0,9,0,0,3,0,0
3344,0,0,0,0,0,1,0,0,4,5,1,23,2,0,37,33,382,159,116,292,1156,84,120,129,922,149,185,2795,644,16,567,51,1332,49,3181,470,113,246,91,263,126,763,43,105,4,-95,184,79,120,105,1,493,348,340,-16,156,232,413,17661,0,6,309,36,0,89,0,3,5,66,0,0,2,1,0,0,0,2,0,0,1,0,0,2,391,-1,0,1566,1090,192,348,3,24,16,0,0,0,0,0,0,0,13,0,1077,4,86,1,247,0,44,0,0,0,78,1,21,0,0,0,0,0,41,19,0,0,0,0,0,2068,0,0,0,10,405,0,8,0,12,6,0,0
3345,0,0,0,8,1,1,3,0,77,32,40,110,7,0,16,2,0,0,0,0,122,0,0,0,141,3,131,105,499,0,56,14,93,15,1,249,137,0,14,0,0,0,0,0,0,1,5,0,38,18,0,0,22,0,0,0,2,2,0,2,0,0,6,0,22,3,1,1,0,4,0,3,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,4,0,2,18,0,0,0,0,0,0,0,0,0,3,5,35,5,267,2,15,1,36,0,0,5,23,28,8,125,24,4,19,101,42,1,10,0,0,0,6,10,11,5,0,185,129,0,1,1,0,105,0,0
334X,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,175,0,113,2061,33,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,71,26,1,9,22,32,0,23,0,0,0,0,0,0,0,4,0,0,0,21,37,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,1,0,15,2,2,5,5,0,11,8,0,3,1,0,0,0,0,0,1,0,0,0,2,5,3,0,1,0,0,132,0,4,0,2,0,0,0
335,718,298,6,19,8,89,1,1,417,2310,961,904,678,98,1276,125,71,23,148,58,377,42,90,18,1773,15,59,61,155,2,1280,7,266,19,575,97,97,21,65,24,199,96,0,11,1,100,20,23,32,46,1,48,73,1,1,0,1,1,0,3,2,1,0,0,50,14,48,10,0,14,2,29,7,0,12,0,13,21,0,2,0,15,0,0,0,0,96,656,31,15,0,32,21,0,0,22,0,0,0,187,31,0,526,15,505,6,56,1,142,4,1,89,57,175,8,1,0,0,0,0,92,121,47,7,41,106,108,302,166,5,0,284,430,22,52,25,24,346,0,0
336111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3362BP,47,26,5,78,38,14,2,0,0,146,0,0,0,0,0,0,173,41,60,21,97,171,229,20,200,1,32,8,21,1,47,407,5207,445,3005,44,118,36,26,35,192,148,8,6,0,101,12,11,17,20,1,71,58,27,8,31,65,163,4,157,21,82,29,0,197,127,20,78,68,18,6,213,24,0,3,0,337,36,0,4,0,103,7,2,6,67,4,7,0,3,37,16,2,0,0,0,0,0,0,0,206,0,7,0,35,32,90,24,31,52,14,741,135,103,60,7,5,1,9,29,172,12,183,4,13,13,157,679,49,103,0,1239,14,191,239,19,301,88,0,0
3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,41,0,0,0,0,0,0,0
3365AO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
337,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,113,0,46,0,0,27,0,0,0,0,0,54,62,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,15,0,0,0,0,0,0,0,36,0,88,1,0,0,0,0,0,0,0,0,3,16,2,0,0,100,72,0,0,48,0,0,0,0,0,1,0,0,0,573,0,0
3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,75,0,0,3,0,4,0,242,58,2,16,1,963,53,22,0,0,0,0,0,0,0,0,11,128,0,0,1099,0,1,0,0
3399,0,0,0,5,2,1,0,0,3,5,4,12,1,1,6,6,1,2,0,0,3,9,1,35,127,0,0,0,0,0,43,9,42,2,141,1,0,0,0,251,0,0,0,0,10,0,0,0,22,0,0,0,1,0,1,1,0,4,9,15,0,7,0,0,68,12,0,4,2,0,16,56,1,0,0,0,1,1,0,1,4,9,0,0,0,0,1,2,0,4,0,1,0,0,0,1,0,0,0,7,6,0,1,5,27,3,8,7,11,0,1,47,4,1,11,1,1,0,5,2,6,1,44,17,17,1,138,6,156,62,0,0,7,0,44,14,27,0,0,0
311,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3578,2585,0,0,0,28,0,44,24,2,150,383,24,0,0,0,0,0,0,0,0,21,2,0,0,63,4,0,0,0,0,0,0,7,0,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,97,0,0,0,0,0,96,0,0,0,0,1,199,87,356,0,45,83,3017,0,0,17,0,152,1,24,829,494,389,0,0,0
3121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,8,118,0,0,2,0,0,0,0,0,1,0,0,0,0
3122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
313TT,2,1,2,0,0,0,0,0,18,18,16,14,2,1,5,2,43,23,0,0,0,0,0,0,15,0,0,0,0,0,0,4,85,14,55,0,18,467,17,19,9,0,0,772,329,178,13,5,0,0,0,0,634,12,10,18,7,25,18,15,11,20,2,0,1,8,433,1,3,1,57,8,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2,2,32,0,11,1,0,23,0,26,2,6,0,0,0,4,103,597,249,0,14,299,98,7,112,3,0,29,64,0,8,427,48,4,0,0
