U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,Used,Other
332,4,58,6,541,5,1,0,40,313,291,319,592,452,185,284,396,68,15,28,10,533,30,223,21,261,2,13,4,19,0,58,21,246,23,297,80,160,69,23,19,171,57,45,3,0,106,3,7,30,26,1,240,124,1,5,1,3,3,1,15,3,7,1,0,35,10,4,8,4,13,3,30,58,0,5,5,155,40,0,0,1,24,2,1,0,198,42,34,1,9,24,13,6,0,0,0,2,0,0,60,52,1,49,1,106,2,62,2,10,10,1,102,33,112,2,1,1,0,0,4,51,0,162,0,8,67,120,133,3,38,0,184,2,4,12,88,32,206,0,0
33311,149,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,56,0,36,137,0,0
33312,0,0,0,104,162,60,0,0,0,36,1,325,17,10,83,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,6,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33313,0,0,0,175,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3332OM,1,0,5,195,38,16,243,9,698,169,380,273,409,27,131,84,46,7,6,6,67,75,274,126,1819,0,0,3,27,1,166,165,1222,597,1334,74,69,9,23,38,740,284,6,2,-1,13,42,3,26,7,0,327,104,4,18,13,20,30,3,54,5,41,5,0,32,12,8,10,4,10,3,21,6,0,1,1,71,8,5,60,2,78,4,0,1,23,2,16,0,28,2,0,3,0,7,0,0,0,0,2,86,1,174,9,88,65,45,15,2,3,0,1486,20,538,79,83,1,1,8,14,75,11,34,1,21,18,103,563,8,103,0,125,114,-6,244,343,197,321,0,0
3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,237,1,0,0,0,0,3,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3342,0,0,0,0,0,0,0,0,37,33,4,91,13,0,7,140,0,0,0,0,0,0,0,0,9,4,149,15,118,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,10,0,0,5,0,2,0,0,0,0,1,8,0,2,18,162,69,40,44,35,16,10,0,0,0,13,0,0,2,9,16,3,7,1,3,2,0,8,282,12,9,69,2,6,20,0,0,0,0,7,0,3,0,2,0,0,13,0,4,0,439,0,0,0,0,0,1,0,0
3344,0,0,0,0,0,0,0,0,1,1,0,4,0,0,7,6,3,1,3,3,7,17,11,2,79,13,37,82,78,1,63,0,2,1,310,12,1,2,1,2,23,7,11,1,0,6,1,3,3,2,0,5,16,0,0,0,10,0,549,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,9,74,3,174,1,9,6,0,0,0,0,0,0,0,0,0,178,4,6,0,204,0,0,0,0,0,12,0,8,0,0,0,0,0,10,3,0,0,0,0,0,101,0,0,0,3,92,0,5,0,9,1,0,0
3345,0,0,0,37,4,0,12,1,151,65,71,226,15,0,34,6,0,0,0,0,182,0,0,0,103,2,69,56,251,0,54,67,451,72,2,209,110,0,6,0,0,0,0,0,0,1,9,0,101,64,0,0,40,0,0,0,4,9,0,7,1,2,0,0,51,10,2,4,0,12,0,13,0,0,0,0,3,0,0,0,0,0,2,3,1,0,4,18,1,4,34,0,0,0,0,0,0,0,0,0,6,11,33,5,158,2,41,2,40,2,0,14,36,85,5,407,25,2,55,30,85,8,49,0,0,0,28,16,21,3,0,149,293,0,2,2,0,390,0,0
334X,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,50,0,53,928,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,2,4,6,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
335,19,8,4,17,3,3,1,1,665,1754,742,1230,715,190,734,163,94,46,221,83,711,61,134,28,2983,4,91,86,217,3,2140,4,170,26,749,132,145,38,101,47,404,193,0,22,1,198,39,46,18,75,2,97,158,1,1,0,0,0,0,4,2,1,0,0,48,15,16,11,0,14,3,34,7,0,18,0,16,29,0,4,0,23,0,0,0,1,128,763,41,32,0,37,25,0,0,27,0,0,0,184,65,0,735,28,649,12,62,1,244,3,2,83,161,176,13,1,0,0,0,0,89,113,71,6,48,100,150,289,36,13,0,417,460,26,52,31,15,296,0,0
