Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
New Zealand,24169.0,0302320000,3,0302320000,114111,114111,direct_2022
Australia,1385550.0,0302340000,3,0302340000,114111,114111,direct_2022
Fiji,452384.0,0302340000,3,0302340000,114111,114111,direct_2022
French Polynesia,5139526.0,0302340000,3,0302340000,114111,114111,direct_2022
Marshall Islands,8132917.0,0302340000,3,0302340000,114111,114111,direct_2022
New Zealand,417156.0,0302340000,3,0302340000,114111,114111,direct_2022
Australia,9389.0,0302350100,3,0302350100,114111,114111,direct_2022
New Zealand,248150.0,0302350100,3,0302350100,114111,114111,direct_2022
Australia,3573808.0,0302360000,3,0302360000,114111,114111,direct_2022
New Zealand,1118006.0,0302360000,3,0302360000,114111,114111,direct_2022
French Polynesia,6796.0,0302455000,3,0302455000,114111,114111,direct_2022
Australia,2762373.0,0302470090,3,0302470090,114111,114111,direct_2022
Fiji,2717.0,0302470090,3,0302470090,114111,114111,direct_2022
French Polynesia,104602.0,0302470090,3,0302470090,114111,114111,direct_2022
New Zealand,789756.0,0302470090,3,0302470090,114111,114111,direct_2022
Fiji,2916.0,0302791100,3,0302791100,114111,114111,direct_2022
New Zealand,98798.0,0302845000,3,0302845000,114111,114111,direct_2022
Australia,6965.0,0302855000,3,0302855000,114111,114111,direct_2022
New Zealand,4331413.0,0302855000,3,0302855000,114111,114111,direct_2022
New Zealand,20412.0,0302895058,3,0302895058,114111,114111,direct_2022
Australia,2285.0,0302895061,3,0302895061,114111,114111,direct_2022
Fiji,12093.0,0302895061,3,0302895061,114111,114111,direct_2022
Kiribati,2423.0,0302895061,3,0302895061,114111,114111,direct_2022
New Zealand,182297.0,0302895061,3,0302895061,114111,114111,direct_2022
Australia,29990.0,0302895072,3,0302895072,114111,114111,direct_2022
Fiji,2185.0,0302895072,3,0302895072,114111,114111,direct_2022
French Polynesia,6118.0,0302895072,3,0302895072,114111,114111,direct_2022
Australia,2634410.0,0302895077,3,0302895077,114111,114111,direct_2022
Fiji,71318.0,0302895077,3,0302895077,114111,114111,direct_2022
French Polynesia,544436.0,0302895077,3,0302895077,114111,114111,direct_2022
Kiribati,4509.0,0302895077,3,0302895077,114111,114111,direct_2022
New Zealand,1960945.0,0302895077,3,0302895077,114111,114111,direct_2022
New Zealand,835179.0,0303120012,3,0303120012,114111,114111,direct_2022
New Zealand,248462.0,0303540000,3,0303540000,114111,114111,direct_2022
New Zealand,185704.0,0303550000,3,0303550000,114111,114111,direct_2022
New Zealand,103193.0,0303660000,3,0303660000,114111,114111,direct_2022
Fiji,12432.0,0303690000,3,0303690000,114111,114111,direct_2022
Australia,51532294.0,0303830000,3,0303830000,114111,114111,direct_2022
New Zealand,7431302.0,0303830000,3,0303830000,114111,114111,direct_2022
Fiji,16812.0,0303890043,3,0303890043,114111,114111,direct_2022
Australia,56101.0,0303890067,3,0303890067,114111,114111,direct_2022
Fiji,12359.0,0303890080,3,0303890080,114111,114111,direct_2022
Australia,49814.0,0303914040,3,0303914040,114111,114111,direct_2022
Australia,13882.0,0303914095,3,0303914095,114111,114111,direct_2022
New Zealand,4776.0,0303990000,3,0303990000,114111,114111,direct_2022
New Zealand,77838.0,0304410010,3,0304410010,112511,112511,direct_2022
New Zealand,1402479.0,0304410090,3,0304410090,114111,114111,direct_2022
New Zealand,98586.0,0304440030,3,0304440030,114111,114111,direct_2022
French Polynesia,396546.0,0304490190,3,0304490190,114111,114111,direct_2022
Marshall Islands,1045573.0,0304490190,3,0304490190,114111,114111,direct_2022
New Zealand,762629.0,0304490190,3,0304490190,114111,114111,direct_2022
Australia,10870.0,0304590091,3,0304590091,114111,114111,direct_2022
French Polynesia,338919.0,0304590091,3,0304590091,114111,114111,direct_2022
New Zealand,275624.0,0304590091,3,0304590091,114111,114111,direct_2022
New Zealand,946269.0,0304741000,3,0304741000,114111,114111,direct_2022
New Zealand,559024.0,0304745000,3,0304745000,114111,114111,direct_2022
New Zealand,154596.0,0304795000,3,0304795000,114111,114111,direct_2022
New Zealand,13250257.0,0304815090,3,0304815090,114111,114111,direct_2022
Fiji,14026.0,0304840000,3,0304840000,114111,114111,direct_2022
Australia,62053.0,0304850000,3,0304850000,114111,114111,direct_2022
Australia,118428.0,0304870000,3,0304870000,311710,311710,direct_2022
Fiji,772239.0,0304870000,3,0304870000,311710,311710,direct_2022
Marshall Islands,6122155.0,0304870000,3,0304870000,311710,311710,direct_2022
New Zealand,14289158.0,0304895050,3,0304895050,114111,114111,direct_2022
New Zealand,11017.0,0304895060,3,0304895060,114111,114111,direct_2022
Australia,90766.0,0304895091,3,0304895091,114111,114111,direct_2022
Fiji,9545.0,0304895091,3,0304895091,114111,114111,direct_2022
New Zealand,1781308.0,0304895091,3,0304895091,114111,114111,direct_2022
Australia,2365082.0,0304921000,3,0304921000,114111,114111,direct_2022
Fiji,12932.0,0304931090,3,0304931090,114111,114111,direct_2022
Fiji,191582.0,0304999190,3,0304999190,114111,114111,direct_2022
Fiji,5690.0,0304999192,3,0304999192,114111,114111,direct_2022
Australia,79315.0,0305204020,3,0305204020,311710,311710,direct_2022
New Zealand,93000.0,0305204065,3,0305204065,311710,311710,direct_2022
New Zealand,1114841.0,0305410000,3,0305410000,311710,311710,direct_2022
New Zealand,10747.0,0305494045,3,0305494045,311710,311710,direct_2022
New Zealand,50307.0,0305590001,3,0305590001,311710,311710,direct_2022
New Zealand,10788.0,0305720000,3,0305720000,311710,311710,direct_2022
Australia,9384439.0,0306110020,3,0306110020,114112,114112,direct_2022
New Zealand,1839593.0,0306110020,3,0306110020,114112,114112,direct_2022
Australia,2282.0,0306120070,3,0306120070,114112,114112,direct_2022
New Zealand,601809.0,0306150000,3,0306150000,114112,114112,direct_2022
Australia,21942.0,0306160003,3,0306160003,114112,114112,direct_2022
Australia,49570.0,0306170004,3,0306170004,112512,112512,direct_2022
New Caledonia,91827.0,0306170005,3,0306170005,112512,112512,direct_2022
New Caledonia,824073.0,0306170007,3,0306170007,112512,112512,direct_2022
New Caledonia,510390.0,0306170008,3,0306170008,112512,112512,direct_2022
Australia,824909.0,0306170017,3,0306170017,114112,114112,direct_2022
Australia,1460873.0,0306170041,3,0306170041,112512,112512,direct_2022
Australia,19374.0,0306190161,3,0306190161,311710,114112,direct_2022
New Zealand,1022256.0,0306190161,3,0306190161,311710,114112,direct_2022
Australia,460780.0,0306310000,3,0306310000,114112,114112,direct_2022
New Zealand,11384.0,0306310000,3,0306310000,114112,114112,direct_2022
Australia,826655.0,0306320010,3,0306320010,114112,114112,direct_2022
Australia,208170.0,0306320090,3,0306320090,114112,114112,direct_2022
Fiji,2480.0,0306320090,3,0306320090,114112,114112,direct_2022
Australia,159671.0,0306334000,3,0306334000,114112,114112,direct_2022
Fiji,2063.0,0306334000,3,0306334000,114112,114112,direct_2022
Australia,140432.0,0306340000,3,0306340000,114112,114112,direct_2022
Australia,62180.0,0306910000,3,0306910000,114112,114112,direct_2022
Australia,2389.0,0306990100,3,0306990100,311710,311710,direct_2022
New Zealand,207338.0,0307110080,3,0307110080,114112,114112,direct_2022
New Zealand,100018.0,0307120060,3,0307120060,112512,112512,direct_2022
Australia,45240.0,0307220000,3,0307220000,311710,311710,direct_2022
