"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
23MR,Maintenance and repair construction,1381,244,44,353,3651,1316,7026,714,4,91,38,93,47,27,72,42,440,1209,925,677,1603,80,81,46,776,6,27,394,133,1,217,14,285,21,728,353,146,149,270,152,1745,270,225,146,5,1209,371,6805,1029,453,174,572,1072,752,265,523,701,1115,201,487,611,1233,78,0,1793,1484,2937,1129,416,3130,661,892,967,300,2688,30,1049,674,548,1385,331,1131,57,162,93,85,446,2132,120,366,1689,7172,2357,185,55,650,41,62916,8298,57430,2136,251,116,195,2138,128,707,88,499,1117,121,374,784,293,380,268,70,61,284,97,2074,763,934,218,853,4320,4516,1233,1005,2844,0,9198,1117,763,15725,5626,23310,65194,359517,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,118,359635
23OC,Office and commercial structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198140,0,451,0,0,0,0,2270,0,0,0,2917,0,0,0,25218,228996,228996
23OR,Other residential construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819,429,0,0,0,0,5296,8544,0,0,0,463386,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,7511,471977,480521
23OT,Other nonresidential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172005,0,0,0,0,0,0,4112,0,0,0,6429,0,0,0,63835,246381,246381
23PC,Power and communication structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123900,0,0,0,0,0,0,99,0,0,0,881,0,0,0,12071,136951,136951
23SF,Single-family residential structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453218,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,616,453876,453876
23TH,Transportation structures and highways and streets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18037,0,0,0,0,0,0,1347,0,0,0,2619,0,0,0,152731,174734,174734
321,Wood products,486,36,129,0,332,177,0,0,7909,11590,8409,14149,5695,1537,14308,4298,40141,226,7,495,244,0,0,0,948,0,38,67,12,300,972,0,0,0,4577,1,292,8723,476,1241,64,267,15,67,1,5452,2,0,173,2,3,69,2645,932,296,635,586,2483,373,1387,785,1885,113,0,185,823,186,113,234,90,208,909,217,0,4225,0,245,0,4,15,52,142,36,9,158,190,174,692,21,1526,634,244,7,0,0,0,0,27,39,9695,1142,14,45,4,483,23,416,16,464,6,10,105,1281,41,34,339,46,6,62,36,629,4,1022,14,286,835,1361,83,27,312,0,8,81,2,4616,36,772,338,182149,4754,0,0,14808,5,952,5127,-37401,0,0,0,0,0,1,0,0,0,0,0,0,-11754,170395
327,Nonmetallic mineral products,30,0,5,2354,560,505,58,0,6316,9399,11668,25337,9578,1867,15882,8607,967,16561,2190,342,1471,200,19,272,1109,21,14,165,76,0,1821,1767,2474,361,3183,37,282,289,397,357,348,2777,0,28,0,410,1,1789,19,74,141,1197,2161,1,2,0,6,11,1,20,0,27,0,0,266,56,0,39,1,0,65,594,217,0,14,0,141,0,0,4,11,70,1,2,2,489,1033,1239,22,1032,10,20,25,0,0,47,0,116,55,77,1195,0,262,0,3497,784,2154,21,191,23,0,266,669,336,48,846,452,161,14,890,2581,133,690,15,162,101,2682,736,956,169,0,30,718,0,307,943,535,3452,167221,15735,0,0,0,0,1061,7655,-38500,0,0,0,0,0,0,0,0,0,0,0,0,-14049,153172
3311IS,Iron and steel mills and manufacturing from purchased steel,84,50,0,13671,633,239,0,0,1288,1139,482,1013,355,89,752,114,227,1991,32062,1299,73836,5143,5351,2212,20815,2,155,445,195,38,6712,17,5637,216,25799,2262,2465,2365,509,2795,0,0,0,115,0,93,30,0,41,0,0,1,1762,9,7,2,0,709,0,0,0,39,3,0,2,0,0,0,0,0,1,0,0,0,428,0,0,0,0,98,0,0,6,0,9,34,55,23,12,57,587,0,0,0,0,0,0,0,0,3386,183,0,0,5,967,4,309,4,0,46,0,422,269,322,181,3,10,25,106,41,20,13,350,36,315,31,33,397,131,43,0,0,47,0,18,21,52,197,224567,855,0,0,0,0,876,13180,-59701,0,0,0,0,0,0,0,0,0,0,0,0,-44790,179777
