Country,iso3,HS_Section,usummary_code,impVal,bea_total,weight
Anguilla,AIA,16,3332OM,3666.0,3666.0,1.0
Anguilla,AIA,16,335,22329.0,24329.0,0.9177935796785729
Anguilla,AIA,20,335,2000.0,24329.0,0.08220642032142711
Anguilla,AIA,16,3364,108000.0,108000.0,1.0
Anguilla,AIA,20,337,13340.0,13340.0,1.0
Anguilla,AIA,14,S003,86640.0,460514.0,0.1881376027656054
Anguilla,AIA,15,S003,61162.0,460514.0,0.1328124660705212
Anguilla,AIA,16,S003,33715.0,460514.0,0.07321167217500445
Anguilla,AIA,21,S003,278997.0,460514.0,0.605838258988869
Antigua and Barbuda,ATG,5,212,54800.0,54800.0,1.0
Antigua and Barbuda,ATG,4,311,65600.0,65600.0,1.0
Antigua and Barbuda,ATG,4,3121,168613.0,168613.0,1.0
Antigua and Barbuda,ATG,11,313TT,65143.0,65143.0,1.0
Antigua and Barbuda,ATG,8,315AL,3920.0,7300.0,0.536986301369863
Antigua and Barbuda,ATG,11,315AL,3380.0,7300.0,0.46301369863013697
Antigua and Barbuda,ATG,10,323,205042.0,205042.0,1.0
Antigua and Barbuda,ATG,5,324,1393295.0,1393295.0,1.0
Antigua and Barbuda,ATG,6,3251,3581.0,3581.0,1.0
Antigua and Barbuda,ATG,7,326,289.0,289.0,1.0
Antigua and Barbuda,ATG,13,327,13457.0,13457.0,1.0
Antigua and Barbuda,ATG,15,3313NF,1395289.0,1395289.0,1.0
Antigua and Barbuda,ATG,15,332,5243.0,5243.0,1.0
Antigua and Barbuda,ATG,16,3332OM,65507.0,65507.0,1.0
Antigua and Barbuda,ATG,16,3341,5690.0,5690.0,1.0
Antigua and Barbuda,ATG,16,3342,12000.0,12000.0,1.0
Antigua and Barbuda,ATG,18,3345,230015.0,230015.0,1.0
Antigua and Barbuda,ATG,16,335,14871.0,14871.0,1.0
Antigua and Barbuda,ATG,17,3362BP,9049.0,9049.0,1.0
Antigua and Barbuda,ATG,7,3399,5672.0,81141.0,0.06990300834350081
Antigua and Barbuda,ATG,14,3399,22477.0,81141.0,0.2770116217448639
Antigua and Barbuda,ATG,16,3399,3700.0,81141.0,0.045599635202918376
Antigua and Barbuda,ATG,20,3399,49292.0,81141.0,0.6074857347087169
Antigua and Barbuda,ATG,10,S003,10300.0,19955625.0,0.0005161451971561903
Antigua and Barbuda,ATG,14,S003,338389.0,19955625.0,0.01695707350684331
Antigua and Barbuda,ATG,15,S003,1254767.0,19955625.0,0.0628778602524351
Antigua and Barbuda,ATG,16,S003,44707.0,19955625.0,0.0022403207115788155
Antigua and Barbuda,ATG,21,S003,18307462.0,19955625.0,0.9174086003319866
Argentina,ARG,2,111,354436873.0,367535284.0,0.9643614869912734
Argentina,ARG,4,111,13098411.0,367535284.0,0.03563851300872653
Argentina,ARG,1,112,158601683.0,159877283.0,0.9920213805484798
Argentina,ARG,8,112,1275600.0,159877283.0,0.0079786194515202
Argentina,ARG,1,113FF,342683168.0,358173999.0,0.9567505429114077
Argentina,ARG,2,113FF,8522198.0,358173999.0,0.023793457994699386
Argentina,ARG,4,113FF,6968633.0,358173999.0,0.01945599909389291
Argentina,ARG,5,211,1411244779.0,1411244779.0,1.0
Argentina,ARG,5,212,4811175.0,4811175.0,1.0
Argentina,ARG,1,311,279990076.0,1185561399.0,0.2361666601461271
Argentina,ARG,2,311,130660001.0,1185561399.0,0.11020939203166483
Argentina,ARG,3,311,340384429.0,1185561399.0,0.28710822508822254
Argentina,ARG,4,311,419541044.0,1185561399.0,0.35387542505506286
Argentina,ARG,6,311,14888560.0,1185561399.0,0.0125582361340022
Argentina,ARG,8,311,97289.0,1185561399.0,8.206154492045839e-05
Argentina,ARG,4,3121,209591209.0,209591209.0,1.0
Argentina,ARG,8,313TT,40233.0,1457412.0,0.0276057834023598
Argentina,ARG,11,313TT,1187488.0,1457412.0,0.8147922481769053
Argentina,ARG,12,313TT,1120.0,1457412.0,0.0007684855071867117
Argentina,ARG,13,313TT,3445.0,1457412.0,0.0023637790823734127
Argentina,ARG,20,313TT,225126.0,1457412.0,0.15446970383117473
Argentina,ARG,8,315AL,11667755.0,13578186.0,0.8593014560266004
Argentina,ARG,11,315AL,352446.0,13578186.0,0.02595678097206799
Argentina,ARG,12,315AL,1553692.0,13578186.0,0.11442559411102485
Argentina,ARG,20,315AL,4293.0,13578186.0,0.00031616889030684954
Argentina,ARG,9,321,101679620.0,101694220.0,0.9998564323518092
Argentina,ARG,20,321,14600.0,101694220.0,0.00014356764819082145
Argentina,ARG,7,322,12027.0,17636146.0,0.0006819517143938364
Argentina,ARG,10,322,17624119.0,17636146.0,0.9993180482856061
Argentina,ARG,10,323,598185.0,623271.0,0.9597510553194357
Argentina,ARG,16,323,13736.0,623271.0,0.02203856749311295
Argentina,ARG,20,323,11350.0,623271.0,0.018210377187451367
Argentina,ARG,5,324,284252335.0,333445206.0,0.8524709004213424
Argentina,ARG,6,324,49192871.0,333445206.0,0.14752909957865762
Argentina,ARG,4,3251,30271.0,154383222.0,0.00019607700634723119
Argentina,ARG,5,3251,16514291.0,154383222.0,0.10696946718730874
Argentina,ARG,6,3251,137558069.0,154383222.0,0.8910169590838051
Argentina,ARG,9,3251,280591.0,154383222.0,0.0018174967225389298
Argentina,ARG,6,3252,26668.0,22419230.0,0.001189514537296776
Argentina,ARG,7,3252,21824204.0,22419230.0,0.9734591241536842
Argentina,ARG,11,3252,568358.0,22419230.0,0.025351361309019087
Argentina,ARG,6,3254,684049439.0,684049439.0,1.0
Argentina,ARG,3,325X,3528633.0,122367530.0,0.028836350623404755
Argentina,ARG,6,325X,118833897.0,122367530.0,0.9711227888640066
Argentina,ARG,20,325X,5000.0,122367530.0,4.0860512588592745e-05
Argentina,ARG,7,326,22578289.0,23422810.0,0.9639445053774505
Argentina,ARG,8,326,700.0,23422810.0,2.9885398037212442e-05
Argentina,ARG,12,326,399.0,23422810.0,1.703467688121109e-05
Argentina,ARG,16,326,98723.0,23422810.0,0.0042148230720396055
Argentina,ARG,20,326,744699.0,23422810.0,0.03179375147559153
Argentina,ARG,6,327,20160.0,2506347.0,0.008043578961731955
Argentina,ARG,13,327,2096099.0,2506347.0,0.8363163600251681
Argentina,ARG,16,327,358962.0,2506347.0,0.14322119004271955
Argentina,ARG,17,327,29282.0,2506347.0,0.011683138847094996
Argentina,ARG,20,327,1844.0,2506347.0,0.0007357321232854031
Argentina,ARG,15,3311IS,118960812.0,118960812.0,1.0
Argentina,ARG,14,3313NF,800576521.0,1304460522.0,0.6137223070365943
Argentina,ARG,15,3313NF,492609013.0,1304460522.0,0.37763428228915
Argentina,ARG,16,3313NF,11274988.0,1304460522.0,0.008643410674255728
Argentina,ARG,6,332,375000.0,43222037.0,0.008676129725214015
Argentina,ARG,15,332,28308100.0,43222037.0,0.654945994331549
Argentina,ARG,16,332,11414613.0,43222037.0,0.2640924350696382
Argentina,ARG,17,332,132165.0,43222037.0,0.0030578151603544274
Argentina,ARG,18,332,73076.0,43222037.0,0.0016907116154659717
Argentina,ARG,19,332,2757852.0,43222037.0,0.06380661790650913
Argentina,ARG,20,332,161231.0,43222037.0,0.0037302961912692822
