Country,iso3,detail_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,335930,4109.0,Asia,RoAsia,RoAsia,4.6819586620357686e-07,2.896868074452242e-06,8776241519.0,1418428418.0
Afghanistan,AFG,336320,4480.0,Asia,RoAsia,RoAsia,1.662976679916397e-07,9.9055176373016e-07,26939644158.0,4522731839.0
Afghanistan,AFG,336390,9024.0,Asia,RoAsia,RoAsia,1.8070063892428072e-07,1.3101077040792075e-06,49938949047.0,6887983310.0
Afghanistan,AFG,337121,81012.0,Asia,RoAsia,RoAsia,1.2622875491987545e-05,2.2552323124668163e-05,6417872065.0,3592179819.0
Afghanistan,AFG,337127,12076.0,Asia,RoAsia,RoAsia,7.671218519757821e-07,2.347111514066647e-06,15741958033.0,5145047403.0
Afghanistan,AFG,337900,1795.0,Asia,RoAsia,RoAsia,6.311778880735332e-07,1.3477320409513584e-06,2843889233.0,1331867126.0
Afghanistan,AFG,339910,1059772.0,Asia,RoAsia,RoAsia,2.709180844406959e-05,6.364026026270567e-05,39117802054.0,16652540320.0
Afghanistan,AFG,339920,7622.0,Asia,RoAsia,RoAsia,7.922651722923983e-07,2.695659854266312e-06,9620516295.0,2827508073.0
Afghanistan,AFG,339990,45099.0,Asia,RoAsia,RoAsia,2.2133762406155296e-06,1.256736422740605e-05,20375659218.0,3588580643.0
Afghanistan,AFG,S00300,1971873.0,Asia,RoAsia,RoAsia,1.3374337201241402e-05,9.291240663714001e-05,147437063260.0,21222924595.0
Bahrain,BHR,112A00,68890.0,Asia,RoWorld,RoAsia,6.371606238183231e-06,1.9235742983864802e-05,10812030346.0,3581353736.0
Bahrain,BHR,114000,3044737.0,Asia,RoWorld,RoAsia,0.00023858040359791026,0.0010394768830589661,12761890558.0,2929105062.0
Bahrain,BHR,311513,3711928.0,Asia,RoWorld,RoAsia,0.0019076639419629844,0.02937920899266909,1945797642.0,126345403.0
Bahrain,BHR,31151A,1850856.0,Asia,RoWorld,RoAsia,0.0018160950365844455,0.0731912929514267,1019140498.0,25287926.0
Bahrain,BHR,311700,250144.0,Asia,RoWorld,RoAsia,5.66491091410226e-05,0.00035371914118162233,4415674029.0,707182538.0
Bahrain,BHR,312130,11630.0,Asia,RoWorld,RoAsia,1.3369678700267736e-06,2.4251194885877996e-05,8698787952.0,479563999.0
Bahrain,BHR,312140,10179.0,Asia,RoWorld,RoAsia,9.56132815509347e-07,5.1563633890844e-05,10646010507.0,197406568.0
Bahrain,BHR,313200,1329707.0,Asia,RoWorld,RoAsia,0.00019675798812384743,0.003799363843490178,6758083942.0,349981485.0
Bahrain,BHR,314110,19600.0,Asia,RoWorld,RoAsia,5.771551800032974e-06,0.00011079552851406023,3395967095.0,176902446.0
Bahrain,BHR,314120,52296988.0,Asia,RoWorld,RoAsia,0.003902811686304678,0.2585357298566623,13399823564.0,202281472.0
Bahrain,BHR,314900,107700.0,Asia,RoWorld,RoAsia,1.3117887911205584e-05,0.0005802547706357143,8210163155.0,185608125.0
Bahrain,BHR,315000,1097102.0,Asia,RoWorld,RoAsia,1.3034408338550833e-05,7.54247501777588e-05,84169681623.0,14545649769.0
Bahrain,BHR,316000,54525.0,Asia,RoWorld,RoAsia,1.3600789709448928e-06,7.745450448123849e-05,40089583888.0,703961640.0
Bahrain,BHR,321200,3023.0,Asia,RoWorld,RoAsia,3.570156482798941e-07,2.362910910549314e-06,8467415965.0,1279354201.0
Bahrain,BHR,321910,2838.0,Asia,RoWorld,RoAsia,1.0233301479027391e-06,2.9721349560775476e-06,2773298535.0,954869157.0
Bahrain,BHR,322210,284216.0,Asia,RoWorld,RoAsia,0.00010752674112903327,0.004308235992184857,2643212256.0,65970388.0
Bahrain,BHR,322220,957.0,Asia,RoWorld,RoAsia,1.9463572052374118e-07,4.857281743932451e-06,4916877526.0,197023778.0
Bahrain,BHR,322299,462242.0,Asia,RoWorld,RoAsia,0.0002239328646595652,0.013746882808777209,2064199021.0,33625223.0
Bahrain,BHR,323110,15604.0,Asia,RoWorld,RoAsia,2.310721418425035e-06,0.00012673968883814427,6752869418.0,123118497.0
Bahrain,BHR,324110,196398733.0,Asia,RoWorld,RoAsia,0.0032014095783595127,0.013636301540106211,61347580868.0,14402639339.0
Bahrain,BHR,325310,51965.0,Asia,RoWorld,RoAsia,5.091611842387911e-06,1.574397027025541e-05,10206001873.0,3300628692.0
Bahrain,BHR,325610,11010.0,Asia,RoWorld,RoAsia,1.825634568903995e-06,4.002561799508742e-05,6030779756.0,275073829.0
Bahrain,BHR,325620,202178.0,Asia,RoWorld,RoAsia,1.2522709888516971e-05,0.00020165927265957488,16144908075.0,1002572296.0
Bahrain,BHR,3259A0,58867.0,Asia,RoWorld,RoAsia,5.973426526290753e-06,9.086652191999826e-05,9854812768.0,647840357.0
Bahrain,BHR,326110,36306487.0,Asia,RoWorld,RoAsia,0.002785758719960434,0.035193778878012526,13032890013.0,1031616614.0
Bahrain,BHR,326190,510890.0,Asia,RoWorld,RoAsia,1.6033634355818034e-05,0.0005691772940557202,31863642931.0,897593782.0
Bahrain,BHR,326290,270.0,Asia,RoWorld,RoAsia,6.543340340636895e-08,3.5816368998592627e-06,4126332820.0,75384526.0
Bahrain,BHR,327200,20422794.0,Asia,RoWorld,RoAsia,0.002074659737115546,0.05659227891306193,9843924589.0,360875978.0
