Country,iso3,usummary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Australia,AUS,313TT,30223248.0,Oceania,RoAsia,RoAsia,0.0008876097120081771,0.002679079812484762,34050154692.0,11281204785.0
Australia,AUS,315AL,27296633.0,Oceania,RoAsia,RoAsia,0.0002196748297822795,0.0004499477171706781,124259265511.0,60666232894.0
Australia,AUS,321,9244694.0,Oceania,RoAsia,RoAsia,0.00039736512482589116,0.0026857014609045077,23264985834.0,3442189735.0
Australia,AUS,322,72425989.0,Oceania,RoAsia,RoAsia,0.0027225545650498453,0.02186001433854897,26602217612.0,3313172072.0
Australia,AUS,323,11762459.0,Oceania,RoAsia,RoAsia,0.0017321188156574838,0.01174027263194941,6790792233.0,1001889766.0
Australia,AUS,324,13414822.0,Oceania,RoAsia,RoAsia,0.00021578131080515073,0.0011894110448513419,62168600005.0,11278541643.0
Australia,AUS,3251,100025986.0,Oceania,RoAsia,RoAsia,0.001555761862415929,0.010719757554026101,64293892540.0,9330993308.0
Australia,AUS,3252,17706848.0,Oceania,RoAsia,RoAsia,0.0008112917682709512,0.0033247335705393656,21825499398.0,5325794571.0
Australia,AUS,3254,1425637919.0,Oceania,RoAsia,RoAsia,0.005657680763504623,0.03638656556563555,251982743211.0,39180337491.0
Australia,AUS,325X,178360753.0,Oceania,RoAsia,RoAsia,0.003280196440382434,0.018135021374341524,54375021814.0,9835155378.0
Australia,AUS,326,92499827.0,Oceania,RoAsia,RoAsia,0.0012036099511071128,0.004520071208504282,76851995877.0,20464241100.0
Australia,AUS,327,45317873.0,Oceania,RoAsia,RoAsia,0.0015054619835804235,0.009088167451952373,30102303143.0,4986469851.0
Australia,AUS,3311IS,377301601.0,Oceania,RoAsia,RoAsia,0.009741951705954554,0.049716059172692235,38729570048.0,7589129293.0
Australia,AUS,3313NF,3037514199.0,Oceania,RoAsia,RoAsia,0.03193423601601875,0.3163908418331467,95117797635.0,9600512396.0
Australia,AUS,332,203732541.0,Oceania,RoAsia,RoAsia,0.0020599697374234097,0.00985902212533937,98900744656.0,20664578942.0
Australia,AUS,33311,21998332.0,Oceania,RoAsia,RoAsia,0.0014223153066507796,0.009111517913706782,15466564901.0,2414343275.0
Australia,AUS,33312,53025609.0,Oceania,RoAsia,RoAsia,0.001620903229747949,0.015171968228921482,32713617955.0,3494972320.0
Australia,AUS,33313,16947388.0,Oceania,RoAsia,RoAsia,0.005321339843597876,0.04818390485224127,3184797156.0,351723009.0
Australia,AUS,3332OM,473865355.0,Oceania,RoAsia,RoAsia,0.0023770777308029525,0.012532676059091277,199347858448.0,37810388840.0
Australia,AUS,3341,15839235.0,Oceania,RoAsia,RoAsia,0.00010285637360259029,0.0002806758712418938,153993714198.0,56432478253.0
Australia,AUS,3342,112425451.0,Oceania,RoAsia,RoAsia,0.0009265747950920125,0.0022750250540831346,121334458476.0,49417236438.0
Australia,AUS,3344,35312987.0,Oceania,RoAsia,RoAsia,0.0002686208826454862,0.0004079243207177856,131460319288.0,86567495995.0
Australia,AUS,3345,499546821.0,Oceania,RoAsia,RoAsia,0.0067141848213470336,0.037992319012613615,74401708367.0,13148626722.0
Australia,AUS,334X,67288035.0,Oceania,RoAsia,RoAsia,0.0011506273834611068,0.002286551735696568,58479431280.0,29427733451.0
Australia,AUS,335,202699067.0,Oceania,RoAsia,RoAsia,0.000991576187086343,0.003860949179201632,204421071865.0,52499801886.0
Australia,AUS,336111,598318.0,Oceania,RoAsia,RoAsia,2.825578672672865e-06,1.578631545628012e-05,211750607331.0,37901054344.0
Australia,AUS,336112,163500.0,Oceania,RoAsia,RoAsia,4.882724613785843e-06,0.009799818772281102,33485402707.0,16683982.0
Australia,AUS,33612,2419752.0,Oceania,RoAsia,RoAsia,0.00011978373635856248,0.11933635479237341,20201006193.0,20276738.0
