Country,iso3,summary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Angola,AGO,327,38522.0,Africa,RoWorld,RoWorld,1.279702746231825e-06,1.8510474468782996e-05,30102303143.0,2081091982.0
Angola,AGO,331,19167133.0,Africa,RoWorld,RoWorld,0.00014320141913731803,0.0005725096969066572,133847367683.0,33479141233.0
Angola,AGO,332,32576.0,Africa,RoWorld,RoWorld,3.2938073533527954e-07,1.0840636703991413e-05,98900744656.0,3004989549.0
Angola,AGO,333,34130.0,Africa,RoWorld,RoWorld,1.361318399553969e-07,6.110007191424758e-06,250712838460.0,5585918139.0
Angola,AGO,3361MV,48419.0,Africa,RoWorld,RoWorld,1.1549896437236611e-07,8.746199209337811e-06,419215880100.0,5536004708.0
Angola,AGO,339,100679357.0,Africa,RoWorld,RoWorld,0.0006474814190389923,0.005909161812869249,155493816563.0,17037840592.0
Anguilla,AIA,311FT,235930.0,North America,RoWorld,RoWorld,1.5665687383563794e-06,1.2347592681063243e-05,150603030830.0,19107368221.0
Anguilla,AIA,313TT,2056.0,North America,RoWorld,RoWorld,6.038151716482663e-08,1.9215975650726935e-06,34050154692.0,1069943071.0
Anguilla,AIA,315AL,165172.0,North America,RoWorld,RoWorld,1.3292529882641083e-06,1.083122681424649e-05,124259265511.0,15249611409.0
Anguilla,AIA,325,53405.0,North America,RoWorld,RoWorld,1.3607161347490766e-07,4.05558676510752e-06,392477156963.0,13168254828.0
Anguilla,AIA,326,68858.0,North America,RoWorld,RoWorld,8.959819353319825e-07,2.1200479755483523e-05,76851995877.0,3247945367.0
Anguilla,AIA,327,55328.0,North America,RoWorld,RoWorld,1.8379988978639329e-06,2.6586042557728716e-05,30102303143.0,2081091982.0
Anguilla,AIA,333,3666.0,North America,RoWorld,RoWorld,1.4622306629841345e-08,6.562931838196062e-07,250712838460.0,5585918139.0
Anguilla,AIA,335,24329.0,North America,RoWorld,RoWorld,1.1901414946139658e-07,6.133206972749102e-06,204421071865.0,3966766507.0
Anguilla,AIA,3364OT,108000.0,North America,RoWorld,RoWorld,1.3817354944925813e-06,3.2192431667219296e-05,78162571947.0,3354825790.0
Anguilla,AIA,337,13340.0,North America,RoWorld,RoWorld,2.799546217180153e-07,2.6203314593975937e-05,47650579648.0,509095899.0
Anguilla,AIA,Other,460514.0,North America,RoWorld,RoWorld,3.123461562632321e-06,3.528381846460245e-05,147437063260.0,13051705287.0
Antigua and Barbuda,ATG,212,54800.0,North America,RoWorld,RoWorld,9.231865360052393e-06,2.195811687550302e-05,5935961787.0,2495660275.0
Antigua and Barbuda,ATG,311FT,234213.0,North America,RoWorld,RoWorld,1.5551679053815228e-06,1.2257732058703282e-05,150603030830.0,19107368221.0
Antigua and Barbuda,ATG,313TT,65143.0,North America,RoWorld,RoWorld,1.913148430286139e-06,6.088454775366268e-05,34050154692.0,1069943071.0
Antigua and Barbuda,ATG,315AL,7300.0,North America,RoWorld,RoWorld,5.874813415305252e-08,4.787007225437688e-07,124259265511.0,15249611409.0
Antigua and Barbuda,ATG,323,205042.0,North America,RoWorld,RoWorld,3.019412065113611e-05,0.001652132303952572,6790792233.0,124107494.0
Antigua and Barbuda,ATG,324,1393295.0,North America,RoWorld,RoWorld,2.2411555027585343e-05,9.620467969337045e-05,62168600005.0,14482611495.0
Antigua and Barbuda,ATG,325,3581.0,North America,RoWorld,RoWorld,9.124097890715183e-09,2.719418819558099e-07,392477156963.0,13168254828.0
Antigua and Barbuda,ATG,326,289.0,North America,RoWorld,RoWorld,3.7604748803471335e-09,8.897932918956022e-08,76851995877.0,3247945367.0
Antigua and Barbuda,ATG,327,13457.0,North America,RoWorld,RoWorld,4.4704220590939386e-07,6.466316778111541e-06,30102303143.0,2081091982.0
Antigua and Barbuda,ATG,331,1395289.0,North America,RoWorld,RoWorld,1.0424478449995069e-05,4.16763676908379e-05,133847367683.0,33479141233.0
Antigua and Barbuda,ATG,332,5243.0,North America,RoWorld,RoWorld,5.3012745437219754e-08,1.7447648035064763e-06,98900744656.0,3004989549.0
Antigua and Barbuda,ATG,333,65507.0,North America,RoWorld,RoWorld,2.6128298974386715e-07,1.172716791938651e-05,250712838460.0,5585918139.0
Antigua and Barbuda,ATG,334,247705.0,North America,RoWorld,RoWorld,4.589937722852387e-07,1.9691307591074622e-05,539669631609.0,12579408394.0
Antigua and Barbuda,ATG,335,14871.0,North America,RoWorld,RoWorld,7.274690355708942e-08,3.748897237525254e-06,204421071865.0,3966766507.0
Antigua and Barbuda,ATG,3361MV,9049.0,North America,RoWorld,RoWorld,2.15855372602809e-08,1.6345723093268728e-06,419215880100.0,5536004708.0
Antigua and Barbuda,ATG,339,81141.0,North America,RoWorld,RoWorld,5.21827824369626e-07,4.7623992936111396e-06,155493816563.0,17037840592.0
Antigua and Barbuda,ATG,Other,19955625.0,North America,RoWorld,RoWorld,0.00013535012539424342,0.0015289668714690155,147437063260.0,13051705287.0
Argentina,ARG,111CA,527412567.0,South America,RoWorld,RoWorld,0.008004707367293357,0.021592051387895488,65887801115.0,24426237115.0
Argentina,ARG,113FF,358173999.0,South America,RoWorld,RoWorld,0.021807872318233192,0.10744273215802616,16424068968.0,3333627057.0
Argentina,ARG,211,1411244779.0,South America,RoWorld,RoWorld,0.007997105007470359,0.025675812711547157,176469457095.0,54963976987.0
Argentina,ARG,212,4811175.0,South America,RoWorld,RoWorld,0.000810513135468067,0.0019278164773448583,5935961787.0,2495660275.0
Argentina,ARG,311FT,1395152608.0,South America,RoWorld,RoWorld,0.009263775106723063,0.073016471544556,150603030830.0,19107368221.0
Argentina,ARG,313TT,1457412.0,South America,RoWorld,RoWorld,4.280192008473945e-05,0.0013621397619200993,34050154692.0,1069943071.0
Argentina,ARG,315AL,13578186.0,South America,RoWorld,RoWorld,0.00010927302639494514,0.0008903955409635185,124259265511.0,15249611409.0
Argentina,ARG,321,101694220.0,South America,RoWorld,RoWorld,0.004371127527246617,0.03233329134726514,23264985834.0,3145186146.0
Argentina,ARG,322,17636146.0,South America,RoWorld,RoWorld,0.00066295773747992,0.006198304001245296,26602217612.0,2845318009.0
Argentina,ARG,323,623271.0,South America,RoWorld,RoWorld,9.178178018334904e-05,0.005022025503149713,6790792233.0,124107494.0
Argentina,ARG,324,333445206.0,South America,RoWorld,RoWorld,0.005363563052299428,0.023023831448846028,62168600005.0,14482611495.0
Argentina,ARG,325,983219421.0,South America,RoWorld,RoWorld,0.002505163430677549,0.07466588654628366,392477156963.0,13168254828.0
Argentina,ARG,326,23422810.0,South America,RoWorld,RoWorld,0.00030477816135689845,0.00721157758316444,76851995877.0,3247945367.0
Argentina,ARG,327,2506347.0,South America,RoWorld,RoWorld,8.326097136467203e-05,0.0012043422499717267,30102303143.0,2081091982.0
Argentina,ARG,331,1423421334.0,South America,RoWorld,RoWorld,0.010634660648472277,0.04251666206410785,133847367683.0,33479141233.0
Argentina,ARG,332,43222037.0,South America,RoWorld,RoWorld,0.00043702438389454386,0.014383423401383683,98900744656.0,3004989549.0
Argentina,ARG,333,89087006.0,South America,RoWorld,RoWorld,0.0003553348386433485,0.015948498310064476,250712838460.0,5585918139.0
Argentina,ARG,334,10768738.0,South America,RoWorld,RoWorld,1.995431532416139e-05,0.0008560607671451676,539669631609.0,12579408394.0
Argentina,ARG,335,11443862.0,South America,RoWorld,RoWorld,5.598181193158768e-05,0.0028849346135713955,204421071865.0,3966766507.0
